Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20935269,0.00067443,6.57e-06,8260977.596041514,0.026559493367729906,,3.11412746,36.41464443
1.0,0.20929868,0.00070046,1.024e-05,8249001.446917346,0.026520273502820386,,5.71857859,35.27540878
2.0,0.20822564,0.00083264,1.459e-05,8012941.084769266,0.02574769318913313,,55.76684021,35.49332901
3.0,0.20761522,0.00123026,2.081e-05,7300899.450897921,0.023453317836598115,,76.73485556,35.30277981
4.0,0.20601355,0.00182288,2.731e-05,7092960.682575156,0.02276792031332883,,140.28508482,36.24963271
5.0,0.20369526,0.00253707,3.355e-05,7166293.946103834,0.022977046304229296,,236.97085978,36.21793998
6.0,0.20256953,0.00322756,3.967e-05,7257331.724442005,0.023256615025937143,,286.43905038,36.05620231
7.0,0.20142112,0.00386147,4.585e-05,7300985.462874766,0.023383536398101736,,335.58218806,35.82675744
8.0,0.20132235,0.00433686,5e-05,7398476.684554836,0.023695672161658257,,344.19880479,35.70732039
9.0,0.20133944,0.00467341,5.291e-05,7373576.995964428,0.023616962745745967,,342.34218452,35.55841696
10.0,0.20173055,0.00495331,5.379e-05,7315849.6914041955,0.023437728496514307,,323.530326,35.43099125
11.0,0.2021296,0.0051343,5.288e-05,7532165.56263094,0.02413641880863724,,316.11393498,35.30526804
12.0,0.20240587,0.0052231,5.506e-05,7525454.122365835,0.024118681973163577,,304.06360731,35.16710346
13.0,0.20258103,0.00528008,5.631e-05,7497286.40125406,0.024030785751651816,,295.48362415,35.0699299
14.0,0.20287235,0.00528085,5.501e-05,7554747.695565535,0.024218757111633453,,285.25968215,34.94813554
15.0,0.20321362,0.00526546,5.336e-05,7481511.5936630545,0.023988325258689647,,267.98374623,34.85200966
16.0,0.20339651,0.00524398,5.403e-05,7581630.927149622,0.024311633724962093,,263.67869771,34.72301241
17.0,0.20365589,0.00521742,5.207e-05,7578808.22095332,0.024305886105834916,,252.38166675,34.64351867
18.0,0.20393867,0.00516922,5.146e-05,7537301.430149809,0.02417626513911092,,238.84063961,34.57410898
19.0,0.20406704,0.00510145,5.235e-05,7541346.089501521,0.024190681914026044,,233.43943852,34.48990062
20.0,0.20424322,0.00502283,5.212e-05,7563047.95562227,0.024262343225827373,,226.49585536,34.41865747
21.0,0.20442001,0.00494799,4.922e-05,7544791.994485502,0.024205882224001583,,218.3199736,34.30262542
22.0,0.20463016,0.00486645,4.815e-05,7611406.569618597,0.024422096373612253,,211.08988101,34.20898782
23.0,0.20470116,0.00480006,5.015e-05,7677839.681706347,0.024635958077237872,,209.8080231,34.12648196
24.0,0.20489006,0.0047636,5.216e-05,7587623.732082624,0.024348754358837727,,199.12700183,34.04292841
25.0,0.20496258,0.00470431,5.312e-05,7520580.007751719,0.024134353431965728,,194.23801878,33.98753162
26.0,0.20502199,0.00465765,5.332e-05,7575334.787204946,0.024310695667086067,,193.06956944,33.91786001
27.0,0.20502199,0.00460023,5.305e-05,7572067.900702451,0.02430006656178761,,192.98515568,33.82985376
28.0,0.20510652,0.00452791,5.22e-05,7613521.775711654,0.024434001864823078,,190.3470229,33.75297925
29.0,0.20520569,0.00448946,5.041e-05,7571739.733184381,0.02430109864152791,,184.99052087,33.68186706
30.0,0.20530975,0.00445551,4.629e-05,7485292.082505288,0.024024936246323552,,178.40417616,33.60774275
31.0,0.20541595,0.00437917,4.484e-05,7565136.485397303,0.024282374432806907,,175.68886766,33.52667747
32.0,0.20558704,0.00431452,4.229e-05,7609373.153763427,0.024426410777637974,,169.22827522,33.46682799
33.0,0.20565255,0.00425361,3.912e-05,7619506.135833038,0.024459666695674696,,166.58085558,33.39362041
34.0,0.20569333,0.00421764,3.757e-05,7676497.95780197,0.02464307248957434,,166.02419587,33.330104
35.0,0.20572517,0.00416895,3.873e-05,7671294.022353583,0.024626623820815624,,164.50466507,33.26370642
36.0,0.20582201,0.00411169,3.891e-05,7693481.893486698,0.024698936161623216,,160.68943556,33.22022715
37.0,0.20591335,0.00406317,3.689e-05,7731455.544516988,0.02482192689595604,,157.41350692,33.14950784
38.0,0.20600612,0.0040345,3.681e-05,7681809.256261023,0.024663645594955715,,152.29505824,33.06425179
39.0,0.20604091,0.00399093,3.803e-05,7699063.694195397,0.024719350730404252,,151.09217114,33.04775062
40.0,0.20608831,0.00392864,3.657e-05,7625772.176282644,0.02448449669001305,,147.56866424,32.94821974
41.0,0.20612127,0.00389148,3.426e-05,7609717.495722615,0.02443330926643144,,145.81122411,32.92176548
42.0,0.20616745,0.00383122,3.549e-05,7661053.174586765,0.024598543807022123,,144.75296896,32.84043828
43.0,0.20623896,0.00378651,3.35e-05,7683592.044792422,0.02467174117954216,,142.00802511,32.78098168
44.0,0.20629521,0.00372235,3.473e-05,7739492.216584458,0.024851762671698634,,140.52729371,32.7655282
45.0,0.20637068,0.00369234,3.521e-05,7738078.573249907,0.024848101193349445,,137.12911947,32.67516464
46.0,0.20640151,0.00366091,3.509e-05,7816086.314204001,0.025098911968005583,,137.1198578,32.6455673
47.0,0.20642592,0.00360983,3.581e-05,7766598.005230076,0.024940160167195073,,135.15574372,32.55140586
48.0,0.20645735,0.0035611,3.585e-05,7738845.162348124,0.02485131218428065,,133.26697959,32.5345118
49.0,0.20652235,0.00352983,3.239e-05,7765319.758635889,0.024937142518082052,,130.80647037,32.48815137
50.0,0.20656944,0.00350177,3.229e-05,7763406.122235534,0.024931528063278172,,128.6607401,32.43563573
51.0,0.20660555,0.00346218,3.253e-05,7747335.395795848,0.024880270706283947,,126.77667141,32.397133
52.0,0.20667452,0.00342405,3.27e-05,7667890.653790303,0.02462590635536101,,122.41846525,32.32772331
53.0,0.20671267,0.00337809,3.273e-05,7739056.718723363,0.024854825261187007,,121.84672094,32.27612441
54.0,0.20672335,0.00337508,3.218e-05,7745294.6458512535,0.024874997461812702,,121.46645512,32.22675186
55.0,0.20674064,0.00337187,2.857e-05,7737970.950987202,0.024851754215949765,,120.577863,32.2081553
56.0,0.20675864,0.00336091,2.554e-05,7712561.810952608,0.0247704034713753,,119.37873741,32.12892349
57.0,0.20683463,0.00334601,2.399e-05,7699619.671016631,0.024729789903315424,,115.7930392,32.12617329
58.0,0.20684927,0.00330715,2.585e-05,7773974.873098416,0.024968655598237192,,116.25157512,32.06789534
59.0,0.20689057,0.00326971,2.533e-05,7688717.076911714,0.024695256177703993,,113.13824766,32.00228354
60.0,0.20693096,0.00322674,2.493e-05,7731800.227735771,0.024834041892027096,,111.96407463,31.93077847
61.0,0.20699504,0.00319487,2.671e-05,7737536.515849715,0.02485316545934102,,109.17521818,31.91296768
62.0,0.20701762,0.00317046,2.628e-05,7747066.174430865,0.024884005849804807,,108.29614932,31.88494188
63.0,0.20703715,0.00313984,2.452e-05,7765347.851997813,0.02494292785469103,,107.6729884,31.83766472
64.0,0.20707275,0.00311345,2.292e-05,7758566.576281562,0.024921559053838502,,105.97852852,31.7645881
65.0,0.20708282,0.00310837,2.404e-05,7695400.013657208,0.02471875331195003,,104.66655148,31.7601354
66.0,0.20713185,0.00306488,2.562e-05,7759700.685623994,0.0249257775468931,,103.33586377,31.7023813
67.0,0.20715138,0.0030341,2.595e-05,7765894.914531087,0.024945836212693927,,102.53894793,31.65798529
68.0,0.20721475,0.00300113,2.668e-05,7766728.274152174,0.02494922047861809,,99.69636776,31.59735004
69.0,0.20721699,0.00297583,2.905e-05,7777089.57882902,0.024982422543763105,,99.72802422,31.58530156
70.0,0.20727344,0.00295391,2.909e-05,7781504.359532722,0.02499726602185254,,97.2370721,31.56591924
71.0,0.20727985,0.00293746,2.698e-05,7792106.064572639,0.025031399687765608,,97.07993634,31.50947475
72.0,0.20732257,0.00292869,2.538e-05,7769073.212321241,0.024957959042524916,,94.86785076,31.48956858
73.0,0.20735533,0.00290684,2.435e-05,7737331.388251789,0.02485636579480807,,93.00992365,31.40693176
74.0,0.20732756,0.0028744,2.495e-05,7773620.415374023,0.024972494413171224,,94.69810315,31.39881214
75.0,0.20735055,0.00285304,2.329e-05,7751285.269559819,0.024901009397582507,,93.39219473,31.37157211
76.0,0.20737374,0.0028249,2.198e-05,7839049.519893315,0.02518319897844461,,93.39464641,31.33870073
77.0,0.20739947,0.00279887,2.083e-05,7843897.2130798595,0.025199054652164234,,92.28091185,31.27060065
78.0,0.20739866,0.00277544,2.026e-05,7826967.26410015,0.02514460362613374,,92.11850583,31.25187313
79.0,0.20744596,0.00278047,1.923e-05,7849392.488028348,0.025217286618801845,,90.22787515,31.2239783
80.0,0.20749316,0.00277625,1.97e-05,7865831.59204962,0.025270687506309047,,88.26173164,31.21009636
81.0,0.20749316,0.00272622,1.943e-05,7882283.490768018,0.02532341347902434,,88.44588515,31.14867533
82.0,0.20751421,0.00270222,2.061e-05,7817042.278077543,0.02511399687213845,,86.75793229,31.08319449
83.0,0.20752327,0.00267717,1.936e-05,7833274.7204767475,0.025166219513214648,,86.52619699,31.1207805
84.0,0.20753435,0.00264753,1.964e-05,7848020.661603523,0.02521365224117812,,86.18355109,31.06695525
85.0,0.20759122,0.00262889,2.113e-05,7859016.561149553,0.02524963315881738,,83.70890518,30.98497324
86.0,0.20760159,0.0026284,2.233e-05,7893956.256799289,0.025361998617647406,,83.60526841,30.98313977
87.0,0.20762488,0.00262795,2.137e-05,7870527.289616251,0.025287041419879912,,82.29224705,30.92813587
88.0,0.20762346,0.00259774,2.004e-05,7874781.314818658,0.025300634364382343,,82.40168646,30.91346816
89.0,0.20764848,0.00257667,2.022e-05,7869997.885451433,0.025285528039321905,,81.20740021,30.87706081
90.0,0.20765337,0.0025564,1.963e-05,7854856.002064366,0.025236898127108998,,80.82820522,30.81315152
91.0,0.20768734,0.0025346,1.979e-05,7865390.000628235,0.025271118298946245,,79.38377805,30.81852094
92.0,0.20768927,0.00253342,2.25e-05,7858155.419046587,0.025247845695766265,,79.22234487,30.77124378
93.0,0.20770301,0.00253411,2.136e-05,7804388.237066061,0.025075292437385762,,78.05759158,30.73025277
