Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20950802,0.00065904,8.02e-06,8412172.360065073,0.028241339110520215,,-0.39494282,-278.42496541
1.0,0.20950924,0.00061133,6.97e-06,8435917.398056412,0.028320952923302365,,-0.45636185,-278.4548247
2.0,0.20949835,0.00060918,8.35e-06,8457466.268666912,0.028393106995988317,,0.08156121,-278.40414249
3.0,0.20949937,0.0006095,9.87e-06,8456939.932705382,0.028391324268007632,,0.03117836,-278.38711745
4.0,0.20951249,0.00063545,1.106e-05,8457923.134684633,0.028394864451659455,,-0.61878906,-278.40440441
5.0,0.20951727,0.0006493,1.187e-05,8411133.137925634,0.02823787356991112,,-0.85087784,-278.40191614
6.0,0.20949601,0.00065916,1.156e-05,8379013.358628781,0.02812977700114812,,0.19560544,-278.43138254
7.0,0.20948971,0.00062936,1.038e-05,8405895.79045426,0.028219872700428902,,0.50668067,-278.39942786
8.0,0.2094773,0.00063716,8.97e-06,8416288.74973567,0.028254639790713496,,1.11891877,-278.4253583
9.0,0.20950893,0.00060329,7.12e-06,8428132.934579454,0.02829478769221052,,-0.4408777,-278.37729532
10.0,0.20953772,0.00060365,6.31e-06,8447960.22549191,0.02836177791807461,,-1.86626006,-278.39995171
11.0,0.20948798,0.00060609,5.35e-06,8330077.774204975,0.027965349198132247,,0.58646475,-278.41920309
12.0,0.20953304,0.00060398,4.34e-06,8493314.806906203,0.028514018638550156,,-1.64350648,-278.39471324
13.0,0.20947008,0.00061669,3.77e-06,8470169.634307733,0.028435468290744552,,1.48428368,-278.37533089
14.0,0.20949174,0.00061409,6.05e-06,8483959.973203037,0.028482018478467527,,0.41031321,-278.41606001
15.0,0.20952643,0.00058924,4.9e-06,8441909.673905259,0.02834129067536573,,-1.30663417,-278.39615382
16.0,0.20952867,0.0005572,4.94e-06,8520501.9347964,0.02860507672656914,,-1.43047325,-278.4431691
17.0,0.20951666,0.00056626,5.13e-06,8470470.90579478,0.028436964451930728,,-0.82659964,-278.43216831
18.0,0.20952022,0.00056869,5.6e-06,8507867.511501534,0.02856256037691228,,-1.00764913,-278.42339387
19.0,0.20950364,0.00060658,6.69e-06,8513106.948676355,0.02858000409780001,,-0.1816092,-278.41173827
20.0,0.20951412,0.00059159,8.72e-06,8492771.400547653,0.02851179698367301,,-0.70228814,-278.44081179
21.0,0.20948442,0.00058794,9.23e-06,8486249.49514499,0.028489456690040525,,0.77437893,-278.43243023
22.0,0.20949917,0.00057783,7.24e-06,8492661.826354071,0.028511205048439618,,0.04142812,-278.37899782
