Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20943597,0.00058396,1.94e-06,8386264.252971983,0.02695312666566774,,2.15768773,37.2703325
1.0,0.20944329,0.00059243,2.81e-06,8354498.821738178,0.02685113924463889,,1.79130813,37.26876112
2.0,0.20941166,0.00060195,6.68e-06,8324378.1027136985,0.02675386001184228,,3.32643223,36.96116383
3.0,0.20922688,0.00063537,1.095e-05,8264817.81697933,0.0265599880015281,,12.24018285,36.39232492
4.0,0.20861039,0.00067066,1.843e-05,7870546.674287819,0.025285056345228894,,39.99726665,36.44365661
5.0,0.20726912,0.00073723,2.826e-05,7698496.226470881,0.024715454822670437,,99.15307892,36.41432422
6.0,0.2064408,0.00083438,3.993e-05,7646024.529197886,0.02453658773154371,,135.1051333,36.74588502
7.0,0.20499213,0.00092923,5.209e-05,7527751.557713741,0.024138868032150883,,195.73789438,36.81921601
8.0,0.2041635,0.00104173,6.282e-05,7508893.959666473,0.024067996309580928,,230.83845695,36.53728456
9.0,0.20359146,0.00117393,7.157e-05,7428827.853274833,0.023804326478924658,,252.60429212,36.47600081
10.0,0.20319118,0.00131622,7.678e-05,7438528.420915879,0.023830601146817707,,269.87068032,36.28036422
11.0,0.20261558,0.00146126,8.041e-05,7346276.981619633,0.023528110278740653,,290.51922325,36.18555773
12.0,0.20217004,0.00161919,8.454e-05,7373900.9107171865,0.023611251116311526,,310.20999142,36.02422957
13.0,0.20175349,0.00178295,8.836e-05,7396061.6414330555,0.02367723164905293,,328.54741439,35.87141304
14.0,0.20158285,0.00190555,9.138e-05,7378250.010056924,0.02361828823378552,,334.86098523,35.74491709
15.0,0.20120992,0.00208664,9.44e-05,7366888.834252067,0.023577552440085865,,349.8254537,35.58974349
16.0,0.20094378,0.00224461,9.85e-05,7287705.633427746,0.023321074520026092,,356.97804559,35.43064145
17.0,0.20074954,0.00240177,0.00010177,7260720.096288089,0.02323259568313211,,363.58413659,35.25569467
