Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20954931,0.00064078,-7.1e-07,8592431.765711792,0.027611704085283437,,-1.28606776,51.08273516
1.0,0.20955754,0.00062386,1.3e-06,8598788.43977689,0.027632155817383024,,-1.70191184,50.96252896
2.0,0.20953161,0.00062269,1.27e-06,8599563.676224638,0.027634285641786636,,-0.3958462,50.39367503
3.0,0.20955012,0.00061186,2.54e-06,8628278.101000998,0.02772675797159634,,-1.33254323,50.15927948
4.0,0.20954971,0.00064219,3e-06,8630503.042849334,0.027733981121878765,,-1.31232671,49.620379
5.0,0.20953374,0.00065811,2.28e-06,8643683.18113378,0.027776174137999717,,-0.50599522,49.45439242
6.0,0.20951208,0.00064487,2.24e-06,8597504.235351956,0.027627442588204213,,0.58741288,49.4882699
7.0,0.2094833,0.00063681,2.42e-06,8572791.203177966,0.027547605254506925,,2.03053376,49.65491049
8.0,0.20948065,0.00061555,4.04e-06,8619357.186950307,0.027697108301271794,,2.17500554,50.21238472
9.0,0.20949825,0.00062157,2.78e-06,8666124.850167628,0.027847678067491034,,1.29400833,50.28733374
10.0,0.20948574,0.00062614,2.16e-06,8621871.335720316,0.027705326223655218,,1.91893526,50.17903044
11.0,0.20948798,0.00064363,1.32e-06,8645634.4147493,0.027781784990697438,,1.81096272,50.55285995
12.0,0.20948462,0.00066068,8.4e-07,8574074.937340949,0.027551849075697164,,1.96447006,50.60805801
13.0,0.20948198,0.00068346,1.79e-06,8580502.370410407,0.02757251347676001,,2.0987957,50.24521579
14.0,0.20945614,0.00068627,2.73e-06,8645267.750272129,0.02778025982518116,,3.42218174,50.23226648
15.0,0.20945838,0.00070496,3.56e-06,8645753.641311731,0.027781890174846696,,3.30912668,50.20440585
16.0,0.20946072,0.00069036,3.43e-06,8622575.825522231,0.027707404195189664,,3.1821672,50.07085794
17.0,0.20942258,0.00067416,2.88e-06,8627658.193585062,0.027723169840436913,,5.11028152,50.05725463
18.0,0.20945564,0.00067544,2.33e-06,8647224.733025953,0.027786517776343635,,3.44869684,50.15143141
19.0,0.20939756,0.00071948,2.87e-06,8607440.728335623,0.027657990317974643,,6.35880019,50.20571386
