Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20935681,0.00066999,-4e-07,8453413.793092633,0.02717914613304163,,3.34131522,50.63987294
1.0,0.20925595,0.00072704,2.51e-06,8461308.58788567,0.02720325946243412,,8.34121573,50.60844838
2.0,0.20889928,0.00084141,5.16e-06,8127443.930610847,0.026125460487716877,,24.9665262,50.29799992
3.0,0.2080125,0.00103216,8.34e-06,8029548.2643136075,0.025799668362175992,,66.1890195,50.06585098
4.0,0.20743429,0.00131616,1.763e-05,8046841.733637468,0.025848224533866142,,93.3707304,50.11154753
5.0,0.20684957,0.00163711,2.471e-05,7961624.01949962,0.02556756877729545,,119.36206653,50.03612859
6.0,0.20643169,0.00197133,3.301e-05,7994963.103581718,0.025669869415695507,,139.17968699,50.23423425
7.0,0.20604839,0.00226528,4.235e-05,7972871.036466109,0.025594496550719072,,156.43235105,50.1602556
8.0,0.20573554,0.00251557,5.011e-05,8008298.529222892,0.02570459882467582,,171.56314864,50.0012997
9.0,0.20549936,0.00274309,5.401e-05,7935131.468107699,0.025467172790104766,,180.78151997,49.92509514
10.0,0.2051858,0.00298807,5.979e-05,7870513.2639817,0.02525621539318359,,193.49256304,49.80515807
11.0,0.20499171,0.0031887,6.872e-05,7891786.345087708,0.025322291694088433,,202.80848553,49.68653036
12.0,0.20487072,0.00335293,7.25e-05,7876505.449877336,0.02527203624905016,,207.88347996,49.56999761
13.0,0.20481531,0.00349811,7.97e-05,7872636.19629185,0.02525914894075763,,210.28396083,49.4381454
14.0,0.20478775,0.00364892,8.944e-05,7832802.824149389,0.025131208679132624,,210.45869031,49.35290628
15.0,0.20469787,0.00374982,9.671e-05,7726004.480176463,0.02478751945500472,,211.56865918,49.23571886
16.0,0.20463585,0.00386852,0.00010057,7663920.227022688,0.02458777757078747,,212.59285861,49.12547103
17.0,0.20442946,0.00395568,0.00010522,7732234.670537991,0.02480440732722912,,223.62323094,49.01247355
18.0,0.20436581,0.00407246,0.00011116,7807565.961880241,0.0250454313794399,,228.64605375,48.88651344
19.0,0.20433562,0.00417181,0.00011523,7801978.621533009,0.02502730339372282,,229.83144121,48.76199362
20.0,0.20432016,0.00423461,0.00011818,7836921.849410256,0.025139305693590797,,231.554379,48.66575591
21.0,0.20430796,0.00429026,0.00012007,7628227.605991567,0.024469811122167454,,225.92134427,48.54411667
22.0,0.20421757,0.00439831,0.0001219,7661163.599296795,0.024574547260173447,,230.85742601,48.47092364
23.0,0.20386558,0.0045217,0.00012449,7617372.803080695,0.024429823555229137,,244.85075967,48.36552043
24.0,0.20343073,0.0046974,0.00012748,7412992.648428527,0.02376927776384352,,256.65745122,48.266664
25.0,0.20263687,0.00501856,0.00012969,7367807.484281013,0.023615189472023807,,288.33875114,48.12538442
26.0,0.20125555,0.0054492,0.00013245,6983428.951751838,0.02236754207250049,,327.83733168,47.94377665
27.0,0.19948961,0.00602587,0.00013486,6709666.691693458,0.021471256225354583,,381.47554619,47.73820765
28.0,0.19710122,0.00671439,0.00013762,6572970.3827624945,0.021007308999337528,,460.91183635,47.50160691
29.0,0.19526817,0.0075451,0.00013894,6426849.35205298,0.020520690686746643,,515.45630893,47.24392552
30.0,0.19323096,0.00841649,0.00013611,6254053.812988523,0.019947268615753796,,571.01052136,47.00352764
31.0,0.19110611,0.00936745,0.00013323,6283942.190502713,0.020019460388480185,,645.75001827,46.71468357
32.0,0.18966968,0.01024387,0.0001324,6227633.302785326,0.01982480113964111,,687.80449391,46.45778779
33.0,0.18907958,0.01100513,0.00013293,6197691.46008328,0.01972409228977489,,703.99262363,46.22472231
34.0,0.1890444,0.01169626,0.00013319,6178531.546242376,0.019664284775679337,,703.0264115,45.926189
35.0,0.18902498,0.01227456,0.0001385,6263021.927611496,0.0199342238263912,,713.33091429,45.69050481
36.0,0.1892878,0.01255933,0.00013845,6373690.11746936,0.020290419272720066,,717.06651003,45.46555734
37.0,0.18964762,0.01269586,0.00014254,6386663.9987918865,0.020336458649646474,,706.31552318,45.2539653
38.0,0.19071477,0.01270928,0.00014428,6579670.584121948,0.0209646136579105,,690.18857088,45.04289702
39.0,0.19194643,0.01256153,0.00014296,6720298.400573701,0.021428160906860665,,660.49919918,44.84701726
40.0,0.19300199,0.01236078,0.00014239,6725933.017239824,0.021459044552706037,,622.70998182,44.68256207
41.0,0.19349043,0.01207903,0.00014368,6822086.82192705,0.02177133887781243,,613.53325432,44.50370396
42.0,0.19442642,0.01172388,0.00014608,6731859.381303353,0.021494203352209813,,571.12577493,44.34736678
43.0,0.19535002,0.01141737,0.00014994,6914291.775289936,0.022087625655885124,,551.69155551,44.17976913
44.0,0.19633949,0.0110297,0.00015119,7023435.799125211,0.022447964876182783,,522.2276808,44.02709815
45.0,0.19786275,0.01052847,0.00014757,7201443.056235065,0.023035446841197283,,474.84774051,43.88647325
46.0,0.1989846,0.01005438,0.00014,7245111.098092399,0.0231885008707256,,432.52120495,43.78499811
47.0,0.20064288,0.0095465,0.00012841,7311811.953048,0.023422155016592193,,368.62084629,43.7357663
48.0,0.20150709,0.00905111,0.00011995,7301869.557076612,0.02340012419053725,,332.56692916,43.65655022
49.0,0.20270062,0.00851944,0.00011316,7430441.509072824,0.02382612057471937,,288.21628386,43.59435578
50.0,0.20344283,0.00801017,0.00010598,7406798.960219441,0.023758475597467146,,256.02874883,43.57537011
51.0,0.20408408,0.00753992,9.884e-05,7506772.876095413,0.024086197540786558,,232.01298639,43.53648222
52.0,0.20498154,0.00701527,8.985e-05,7551487.250712098,0.0242398338670415,,194.58057016,43.49707059
53.0,0.20544018,0.00659079,7.889e-05,7603378.833578149,0.024411304524376884,,175.87924209,43.45883737
54.0,0.2060127,0.00619255,7.19e-05,7627676.5058911005,0.024495645791304758,,151.28871909,43.42990059
55.0,0.20652594,0.00577526,6.709e-05,7707010.832648691,0.02475594055778292,,130.0202262,43.43382866
56.0,0.20673376,0.00541953,6.191e-05,7699750.599313975,0.0247344116133189,,120.63978585,43.41039118
57.0,0.20708321,0.00507242,5.569e-05,7747753.268196454,0.024892255804494716,,105.71056524,43.40096381
58.0,0.20728157,0.00476799,4.909e-05,7775212.588217271,0.0249823186040191,,97.14000991,43.39166738
59.0,0.20749702,0.00449567,4.61e-05,7831311.899011058,0.025164658101579893,,88.04640778,43.36417089
60.0,0.20783609,0.00427941,4.326e-05,7809246.030593147,0.025097551141069763,,72.40874065,43.37071767
61.0,0.20793014,0.00404855,3.892e-05,7885673.251902013,0.02534384410975982,,68.80169893,43.36718241
62.0,0.20806008,0.00379618,3.448e-05,7832874.827414999,0.025175220805781946,,62.41579457,43.37071767
63.0,0.20816073,0.0036071,3.139e-05,7849240.598736741,0.025228658384358494,,57.94430523,43.35605288
64.0,0.20827857,0.00342111,2.797e-05,7855618.954335051,0.025250230053962434,,52.59710523,43.39860697
65.0,0.20842579,0.00322807,2.513e-05,7876132.1685262825,0.02531758348146828,,45.97358842,43.38341843
66.0,0.20855512,0.00305784,2.526e-05,7881738.348250455,0.02533679930289729,,40.05916348,43.35919534
67.0,0.20868435,0.00291217,2.609e-05,7913209.456682602,0.025439216786765115,,34.24949847,43.34243557
68.0,0.20875806,0.00278752,2.558e-05,7976071.9802373275,0.02564192979071859,,31.0876547,43.32004557
69.0,0.20879548,0.00270542,2.484e-05,7884097.057952244,0.025346515126749628,,29.0057864,43.33366288
70.0,0.20884662,0.00262496,2.522e-05,7971575.5044840565,0.025628183648978373,,26.94548178,43.33746002
71.0,0.20889318,0.00254217,2.588e-05,7985330.589256462,0.025672770281693708,,24.81870434,43.33601972
72.0,0.20890386,0.00244204,2.405e-05,7987051.645104997,0.025678204811969238,,24.32547131,43.34295931
73.0,0.20892287,0.0023732,2.027e-05,7957135.117039685,0.025582152942267837,,23.34996936,43.35016077
74.0,0.20902546,0.00229029,2.147e-05,7911049.54923323,0.025435054415485662,,18.46948436,43.34898235
75.0,0.20903268,0.00219644,1.987e-05,7997422.742413743,0.02571262474939847,,18.33334923,43.33012762
76.0,0.20906918,0.0021279,1.728e-05,7999775.191770318,0.02572052218492815,,16.63083505,43.34858955
77.0,0.20908748,0.0020172,1.352e-05,8017043.265005352,0.0257760486579923,,15.80834865,43.33510317
78.0,0.20908849,0.00192025,1.324e-05,8032426.1697251545,0.02582526226983074,,15.79075006,43.36207592
79.0,0.20915448,0.00183187,1.227e-05,8059376.89117576,0.02591254750757945,,12.73224977,43.3667896
80.0,0.20916983,0.00176405,1.094e-05,8060974.935021574,0.025917725314882158,,12.01051224,43.33772189
81.0,0.20915855,0.0016851,1.246e-05,8089004.774734341,0.026007455669270672,,12.58636051,43.36259966
82.0,0.20919728,0.00162744,1.253e-05,8125019.763682424,0.026123597449925203,,10.80044901,43.33523411
83.0,0.20922321,0.00158656,1.479e-05,8111637.591073919,0.02608075541551427,,9.55169359,43.30813043
84.0,0.2092285,0.00158521,1.708e-05,8070348.707297195,0.025948024414971616,,9.25330942,43.33497224
85.0,0.20918946,0.00157819,1.891e-05,8056577.709202538,0.025903187084001498,,11.07849554,43.35016077
86.0,0.20921925,0.00155453,1.886e-05,8049377.494882606,0.025880360414667767,,9.66514019,43.31912902
87.0,0.20924456,0.00152666,1.866e-05,7998728.655023189,0.02571776897441959,,8.41897531,43.33719814
88.0,0.20920532,0.00150956,1.579e-05,8038726.643906136,0.025845870619666127,,10.30769228,43.30747575
