Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20929825,0.00077223,9.9e-07,8416116.031209568,0.02705745673341413,,6.30603502,294.32104139
1.0,0.20925922,0.00081258,1.04e-06,8427775.175497107,0.027094523976109203,,8.24044718,293.88466934
2.0,0.20925688,0.00082083,4.82e-06,8459828.256169764,0.02719748895980341,,8.38753772,293.00099948
3.0,0.20923858,0.00083391,6.04e-06,8385893.095457963,0.026959560713397276,,9.21226618,291.76612584
4.0,0.20922527,0.00085349,5.03e-06,8423677.622749673,0.027080927753489272,,9.91026145,290.73015365
5.0,0.2091961,0.00086499,6.5e-06,8428141.772783,0.027094886720631976,,11.35433256,291.38082861
6.0,0.20911793,0.00087048,8.99e-06,8323239.928614559,0.026756564274459733,,15.01925582,291.81838516
7.0,0.2090475,0.00103805,1.159e-05,8274060.066795551,0.026597944108312538,,18.33940548,291.75638479
8.0,0.20859489,0.00139123,1.659e-05,8060167.182000999,0.025905324724438447,,39.17662806,291.65212946
9.0,0.20809888,0.00202953,2.178e-05,7742323.167704644,0.024879116947276073,,60.01777798,291.57670247
10.0,0.20712982,0.00293894,2.502e-05,7477453.337670334,0.02401839236393298,,100.06008968,293.88809186
11.0,0.20528493,0.00398788,3.036e-05,7441872.934937448,0.023883941122881922,,178.8151861,293.69155989
12.0,0.20395698,0.00480562,3.809e-05,7414588.215012635,0.023781779066257027,,234.55823359,293.36694647
13.0,0.2034382,0.00566159,4.559e-05,7447918.187894407,0.023884211938510976,,257.6623235,293.10407015
14.0,0.20331135,0.00621676,5.314e-05,7490222.666800117,0.02401957087955283,,264.54885822,292.83132117
15.0,0.20332558,0.00651748,5.869e-05,7608774.122516897,0.024400619225869485,,268.12743782,292.56212635
16.0,0.203339,0.00655507,6.108e-05,7729755.237180437,0.024788827401152874,,271.80106236,292.3534839
