Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20937146,0.00079953,1.225e-05,8319636.945546476,0.026743691366257195,,3.94263899,281.99005171
1.0,0.20937441,0.00075197,1.405e-05,8296010.494779551,0.026667615080480416,,3.78821449,281.14382176
2.0,0.20934025,0.00073905,1.396e-05,8335625.348755278,0.026794464132039383,,5.47327762,291.46816989
3.0,0.20937065,0.00076694,1.26e-05,8368740.298591002,0.026901425616906432,,4.00574471,292.67184929
4.0,0.20941924,0.00078627,1.185e-05,8298904.793340382,0.026677656420393492,,1.61085786,288.65367033
5.0,0.20937563,0.00075369,1.058e-05,8325963.758321191,0.02676398851339767,,3.74243108,278.59474664
6.0,0.20935723,0.00074313,8.87e-06,8231991.416344805,0.0264616718082481,,4.58705552,278.5756842
7.0,0.20941415,0.00074835,6.48e-06,8265899.671393616,0.026571487828322086,,1.85051016,278.79496515
8.0,0.20938894,0.00074924,6.49e-06,8171961.83373591,0.026269186622222516,,3.03597512,278.70162622
9.0,0.20934188,0.00076409,1.072e-05,8159208.466371716,0.02622753244330794,,5.27977245,279.20144999
10.0,0.20932775,0.00076376,1.255e-05,8192323.12369571,0.026333756240030586,,5.97888048,279.2265595
11.0,0.20931433,0.00076486,1.627e-05,8242532.895633494,0.026494906211241752,,6.66296751,279.19553414
12.0,0.20930843,0.00080964,1.99e-05,8251886.202533531,0.026524948233932685,,6.95534189,279.8057873
13.0,0.20927773,0.00081686,2.454e-05,8229758.176434368,0.02645334368591383,,8.41548474,279.08812856
14.0,0.20925679,0.00077763,2.707e-05,8250317.761041584,0.026518993057547673,,9.44757299,278.86674427
15.0,0.20929176,0.0007718,2.807e-05,8245911.92082814,0.026505260903472116,,7.75489863,278.63786715
16.0,0.2092572,0.00075703,3.196e-05,8226439.051118444,0.026442094404990506,,9.4006,278.8209952
17.0,0.20919132,0.00077294,3.633e-05,8227479.713205629,0.02644452556319161,,12.57288815,280.54421756
18.0,0.20915717,0.0008273,3.881e-05,8235102.493462682,0.026468676289386907,,14.23000216,280.532386
19.0,0.20904047,0.00091886,4.571e-05,8237205.268286598,0.02647400492328504,,19.85496587,281.91682664
20.0,0.20870419,0.00102758,4.977e-05,8098959.4171442175,0.026025502242843414,,35.43074545,282.32186545
21.0,0.20835449,0.00123023,5.128e-05,8036399.421816134,0.025820430090549122,,51.54695577,282.44176012
22.0,0.20815728,0.0015449,5.023e-05,8042264.729602407,0.025837572001447123,,60.82398008,282.27269812
23.0,0.20784387,0.00183531,4.668e-05,7954305.709630124,0.025551768622776305,,74.66310395,281.38190199
24.0,0.20747852,0.00209481,4.462e-05,7894174.686148813,0.025354625421329113,,90.85223892,280.82397129
25.0,0.20730825,0.0023632,4.06e-05,7907785.545221957,0.025396930799693972,,98.82244271,280.78781886
26.0,0.20709843,0.00262857,3.358e-05,7873805.68048133,0.025285928939608467,,107.97592561,280.78729301
27.0,0.20696526,0.00282958,2.859e-05,7850301.642171348,0.025209359421798385,,113.71036813,280.68475155
28.0,0.20685872,0.00308985,2.637e-05,7711084.300050432,0.024761669697219255,,116.45185816,280.69513716
29.0,0.20645261,0.00343198,2.44e-05,7735055.148182266,0.02483440306927185,,134.97812416,280.61178936
30.0,0.20603449,0.00386027,2.634e-05,7575977.414391581,0.024319495775084587,,150.48421334,280.54566327
31.0,0.20502454,0.00435239,3.139e-05,7475630.782739384,0.02398596802080059,,191.91204451,280.45482206
32.0,0.204028,0.00483419,3.564e-05,7433179.025116095,0.023838459843091343,,233.22104334,280.34965134
33.0,0.20309185,0.00533475,3.864e-05,7267972.565395526,0.023298297261153712,,266.80531685,280.21845086
34.0,0.2022601,0.00595937,4.363e-05,7127977.978984036,0.022840848246656196,,295.31086835,280.03637405
35.0,0.20125371,0.00653183,4.948e-05,7043008.050026924,0.022557647029706054,,331.83414799,279.99443722
36.0,0.20041159,0.0072967,5.521e-05,6809471.891929048,0.02180142037122447,,353.09574146,279.82682138
37.0,0.19897315,0.00820194,6.07e-05,6709269.949535236,0.02146568410774156,,401.89426528,279.62818018
38.0,0.19800925,0.00909854,6.46e-05,6567433.014450014,0.021002656092580438,,428.62654586,279.40127435
39.0,0.19638021,0.00992433,7.018e-05,6408923.60179425,0.020478735296491645,,475.99171647,279.22011779
40.0,0.19430205,0.01102456,7.718e-05,6316822.595943542,0.02016275366713869,,541.06963167,279.03173073
41.0,0.1923898,0.01223893,8.237e-05,6190848.5454120785,0.01974116772941392,,594.52530463,278.77932101
42.0,0.19064365,0.01339563,8.515e-05,6034217.68524027,0.019224165008803768,,636.16334024,278.47261689
43.0,0.18962678,0.01469568,8.942e-05,5996989.812018622,0.01909662134631975,,664.86954912,278.17629839
44.0,0.1879027,0.01613729,9.982e-05,5894880.193212312,0.01875460546291236,,707.51540868,277.90272306
45.0,0.18567734,0.01762572,0.00010837,5741934.964722165,0.01824561253724249,,756.32621496,277.65018187
46.0,0.18373398,0.01901692,0.00011847,5661599.105359063,0.017970770902607937,,802.99166857,277.35110264
47.0,0.18138054,0.02053838,0.00013125,5609159.759683898,0.017779918485725743,,863.48837676,276.99904366
48.0,0.17963104,0.0220348,0.00014249,5270654.408394784,0.016690221041840144,,858.37878593,276.63843957
49.0,0.17874094,0.02364916,0.0001523,5346148.0571063,0.0169222827046258,,894.86075012,276.28664352
50.0,0.17734876,0.02508384,0.00016053,5287338.022920321,0.01672296151473316,,922.10675586,275.92419894
51.0,0.17659406,0.02616599,0.00016512,5193735.177630029,0.016420445923234106,,925.46210497,275.57121972
52.0,0.1753936,0.02699832,0.0001687,5221393.122547503,0.016495610855022824,,961.60326022,275.1970749
53.0,0.17483368,0.02763374,0.00017355,5233234.828720758,0.016527702544324337,,978.33743939,274.87157154
54.0,0.17462163,0.02818385,0.0001721,5304692.82469712,0.016752045599633884,,997.31482611,274.53712867
55.0,0.17449252,0.02838838,0.00017168,5290748.471597384,0.01670690931245345,,998.08509983,274.17152897
56.0,0.17496065,0.02837418,0.00017157,5230453.952881527,0.016522015327288538,,974.63410528,273.83222196
57.0,0.17564408,0.02804042,0.00017104,5346010.273091935,0.016894520872329864,,978.0509909,273.49383519
58.0,0.17646669,0.02740104,0.00016637,5284717.323863172,0.01670920477754795,,945.17233718,273.18699964
59.0,0.17738515,0.02666545,0.00015679,5489162.350187444,0.017365260632853333,,956.50001223,272.83835873
60.0,0.17871593,0.02568529,0.00014643,5510734.751741094,0.01744748896236308,,923.34386817,272.59501999
61.0,0.18095318,0.0243246,0.00013908,5635237.528253259,0.017865719693350695,,880.18701458,272.29817566
62.0,0.18370064,0.02275493,0.00013351,5777712.459220003,0.01834703389215165,,820.81766249,272.07692278
63.0,0.18675256,0.02115109,0.00012652,5832110.601628452,0.018552263915623635,,735.69389641,271.87315453
64.0,0.18894813,0.01931504,0.00011739,6142525.633339647,0.019562132900866103,,703.5182213,271.63270799
65.0,0.19099111,0.01736165,0.00010817,6280811.29246868,0.020022829232938792,,650.76641347,271.45181437
66.0,0.19355844,0.01534857,9.975e-05,6412888.312985436,0.020470284929215977,,575.495297,271.32547805
67.0,0.19530621,0.01353922,9.143e-05,6678186.192009637,0.021334411980175567,,535.55687414,271.23345368
68.0,0.19789417,0.01173315,8.058e-05,6861009.649798321,0.021946293348911138,,452.29189622,271.1511576
69.0,0.20004928,0.010055,7.475e-05,6973237.365766089,0.022327780447611644,,375.85839437,271.11027249
70.0,0.20197882,0.00851197,6.643e-05,7111425.100695332,0.022790328659713047,,306.02038862,271.12118395
71.0,0.20316322,0.00728487,5.872e-05,7168069.150377438,0.022983437747455312,,260.28145039,271.12447053
72.0,0.20398297,0.00616499,5.352e-05,7199727.867161756,0.023092239692747818,,227.77683362,271.11829175
73.0,0.2048806,0.00516607,4.478e-05,7229500.166615923,0.02319630069635015,,191.57553133,271.16088589
74.0,0.20507161,0.00429921,3.957e-05,7210668.422021428,0.023136118218883943,,183.16090229,271.1231559
75.0,0.20583067,0.00367524,3.628e-05,7298265.555168686,0.02342491358357855,,153.53355243,271.15404979
76.0,0.20628315,0.00322076,2.758e-05,7360976.771838204,0.023630724616903354,,135.64813275,271.1644354
77.0,0.20667188,0.00281992,2.582e-05,7438958.92640141,0.02388485863253656,,120.37784801,271.15641614
78.0,0.20705085,0.00249582,2.522e-05,7391039.320046347,0.023734805719529368,,103.39143964,271.15707345
79.0,0.20737473,0.00227874,2.406e-05,7415816.147546088,0.023817786872847413,,89.81542584,271.19769564
80.0,0.20759624,0.00208237,2.086e-05,7394222.505209069,0.023750677436626108,,80.0471575,271.17482101
81.0,0.20779589,0.0019044,2.353e-05,7419151.544725807,0.023832677355496937,,71.7107132,271.14484736
82.0,0.20786949,0.00170073,1.876e-05,7497093.527918808,0.024083517541120415,,69.25541062,271.15746784
83.0,0.20796474,0.00156423,1.801e-05,7519797.1137364535,0.02415728349403051,,65.29902072,271.1590454
84.0,0.20805877,0.00147443,1.685e-05,7537028.6363612395,0.02421358592490409,,61.32501422,271.14839687
85.0,0.2081649,0.00139515,1.528e-05,7571690.47942484,0.02432607446304268,,56.92947758,271.17639857
86.0,0.20825904,0.00134205,1.351e-05,7525244.070347876,0.024177901744431712,,52.45501849,271.13262126
87.0,0.20831474,0.00121734,1.157e-05,7558098.585501192,0.024283859562608215,,50.2307578,271.16864223
88.0,0.20842494,0.00120694,8.84e-06,7566975.519540777,0.024313757907803643,,45.43055721,271.18625832
89.0,0.20843531,0.00118321,8.56e-06,7593719.946129101,0.02439976332740984,,45.13203761,271.1913854
90.0,0.20852934,0.00116595,7.52e-06,7565343.368267036,0.024309714415001144,,40.81551278,271.19730125
91.0,0.20854571,0.00112945,8.15e-06,7618293.641887989,0.02447995650451048,,40.37381755,271.1712715
92.0,0.20862296,0.00105837,1.087e-05,7634682.577640388,0.02453334388910856,,37.01947263,271.16601296
93.0,0.20864177,0.00101506,1.029e-05,7701120.903791365,0.02474696966588828,,36.4964206,271.15786223
94.0,0.20869484,0.00098692,7.87e-06,7659305.956004744,0.024613229737570536,,33.92634815,271.15694199
95.0,0.2087723,0.00098154,7.4e-06,7574923.362341339,0.02434301092237281,,30.12727124,271.15589028
96.0,0.20879883,0.00097934,6.44e-06,7630553.19905057,0.024522123935577386,,29.16639298,271.15391833
97.0,0.2088398,0.00094797,5.26e-06,7677371.767997492,0.02467303247336698,,27.50847904,271.11369054
98.0,0.20884346,0.00088766,7.35e-06,7708419.957248553,0.02477266394421707,,27.45474825,271.13038639
99.0,0.20891573,0.0008596,1.022e-05,7685427.960506949,0.02469954867176731,,24.12782009,271.14603053
100.0,0.20886501,0.00082885,1.261e-05,7773928.490694407,0.02498321092676725,,26.70923548,271.16916808
101.0,0.20890323,0.00079794,1.178e-05,7779678.965733051,0.025002106191285428,,24.99184348,271.16653882
102.0,0.20895823,0.00079263,1.01e-05,7795831.404996361,0.02505472647834685,,22.53863769,271.14156077
103.0,0.20895274,0.00077922,7.54e-06,7819524.12054244,0.025130813326941448,,22.85798397,271.19690686
104.0,0.20897785,0.00078913,8.44e-06,7774269.647694435,0.02498569744544967,,21.58494003,271.19085954
105.0,0.20901749,0.00079068,9.23e-06,7776509.662681185,0.02499338468844592,,19.78914391,271.19769564
106.0,0.20903945,0.00078334,9.05e-06,7768197.18967488,0.02496692839199579,,18.77086388,271.17718735
107.0,0.20906802,0.0007804,9.09e-06,7709690.085013276,0.024779234474183082,,17.34192493,271.1845493
108.0,0.20907035,0.00076678,1.096e-05,7797121.331038308,0.02506020131629982,,17.43195094,271.16141175
109.0,0.20910024,0.00078403,1.265e-05,7801600.17219431,0.02507498789082586,,16.07858706,271.16128028
110.0,0.20906497,0.00076364,1.162e-05,7778767.373799102,0.025001123292070153,,17.63594353,271.15142053
111.0,0.2091593,0.00077159,9.09e-06,7829464.13707167,0.02516532345522573,,13.43151645,271.18941345
112.0,0.20914477,0.00077995,7.15e-06,7774349.805944157,0.024988050676598064,,13.99803978,271.1673276
113.0,0.20916784,0.00078786,5.69e-06,7789628.613221217,0.02503749661600299,,12.97414422,271.22214783
114.0,0.20917892,0.00080381,4.9e-06,7805194.310718732,0.025087723976568402,,12.49417501,271.21715222
115.0,0.20915259,0.00081095,5.94e-06,7904481.153197718,0.025406519232414392,,13.87050609,271.18717857
116.0,0.20918065,0.0008147,7.91e-06,7856639.9593330445,0.025253078169335343,,12.49708567,271.15917687
117.0,0.20918787,0.0008125,9.42e-06,7871572.46866163,0.02530113294814098,,12.1884553,271.1497115
118.0,0.20920525,0.00081176,6.95e-06,7867819.021768512,0.025289332311721643,,11.38251004,271.18533808
119.0,0.20921511,0.00080548,4.34e-06,7900680.780527638,0.025395115901102962,,10.97425103,271.20124515
120.0,0.20923676,0.00081319,2.54e-06,7803203.4840686,0.0250821206037879,,9.85023492,271.20374296
121.0,0.20923036,0.00079194,3.16e-06,7858483.907555754,0.025259661643811385,,10.21448693,271.18823028
122.0,0.20922009,0.00077494,5.09e-06,7898704.64258044,0.025388732213259633,,10.74125829,271.18389198
123.0,0.20926868,0.00078232,6.81e-06,7917044.595234055,0.025448290566013672,,8.51500133,271.14813394
124.0,0.20923422,0.00076641,8.73e-06,7900985.838584569,0.02539615505781056,,10.09107103,271.17994808
125.0,0.20924632,0.00075185,1.105e-05,7859987.386677036,0.025264445977567895,,9.48228631,271.1619376
126.0,0.20923931,0.00071739,1.093e-05,7883501.8573857555,0.025339850143220658,,9.83420102,271.1590454
127.0,0.20927051,0.00069553,9.42e-06,7965679.947267906,0.02560436419493029,,8.48191265,271.18875613
128.0,0.20929756,0.00072159,1.066e-05,7970917.483806768,0.025621594140623014,,7.22599701,271.19322588
129.0,0.20928383,0.00073138,1.147e-05,7946370.5069334945,0.025542526137028537,,7.8420354,271.18349759
130.0,0.20930172,0.00073689,1.039e-05,7973559.320462225,0.025630185675099844,,7.03388259,271.19335735
131.0,0.20930782,0.00072033,9.91e-06,8001659.697984499,0.025720554316097054,,6.77298483,271.21228808
132.0,0.20932236,0.0007072,7.84e-06,7987273.129446368,0.02567450030139904,,6.08113575,271.19874735
133.0,0.20934239,0.00072844,5.97e-06,7987636.366110664,0.025676017691862684,,5.14497861,271.19427759
134.0,0.20933029,0.00072518,6.67e-06,8014001.304567487,0.02576058889341098,,5.72950997,271.19940466
135.0,0.20931331,0.00069549,7.34e-06,8003540.390611415,0.02572665114734656,,6.51739524,271.20374296
136.0,0.20932978,0.00066796,9.05e-06,7966903.939139408,0.025608992371186773,,5.71949999,271.22004442
137.0,0.20929776,0.00065047,7.6e-06,7922184.353133325,0.025464815827668855,,7.17235287,271.20111369
138.0,0.20933761,0.00063624,5.56e-06,7979160.515223825,0.025648470165594107,,5.36265823,271.21281393
139.0,0.20930559,0.00062894,6.29e-06,7924441.997104771,0.02547213928492055,,6.81131484,271.19703832
140.0,0.20934178,0.00065385,6.31e-06,7933501.499452497,0.025501788987743523,,5.13839739,271.21018466
141.0,0.20933405,0.00067025,6e-06,7992928.384336608,0.025692763773093666,,5.53841615,271.19309442
142.0,0.20934401,0.00069618,9.62e-06,8001267.314661135,0.025719699842633097,,5.07753689,271.18086833
143.0,0.20933191,0.00072522,1.182e-05,7989463.666952277,0.02568163924940821,,5.63587192,271.19730125
144.0,0.20937756,0.00071902,1.195e-05,8030433.176020319,0.02581390457655718,,3.51875582,271.21859832
145.0,0.20936719,0.00071923,1.047e-05,8109412.713046455,0.02606767807081556,,4.04571647,271.217941
146.0,0.20937034,0.00066564,7.79e-06,8078678.343454504,0.02596882776201762,,3.88130304,271.2139971
147.0,0.20940043,0.00065238,9.43e-06,8059913.43494971,0.025908831989169125,,2.4521396,271.1992732
148.0,0.209325,0.00063505,8.26e-06,8049172.106185221,0.02587330035206508,,6.00367578,271.20440027
149.0,0.20929806,0.0006147,7.45e-06,8048766.069520502,0.025871605550984396,,7.27255975,271.17547833
150.0,0.20938518,0.00060112,4.6e-06,8057615.54932298,0.02590119854156557,,3.1709195,271.17981662
151.0,0.20934848,0.00060414,3.2e-06,8080955.224849595,0.02597578067310441,,4.91646753,271.19822149
152.0,0.2093801,0.00064688,3.64e-06,8017451.01354882,0.025772165766013842,,3.39375295,271.20571491
153.0,0.20935265,0.00066401,8.02e-06,8019453.461392946,0.025778212751530197,,4.68337479,271.17245467
154.0,0.20937207,0.00067991,7.8e-06,8029576.1939583635,0.025811050269346963,,3.77646846,271.17048272
155.0,0.20936729,0.00067184,9.41e-06,8014421.064924846,0.025762220621273875,,3.99353883,271.19322588
156.0,0.20937044,0.00068946,7.55e-06,8027728.796552628,0.02580512127464454,,3.85205697,271.23647734
157.0,0.20938162,0.00070687,6.39e-06,8026232.591898198,0.0258005250570012,,3.32582006,271.21728368
158.0,0.20937288,0.00070552,8.26e-06,8031399.220198674,0.025816981685702383,,3.73909056,271.22004442
159.0,0.20939169,0.00066601,8.28e-06,7983972.427024689,0.02566466303477761,,2.8377828,271.19033369
160.0,0.20936556,0.00063424,8.82e-06,7989922.480041299,0.025683357639761834,,4.06216356,271.19559223
161.0,0.20938691,0.00061858,8.92e-06,8081279.417685817,0.025977255019662672,,3.09844964,271.20689808
162.0,0.20937207,0.00062947,4.77e-06,8093201.449221332,0.02601549271048536,,3.80638087,271.17797613
163.0,0.20935987,0.00065964,1.78e-06,8094359.725573271,0.02601919556548416,,4.38508792,271.17639857
164.0,0.2093738,0.0006534,8.5e-07,8082879.543380633,0.025982474520519258,,3.71975659,271.17455808
165.0,0.20943306,0.00064769,4.2e-06,8122014.255086816,0.026108969512210634,,0.91885433,271.18625832
166.0,0.20943774,0.00062841,4.56e-06,8143842.015692958,0.026179138450134525,,0.69827264,271.18468076
167.0,0.20936821,0.00064235,3.81e-06,8113638.665150429,0.026081190801427807,,3.99951809,190.09105026
168.0,0.20939555,0.00066156,5.14e-06,8075603.984002564,0.025959311791429924,,2.68767913,-173.49068861
169.0,0.20937471,0.00067636,6.09e-06,8090673.695103683,0.026007504885707914,,3.67999578,-210.12896942
170.0,0.20938152,0.00064243,9.22e-06,8098183.834871456,0.026031583454498314,,3.3604253,-210.18457838
171.0,0.20940409,0.00061372,1.154e-05,8083737.621872441,0.02598531810655335,,2.28613102,-210.17971424
172.0,0.20939962,0.00061095,1.353e-05,8029157.059058376,0.025809765479836776,,2.4810025,-210.19917081
173.0,0.209411,0.00059696,1.306e-05,8072639.263521875,0.025949657902722408,,1.95619078,-210.15907451
174.0,0.20943804,0.00059545,9.64e-06,8108069.47061884,0.026063962323126643,,0.68071761,-210.23059053
175.0,0.20941548,0.00062995,9.76e-06,8163692.700415045,0.026242563337835034,,1.76441898,-210.17708498
176.0,0.20940887,0.00065185,7.53e-06,8118081.740279555,0.026095960470523896,,2.06871404,-210.19102009
177.0,0.20936485,0.00066295,5.97e-06,8114903.991224507,0.026085229926548333,,4.15953679,-210.17997717
178.0,0.20939514,0.00065683,6.52e-06,8106272.325591277,0.02605785196013397,,2.71718437,-210.19627862
179.0,0.20942879,0.00068265,9.07e-06,8089171.092073041,0.026003340371909087,,1.11742128,-210.21836445
180.0,0.20941649,0.00069443,1.091e-05,8061671.360445685,0.025914778027446142,,1.69438416,-210.15236988
181.0,0.20938732,0.00068395,1.154e-05,8078688.755753728,0.02596906168939269,,3.07823581,-210.16170377
182.0,0.20941629,0.00065773,9.48e-06,8147621.235620628,0.02619099317445247,,1.72214549,-210.20258885
183.0,0.20940755,0.00067033,9.38e-06,8154407.01924109,0.02621272826444967,,2.14108118,-210.18168619
184.0,0.20943764,0.00065361,9.93e-06,8154620.182173112,0.026213752129871513,,0.70405128,-210.18576155
185.0,0.20941243,0.00064986,9.33e-06,8118581.248826257,0.026097573292837035,,1.89967371,-210.18076595
186.0,0.20941619,0.00063542,8.24e-06,8129204.124904171,0.026131751246694798,,1.72308994,-210.1569711
187.0,0.2094106,0.0006227,7.06e-06,8092752.87699872,0.026014491421308083,,1.98035016,-210.21034519
188.0,0.20942595,0.00063048,6.13e-06,8089545.249456613,0.026004419027437685,,1.25232767,-210.13843477
189.0,0.20942168,0.00064969,4.44e-06,8123815.773296649,0.026114612771334672,,1.4607789,-210.17577034
190.0,0.20939779,0.00065047,4.54e-06,8173354.462325476,0.026273544423117134,,2.61316739,-210.1773479
191.0,0.20944374,0.0006696,4.57e-06,8143547.587194997,0.0261783836084532,,0.41216763,-210.18733911
192.0,0.20943306,0.00067302,4.43e-06,8152198.304149938,0.02620606425080289,,0.92227139,-210.15447329
193.0,0.20944272,0.00069133,5.76e-06,8134921.23718776,0.026150676984161448,,0.46016948,-210.18037156
194.0,0.20943174,0.00067127,8.17e-06,8108699.373954045,0.026066140060323605,,0.98011044,-210.20035398
195.0,0.20939525,0.00064651,1.021e-05,8118945.558261151,0.026098493980089826,,2.71658907,-210.18681326
196.0,0.20943296,0.00061923,8.79e-06,8227226.080388832,0.02644701463226948,,0.93564968,-210.17853107
197.0,0.20943489,0.00064076,7.23e-06,8233606.604706413,0.026467640524808652,,0.8432348,-210.19614715
198.0,0.20943581,0.00066466,9.86e-06,8177970.005692537,0.026288819938991806,,0.79371445,-210.21008226
199.0,0.20941598,0.00068334,1.197e-05,8144252.41314644,0.026180183083199967,,1.73598101,-210.19180886
200.0,0.2094474,0.00067926,1.311e-05,8095562.184638293,0.026024042367334035,,0.2362033,-210.17103767
201.0,0.20944211,0.00067563,1.418e-05,8127030.794495163,0.02612510218423844,,0.48875382,-210.16433304
202.0,0.20940124,0.00068493,1.461e-05,8113219.562305749,0.02608018814549038,,2.42971778,-210.15657671
203.0,0.20943144,0.00064969,1.349e-05,8143114.55101666,0.02617660684309545,,0.99880927,-210.16814547
204.0,0.20944882,0.00061674,9.86e-06,8171707.193812442,0.026268726607505965,,0.17030343,-210.16656791
205.0,0.20940511,0.00062514,7.1e-06,8134496.150762175,0.0261486109405603,,2.25206998,-210.19627862
206.0,0.20957467,0.00063848,5.24e-06,8117494.921519751,0.026096246201537474,,-5.81652586,-210.18484131
207.0,0.20948399,0.0006419,3.59e-06,8140799.891309462,0.026170020631895302,,-1.50768196,-210.16499036
208.0,0.20932897,0.00063966,2.58e-06,8152283.332631297,0.026204914101014855,,5.89140697,-210.1877335
209.0,0.20966291,0.00063709,4.97e-06,8192748.730205288,0.02633933634821041,,-10.10828855,-210.20521812
210.0,0.20944038,0.0006189,3.84e-06,8224209.820985927,0.026437510569435756,,0.57784576,-210.19575276
211.0,0.20942564,0.00061287,5.44e-06,8212608.311926044,0.02639997427717259,,1.28604592,-210.16472743
212.0,0.20941792,0.00064419,8.14e-06,8157516.478868305,0.026222811544283266,,1.64653061,-210.17892546
213.0,0.20945319,0.00067702,8.87e-06,8038719.384297487,0.025841463203009563,,-0.03829367,-210.14632257
214.0,0.20946488,0.00068942,1.021e-05,8144453.551277536,0.026181520777318723,,-0.5965262,-210.16630499
215.0,0.20940734,0.0006928,1.124e-05,8132886.416610654,0.02614357302143987,,2.14511617,-210.16209816
216.0,0.20939758,0.00066858,1.254e-05,8205538.7311712345,0.02637689672926604,,2.63321654,-210.16525328
217.0,0.20946569,0.00064525,1.42e-05,8254648.8444273565,0.026535570693488175,,-0.64391707,-210.12173894
218.0,0.20939067,0.00066825,1.147e-05,8206847.439816375,0.026381031766919513,,2.96584796,-210.19088862
