Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20944657,0.00063682,1.003e-05,944.433619760472,0.026838682734081885,,-0.52172451,92.40019709
1.0,0.20946721,0.00062782,8.81e-06,944.601152660112,0.026843719372989155,,-1.66398949,92.4660234
2.0,0.20942481,0.00064372,7.95e-06,939.4008951179671,0.026695432559249853,,0.67837046,92.46549889
3.0,0.20944281,0.00066362,8.85e-06,941.7096927709129,0.026761322548248995,,-0.31269107,92.46156504
4.0,0.20943305,0.00067993,8.51e-06,944.298610694823,0.02683481528509238,,0.22637033,92.47494011
5.0,0.20944281,0.00067434,6.35e-06,950.0464470602585,0.026998313967402023,,-0.31546017,92.46117166
6.0,0.20943955,0.00065194,6.57e-06,948.793885359192,0.026962607125025344,,-0.1342103,92.45907361
7.0,0.20947677,0.00067923,6.99e-06,946.4963408859061,0.02689788611731514,,-2.19733,91.95541052
8.0,0.20945471,0.00068252,5.81e-06,948.7048920444199,0.026960384109951878,,-0.97615093,91.3204882
9.0,0.20942837,0.00065774,5.29e-06,939.2190957194608,0.026690404455594452,,0.48246456,91.39759153
10.0,0.20945735,0.0006422,4.55e-06,936.0247112050484,0.026599984389443318,,-1.10806067,91.42945566
11.0,0.2094486,0.00063633,4.67e-06,942.5807784166542,0.02678615877127708,,-0.63298701,91.54288148
12.0,0.20945176,0.00063945,5.83e-06,942.397834062149,0.0267809885659846,,-0.8068724,91.38723241
13.0,0.2094425,0.00065848,7.93e-06,937.1220057871564,0.026630949764601865,,-0.29442311,91.49829792
14.0,0.20945247,0.0006787,6.18e-06,945.3168868593444,0.02686405538148079,,-0.84878928,91.52675272
15.0,0.20943335,0.00068273,2.92e-06,948.888054207131,0.026965357751253544,,0.21051727,91.14044932
16.0,0.20944566,0.00068778,2.34e-06,947.5324933239982,0.026927027162900966,,-0.47264885,91.48531624
17.0,0.20944484,0.0006995,2.28e-06,947.9113510398381,0.026937816799899827,,-0.42767094,91.50682125
18.0,0.20945308,0.00067192,3.12e-06,939.6701525685864,0.026703634466172792,,-0.8773026,91.91017133
19.0,0.20944383,0.00065223,4.76e-06,941.671360514456,0.026760294025203562,,-0.36876569,91.36756324
20.0,0.20943162,0.00065075,5e-06,932.9508376807211,0.0265123045202448,,0.30144012,91.79779453
21.0,0.20941597,0.00066949,4.49e-06,943.9698525354042,0.026825291823611763,,1.17076679,91.74731021
22.0,0.20943833,0.00067089,4.36e-06,944.2092761927063,0.026832402585596337,,-0.06607798,91.73813124
23.0,0.20942959,0.00065568,6.1e-06,944.4481899750184,0.026838997934077024,,0.41765232,91.80920268
24.0,0.2094364,0.00066374,6.13e-06,943.125153316262,0.02680151383397287,,0.04072444,91.75399774
25.0,0.20939136,0.00064672,5.85e-06,945.1935350312543,0.0268596441236603,,2.53439691,91.78756656
26.0,0.20942186,0.00064072,8.78e-06,943.2506848468759,0.026804769862619524,,0.84405812,91.26947939
27.0,0.20938821,0.00065967,8.72e-06,943.750089295822,0.02681856408627353,,2.70473252,91.72331376
28.0,0.20938678,0.00068203,9.07e-06,944.3804200585129,0.026836513178878987,,2.78527102,91.86703018
29.0,0.20935852,0.00073517,9.43e-06,939.6130806885736,0.02670080332537161,,4.3265115,91.56753357
30.0,0.2092852,0.00080311,8.73e-06,947.213841601094,0.026916009007566976,,8.42688678,91.5984798
31.0,0.20925429,0.00082489,9.13e-06,945.5031233613363,0.02686703444906341,,10.12226205,91.54629081
32.0,0.20923935,0.00083048,1.002e-05,936.670169328976,0.02661583981120323,,10.8470356,91.43076694
33.0,0.20921138,0.00086044,9.16e-06,938.7495493840242,0.026674652394707513,,12.40718023,91.53671846
34.0,0.20922054,0.00087734,6.72e-06,943.8086086627466,0.026818624253762205,,11.96870182,91.54865112
35.0,0.20925073,0.00088457,4.53e-06,946.857980773387,0.02690574370242891,,10.33407333,91.44112607
36.0,0.20929161,0.00089398,4.96e-06,948.3015183922489,0.02694733368173307,,8.0810874,91.48256257
37.0,0.20930096,0.00086155,6.36e-06,940.4818816588618,0.026725134799466473,,7.49942158,91.59874206
38.0,0.20928642,0.00081626,6.5e-06,942.3442822849325,0.026777732271041497,,8.31628738,91.60556072
39.0,0.20928348,0.00078248,5.35e-06,944.1024188812106,0.026827579209308616,,8.4947305,91.40847516
40.0,0.20929293,0.00077874,5.94e-06,942.4664623119869,0.026781196888273386,,7.95833777,91.31563646
41.0,0.20928836,0.00079838,6.12e-06,944.8268913466633,0.026848261373805346,,8.23133971,91.28377233
42.0,0.20926985,0.00082473,5.7e-06,938.713981518821,0.026674390859430137,,9.19489969,91.12353379
43.0,0.20926832,0.00081782,7.44e-06,931.5569863071386,0.026470945642881098,,9.20793563,91.32992943
44.0,0.20917275,0.00084659,9.94e-06,924.3690283345728,0.026265466281362317,,14.30674546,91.38762579
45.0,0.20907635,0.00091334,8.82e-06,930.892657647045,0.026449758226831096,,19.65609279,91.27878946
46.0,0.2089947,0.00098054,8.55e-06,930.2402348812899,0.026430327906202714,,24.08300394,91.7006286
47.0,0.20888214,0.00104696,1.023e-05,933.9542686545554,0.026534502822982177,,30.32255661,92.4156702
48.0,0.20876775,0.00111255,1.057e-05,919.725367504859,0.026128915158200833,,36.00551658,92.40845816
49.0,0.20867909,0.00124383,1.179e-05,922.1499446856766,0.026196964291497926,,40.87403961,92.42183323
50.0,0.20859215,0.00136935,1.085e-05,916.9127599827782,0.026047403160917165,,45.29407545,92.3522042
51.0,0.20850003,0.00148122,1.207e-05,918.2994603066325,0.026085867421714315,,50.29752922,92.34931938
52.0,0.20836998,0.00154036,1.067e-05,920.4507440891862,0.02614544940930118,,57.39434428,92.35049953
53.0,0.20826809,0.00159544,9.35e-06,911.7071702995964,0.025895928065385723,,62.26183373,92.33830462
54.0,0.20814608,0.00167484,1.197e-05,910.5570314281233,0.025861829047904572,,68.65387963,92.30499808
55.0,0.20800515,0.00177977,1.312e-05,918.9123468287708,0.026097540682774156,,76.82151374,92.29306542
56.0,0.20789899,0.00183908,1.326e-05,920.1084367287219,0.026130262889892158,,82.60321574,92.29503234
57.0,0.20782863,0.00190488,1.57e-05,903.5572345875373,0.025659439009410135,,84.81417662,92.25385811
58.0,0.20768923,0.00198211,1.724e-05,908.7700830557951,0.025805826783321002,,92.66610463,92.22946828
59.0,0.20759517,0.0020805,1.528e-05,909.6513655676861,0.025829920926604858,,97.72622712,92.25228457
60.0,0.20747356,0.00218716,1.532e-05,906.1152093629378,0.025728205504168093,,103.74419196,92.18331119
61.0,0.20725342,0.00232788,1.798e-05,891.5100134116478,0.02531098970980234,,113.45688718,92.16901822
62.0,0.20703796,0.00246121,2.358e-05,893.721018505956,0.025371221043653136,,124.89714881,92.14148132
63.0,0.20685921,0.00262795,2.93e-05,897.3142659519464,0.025471238191608785,,134.68639049,92.08627638
64.0,0.20664456,0.00277217,3.351e-05,887.5092180498069,0.02519044313656723,,144.23400186,92.0616243
65.0,0.20639087,0.00294484,3.773e-05,886.2941952297763,0.02515305697965379,,157.02832207,92.02018781
66.0,0.20616097,0.0030803,4.092e-05,878.5142155399391,0.02492960562494277,,167.30631958,91.93744597
67.0,0.20588857,0.00324507,4.376e-05,881.1510547406349,0.025001296576307223,,181.64511141,91.94701833
68.0,0.2055034,0.0034068,4.657e-05,863.5800155659781,0.024498222255866554,,197.16620677,91.88669939
69.0,0.20520893,0.00357264,5.122e-05,859.9123273315794,0.024390786999087102,,210.87912723,91.81012058
70.0,0.20496012,0.00377309,5.493e-05,861.3885430296014,0.02442994464719921,,223.54229781,91.77510937
71.0,0.20464003,0.00397094,5.834e-05,857.0333528613095,0.024302810245125872,,238.13489011,91.71308577
72.0,0.20428191,0.00420073,6.074e-05,846.5606350302817,0.02400187351769171,,252.57346091,91.63821162
73.0,0.20416651,0.00443159,6.66e-05,842.8042680803057,0.023894412247314145,,257.01583852,91.57120515
74.0,0.20380798,0.00462978,7.215e-05,838.7161576609088,0.023774423877742562,,272.93668955,91.49567536
75.0,0.20341153,0.00482303,7.64e-05,850.9166746753523,0.024115627416834023,,296.13181974,91.43404515
76.0,0.20300155,0.00501776,7.813e-05,829.9288168841223,0.023516155643717496,,308.18118866,91.34933638
77.0,0.20291777,0.00521056,8.173e-05,837.0334394482929,0.023716840395086154,,314.80819646,91.28023187
78.0,0.20254358,0.00536021,8.43e-05,830.5298236793062,0.023528199263194462,,329.99783682,91.2048332
79.0,0.20228593,0.00556513,8.629e-05,835.7582203379235,0.02367354037158581,,344.28067999,91.12812326
80.0,0.20204382,0.00565769,8.87e-05,816.799583029627,0.02313370460781729,,347.66211115,91.05246234
81.0,0.20169628,0.00582542,9.224e-05,825.443888100508,0.023374521468749496,,367.55523639,90.96736019
82.0,0.20154823,0.00595678,9.707e-05,815.4068585949052,0.02308869978348254,,369.90210735,90.86035965
83.0,0.20126251,0.00611756,0.00010189,814.7424274780901,0.023066641537189566,,382.72875696,90.78745242
84.0,0.201056,0.00629622,0.00010511,793.6373638911525,0.02246699256298238,,382.04924,90.67756706
85.0,0.2007779,0.00647427,0.00011001,811.7394145151931,0.02297633085669777,,403.46524219,90.60387306
86.0,0.20067744,0.00663785,0.00011431,807.311694532678,0.022850090299863082,,405.82746688,90.51890204
87.0,0.20035623,0.00681495,0.00011689,795.0587041057204,0.022499731256447032,,414.0099116,90.41111473
88.0,0.20006126,0.00699484,0.00012119,788.2225127413876,0.0223030374681154,,423.48841238,90.31434219
89.0,0.19986308,0.00717745,0.00012519,791.9025466928427,0.02240511153909692,,434.25832729,90.21088211
90.0,0.19936027,0.0073536,0.00012896,793.523850239359,0.022445137009830612,,457.45272774,90.10991346
91.0,0.19898955,0.00753642,0.00013174,771.1169662199094,0.021807270809459094,,460.4860649,89.99045575
92.0,0.1986295,0.00773596,0.0001371,764.1012323073298,0.021604934455478918,,471.61995435,89.87480075
93.0,0.1982304,0.00794771,0.0001419,764.1170877268552,0.0216010050212001,,488.58419443,89.74065669
94.0,0.19781565,0.00818576,0.00014833,762.4577912342008,0.02154955923457415,,505.07065071,89.62237914
95.0,0.19728782,0.00842459,0.00015501,756.0721314462378,0.02136319513979875,,522.93133178,89.50134789
96.0,0.19704043,0.00872594,0.000161,756.8257191150283,0.021382124382529243,,533.80739437,89.38726643
97.0,0.19665029,0.00896518,0.00016587,754.1398507161322,0.021302024831593006,,548.14839199,89.27829897
98.0,0.1963363,0.00916345,0.00016832,754.2198457113249,0.021300915477138745,,561.25293877,89.14992455
99.0,0.19604193,0.00938568,0.00016856,747.5233046660065,0.02110876962967736,,568.37761325,89.01132213
100.0,0.19568595,0.00955719,0.0001705,746.5522807972708,0.021077431184198865,,582.23286001,88.87285085
101.0,0.19541507,0.00975997,0.00017599,742.3126002148715,0.020954864370274964,,589.95410984,88.75811375
102.0,0.19522706,0.00992754,0.00018312,737.60585673705,0.020820024242848924,,593.81079137,88.58830284
103.0,0.19510352,0.01004841,0.00018807,735.7844473355581,0.02076733824877832,,597.32133525,88.47238559
104.0,0.19498395,0.01016506,0.00018937,734.2616549248795,0.02072318110090059,,600.89106373,88.32958708
105.0,0.19463101,0.01031861,0.00019215,736.8437023564436,0.02079212603446162,,617.21004576,88.17052868
106.0,0.19447707,0.01045543,0.00019596,729.591639897704,0.020585909765487225,,617.26693835,88.07755885
107.0,0.19437722,0.01057388,0.00019933,741.811213399251,0.020929706745703144,,631.64806114,87.89765108
108.0,0.19438535,0.01062883,0.0002041,736.8830022419302,0.020790811880288685,,627.12677766,87.77268599
109.0,0.19431865,0.01066072,0.00020806,734.6465590125745,0.02072691942440403,,627.89290339,87.63303455
110.0,0.1943398,0.01062887,0.00020719,729.7883393554459,0.020590044633903234,,622.89819394,87.51226556
111.0,0.19447056,0.01066064,0.00020434,730.5356797210635,0.020612816229244945,,618.33516386,87.40775646
112.0,0.19466111,0.01064511,0.00020003,736.547262854915,0.020784769009257863,,615.77164481,87.29655982
113.0,0.1948299,0.0105957,0.00019637,744.2284660627203,0.02100351999886532,,615.33589394,87.13448547
114.0,0.19505502,0.01050043,0.0001942,751.6189186255282,0.021214656931659734,,612.19725823,87.04440046
115.0,0.19540409,0.01035391,0.00018933,753.4448647414781,0.021270196878166933,,599.28866449,86.90566692
116.0,0.1957316,0.0102027,0.00018434,749.0831979208411,0.021150758609536822,,582.36780651,86.78070183
117.0,0.19620553,0.01002162,0.00018193,751.5014026558711,0.021224390450154566,,564.68175175,86.67658611
118.0,0.19664124,0.00980338,0.00018157,755.8782713605136,0.021352776390654145,,549.83399018,86.56945444
119.0,0.19678796,0.00957457,0.00017771,757.6267646537787,0.021403462858381513,,544.96756724,86.44829207
120.0,0.19701583,0.00933138,0.00017408,762.0528391027108,0.02153075115231572,,538.56026097,86.36948407
121.0,0.19743404,0.00908803,0.00017142,775.0644790322074,0.021902991804329495,,529.83570393,86.23770032
122.0,0.19776999,0.00889617,0.0001691,778.7520278681934,0.022010922717595253,,517.86666932,86.17069386
123.0,0.19835964,0.0085924,0.00016553,779.8083142929729,0.022047362032173383,,493.04773153,86.05700579
124.0,0.19867546,0.00831522,0.00016347,785.1895544193773,0.022202758904498902,,482.65019177,85.99380204
125.0,0.19931665,0.0079902,0.00016002,788.4715410578499,0.022302741114443445,,456.48117492,85.8984719
126.0,0.20001977,0.00768697,0.00015338,795.3679676374908,0.022505880530750335,,429.19765867,85.81586119
127.0,0.20068781,0.00737543,0.00014871,805.8632410649822,0.022810481722994592,,404.65216804,85.75357534
128.0,0.20142439,0.00700861,0.00014351,820.2513955853178,0.023226186554168766,,377.85894091,85.65195105
129.0,0.20191601,0.00659227,0.00013657,825.1039866506012,0.02336884593023507,,357.18183245,85.6358223
130.0,0.20254714,0.00623334,0.00012645,842.0377552803453,0.0238557715557205,,334.42173893,85.5947792
131.0,0.20320908,0.00582994,0.00011616,845.9416205711879,0.023973962018424486,,304.16760236,85.52829725
132.0,0.20394698,0.00539662,0.0001036,842.1228742438686,0.023874165066013718,,267.383767,85.50666111
133.0,0.20491254,0.00496873,9.015e-05,851.7605561993646,0.024158759995984023,,223.39054147,85.44870248
134.0,0.20551937,0.00457359,8.149e-05,856.240607682559,0.024292630349613622,,194.72399556,85.45263633
135.0,0.20598689,0.00415799,7.325e-05,853.0007244982179,0.024205643673634963,,171.02312657,85.41487143
136.0,0.20618852,0.00378496,6.507e-05,856.7056058171337,0.02431248653321508,,161.80078938,85.37697541
137.0,0.20645411,0.00350059,5.42e-05,856.6579958973289,0.02431391991798209,,148.65600693,85.35140542
138.0,0.20674075,0.00322403,4.561e-05,859.1929451348661,0.024388896324761225,,134.85899988,85.34550466
139.0,0.20712022,0.0030092,4.19e-05,867.8199381685306,0.024638075432734472,,117.14767359,85.30498607
140.0,0.20726146,0.00282951,3.871e-05,868.2269481298646,0.02465099760926326,,110.09366663,85.32649108
141.0,0.20753467,0.00267173,3.5e-05,873.9608713907184,0.024816908012224248,,96.96641198,85.29331567
142.0,0.20759416,0.00252253,3.054e-05,877.1077699038141,0.02490670897918373,,94.28513799,85.28112076
143.0,0.20762903,0.00238123,2.801e-05,872.2232604177524,0.0247681211218413,,91.99226103,85.26368072
144.0,0.20772471,0.00227153,2.707e-05,876.4476248571865,0.02488901828435767,,87.56532458,85.2458473
145.0,0.20776935,0.00223787,2.702e-05,882.1281731725062,0.025050812687488634,,85.84440029,85.23273448
146.0,0.20781023,0.00220729,2.476e-05,875.7829928953124,0.024871098629591908,,83.14612773,85.23430802
147.0,0.20782639,0.00213964,2.163e-05,879.1072816810375,0.024965587334261533,,82.63514663,85.22080183
148.0,0.20794617,0.00203994,2.083e-05,876.9857321608388,0.02490660507361738,,76.32674061,85.19562523
149.0,0.2079176,0.00198646,2.037e-05,883.1944173380449,0.0250824358422301,,78.33436167,85.17162879
150.0,0.20797281,0.00194479,1.94e-05,886.6699770399582,0.025181753294163955,,75.79489942,85.15589341
151.0,0.20804185,0.00190722,1.775e-05,883.8259239550067,0.02510179094409492,,72.00134009,85.16100741
152.0,0.2080141,0.00190061,1.745e-05,886.1245193805875,0.02516670759893347,,73.61982882,85.13360163
