Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20610002,0.00065795,1.022e-05,7642021.542259913,0.02606660305651152,,153.61022496,-184.21862067
1.0,0.20611832,0.00063868,8.32e-06,7652877.596111876,0.0261038594847078,,153.00691936,-184.20456925
2.0,0.20611527,0.00063719,9.14e-06,7699643.463922641,0.026263316470999776,,154.07955588,-184.24265254
3.0,0.20612941,0.00062832,9.07e-06,7721090.75245297,0.026336639107250103,,153.86859238,-184.19183105
4.0,0.20611812,0.00060974,9.44e-06,7693108.916275315,0.02624098392293697,,153.81986097,-184.17449659
5.0,0.20610256,0.00063184,7.64e-06,7686422.410204486,0.026218064315378622,,154.38800227,-184.22439883
6.0,0.20612859,0.00064107,7.33e-06,7656661.85018739,0.026116929643058236,,152.62155919,-184.21061005
7.0,0.20613134,0.00064289,1.047e-05,7685673.273199266,0.026215868928289053,,153.07577054,-184.22111578
8.0,0.20611537,0.00065079,1.338e-05,7685413.18119305,0.026214734225625216,,153.78994642,-184.21612556
9.0,0.20612534,0.00065253,1.515e-05,7683746.159736658,0.026209151720364497,,153.30737028,-184.19734656
10.0,0.20611354,0.00066827,1.414e-05,7673725.228396481,0.026174875944996696,,153.63862722,-184.21244855
11.0,0.20614679,0.00067641,1e-05,7662650.011235967,0.02613764301154814,,151.92317048,-184.20023564
12.0,0.20614171,0.00067325,6.28e-06,7658207.0958168,0.026122483357705093,,152.06382091,-184.23503588
13.0,0.20613195,0.00065321,3.03e-06,7711059.140200054,0.02630264095846182,,153.55479699,-184.22203504
14.0,0.20611659,0.00061853,1.47e-06,7739457.011915948,0.02639923470027123,,154.81684767,-184.21047873
15.0,0.20611802,0.0006195,1.15e-06,7752916.851449168,0.026445174294213784,,155.02141904,-184.2333287
16.0,0.20613876,0.00063642,1.18e-06,7668705.029615811,0.02615825006757783,,152.4048888,-184.23950082
