Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20944417,0.00063949,3.07e-06,919.6267580836385,0.02613430029044239,,-0.08995376,281.51978244
1.0,0.20943095,0.00062317,3.72e-06,923.515037111842,0.02624456784953556,,0.62498073,281.53808837
2.0,0.20941803,0.00062289,4.91e-06,920.7017406064032,0.026164426648440143,,1.31971061,281.52847446
3.0,0.20941925,0.00062147,4.56e-06,918.7339109764107,0.026108523696066713,,1.25120892,281.52742089
4.0,0.20944051,0.00059512,4.25e-06,927.7567694529642,0.02636514845153702,,0.10825235,281.53637631
5.0,0.20943278,0.00058477,4.77e-06,914.6138553967835,0.02599151228343119,,0.52086817,281.5470438
6.0,0.2094224,0.00061445,4.71e-06,914.7422412467831,0.02599510771321153,,1.07683084,281.53005483
7.0,0.20941223,0.00063235,4.62e-06,916.3864104900739,0.02604174961185428,,1.62471029,281.54730719
8.0,0.20940949,0.00064108,3.31e-06,920.0617272645707,0.02614620711964934,,1.77922069,281.51886055
9.0,0.20936717,0.0006755,1.47e-06,913.7799678061282,0.025967270612991054,,4.03144089,281.56890556
10.0,0.2093691,0.00069835,-3.1e-07,916.4205760523661,0.026042431066026994,,3.93939622,281.16749192
11.0,0.20936422,0.00073005,-1.72e-06,916.0391271250313,0.02603164074057237,,4.1996667,281.14102074
12.0,0.20934978,0.00072108,-3.12e-06,921.8723631000172,0.026197219643624377,,5.00607452,280.68969378
13.0,0.20934072,0.00070058,-3.73e-06,928.2682910293166,0.026378810398255466,,5.53282262,280.72459359
14.0,0.20940867,0.00073371,-2.63e-06,914.8251602645048,0.02599774868799675,,1.81271889,280.91937403
15.0,0.20941294,0.000732,-9.8e-07,929.3930663597042,0.0264117636172873,,1.60903638,280.87367504
16.0,0.20940704,0.0006863,4.6e-07,923.955342001041,0.026257001910162454,,1.91886603,280.82389342
17.0,0.20942484,0.00067777,2.28e-06,927.6363814370383,0.026361786571077142,,0.95937948,280.89724887
18.0,0.20941182,0.00065918,2.52e-06,926.8802249853711,0.026340070217679708,,1.66540975,280.95861985
19.0,0.20942891,0.00063393,3.84e-06,922.9133022799582,0.026227468219077257,,0.73454695,280.96757528
20.0,0.20943156,0.00064716,2.79e-06,919.7399272846995,0.026137377658864584,,0.58954927,280.9511131
21.0,0.20940196,0.00066283,1.19e-06,919.3831829194088,0.026126925467634437,,2.18321321,280.83877523
22.0,0.20941193,0.00065325,1.96e-06,920.5384148093133,0.026159844488693903,,1.64853048,280.88486932
23.0,0.2094222,0.00063787,3.76e-06,924.3506154776331,0.02626823807514054,,1.09915921,280.89342965
24.0,0.20942779,0.00063178,5.07e-06,914.6367970941261,0.025992221881397198,,0.78790096,280.76186395
25.0,0.20940308,0.00066572,5.55e-06,914.8640401417908,0.025998441509068916,,2.11252588,280.86261246
26.0,0.20941518,0.00068792,3.08e-06,920.4265518883069,0.026156782148465278,,1.47286512,280.81296254
27.0,0.20937663,0.00068321,2.17e-06,919.054592341558,0.02611729355945363,,3.54561587,280.80940671
28.0,0.20933706,0.00066774,2.84e-06,915.1051683446409,0.026004490027609697,,5.65051228,280.53271051
29.0,0.20936503,0.00069035,3.87e-06,911.7932130025813,0.025910779806644545,,4.13672083,280.80110978
30.0,0.20936554,0.0006787,4.6e-06,917.508911354536,0.026073166025215498,,4.13532129,280.7347343
31.0,0.20939413,0.00069303,4.58e-06,918.3695829127855,0.026098037497924487,,2.60205658,280.80901162
