Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20947233,0.00071829,2.916e-05,3888951.8173475685,0.012496362051805984,,1.32287711,231.13241815
1.0,0.20945139,0.0007017,2.807e-05,3873568.429084922,0.01244678820867728,,1.79255932,230.03409242
2.0,0.20946623,0.00070126,2.626e-05,3796964.7169398894,0.01220074654533659,,1.42718153,229.27369246
3.0,0.20945891,0.00070301,2.463e-05,3775131.189395778,0.012130561142656657,,1.58074971,228.94420814
4.0,0.20944844,0.00070896,2.555e-05,3890137.4382885075,0.012500042588257397,,1.86737102,229.02353092
5.0,0.20944885,0.00067064,2.644e-05,3904651.044708528,0.012546622683696438,,1.86503414,228.95157766
6.0,0.20945047,0.00066486,2.701e-05,3910698.452270907,0.012566051917001816,,1.83068274,229.33184463
7.0,0.20944915,0.00065279,2.65e-05,3978359.2932369537,0.012783443175754042,,1.8931339,229.19785345
8.0,0.20948484,0.00064757,2.519e-05,3931556.142605104,0.01263328407288367,,1.04952982,229.06734604
9.0,0.20946461,0.00067655,2.459e-05,3871168.579793531,0.012439157685543371,,1.49193531,229.37043409
10.0,0.20946095,0.00068169,2.598e-05,3783183.832906925,0.012156409911429935,,1.53908443,229.58548994
11.0,0.20944742,0.0006854,2.403e-05,3776183.9165115817,0.01213385683936689,,1.83514088,229.58267612
12.0,0.20943106,0.00068678,2.276e-05,3789955.7139463765,0.012178022313539745,,2.2049576,229.54140684
13.0,0.20942008,0.00069824,2.227e-05,3861002.4457912114,0.012406263296886594,,2.49443066,229.39629439
14.0,0.20944051,0.00070574,2.386e-05,3887019.124404636,0.01248998403239244,,2.04630849,229.46221805
15.0,0.20941418,0.00071442,2.632e-05,3899678.159336142,0.012530484559136685,,2.65400138,229.6042487
16.0,0.20943319,0.00072335,2.681e-05,3853695.4618240464,0.012382857680171286,,2.19388406,229.44680907
17.0,0.2094151,0.00073134,2.559e-05,3945639.5777124185,0.012678203304859924,,2.66415737,229.53939697
18.0,0.20942628,0.0007134,2.528e-05,3933219.500172091,0.012638344707874961,,2.39831537,229.46355797
19.0,0.20948474,0.00073549,2.814e-05,3866197.987376543,0.012423356009442648,,1.03439107,229.69281687
20.0,0.20945393,0.00076386,3.12e-05,3814120.2100516595,0.01225583338304777,,1.70830751,229.68464341
21.0,0.20947477,0.00077096,3.181e-05,3808021.4806672954,0.012236367914276862,,1.24095521,229.66374079
22.0,0.20946196,0.00077132,3.047e-05,3730885.5127339833,0.011988440990463978,,1.49561256,229.63399475
23.0,0.20943716,0.00081249,2.966e-05,3831466.649987738,0.012311545467181233,,2.09232162,229.48915028
24.0,0.20941642,0.00084983,3.048e-05,3822679.361659333,0.012283222753786252,,2.55158511,229.57637854
25.0,0.20936975,0.00088933,3.41e-05,3909305.4688673546,0.012561299468700446,,3.67702504,229.53309939
26.0,0.20913135,0.00100782,3.721e-05,3936112.1981613,0.01264605016896407,,9.19034959,229.42443254
27.0,0.20820621,0.00133297,4.269e-05,4003412.0318391724,0.01285665770442562,,30.9491571,229.47977089
28.0,0.20720756,0.00192878,4.922e-05,3917117.8936583395,0.012573865691851132,,52.99487602,229.5071051
29.0,0.20633101,0.00271029,5.465e-05,3762158.998377879,0.012071967469046554,,69.96341666,230.12641234
