Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20920705,0.00059386,1.094e-05,8413121.9487494,0.027172013839529992,-0.05968212812213559,10.62594942,70.37704884
1.0,0.20804266,0.00066961,1.547e-05,7873722.327883739,0.025415148197067434,-0.05888881910896224,63.69690733,70.3218619
2.0,0.20683546,0.0007903,2.482e-05,7693267.000672512,0.024817571024798785,-0.05286339721066582,116.37924955,70.14250434
3.0,0.20567919,0.0009163,3.799e-05,7682546.413658832,0.024768332413380664,-0.01480506069460552,167.70887076,70.11635624
4.0,0.20491272,0.00104835,5.034e-05,7636810.693988603,0.02461119539373885,0.03129992555283067,200.48397581,70.02569198
5.0,0.20429906,0.00124385,6.466e-05,7617325.2177350065,0.024540767452682997,0.06973146314414543,226.85552257,69.87852681
6.0,0.20393214,0.00151376,7.932e-05,7738884.866571268,0.024928035658879036,0.0931707777185836,246.77046367,69.74384439
7.0,0.20372921,0.0018194,9.238e-05,7730776.958115222,0.024899830540241363,0.11507189464308354,255.50565855,69.61376089
8.0,0.20353767,0.00202716,0.00010239,7745784.5507044615,0.024946015086176786,0.11981783689592747,264.4976363,69.4877507
9.0,0.20336432,0.00226665,0.00011411,7683379.6454704935,0.024743186453467392,0.12633274863520041,269.9879316,69.35477646
10.0,0.20323185,0.00251673,0.00012443,7711049.120691472,0.02483102722962351,0.13021963442876736,276.80309626,69.22587553
11.0,0.20313283,0.00278533,0.00012996,7612901.80581917,0.024514296340933158,0.1325104258838132,277.59253368,69.07253467
12.0,0.20300961,0.00304249,0.00013317,7501735.11500197,0.02415536102755632,0.1435459184875363,278.82297557,68.95611651
13.0,0.20278787,0.00328271,0.00013936,7528131.397654279,0.02423801447937905,0.15573082694352242,289.33169239,68.78858472
14.0,0.20252872,0.00347253,0.00014569,7527841.368297401,0.024234114888891867,0.15055267741486694,300.44010666,68.66809323
15.0,0.20221579,0.00368099,0.00014748,7503532.540966971,0.02415232993168938,0.14517442274955955,312.83633756,68.47493894
16.0,0.20192654,0.00394428,0.00015011,7515606.348066054,0.02418808463733868,0.14741890444300526,325.69884935,68.32212367
17.0,0.2017167,0.00412637,0.00015578,7465260.100427922,0.02402371455168216,0.1564275222124604,332.41165209,68.18980641
18.0,0.20173165,0.00430715,0.0001597,7449905.399265509,0.023974896366819647,0.16059034617960935,331.10196264,68.02647935
19.0,0.20153055,0.00451713,0.00016468,7461211.330465683,0.024009139609669737,0.16356097452126275,340.11776525,67.8413403
20.0,0.20135293,0.00473099,0.0001706,7299393.56965156,0.02348662504806157,0.18309866407020833,340.09151387,67.66040597
21.0,0.20101469,0.00492399,0.00017837,7321681.75831028,0.02355438885582733,0.1828268502052113,355.14620678,67.51981067
22.0,0.2006378,0.00514194,0.00018406,7289551.931228028,0.023446685983587304,0.18410694463683086,369.11065486,67.34439504
