Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.2086117,0.00060992,9.11e-06,7448380.877566237,0.025113573339137794,,38.84959235,-207.00396522
1.0,0.20857573,0.00057948,7.67e-06,7476049.10155647,0.02520635169381428,,40.56951983,-207.03526169
2.0,0.20861089,0.00056132,8.43e-06,7411356.6786926985,0.024988614223485882,,38.69160565,-207.01974495
3.0,0.20860693,0.0005547,1.01e-05,7375517.456572435,0.0248676794145713,,38.67570185,-207.03368372
4.0,0.20861872,0.00055385,1.169e-05,7420301.519939794,0.025018792892056118,,38.39796758,-207.0288183
5.0,0.20862502,0.00055862,1.111e-05,7463644.515482256,0.025165033981170544,,38.34674321,-207.02802931
6.0,0.20860662,0.00057428,1.085e-05,7482022.930408972,0.02522681299087175,,39.24761873,-207.01054011
7.0,0.20859717,0.00060596,1.043e-05,7460184.537372818,0.02515315320204892,,39.54629823,-207.04578151
8.0,0.20857339,0.00062889,9.48e-06,7447021.783396497,0.02510855044101267,,40.51412602,-207.00225575
9.0,0.20858508,0.00061311,9.88e-06,7422286.118158868,0.025025249512281404,,39.87131386,-207.01632601
10.0,0.20858061,0.00062724,1.264e-05,7437496.712016609,0.025076464656126077,,40.14783152,-207.06064076
11.0,0.20859809,0.00064415,1.28e-05,7483636.561641581,0.02523229466503185,,39.63060614,-207.05367138
12.0,0.20859229,0.00065198,1.012e-05,7465298.549780637,0.025170461345445348,,39.78695652,-207.05748481
13.0,0.20860388,0.00062934,1.07e-05,7470381.554537475,0.025187675849267496,,39.30687988,-207.00002029
14.0,0.208574,0.00061686,1.093e-05,7433685.8270390965,0.025063536270986717,,40.41492768,-207.05958878
15.0,0.20860367,0.00063789,1.265e-05,7413067.904154131,0.02499441741776522,,39.0141202,-207.02855531
16.0,0.20860459,0.00063034,1.27e-05,7407326.429872138,0.024975049919854046,,38.94417735,-207.06879362
17.0,0.20857847,0.00063333,1.181e-05,7442270.02924539,0.025092562659446767,,40.26669299,-207.04880596
18.0,0.20860093,0.00064371,1.128e-05,7444086.76411281,0.0250990084932811,,39.29710382,-207.05998327
19.0,0.2085929,0.00064116,1.069e-05,7472065.796216612,0.02519324690200252,,39.79626897,-207.00291324
20.0,0.20860723,0.00060786,1.097e-05,7469775.194596305,0.02518561211345186,,39.15682077,-207.00725267
21.0,0.20857807,0.00057884,1.156e-05,7459678.698513954,0.025151113870139605,,40.37842405,-206.99239342
22.0,0.20855103,0.00056588,9.7e-06,7402763.983636114,0.024958880021900078,,41.24257562,-207.02816081
23.0,0.20856272,0.00056338,7.38e-06,7415979.407413503,0.02500361926044919,,40.80858492,-207.07063459
24.0,0.20857735,0.00058227,6.56e-06,7388649.970605478,0.024911723237065964,,40.02490406,-207.0231639
25.0,0.20857959,0.00060988,8.53e-06,7457748.0799790565,0.02514476105449104,,40.30159524,-207.02789782
26.0,0.20856902,0.00061872,7.75e-06,7459598.326798372,0.025150903277822916,,40.77351134,-207.03868063
27.0,0.20856099,0.00061892,6.88e-06,7520018.255716284,0.025354530240285417,,41.45744806,-207.02710883
28.0,0.20859707,0.00059656,8.98e-06,7440952.925163774,0.02508831128577382,,39.44878478,-207.02973879
29.0,0.20854331,0.00058082,9.88e-06,7406545.269120567,0.024971567769494305,,41.59876655,-206.99883681
30.0,0.20855855,0.00061444,9.01e-06,7437256.861025426,0.02507541015601776,,41.10736193,-207.06603217
31.0,0.2085805,0.00061113,8.13e-06,7388450.987109941,0.024911138859740837,,39.88754295,-207.03802314
32.0,0.20858711,0.00061178,8.63e-06,7426706.001021372,0.02504019654849116,,39.80665541,-207.05958878
33.0,0.20855815,0.00062582,7.49e-06,7446516.337580202,0.025106682008657264,,41.1763671,-207.03960112
34.0,0.20856231,0.00063862,5.09e-06,7439356.484466898,0.025082671750112553,,40.95533003,-207.01356456
35.0,0.2085492,0.00063394,2.93e-06,7455372.65698211,0.025136533495788878,,41.61605484,-206.99831082
36.0,0.20855225,0.00064031,3.33e-06,7424173.223935461,0.02503138936174305,,41.30933352,-207.04104759
37.0,0.20858843,0.00063265,6.41e-06,7365383.918101182,0.02483355133193418,,39.42111638,-207.04788548
38.0,0.20857624,0.00063172,6.49e-06,7343298.897735882,0.02475893257472751,,39.82753171,-207.05209341
39.0,0.20857756,0.00064322,5.68e-06,7399933.606607116,0.024949945566364557,,40.07749962,-207.01487954
40.0,0.20857644,0.00058671,5.84e-06,7453996.499152759,0.025132060279488354,,40.41887023,-207.00304474
41.0,0.20860063,0.00058514,5.66e-06,7473741.533311131,0.02519893875511084,,39.46691878,-207.07326455
42.0,0.20857004,0.0006035,5.89e-06,7439022.762789541,0.02508153705194224,,40.61675133,-207.0523564
43.0,0.20858518,0.0005698,9.22e-06,7412500.095395674,0.02499215423358809,,39.8141699,-207.01606302
44.0,0.20857705,0.00059515,9.83e-06,7444714.8878826955,0.025100723393045896,,40.34186737,-207.07234406
45.0,0.20859859,0.00059236,6.87e-06,7400421.185998746,0.024951698630651633,,39.16785249,-207.02553086
46.0,0.20857563,0.00058021,5.38e-06,7362344.10633077,0.024823024279582207,,39.95694103,-207.04288856
47.0,0.20858691,0.0005683,5.48e-06,7413668.225127281,0.024996178430539473,,39.74551112,-207.02342689
48.0,0.20860865,0.00058352,5.15e-06,7432224.503242839,0.025059063385583898,,38.89808901,-207.09706564
49.0,0.20860459,0.00059244,7.17e-06,7500887.199878551,0.02529050679868732,,39.43607661,-207.03578768
50.0,0.20861709,0.00057835,9.4e-06,7449698.707777824,0.025117996207513132,,38.62122799,-207.0347357
51.0,0.20860286,0.00055187,1.104e-05,7440366.566984259,0.025086252143944308,,39.19292274,-207.08312688
52.0,0.20861109,0.00053799,1.371e-05,7413997.476304528,0.024997363581961845,,38.69631991,-207.0524879
53.0,0.20859961,0.00055373,1.394e-05,7419342.914874219,0.025015279237047244,,39.22346345,-207.0581423
54.0,0.20858863,0.00057238,1.093e-05,7409281.343033166,0.024981320900612964,,39.64686123,-207.04315156
55.0,0.20859067,0.00058691,9.29e-06,7428243.776672511,0.02504534883892507,,39.65998531,-207.00291324
56.0,0.20860398,0.00060395,1.08e-05,7462707.703084503,0.025161734533309107,,39.26195152,-207.02855531
57.0,0.20862989,0.00063204,1.041e-05,7450453.109608283,0.025120824556344453,,38.06632484,-207.03565618
58.0,0.20860754,0.00063087,1.02e-05,7441416.189822167,0.025090073450890687,,38.99498555,-206.97806016
59.0,0.20859341,0.00061065,1.059e-05,7460966.399681355,0.02515575126670565,,39.71481853,-207.08601983
60.0,0.20864117,0.00063478,1.073e-05,7464466.7593790125,0.02516821871158108,,37.64451621,-207.01803548
61.0,0.20860632,0.0006454,1e-05,7408156.597475412,0.024977959144690007,,38.8736934,-207.02763482
62.0,0.20860743,0.00063164,8.3e-06,7404462.32504941,0.02496551192875598,,38.80580286,-207.07970794
63.0,0.20861079,0.00063277,9.88e-06,7369986.83640695,0.02484928786754582,,38.48026729,-207.08404736
64.0,0.20860865,0.00062732,1.139e-05,7383489.224832916,0.024894745373935906,,38.64302535,-207.03407821
65.0,0.20859412,0.00060362,1.305e-05,7385868.142721536,0.024902492421672386,,39.28418829,-207.01369606
66.0,0.20861241,0.00058723,1.418e-05,7458539.61590602,0.025147681893194166,,38.87125536,-207.05748481
67.0,0.20862014,0.00061355,1.463e-05,7389362.126571198,0.02491459621231752,,38.17642214,-207.04131059
68.0,0.20861404,0.00062942,1.443e-05,7495289.387897126,0.025271717749108205,,38.99154004,-207.02658284
69.0,0.20862349,0.00064722,1.364e-05,7441409.795940221,0.0250902334584424,,38.29925813,-207.02171742
70.0,0.20858345,0.00064088,1.225e-05,7429743.528753013,0.025050402550295198,,39.98219529,-207.05945728
71.0,0.20860764,0.00062134,9.7e-06,7389711.571834235,0.024915727410140052,,38.71961498,-207.03933812
72.0,0.20864371,0.00058328,7.49e-06,7369295.053454129,0.02484728065726823,,37.05472163,-207.06616367
73.0,0.20862786,0.0005719,9.17e-06,7440314.370319191,0.025086478267670565,,38.1029295,-207.06524318
74.0,0.20857065,0.00058505,9.92e-06,7425916.075517614,0.02503723223310063,,40.51846753,-207.04275706
75.0,0.20858,0.00061448,9.68e-06,7377172.526466003,0.024873086531043156,,39.8485839,-207.01829848
76.0,0.20862227,0.0006343,1.14e-05,7446576.138511889,0.02510764423666653,,38.37906903,-207.04288856
77.0,0.20859219,0.00063176,1.282e-05,7331899.345687392,0.024720582181946674,,39.08019967,-207.07970794
78.0,0.20857522,0.00060677,1.111e-05,7390709.830830787,0.024918623344443544,,40.12843215,-207.0526194
79.0,0.20856953,0.00062086,1.07e-05,7410141.999971747,0.024984114011802182,,40.48105285,-207.04814847
80.0,0.20861973,0.00061077,1.275e-05,7466533.330160456,0.025174814979789954,,38.59294507,-207.08246939
81.0,0.20861038,0.00059099,1.109e-05,7498219.488582125,0.02528150994801995,,39.16744983,-207.10074758
82.0,0.20862319,0.00059575,9.08e-06,7482182.456293547,0.02522765028467297,,38.52239168,-206.98713351
83.0,0.208643,0.00061044,1.099e-05,7399488.823126088,0.02494908472264586,,37.2374014,-207.00685817
84.0,0.2086055,0.0006345,1.186e-05,7467781.353108491,0.02517892175726542,,39.2220433,-207.06931961
85.0,0.20858467,0.00061702,9.39e-06,7431398.619247697,0.025055987584275366,,39.93799271,-207.05183041
86.0,0.20863162,0.00062469,6.6e-06,7356043.970987386,0.024802574645239044,,37.50957061,-207.02145443
87.0,0.20861628,0.00065049,7.94e-06,7417070.003578068,0.025008188318741964,,38.48773621,-207.01277557
88.0,0.20858609,0.00064048,6.3e-06,7388077.436124147,0.024910059249227783,,39.64378138,-206.98713351
89.0,0.20860215,0.00060919,8.67e-06,7386429.271683049,0.024904578677935878,,38.93988908,-207.07076609
90.0,0.20862644,0.00057743,1.206e-05,7431398.916349758,0.025056362142360292,,38.11916773,-207.03315773
91.0,0.20860581,0.0005681,1.367e-05,7390040.631188253,0.024916602921268113,,38.80021416,-207.08996476
92.0,0.20858701,0.00055954,1.201e-05,7404289.56367362,0.024964416929110656,,39.69059806,-207.04985794
93.0,0.20861628,0.00058061,9.8e-06,7422179.149889065,0.02502519755441827,,38.51391353,-207.03526169
94.0,0.20858721,0.00060742,8.61e-06,7439147.943412725,0.02508213647660532,,39.86889668,-207.04302006
95.0,0.20856922,0.00059248,7.43e-06,7422807.327880672,0.025026797550146827,,40.56347477,-207.04209958
96.0,0.20860388,0.0005905,8.05e-06,7372390.584033622,0.024857228958489113,,38.79119767,-207.06761014
97.0,0.20859859,0.0006192,1.008e-05,7412500.29782883,0.02499243741974438,,39.23180207,-207.0643227
98.0,0.2085866,0.00062421,1.083e-05,7471977.082575015,0.02519282059908608,,40.07153647,-207.04722799
99.0,0.20856079,0.00060164,1.028e-05,7420585.749297723,0.02501917343403385,,40.91794177,-207.03736566
100.0,0.20860266,0.00057391,1.092e-05,7495642.768047292,0.025272681819319107,,39.49311677,-207.04591301
101.0,0.20860113,0.00057541,1.246e-05,7453851.530060124,0.025131732919814735,,39.33945982,-207.08233789
102.0,0.20857939,0.00060766,1.137e-05,7455132.378117311,0.02513588164865392,,40.29624434,-207.07457952
103.0,0.20861831,0.00062837,9.73e-06,7464208.998419642,0.025167061761791936,,38.64331183,-207.05774781
104.0,0.20862634,0.00064153,8.86e-06,7364523.512265855,0.02483110257455193,,37.78085942,-207.03670817
105.0,0.20859697,0.00065137,5.64e-06,7415281.21047289,0.025001958371654167,,39.31742079,-207.02487337
106.0,0.20861932,0.00062417,3.34e-06,7428723.411789292,0.02504753296046903,,38.41552393,-206.97924364
107.0,0.20862908,0.0005964,2.77e-06,7449601.3534853,0.025117987849820483,,38.09753115,-207.03565618
108.0,0.20860804,0.00056903,3.06e-06,7431296.0272397185,0.025055925105386033,,38.91977831,-207.01895597
109.0,0.20862054,0.00061307,1.76e-06,7434373.568268769,0.025066598607697155,,38.39161862,-207.02447887
110.0,0.20861932,0.00057553,1.35e-06,7411269.753725455,0.02498859277594998,,38.3251271,-207.03802314
111.0,0.20861079,0.00057932,4.19e-06,7415378.74824763,0.025002298244377164,,38.71721093,-207.0055432
112.0,0.20863,0.00058493,6.02e-06,7436100.363096945,0.025072388512110994,,37.98849823,-207.02447887
113.0,0.20863386,0.00062756,4.33e-06,7422798.983270787,0.02502773131148395,,37.75279211,-207.08825529
114.0,0.20863975,0.00063527,2.31e-06,7407636.025868275,0.02497673657241675,,37.41989991,-207.04827997
