Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20950236,0.00062456,2.75e-06,8770297.805276874,0.0281831136235565,0.1610384312792747,-0.12123272,-31.40193409
1.0,0.20952199,0.00062949,3.9e-06,8756091.628132103,0.02813773014033181,0.1601556520209033,-1.12770991,-31.40206747
2.0,0.20952962,0.00062143,4.65e-06,8807269.790611317,0.02830226015366095,0.160975075434731,-1.5278057,-31.40646898
3.0,0.20955047,0.00065859,6.6e-06,8717679.323266532,0.028014722272063145,0.15739589020423356,-2.5769855,-31.42247449
4.0,0.20950409,0.00062713,4.69e-06,8711814.911261639,0.027995172987321737,0.1584285215848918,-0.20864266,-31.42594235
5.0,0.20950795,0.00062131,3.88e-06,8694690.713112459,0.027940198137138772,0.1542498491190638,-0.40504184,-31.37805921
6.0,0.20952342,0.00063812,2.92e-06,8725069.308321942,0.02803810512460289,0.16006265902858022,-1.19648435,-31.42874332
7.0,0.20954742,0.00063728,2.11e-06,8808056.70824691,0.028305140089432104,0.15779084312611877,-2.4462696,-31.45048413
8.0,0.20953664,0.00062179,9.5e-07,8782170.000588445,0.028221777362184744,0.1565425739915071,-1.88446325,-31.42380828
9.0,0.20948954,0.00064117,-2.1e-07,8800347.393040456,0.028279605428099243,0.15985316132642274,0.53883112,-31.42420842
10.0,0.20954722,0.00063014,2.61e-06,8744582.588310119,0.028101128747484674,0.15653530312788944,-2.41821826,-31.43047725
11.0,0.20952097,0.00063515,3.79e-06,8745799.024903331,0.028104659402508062,0.15632512662823844,-1.07428478,-31.43767972
12.0,0.20955678,0.00065245,3.15e-06,8785671.695987843,0.02823336066988,0.15754195549030456,-2.92163448,-31.41180415
13.0,0.20956136,0.00063997,3.78e-06,8783951.722376235,0.028227848295876053,0.1562593999654945,-3.15657406,-31.47289184
14.0,0.20952748,0.0006439,4.71e-06,8748406.742514912,0.028113138046561945,0.155758052389578,-1.40815119,-31.42287463
15.0,0.20952657,0.00062299,4.68e-06,8728607.517895924,0.028049439221948774,0.1550829632220759,-1.35816198,-31.44141434
16.0,0.20950572,0.00060806,4.66e-06,8738100.45472502,0.028079608169181626,0.15702897645067196,-0.29255197,-31.41967353
17.0,0.20952474,0.00059667,4.61e-06,8746072.76725372,0.028105461968531854,0.15540782086979163,-1.26709094,-31.42580897
18.0,0.20951599,0.00060265,2.7e-06,8701794.614730816,0.027963108000468966,0.1553786557667272,-0.81487404,-31.43421186
19.0,0.20951192,0.00060846,6.9e-07,8752140.355134485,0.0281248940989582,0.15492206452902618,-0.61104566,-31.44608262
20.0,0.2094989,0.0006083,6e-07,8728117.689871931,0.02804751609295,0.15520154748131226,0.05611549,-31.47422563
21.0,0.20953166,0.0006307,3.6e-07,8833245.024160003,0.02838587643471419,0.15488314200536224,-1.6375652,-31.40646898
22.0,0.20947541,0.00064342,6.6e-07,8789851.41643981,0.02824566604063371,0.15617100445436033,1.26589636,-31.43314483
23.0,0.20949137,0.00064161,6.2e-07,8789246.182766015,0.028243942324238533,0.15483053969604513,0.44391843,-31.4352789
24.0,0.20950022,0.00064691,2.11e-06,8746973.475065317,0.02810821033906761,0.1545729261017192,-0.01149564,-31.43968041
25.0,0.20950236,0.00065273,4.57e-06,8785435.471594822,0.028231804441412475,0.15395249344349204,-0.12144218,-31.40820291
26.0,0.20951803,0.00065851,4.23e-06,8796672.985376181,0.02826816178378679,0.15679452440689615,-0.92856751,-31.43501214
27.0,0.20954773,0.00064984,5.07e-06,8781439.99151379,0.028219587133113802,0.15305277186903338,-2.45457107,-31.43541228
28.0,0.20951406,0.00064651,4.22e-06,8693496.93962784,0.027936514440683305,0.15419884332570147,-0.71570424,-31.40820292
29.0,0.20950684,0.0006612,2.55e-06,8794338.95322875,0.028260545338184524,0.15039365402216306,-0.35206133,-31.45275158
30.0,0.20949758,0.0006539,1.73e-06,8692295.8715813,0.027932496284066213,0.15277139123979364,0.12319419,-31.41780622
31.0,0.20948954,0.00066429,2.61e-06,8825371.889135826,0.028360031788629725,0.15278376782604985,0.54036354,-31.44274813
32.0,0.20950236,0.00067159,2.89e-06,8748477.612645516,0.028113130945494252,0.1530069958294635,-0.12093169,-31.4314109
33.0,0.20948609,0.00067392,3.69e-06,8755995.440014645,0.028137050809222533,0.1533603854547295,0.71343553,-31.42447518
34.0,0.20949819,0.0006848,2.35e-06,8655265.918079643,0.02781358759975271,0.1505023272463287,0.09173644,-31.42300801
35.0,0.20947713,0.00064952,2.63e-06,8773941.744193422,0.02819454345003443,0.152058343248246,1.17476763,-31.41287119
36.0,0.2094931,0.00064386,1.92e-06,8853438.741617251,0.028450227554359907,0.1545078520955789,0.35751205,-31.45381861
37.0,0.20950714,0.00065963,1.88e-06,8663331.44784304,0.027839566728206897,0.15150738942704636,-0.36229855,-31.41700594
38.0,0.20950094,0.00065699,2.4e-06,8762335.756215468,0.02815761073541407,0.1508925228217006,-0.04805149,-31.42967697
39.0,0.20949209,0.00064145,2.57e-06,8778900.135955885,0.028210665600096028,0.15147446137752993,0.40679219,-31.43381173
40.0,0.20948456,0.00063889,2.42e-06,8788659.6352087,0.0282419163740551,0.15145283884398772,0.79461495,-31.45128441
41.0,0.20950073,0.0006675,4.85e-06,8792950.260507751,0.028255968076303532,0.15223179021482894,-0.03774409,-31.48089459
42.0,0.20951365,0.00067079,6.46e-06,8788029.279193569,0.02824031415543761,0.15253975019015845,-0.7025474,-31.44154772
43.0,0.20949768,0.00067007,6.81e-06,8762789.936045801,0.02815897319791756,0.1501555147404716,0.11897348,-31.44648275
44.0,0.20952209,0.00067705,6.6e-06,8751121.612811781,0.02812184588094977,0.1485344412166054,-1.13228648,-31.42714276
45.0,0.20950999,0.00070298,5.41e-06,8775528.803120814,0.028200208895404998,0.14916538064121532,-0.51335991,-31.39873299
46.0,0.20953247,0.00067814,5.21e-06,8862038.708406627,0.02847845925541106,0.15036503438269938,-1.68514208,-31.48649652
47.0,0.20951548,0.00068046,5.76e-06,8710909.32944054,0.027992557561948312,0.14995847736826523,-0.78978684,-31.41954015
48.0,0.20841856,0.00064234,7.55e-06,8765328.810418919,0.02815173661041711,0.1491138963880754,55.36603888,-31.43794648
49.0,0.20532827,0.00064916,7.94e-06,8740705.97528335,0.028028084872614326,0.15021470198522222,211.40304849,-31.40940333
50.0,0.20295804,0.00068616,8.68e-06,8783799.521248851,0.02813106983078873,0.1489837572495411,331.25510132,-31.44074745
51.0,0.20292783,0.00065466,6.85e-06,8751752.822521495,0.028027925425388317,0.15030261552721474,331.54586371,-31.44368179
52.0,0.20292163,0.00066405,5.15e-06,8859455.604950476,0.028372819671319896,0.14910448521541247,335.93862013,-31.43714621
53.0,0.20291257,0.00064398,4.69e-06,8877907.608176023,0.02843172271568739,0.14820027828374405,337.09358836,-31.4352789
54.0,0.20291715,0.00064362,4.11e-06,8845466.000354141,0.028327908317925535,0.14905351137663472,335.63224167,-31.44901696
55.0,0.20292407,0.00056713,5.06e-06,8834904.645921156,0.028293934626301007,0.14927835790454427,334.8818207,-31.48316204
56.0,0.20292163,0.00053446,6.01e-06,8837333.642634958,0.028301555876786285,0.15010878930343036,335.09484566,-31.45555254
57.0,0.20285439,0.00061994,4.81e-06,8756278.587219335,0.02804125231079141,0.14953983141558624,335.36396217,-31.4218076
58.0,0.20288226,0.00061248,5.46e-06,8821244.280639045,0.028249685003246514,0.14870903134384014,336.45739403,-31.45448551
59.0,0.20285887,0.00061055,6.61e-06,8797061.117183853,0.028171856013330266,0.14692731015227467,336.70185387,-31.44474882
60.0,0.20288206,0.00061665,5.82e-06,8897553.15850332,0.028494063381294184,0.14673327365197145,339.37827519,-31.45208468
61.0,0.20286049,0.00062893,4.24e-06,8840898.368298497,0.02831237245139595,0.15003298165634704,338.29937287,-31.44274813
62.0,0.20288124,0.00061432,5.61e-06,8870198.020270336,0.028406444390002606,0.14681576083963452,338.37577582,-31.44648275
63.0,0.20287382,0.00063347,6.11e-06,8847550.85237707,0.028333853539059258,0.1478615842915879,337.88502225,-31.44821668
