Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20941961,0.00064593,3.01e-06,8314642.4237536965,0.026726474121639116,-0.4211497310144833,1.83858638,330.16370324
1.0,0.20938932,0.00064898,5.24e-06,8316156.315437959,0.026730900183323,-0.3743897261571346,3.31423651,327.88128956
2.0,0.20937478,0.00067146,5.26e-06,8340658.620976431,0.026809526320382762,-0.3478899608105032,4.03397488,328.05931364
3.0,0.20934875,0.0007174,6.17e-06,8324698.118967263,0.026757986582866357,-0.33661557300815387,5.29470962,328.30022421
4.0,0.20937925,0.00070959,3.57e-06,8272241.436759409,0.026589810248606693,-0.4388064134619453,3.78425072,327.88824786
5.0,0.20936665,0.00072939,5.7e-07,8250193.140344054,0.02651888470955094,-0.3651995783393239,4.38311689,328.1928322
6.0,0.20935404,0.00073216,-1.6e-06,8267400.729108913,0.02657407716099423,-0.367949148343764,5.00243772,329.24259809
7.0,0.20934194,0.00070732,-1e-06,8220166.167206524,0.02642200951228482,-0.2294099465409344,5.55602716,329.0673306
8.0,0.20935028,0.0007276,-8.9e-07,8323158.268705976,0.02675322281371732,-0.2844656179942947,5.21945809,329.0801967
9.0,0.20945184,0.00072102,-1.41e-06,8325655.14862143,0.026762601645264665,-0.3136759674606019,0.26961291,328.88326704
10.0,0.2094126,0.00069638,-2.91e-06,8338152.794318793,0.026802208064968913,-0.2798413517045825,2.18632963,328.79976893
11.0,0.20942032,0.00069252,-2.89e-06,8327432.4355997825,0.026767840750144784,-0.2709112290057655,1.80672647,328.50161784
12.0,0.20942968,0.00071496,-1.49e-06,8346061.636670403,0.02682788456761275,-0.2574650495764943,1.3536152,329.18089329
13.0,0.2094188,0.00072118,-2.3e-07,8356283.81871478,0.026860589830490167,-0.28984045433177985,1.88761359,329.17065295
14.0,0.20946739,0.00070964,-2.01e-06,8352554.343606183,0.026849257005587296,-0.13788838524254782,-0.49050331,329.07691447
15.0,0.20941534,0.00070553,-3.03e-06,8387197.821125329,0.026959923923306855,0.5504651313935066,2.06437257,329.28920457
16.0,0.2094738,0.0006874,-4.47e-06,8397335.42519747,0.026993277249356993,0.7759047029201622,-0.80817677,329.10172759
17.0,0.20949088,0.00066971,-4.49e-06,8340092.310100737,0.02680944878736141,0.5887039148043933,-1.63710197,329.19782924
18.0,0.20943578,0.00067484,-4.83e-06,8367884.8867951175,0.02689806786460271,0.5825634072049511,1.05821718,329.14163866
19.0,0.20940507,0.0006478,-3.15e-06,8377785.482149326,0.026929369386133717,0.1783949853413192,2.56578978,329.00168736
20.0,0.20944523,0.00064695,-2.33e-06,8427731.759793434,0.027090442020915994,0.09144606684703828,0.59910213,329.29603146
21.0,0.20944625,0.00064711,-4.2e-07,8358567.453822861,0.026868094557535156,0.08908238193566959,0.54441482,328.1814106
22.0,0.20940985,0.0007035,2.29e-06,8341758.724265559,0.026813681292008645,0.08141016331006788,2.32135521,328.32096799
23.0,0.20932486,0.00078326,3.13e-06,8268723.618453868,0.026577992319129773,-0.0347404954579513,6.41558509,329.03201455
24.0,0.20917877,0.00085725,6.97e-06,8292743.843376079,0.026653379756734614,-0.10695587789151552,13.52337974,328.54979976
25.0,0.20895227,0.00101474,1.051e-05,8158336.611032791,0.02621876921344321,-0.03300367824505471,24.10807802,329.1170881
26.0,0.20884318,0.00118561,1.42e-05,8115448.845918074,0.026079906360924606,-0.043985306615405194,29.15330847,329.10290924
27.0,0.20838804,0.00141645,1.728e-05,7997206.54915064,0.025694586642382236,-0.1402479818036499,49.96452048,329.62398487
28.0,0.20748853,0.00172749,1.869e-05,7946424.320791532,0.025520574912411477,-0.241382046214006,91.21604051,330.15582605
29.0,0.2067226,0.00211712,2.302e-05,7804011.065135734,0.025054330930834465,-0.32542248450321637,124.20680132,330.35196793
30.0,0.20569307,0.00261115,2.805e-05,7633868.511832227,0.02449626572235876,-0.36304252824719496,166.83382466,330.29078847
31.0,0.20474242,0.00315148,3.289e-05,7537710.494047917,0.024177027133496055,-0.37578271609249914,205.87463501,330.1505746
32.0,0.20379777,0.00374966,3.847e-05,7405189.648189664,0.023741591816489344,-0.3769792443589457,242.24108271,330.02952854
33.0,0.20306346,0.00437094,4.274e-05,7348502.94544279,0.02355217899678343,-0.37540462589507817,271.11387509,329.89627285
34.0,0.20202315,0.00497502,4.553e-05,7203723.588878774,0.02307676915528565,-0.37450656120225834,308.26123544,329.7577657
35.0,0.20121544,0.00560031,5.231e-05,7169935.180917131,0.022959962240638225,-0.3693784348954259,339.51029893,329.60271647
36.0,0.20023012,0.00620655,5.823e-05,7085533.673110562,0.022678914159769532,-0.36563360123622013,374.75608755,329.43690176
37.0,0.1994524,0.00676237,6.079e-05,7043991.046766071,0.022537647825248072,-0.36272154764487513,403.22674801,329.26636073
38.0,0.19895558,0.00729929,6.342e-05,7037519.663266351,0.022512048996482754,-0.36556218871364915,422.37877113,329.07717704
39.0,0.19841534,0.00783165,6.848e-05,7029245.721681851,0.022480072442652647,-0.36295689558000854,443.03093887,328.88773077
40.0,0.19812835,0.00830608,7.394e-05,6966523.7079156535,0.0222769991389916,-0.3607626619030616,450.19959475,328.69473978
41.0,0.19768866,0.00874929,7.874e-05,7020733.93929624,0.022445848563656914,-0.357131836122883,470.8326343,328.49413417
42.0,0.19737645,0.00912608,8.231e-05,6947304.961832775,0.02220806818614282,-0.35485975081636734,477.92617682,328.33672178
43.0,0.19702063,0.00949586,8.544e-05,6942009.517521009,0.022187554598970972,-0.3500311428170801,491.2239691,328.09935599
44.0,0.19654119,0.00985785,8.801e-05,6816481.24769667,0.021781278786323927,-0.3488624976415824,500.37475047,327.89126706
