Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20724435,0.00068336,1.184e-05,8153146.367008519,0.027661062886041674,,108.37705227,-219.75724535
1.0,0.20717901,0.00072684,1.269e-05,8093266.221249081,0.027457108119858954,,110.68057195,-219.77222586
2.0,0.20727748,0.00074217,1.27e-05,8211249.202580435,0.027858809144163534,,107.55549442,-219.73871682
3.0,0.20731416,0.0007539,1.135e-05,8227449.333545206,0.027914352278415315,,105.99845329,-219.77643092
4.0,0.20726894,0.00075265,1.224e-05,8085175.193711596,0.027430990970080754,,106.30882938,-219.74410455
5.0,0.2072099,0.0007323,1.331e-05,8071680.242112363,0.02738430752015687,,108.92422521,-219.74568144
6.0,0.20731548,0.00062716,1.306e-05,8123242.666059841,0.02756041395562592,,104.59146386,-219.76197604
7.0,0.2072851,0.00065651,1.184e-05,8185895.255350463,0.0277726641180693,,106.85676375,-219.78129302
8.0,0.20722057,0.0006484,1.207e-05,8133092.010388726,0.0275925866148729,,109.24352348,-219.75593127
9.0,0.20728886,0.0006321,1.102e-05,8105450.55045942,0.02749973402493487,,105.6277896,-219.74752115
10.0,0.20722453,0.00060568,1.055e-05,8088100.262001377,0.02743990864436204,,108.45097291,-219.78457822
11.0,0.20732859,0.00064161,1.188e-05,8154177.343620399,0.027665617960081386,,104.36326895,-219.77209445
12.0,0.20724384,0.00061339,1.325e-05,8185201.612899013,0.027769576462070303,,108.82661612,-219.77879626
13.0,0.20723551,0.00066297,1.501e-05,8180927.522523192,0.027755067613289143,,109.16976192,-219.7547486
14.0,0.20723348,0.00066096,1.604e-05,8110590.873302036,0.027516384778791973,,108.3276655,-219.73490598
15.0,0.20752959,0.00065634,1.555e-05,8154366.509505069,0.02766903844438887,,94.75029746,-219.77406558
16.0,0.2073918,0.00067284,1.614e-05,8136217.046541511,0.02760556880131289,,101.11753128,-219.75304029
17.0,0.20714619,0.00066863,1.855e-05,8119495.980243278,0.027545350252118895,,112.5995469,-219.72229081
18.0,0.20693787,0.00069472,1.735e-05,8149844.412134423,0.027645485393073096,,122.96208207,-219.76250167
19.0,0.20723978,0.00069822,1.425e-05,8098485.776459093,0.027475547534753647,,107.86750247,-219.72662728
20.0,0.20755632,0.00069589,1.182e-05,8053561.493568962,0.02732754770265678,,92.3162621,-219.76000492
21.0,0.20721996,0.00071114,8.68e-06,8089553.722283322,0.027445117619155236,,108.68860948,-219.75671972
22.0,0.2072789,0.00071323,9.8e-06,8096275.36736528,0.02746872492652117,,105.98188367,-219.76880925
23.0,0.20726823,0.00067963,1.048e-05,8083413.134390183,0.02742482799340524,,106.31868893,-219.76263308
