Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20948597,0.00062687,5.61e-06,985.860830286036,0.028007055047360608,,0.80999401,-83.60196028
1.0,0.20952217,0.00059694,5.61e-06,985.8976924706552,0.028008521867714367,,-1.28018206,-83.57083604
2.0,0.20942933,0.00057286,7.1e-06,987.7229682846427,0.028058970698093367,,4.08717906,-83.63651346
3.0,0.20948851,0.00056412,5.42e-06,989.4414211886032,0.02810862958127373,,0.66563142,-83.5898271
4.0,0.20945577,0.00057414,4.53e-06,992.5290063019168,0.02819592897332429,,2.57070916,-83.5987951
5.0,0.20950041,0.00058069,5.99e-06,1000.1742757321932,0.0284137417847453,,-0.02401041,-83.58798075
6.0,0.20952787,0.00057966,9.1e-06,997.838578219281,0.028347710356289905,,-1.62849198,-83.5576478
7.0,0.20952258,0.00057447,9.99e-06,995.6005219589633,0.028284020674791195,,-1.31649249,-83.61765428
8.0,0.20952492,0.00056462,8.16e-06,986.8668628895349,0.0280359470372109,,-1.44013034,-83.58995898
9.0,0.20954607,0.00057769,6.04e-06,989.976705486017,0.02812467405884728,,-2.67115002,-83.53535968
10.0,0.20951302,0.00058284,3.45e-06,994.461498499783,0.028251685266685443,,-0.75825524,-83.57004474
11.0,0.20953254,0.00057381,2.38e-06,976.9457281377504,0.02775434557609972,,-1.86206487,-83.60868628
12.0,0.20949766,0.00056511,2.58e-06,984.4971404948745,0.027968358007509908,,0.13466341,-83.5688578
13.0,0.20953885,0.00055237,3.32e-06,985.6686665006733,0.028002164581449045,,-2.24267914,-83.60802687
14.0,0.20949695,0.00058119,4.73e-06,991.4938246145132,0.028167118994066164,,0.1769519,-83.52507286
15.0,0.20950031,0.00059034,5.46e-06,1004.9176412025073,0.028548533478213203,,-0.01813977,-83.56846216
16.0,0.20953315,0.00060353,5.36e-06,996.4050258796323,0.02830720659974924,,-1.93476481,-83.58283733
17.0,0.20950875,0.00063346,2.72e-06,996.1135868793796,0.02829872425512889,,-0.51035744,-83.59681687
18.0,0.20950895,0.00064158,5.8e-07,986.2809507251446,0.028019457585915744,,-0.51706855,-83.59787192
