Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,,0.00061842,,,0.027086208313207554,,,-197.53624201
1.0,,0.00061276,,,0.027250638186808385,,,-197.56881104
2.0,,,,,0.027197380776031416,,,-197.54556621
3.0,,,,,0.026845454431214607,,,-197.56106276
4.0,,,,,0.026938523886826455,,,-197.55883021
5.0,,,,,0.027111839562199962,,,-197.5332215
6.0,,,,,,,,-197.51733096
7.0,,,,,,,,-197.56644716
8.0,,,,,,,,-197.54018181
9.0,,,,,,,,-197.57564003
10.0,,,,,,,,-197.51588637
11.0,,,,,,,,-197.57760993
