Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20948784,0.00060143,-7.67e-06,918.9830889086271,0.026106340215622175,,1.49238476,429.5079898
1.0,0.20949496,0.00063042,-1.019e-05,919.9429740233992,0.026133828759446566,,1.11060121,429.53954746
2.0,0.20949313,0.00064416,-7.79e-06,910.5259689524555,0.02586627831359331,,1.19679996,429.55922148
3.0,0.20947523,0.00067481,-9.13e-06,909.7313143336371,0.02584358026876246,,2.14888265,429.54179214
4.0,0.20951936,0.00066394,-9.05e-06,902.6855797964324,0.02564396132736735,,-0.20001637,429.51934527
5.0,0.2094425,0.00064853,-5.89e-06,910.1316552559714,0.02585439746463773,,3.8941444,429.5135355
6.0,0.20947483,0.00066701,-8.11e-06,917.960784499109,0.02607731665633553,,2.190175,429.33699748
7.0,0.20946863,0.00068795,-5.53e-06,918.931210653034,0.02610481206244704,,2.52615491,429.42163537
8.0,0.20949526,0.00069054,-4.12e-06,916.6461495466815,0.02604022624763069,,1.09025254,429.4570222
9.0,0.20952627,0.00068387,-1.41e-06,915.8389332740811,0.026017629401539906,,-0.57372121,429.42137129
10.0,0.20951722,0.0006755,1.29e-06,911.4875285947239,0.025893821886570127,,-0.08800329,429.24509735
11.0,0.20953511,0.00067445,3.46e-06,908.2672669054433,0.02580252741877272,,-1.03946344,429.24892653
12.0,0.20952739,0.00063074,1.29e-06,910.5228615753857,0.025866427497691306,,-0.63002013,429.26965687
13.0,0.20949486,0.00059107,1.61e-06,916.7764559841406,0.026043543074221454,,1.11222202,429.29210374
14.0,0.20950329,0.00055824,2.03e-06,916.7396802875639,0.026042510644103144,,0.6592036,429.28431335
15.0,0.2095343,0.00057522,1.76e-06,911.7788791071581,0.025902038733283703,,-1.00004173,429.22502721
16.0,0.2094978,0.00055861,5.93e-06,919.2232075979907,0.026112917709574676,,0.95649038,429.23030883
17.0,0.20947839,0.00059771,6.35e-06,912.5267256262485,0.025922533341525444,,1.98705802,429.28748232
18.0,0.2095341,0.00062682,5.12e-06,916.1286545761137,0.026025683355316017,,-0.99390604,429.21552031
19.0,0.20949638,0.00065856,6.84e-06,904.8131526787766,0.02570379720307383,,1.01691572,429.08664888
20.0,0.20949028,0.00065678,8.04e-06,915.3278097026921,0.026002389191847976,,1.35566857,429.23664677
21.0,0.20951,0.00067368,7.39e-06,912.479894083527,0.025921800428497115,,0.29761092,429.24998285
22.0,0.20949608,0.00066394,6.45e-06,922.9383141807853,0.026218712344937507,,1.05377039,429.30847675
23.0,0.20951468,0.00063171,8.52e-06,915.965997127105,0.02602075902526662,,0.04789812,429.27599481
24.0,0.20951844,0.00058032,1.079e-05,911.1721748637212,0.025884442812154317,,-0.15306882,429.23875941
25.0,0.20952271,0.00056301,1.22e-05,909.8392807020373,0.025846560121958705,,-0.38035461,429.2403439
26.0,0.20955107,0.00058376,1.315e-05,909.7435666519618,0.02584424647883763,,-1.89159395,429.21261542
27.0,0.20952668,0.00062184,1.23e-05,914.9968043682495,0.025993284424184554,,-0.59497545,429.2458896
28.0,0.20953481,0.00065011,1.317e-05,911.9569327701297,0.025907093557304774,,-1.02738626,429.32036038
29.0,0.20952901,0.00068448,1.601e-05,909.6379067535848,0.025841179262552437,,-0.71606003,429.29474455
30.0,0.20951732,0.0006641,1.859e-05,915.1057868365906,0.025996255743401666,,-0.09379962,429.2678083
31.0,0.20951986,0.00067069,2.182e-05,907.988938162541,0.02579407128415659,,-0.22821658,429.23704289
32.0,0.20949577,0.00063503,2.486e-05,906.2322937498012,0.02574370529259996,,1.05086363,429.25566059
33.0,0.20951132,0.00059334,2.378e-05,915.8816012476719,0.02601792609744064,,0.22783062,429.20984257
34.0,0.2095035,0.00057717,1.896e-05,914.5657407809183,0.02598049043307065,,0.64674448,429.22502721
35.0,0.20951031,0.00059459,1.785e-05,912.5039575669781,0.025922076973792695,,0.28131656,429.30913695
36.0,0.20951519,0.00058784,1.721e-05,907.5800021131438,0.02578225570763141,,0.02044255,429.31930406
37.0,0.20952932,0.00057676,1.658e-05,912.464573356157,0.025921180132501064,,-0.73457502,429.2534159
38.0,0.20951214,0.0005669,1.874e-05,909.8050677936386,0.02584533986114916,,0.18298764,429.22410293
39.0,0.20950777,0.00061024,2.065e-05,912.7546399516318,0.02592915541914245,,0.41724267,429.15042438
