Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20945378,0.00063762,1.75e-06,911.2547976569385,0.025893703742689303,,-0.18403324,437.07199587
1.0,0.20940143,0.00066461,2.12e-06,906.1440511796009,0.02574787059079944,,2.59541869,437.07384354
2.0,0.2094551,0.00065907,3.4e-07,899.8636364513761,0.02557011943283387,,-0.25139112,437.04929598
3.0,0.20942898,0.00063485,-1.74e-06,897.464591195751,0.025501589194126994,,1.12260594,437.03240305
4.0,0.2094735,0.00065671,-2.89e-06,897.1974261535677,0.02549464566143108,,-1.21767178,436.99307417
5.0,0.20946171,0.00066897,-3.76e-06,900.0016841599003,0.025574229126877086,,-0.59978112,436.85370744
6.0,0.20945104,0.00065342,7.4e-07,904.3337042169281,0.025697063957173468,,-0.03724493,436.89066074
7.0,0.20944402,0.00065541,3.78e-06,910.0773457934431,0.02586012988252121,,0.33642372,436.91600014
8.0,0.20945053,0.00064202,2.41e-06,913.2517719870291,0.025950406013847068,,-0.01042262,436.90491415
9.0,0.20946141,0.00061442,-5.9e-07,905.2219441185805,0.025722356718806193,,-0.58708409,436.83259126
10.0,0.20943477,0.00063416,-1.62e-06,901.6117018411118,0.0256195001705153,,0.82181076,436.861626
11.0,0.2094304,0.00062854,2e-07,897.4145637142386,0.02550013314227599,,1.04773822,436.86466145
12.0,0.2094427,0.00060921,4.09e-06,898.3539156687373,0.025526858613985754,,0.40162498,436.83866216
13.0,0.20945439,0.00057917,2.65e-06,905.9434061762146,0.025742611440622197,,-0.21532592,436.81662216
14.0,0.20942765,0.00056508,2.47e-06,906.9217684639847,0.025770031976002198,,1.20461836,436.77029855
15.0,0.20943538,0.00059337,3.99e-06,898.6515664343566,0.02553518218426058,,0.78700265,436.76805496
16.0,0.2094427,0.00058824,3.95e-06,905.6005154235751,0.025732717782091144,,0.40486387,436.7821764
17.0,0.20947432,0.00055889,5.86e-06,901.6217641079785,0.025619952593817694,,-1.26660964,436.75221783
18.0,0.20948133,0.00053256,3.34e-06,897.2916081380723,0.02549697491074483,,-1.62922643,436.74786262
19.0,0.20949495,0.00055963,7.9e-07,895.1908825265085,0.025437574343472637,,-2.33981009,436.69480824
20.0,0.20946944,0.00059545,-2.3e-06,899.7521867917508,0.02556701418574877,,-1.00680911,436.67646356
21.0,0.20945205,0.00059044,-1.66e-06,906.056316843576,0.025745900312723183,,-0.09126629,436.62459696
22.0,0.20947676,0.00057778,1.56e-06,904.7940169249426,0.025710255729244555,,-1.400388,436.64782475
23.0,0.20947564,0.00055873,3.41e-06,895.3414031153158,0.02544155499272315,,-1.32710277,436.42069392
24.0,0.20945805,0.0005523,5.82e-06,896.2734174005734,0.0254677527689673,,-0.40515407,436.63990619
25.0,0.20946039,0.00052653,9.22e-06,904.6990392150921,0.0257070655920931,,-0.53286397,436.59252677
26.0,0.20944148,0.00055299,7.16e-06,901.6806780332472,0.025621165369000918,,0.46753347,436.63515505
27.0,0.20945866,0.00059561,6.96e-06,908.5366351155752,0.025816318016860445,,-0.44315895,436.33504145
28.0,0.20945927,0.00062447,6.3e-06,901.6477775117698,0.025620666879020922,,-0.47201424,436.47585992
29.0,0.20945002,0.00062256,4.4e-06,903.5454275215086,0.025674500521706195,,0.01658853,436.55834497
30.0,0.20944168,0.00058991,1.54e-06,901.3147996773997,0.025610974815266817,,0.45661434,436.49684412
31.0,0.2094305,0.00057912,2.83e-06,906.7207182049619,0.025764387208399946,,1.05319728,436.50225514
32.0,0.20946547,0.00059541,5.97e-06,912.9476251913684,0.025941763988615217,,-0.80954571,436.43745488
33.0,0.20943762,0.00062264,4.65e-06,898.4178868450547,0.02552863706490801,,0.66911794,436.08164739
34.0,0.20943904,0.00063974,6.15e-06,895.6661076107765,0.02545048115446603,,0.59240903,436.17627422
35.0,0.20944036,0.00066893,5.4e-06,903.7283126137921,0.025679679436796946,,0.52779186,436.16967542
36.0,0.20945754,0.00066506,4.22e-06,905.8342276677836,0.02573975250386507,,-0.3825117,436.37806565
37.0,0.20944728,0.00062972,6.41e-06,902.9677953340073,0.025658033735990682,,0.16174574,436.3507466
38.0,0.20942928,0.0006445,7.13e-06,895.9161993286264,0.025457457789098237,,1.10466074,436.33292983
39.0,0.20942379,0.00067015,5.14e-06,895.4140000765659,0.025443222934476904,,1.39192391,436.30706252
40.0,0.20939289,0.00067605,6.18e-06,899.7152990574406,0.02556504538563846,,3.02689831,436.11688499
41.0,0.20929275,0.00068061,1.168e-05,900.4092438992672,0.025583389730688823,,8.30748236,436.2315722
42.0,0.20920187,0.00067548,1.774e-05,894.3801352496049,0.025410800291581798,,13.00815817,436.12902679
43.0,0.20907072,0.00071179,2.13e-05,895.1509703299735,0.025431056899231464,,19.88483115,436.1207123
44.0,0.20894761,0.00076329,2.34e-05,889.3315090510796,0.025264261089810926,,26.15485876,436.155422
45.0,0.20888509,0.00085533,2.144e-05,878.3626856227119,0.024952148897668728,,29.04089303,436.11384954
46.0,0.20876991,0.00095437,2.043e-05,883.3694908328248,0.02509320387966936,,35.14862106,436.08085552
47.0,0.20872985,0.00103143,1.826e-05,878.5572650102714,0.02495624444526891,,37.01176221,436.02621742
48.0,0.20860939,0.00111988,1.835e-05,889.8535181211136,0.0252758228458154,,43.74355828,435.97567058
49.0,0.20850661,0.00122063,2.29e-05,884.2724949298429,0.025116176842942692,,48.77027041,435.91799704
50.0,0.20841298,0.00130518,2.274e-05,881.8686420386617,0.025046940470042994,,53.45164548,435.8922617
51.0,0.20824178,0.00140386,2.487e-05,877.7682326764211,0.024928540990041846,,61.95842603,435.86098337
52.0,0.20815374,0.00147567,2.656e-05,872.6046981929446,0.024780948912412917,,66.06729221,435.74576826
53.0,0.20805879,0.00154023,3.18e-05,877.6478917995023,0.02492304437855046,,71.29926267,435.68123196
54.0,0.20796994,0.00160626,3.713e-05,873.2780489518573,0.024797909910955523,,75.45828047,435.62619793
55.0,0.20789664,0.00165405,3.943e-05,881.1808185687424,0.02502147243227309,,79.89727229,435.56614882
56.0,0.20782548,0.00172924,4.415e-05,870.9555079386437,0.024730337752947647,,82.57342066,435.52404845
57.0,0.20774821,0.00180137,4.844e-05,863.388693731073,0.024514628689184054,,85.73279409,435.42427453
58.0,0.20772361,0.00189072,5.286e-05,867.4651692680908,0.024630219410232128,,87.37797626,435.34799236
59.0,0.20769291,0.00195879,5.484e-05,870.9353130008748,0.024728504399059745,,89.28127594,435.27751714
60.0,0.20764767,0.00198419,5.644e-05,869.5993435679088,0.024690040883622928,,91.42926834,435.20532622
61.0,0.2076065,0.00202363,5.772e-05,877.7690634711201,0.024921557195836462,,94.38706811,435.1591346
62.0,0.20755038,0.00206483,5.975e-05,872.8166416185741,0.02478031096713828,,96.69823833,435.05183805
63.0,0.20750209,0.00209467,6.383e-05,870.2381702088106,0.024706501178587935,,98.85154777,435.01778822
64.0,0.20745309,0.00214348,6.541e-05,861.728015898978,0.024464380319805974,,100.33539475,434.91326317
65.0,0.20742625,0.00220629,6.852e-05,869.9083155518015,0.024696388414654553,,102.64279336,434.86047274
66.0,0.20738051,0.00228933,6.901e-05,864.6441699070919,0.024546575359319714,,104.31694501,434.82431129
67.0,0.20737512,0.00233016,6.795e-05,864.9909696651275,0.024556478522950387,,104.62962633,434.71331941
68.0,0.20734503,0.00238056,6.707e-05,868.1911234255139,0.02464709745522265,,106.53245761,434.6196164
69.0,0.20735377,0.00236008,6.886e-05,867.5107529025582,0.02462780664659431,,106.00876944,434.56669399
70.0,0.20734096,0.00243022,7.341e-05,860.4387664301119,0.024426980501140578,,105.78416252,434.5120559
71.0,0.20728932,0.0024842,7.736e-05,857.8282852996857,0.024352298298609208,,108.0321978,434.39618091
72.0,0.20727295,0.00249218,8.087e-05,861.5996898805514,0.02445911547503414,,109.32450141,434.32464987
