Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20947195,0.00063827,4.93e-06,925.5292940855051,0.02629560002054101,,0.75517543,423.38258372
1.0,0.20948313,0.00060056,5.35e-06,923.5571749697248,0.026239604395480405,,0.14866361,423.40222418
2.0,0.20944816,0.00059148,6.67e-06,922.6978522741791,0.02621468071059872,,2.03833914,423.38904267
3.0,0.20948557,0.00058642,5.84e-06,930.2592108564014,0.02643000270581656,,0.01680225,423.37335667
4.0,0.20948151,0.00062668,3.98e-06,924.9734141485885,0.026279918553615247,,0.23701476,424.07619497
5.0,0.20948069,0.00059954,3.93e-06,921.8206833132338,0.026190260215164327,,0.28011702,423.31153537
6.0,0.20947175,0.00058318,3.56e-06,922.7245200839187,0.02621578417074445,,0.76387125,423.31838976
7.0,0.20950652,0.0005882,2.07e-06,929.5664067992968,0.026410673024549008,,-1.12349515,423.21966022
8.0,0.20947541,0.00059266,1.73e-06,926.6320791222212,0.02632691218324373,,0.56848508,423.17906116
9.0,0.20948212,0.00057504,2.07e-06,920.9414683997514,0.026165267076218076,,0.20307896,423.17260222
10.0,0.20948923,0.00056989,2.03e-06,926.5269147552181,0.02632403785536223,,-0.18187807,423.12211703
11.0,0.20948913,0.00057281,3.47e-06,928.3743323722543,0.02637650511176184,,-0.17671251,422.98700651
12.0,0.20947764,0.0005737,2.19e-06,928.651614746488,0.02638425820174311,,0.44807614,423.00625152
13.0,0.20949981,0.00058395,2.79e-06,920.0476952875538,0.026140116050179973,,-0.75038455,423.00743786
14.0,0.20950347,0.00058885,3.12e-06,930.9580065371148,0.02645015225798135,,-0.95885976,422.96262073
15.0,0.20953732,0.00059331,1.58e-06,925.6636699531722,0.026300217993572985,,-2.78916143,423.0086242
16.0,0.20951445,0.00060752,7.8e-07,925.4113037084742,0.02629280115734244,,-1.54833597,422.94535293
17.0,0.20949605,0.00060343,6e-08,923.8658409782278,0.026248652079284084,,-0.54994669,422.96117075
18.0,0.20951079,0.00062194,1.97e-06,925.2256397131133,0.026287495084033597,,-1.34966732,423.00414248
19.0,0.20952258,0.00065382,2.38e-06,930.2563165243245,0.026430663127500916,,-1.99965657,422.96723425
20.0,0.20950408,0.00065755,3.78e-06,924.9076892438835,0.026278437044618238,,-0.98568169,422.93362139
21.0,0.20953244,0.00066139,3.54e-06,920.0116077080851,0.026139715860388688,,-2.50912967,422.86178214
22.0,0.20956101,0.00066791,4.29e-06,929.1454900929182,0.02639961227489026,,-4.08916197,422.73576688
23.0,0.20954027,0.00063401,6.34e-06,923.1437185706062,0.02622868093452756,,-2.94102015,422.73998496
24.0,0.20952024,0.00061939,6.93e-06,925.709110973555,0.026301254562602443,,-1.86306781,422.86099125
25.0,0.20952441,0.00063693,8.21e-06,922.4314704123985,0.026208208902944535,,-2.08170944,422.88274075
26.0,0.20949706,0.00061145,8.93e-06,920.8352444338894,0.026162415058641347,,-0.60297336,422.8492597
27.0,0.20949523,0.00061182,8.27e-06,924.9146169364949,0.026278306092015317,,-0.50650709,422.71309468
28.0,0.20946219,0.0006134,9.05e-06,927.2662246048565,0.026344672712095476,,1.28659351,422.81037424
29.0,0.20946158,0.00058897,6.64e-06,928.1893343702911,0.026370869554837625,,1.32103071,422.8082652
30.0,0.2094751,0.00058853,6.28e-06,926.3122392544545,0.026317723053025644,,0.58483299,422.74222582
31.0,0.20947785,0.00060529,5.83e-06,925.4140121641376,0.02629229426644653,,0.435494,422.64428718
