Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20935551,0.0006586,7.1e-07,913.8089081492685,0.025957616660077117,,7.93178361,426.83242786
1.0,0.20940087,0.0006514,3.2e-07,910.6473073450082,0.0258683842461742,,5.48698158,426.89431369
2.0,0.20948619,0.0006619,1.76e-06,914.9451640723548,0.02599158409735239,,0.9425364,426.87469457
3.0,0.20940839,0.00067061,2.82e-06,911.8510367129716,0.025902681136264306,,5.09256852,426.92683667
4.0,0.20953561,0.00065925,4.3e-06,912.8121719650047,0.025931577168502258,,-1.70175965,426.87627463
5.0,0.20948009,0.00065596,4.73e-06,920.3364382435013,0.026144586094461558,,1.27691717,426.83229619
6.0,0.20947866,0.00066332,5.73e-06,915.2193202459459,0.025999203527985792,,1.34611639,426.76790859
7.0,0.20951487,0.00064693,7.69e-06,914.1341512976735,0.025968765794443238,,-0.59351126,426.84849184
8.0,0.20952788,0.00062056,8.1e-06,918.6466001109633,0.026097045654211535,,-1.29677823,426.81557385
9.0,0.20948649,0.00062605,6.43e-06,913.728618551523,0.025956843341078558,,0.92495284,426.82676597
10.0,0.2095709,0.00063883,5.03e-06,915.0448569020184,0.025995393906932382,,-3.59734608,426.83716805
11.0,0.20954975,0.00061511,4.93e-06,916.6028671399351,0.02603931674214748,,-2.46772934,426.852442
12.0,0.20953297,0.00061108,3.55e-06,917.6486901066227,0.026068823060094306,,-1.56865776,426.81820729
13.0,0.20945629,0.00062349,2.31e-06,913.902960382899,0.025961473651864245,,2.54136599,426.8233425
14.0,0.20948599,0.00060921,1.95e-06,913.7724881047972,0.02595812122892705,,0.95220597,426.85204699
15.0,0.20931371,0.0005979,3.71e-06,910.386824108884,0.02585964601583783,,10.128545,426.83137449
16.0,0.2096248,0.000618,4.48e-06,913.3154193702557,0.02594691563096543,,-6.47461736,426.79898318
17.0,0.20961941,0.00063089,4.19e-06,911.1124512699707,0.025884300863995555,,-6.17126439,426.84203992
18.0,0.20945853,0.00061735,2.49e-06,904.0050344338968,0.025680309673014705,,2.39542369,426.82795102
19.0,0.20943585,0.00060787,3.79e-06,914.7958636476586,0.02598650209284193,,3.63858986,426.83150616
20.0,0.209481,0.00064465,4.74e-06,909.976464557378,0.025850264598549475,,1.21377322,426.80859523
21.0,0.20952839,0.00065254,3.27e-06,920.3218545571563,0.0261448221718035,,-1.32655988,426.80925359
22.0,0.20947185,0.00064709,3.89e-06,915.509616499262,0.026007351741255,,1.71179611,426.80240665
23.0,0.20953551,0.00064094,5.75e-06,917.0996417174734,0.026053298877923577,,-1.7042852,426.80912192
24.0,0.20939405,0.00065966,6.97e-06,910.4348559449567,0.02586215892773972,,5.84877264,426.78410425
25.0,0.20953744,0.00066609,6.06e-06,917.61772745002,0.02606810497803322,,-1.80910042,426.77106872
26.0,0.20955127,0.00066955,7.45e-06,921.08238275853,0.026166694808892298,,-2.56209951,426.76606519
27.0,0.20949127,0.00065946,6.79e-06,918.4256263427881,0.02609042123632552,,0.67265546,426.76158834
28.0,0.20953002,0.00063244,6.34e-06,918.1070853640293,0.026081812656789934,,-1.41085624,426.76395843
29.0,0.20947999,0.00062662,7.03e-06,919.5285421996558,0.026121510506305977,,1.28126575,426.73354221
30.0,0.20948649,0.00062772,5.69e-06,909.7502067133769,0.025843844531855217,,0.92092621,426.67665991
31.0,0.20950348,0.0006145,3.86e-06,912.6446749214235,0.025926288361994072,,0.01621503,426.69904415
32.0,0.2095289,0.00059733,4.13e-06,920.0780609326539,0.02613773540279641,,-1.35360056,426.68508692
33.0,0.20947887,0.00059753,4.15e-06,919.6801339293866,0.026125776800633282,,1.34171675,426.61622248
34.0,0.20947195,0.00058097,4.92e-06,922.5496008730696,0.02620714010948338,,1.71945271,426.60595206
35.0,0.20949066,0.00058781,7.04e-06,923.4082552575765,0.026231756582817727,,0.70929317,426.5846212
36.0,0.20949097,0.00061059,9.71e-06,916.4073329739409,0.026032893659890182,,0.68754415,426.53761431
37.0,0.20947215,0.00063859,1.164e-05,914.0885467478814,0.02596681797916262,,1.69279907,426.48731561
38.0,0.20948741,0.00066284,1.562e-05,909.6893898445192,0.025842038591449887,,0.87210707,426.43319843
