Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.2095106,0.00066829,8.16e-06,918.8015212908105,0.026102210564245557,,0.88457413,273.00533085
1.0,0.2095229,0.00066279,1.012e-05,928.4040382156769,0.026375118048887963,,0.22477413,273.05457609
2.0,0.20947795,0.00067305,1.06e-05,928.9066024175754,0.026388820858452778,,2.66997155,273.00282909
3.0,0.20946544,0.00069543,1.025e-05,926.8365737749772,0.026329918062178135,,3.34283747,273.05378606
4.0,0.20948243,0.00070283,9.88e-06,922.5040481131095,0.02620708838604802,,2.40987729,272.97820647
5.0,0.20946748,0.00067797,6.99e-06,923.5991690040893,0.026237989200845063,,3.22117563,272.96135248
6.0,0.20955738,0.00064306,6.82e-06,932.3233292011029,0.026486926899514786,,-1.65682785,272.92027089
7.0,0.20948304,0.00062341,6.51e-06,932.4044754040873,0.02648819789750197,,2.40241288,272.95292549
8.0,0.20945009,0.00062044,5.09e-06,923.2007575221177,0.026226320175572828,,4.15971692,273.02811006
9.0,0.2094511,0.00061438,5.43e-06,921.3879286679587,0.026174811427362527,,4.09668762,272.89354152
10.0,0.2094511,0.00061918,4.62e-06,926.1705528889001,0.026310704997126712,,4.1179567,272.90526031
11.0,0.20948578,0.00059419,4.3e-06,923.5603624020815,0.026236947488336437,,2.23113359,272.79847451
12.0,0.20947887,0.00057475,4.91e-06,925.8158640717929,0.02630086660199797,,2.61145586,272.8525916
13.0,0.20945863,0.00056238,3.78e-06,929.7332327418839,0.026411871979698884,,3.72414645,272.86628547
14.0,0.20949697,0.00054744,4.05e-06,922.4831314000431,0.026206367977755208,,1.6242569,273.01020271
15.0,0.20949107,0.0005404,6.48e-06,922.1873536342688,0.026197822619290427,,1.94224496,272.9808399
16.0,0.20949219,0.00056242,3.79e-06,924.1405434036697,0.026253435950255206,,1.88583178,272.98610677
17.0,0.20952799,0.00058659,-6e-08,929.9631152088933,0.026419460396724628,,-0.05178822,273.03798545
18.0,0.20945965,0.0005734,-1.16e-06,926.994616159684,0.026334211268187312,,3.65800063,273.02271152
19.0,0.20945375,0.00057003,1.53e-06,928.6378984513476,0.026380755312610995,,3.9851623,273.0531277
20.0,0.20947927,0.00059493,4.31e-06,918.714251481623,0.026099193594834993,,2.56954863,272.95740233
21.0,0.20948629,0.0006038,6.05e-06,921.6230863113207,0.026181912399109237,,2.19901259,272.98953024
22.0,0.20944582,0.00058834,8.14e-06,929.4666215925033,0.026404117406990245,,4.42034346,272.98347334
23.0,0.20947927,0.00059399,9.58e-06,923.307916518006,0.02622958974385008,,2.58238653,273.01309948
24.0,0.2095288,0.00062508,7.94e-06,915.5105324018303,0.02600884007854535,,-0.09460556,273.02863675
25.0,0.20948487,0.00062927,5.08e-06,918.177823062898,0.02608410716734348,,2.26734537,273.04430569
26.0,0.20949971,0.00061474,4.02e-06,928.5698099709787,0.02637950450231616,,1.48568161,273.0213948
27.0,0.20950287,0.00062581,4.75e-06,927.9667057495544,0.026362429493054392,,1.31340332,272.96003576
28.0,0.20951253,0.00062731,4.37e-06,921.5534028771626,0.02618037310466076,,0.7829435,272.96846276
29.0,0.20951385,0.00063256,2.49e-06,916.3801351507631,0.026033472860607528,,0.70760117,272.96056245
30.0,0.209523,0.00065238,2.78e-06,928.608148310494,0.02638102904187683,,0.21929381,272.96201084
31.0,0.20949605,0.00065161,6.57e-06,927.6782850538508,0.026354182519461304,,1.68313898,272.95042372
32.0,0.20952697,0.00062259,6.91e-06,923.6654345327214,0.026240502233282285,,0.00357584,272.99176866
33.0,0.20950663,0.00063301,4.1e-06,922.5161098759984,0.02620766599465112,,1.10241592,273.01481122
34.0,0.20951761,0.00065763,3.95e-06,924.7286294674302,0.026270736346488376,,0.51027545,272.95634895
35.0,0.20951476,0.00063838,5.46e-06,922.5510449501842,0.026208754137736958,,0.66291579,272.99492878
