Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20946048,0.00060752,6.24e-06,907.9640101896739,0.025801429159835902,,-0.7945381,395.74596287
1.0,0.20947085,0.00063181,8.3e-06,908.7952097959115,0.025825210646884617,,-1.34730499,395.77756871
2.0,0.20944025,0.00066028,5.09e-06,907.6415456292335,0.025792168721435874,,0.28131526,395.73516421
3.0,0.20946231,0.00063676,5.14e-06,904.2691575933247,0.025696556102021838,,-0.88823961,395.76637498
4.0,0.20946028,0.00064759,6.54e-06,901.7779613754224,0.025625741092994633,,-0.77838753,395.7807293
5.0,0.20945001,0.00062249,4.72e-06,900.3391112782621,0.025584688125092236,,-0.23563064,395.76031719
6.0,0.20940629,0.0006351,4.07e-06,893.2522893580965,0.025382793570029087,,2.05323998,395.70553373
7.0,0.20942998,0.00064828,6.53e-06,896.5984633786592,0.02547817122453845,,0.81710496,395.71488379
8.0,0.20939928,0.00065071,8.91e-06,902.5975241456949,0.02564821139631479,,2.44549717,395.71554224
9.0,0.20937315,0.00064929,1.029e-05,887.0676174456054,0.02520655462941845,,3.76056775,395.67708847
10.0,0.20907172,0.00066612,2.011e-05,878.0331903335323,0.02494592843526923,,19.20792502,395.56357081
11.0,0.20886809,0.00074898,3.607e-05,867.3399829334612,0.02463952712132418,,29.29531577,395.53354526
12.0,0.20834992,0.00084923,6.52e-05,867.9747709944567,0.024650846988821997,,55.55449867,395.41950083
13.0,0.20764346,0.00091477,0.00010534,864.5604537938065,0.02454451584145933,,90.86017862,395.29439437
14.0,0.20723742,0.00101599,0.00015467,860.069019188058,0.024411320163636473,,110.64353108,395.18904155
15.0,0.20679346,0.00115717,0.00021108,848.9639595267876,0.0240899987902594,,131.03027623,395.09343387
16.0,0.20654886,0.0012633,0.00026404,855.4052422302709,0.024269047012064088,,144.11232922,394.92447429
17.0,0.20636262,0.00137089,0.0003101,865.7665184615664,0.024560099041688363,,155.16314005,394.82346728
18.0,0.20627224,0.00150257,0.00034766,863.0252921380543,0.02448085990739542,,159.16944482,394.695727
19.0,0.20618847,0.0015718,0.00037442,860.2972077897107,0.024402116008270632,,162.82005104,394.57338604
20.0,0.20604187,0.00166131,0.00039715,854.4212474209882,0.024233429713689025,,168.92553566,394.42602379
21.0,0.20597792,0.00178715,0.00041359,856.6420038871814,0.024295642030411523,,172.52021601,394.23612534
22.0,0.20588714,0.00189677,0.00042451,853.9014218666609,0.024216861759236014,,176.43268547,394.12010556
23.0,0.20584373,0.00199503,0.0004299,854.638987552892,0.024237390761501085,,178.72181058,393.97919617
24.0,0.20585207,0.00209253,0.00043274,857.0982191769884,0.024307442362011406,,178.82632139,393.8982062
25.0,0.20583692,0.00220795,0.00043696,859.5647602820355,0.02437742715679491,,180.09203503,393.73530441
26.0,0.20580378,0.00226728,0.00043864,856.5722720961556,0.024292264955522093,,181.09978792,393.62850299
27.0,0.2058173,0.00232503,0.00043787,852.3629625641412,0.024173222666899693,,179.54780432,393.4964169
28.0,0.20582309,0.0023913,0.00043272,846.904437082276,0.024018751145014262,,178.11747534,393.34628915
29.0,0.20582025,0.00245821,0.00042788,852.5362485189727,0.024178696337346418,,179.44352792,393.24646736
30.0,0.20586162,0.00255773,0.00042539,858.9465314935185,0.02436132575791229,,178.74933665,393.09291563
31.0,0.20587179,0.00259756,0.00042192,854.5137877259233,0.024235898068957117,,177.32798118,392.96267322
32.0,0.20583234,0.00266399,0.00041881,845.5687259764567,0.023981929815302377,,177.39331507,392.82400258
33.0,0.20584841,0.00267599,0.00041279,850.3973047698606,0.024119216643239984,,177.62106685,392.74551474
