Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20938667,0.00064718,-1.77e-06,8358905.555972708,0.02686394453635506,,5.41127537,78.30211279
1.0,0.20945773,0.00068428,-2.5e-07,8303810.260867101,0.02668790326676158,,1.92056352,78.26035213
2.0,0.20910047,0.00072701,4.55e-06,8319952.4733292665,0.026735018513329503,,19.31535646,78.20992417
3.0,0.20817294,0.00088557,1.117e-05,7950365.801624542,0.02553574533949685,,61.47001086,78.19101368
4.0,0.2076223,0.00118802,1.773e-05,7736450.5798534155,0.024842390153869204,,84.57815357,78.10959353
5.0,0.20642159,0.00157014,2.942e-05,7680426.185340074,0.024648094021028317,,137.3455964,77.95331936
6.0,0.20545044,0.00194872,4.639e-05,7641485.245848434,0.02451146246987464,,179.38265932,77.78535746
7.0,0.20490834,0.00228976,6.275e-05,7664147.327810409,0.024577795572521637,,203.75499042,77.67885465
8.0,0.20445205,0.00260826,7.385e-05,7628239.751023897,0.024457422497694007,,222.72690922,77.55186548
9.0,0.20439624,0.00291658,8.576e-05,7656335.938938975,0.02454738222819867,,225.99560794,77.42343175
10.0,0.20434845,0.00314327,9.738e-05,7625478.8740950795,0.024448222007588817,,227.1707996,77.30143284
11.0,0.20436055,0.00334347,0.00010432,7629465.889797131,0.02446156330270652,,226.76582086,77.15225011
12.0,0.20440447,0.0035065,0.00010708,7638396.686371355,0.024491143919578944,,225.11731401,77.08186108
13.0,0.20452637,0.00357937,0.0001119,7714289.060199444,0.02473617066724681,,221.978018,76.96170069
14.0,0.20473724,0.00365288,0.00011442,7722537.883115382,0.024765511634767978,,212.8982841,76.88093715
15.0,0.2050214,0.0037028,0.00011483,7763829.709822219,0.024901761094874783,,201.39747942,76.81173002
16.0,0.20529326,0.00369963,0.00011462,7791491.587696808,0.024994025821685764,,189.96254749,76.68552878
17.0,0.20546153,0.00367213,0.00011047,7752096.254460624,0.0248698330411816,,181.51070184,76.63181775
18.0,0.20543652,0.00363749,0.00010599,7803810.257397179,0.02503540275141345,,183.84281708,76.53069917
19.0,0.20557316,0.00361144,0.00010177,7821713.405651925,0.02509462908181712,,178.12258789,76.41566037
20.0,0.20577823,0.00357101,9.602e-05,7829787.478035187,0.025123205586330095,,169.07165385,76.34697853
21.0,0.20593744,0.00355171,9.078e-05,7875520.664725639,0.02527207842287835,,162.84135542,76.26608367
22.0,0.20612726,0.00349508,8.87e-05,7870255.8585169,0.025257549615404808,,154.12476725,76.16023747
23.0,0.20632195,0.00347064,8.515e-05,7879153.897430024,0.025288647163046428,,145.45255286,76.1195274
24.0,0.20644538,0.00343186,8.161e-05,7885340.795106529,0.025310075568745097,,139.94968507,76.04638058
25.0,0.20650516,0.00341445,7.999e-05,7941952.310842149,0.02549255281424794,,138.21307519,75.98045652
26.0,0.20664201,0.00335883,7.401e-05,7894032.039919392,0.02534048022247524,,131.13875985,75.90665309
27.0,0.20668654,0.00330473,7.029e-05,7940069.749142736,0.02548877090702963,,129.8598269,75.83048585
28.0,0.20676421,0.00324391,6.697e-05,7922497.834544048,0.025433274318286413,,126.01460572,75.76653164
29.0,0.20683081,0.00319399,6.397e-05,7916608.717085181,0.02541515832230517,,122.8719719,75.73724665
30.0,0.20693512,0.00314656,5.848e-05,7938206.163551897,0.025485831044268634,,118.41674164,75.64006775
31.0,0.20697507,0.00311489,5.356e-05,7946458.744898378,0.025512854411647922,,116.70244244,75.61984404
32.0,0.20700425,0.00308423,5.382e-05,7959497.792557446,0.025555011363794324,,115.54927081,75.57138591
33.0,0.20703414,0.00302048,5.262e-05,7923434.89848151,0.025439466073697577,,113.65406567,75.47460099
34.0,0.20709606,0.00298684,4.749e-05,7916061.153492984,0.025416601634755377,,110.71041149,75.41209132
35.0,0.20713551,0.00298402,4.378e-05,7904405.437987367,0.025379751420983403,,108.74182599,75.37584622
36.0,0.2071107,0.00295846,4.175e-05,7970518.4448852325,0.025591673049459314,,110.79638433,75.30230544
37.0,0.20710501,0.0029294,4.085e-05,7944972.53095292,0.025509514166653157,,110.70297159,75.2503016
38.0,0.2071592,0.0028704,4.233e-05,7953869.0635922095,0.02553859928258554,,108.32972264,75.2019748
39.0,0.20720017,0.00284733,4.094e-05,7949607.190961744,0.025525413289013515,,106.3845842,75.16809351
40.0,0.20723647,0.0027931,3.838e-05,7888095.843721029,0.025328277872431172,,103.9020831,75.10322003
41.0,0.20723087,0.00277437,3.556e-05,7963407.510215007,0.025570028448757144,,105.15213177,75.00380865
42.0,0.20723769,0.00277204,3.324e-05,7923464.337237147,0.025441898805759474,,104.31209841,74.99566664
43.0,0.20725243,0.0027675,3.563e-05,7914346.109297072,0.025412755410295123,,103.51570392,74.94891571
44.0,0.20721959,0.00274314,3.644e-05,7876025.340895265,0.025289203525392406,,104.51291537,74.89638658
45.0,0.20724379,0.00270697,3.437e-05,7897874.821928421,0.025359614886429523,,103.69522448,74.84976698
46.0,0.2072931,0.002679,3.2e-05,7857031.329572576,0.025229073288094563,,100.913473,74.77202386
47.0,0.20732726,0.00265166,3.132e-05,7913909.695844269,0.025412093064530537,,100.07663152,74.71949473
48.0,0.20734647,0.00262421,3.299e-05,7918591.518061965,0.025427271073146886,,99.25328231,74.67878466
49.0,0.20734851,0.00262068,3.375e-05,7876374.052206286,0.025291710036828754,,98.63117322,74.63150844
50.0,0.20733986,0.00262128,3.32e-05,7900363.424243846,0.02536864170125027,,99.32745362,74.5944754
51.0,0.20736162,0.00259825,3.031e-05,7958970.775272101,0.025557109595925265,,99.06027766,74.5036
52.0,0.20735715,0.00260203,3.096e-05,7943727.852771922,0.025508102846256844,,99.0765915,74.46604167
53.0,0.2073728,0.0025925,2.977e-05,7984636.919538914,0.025639667151645448,,98.86193429,74.44936368
54.0,0.20735349,0.00256352,2.798e-05,7989825.460279339,0.025656029870593216,,99.82089715,74.39552132
55.0,0.20738094,0.00255769,2.491e-05,7969687.09431994,0.025591763992668284,,98.3009448,74.33288033
56.0,0.20739731,0.00255733,2.486e-05,7883488.5603590105,0.025315180103790993,,96.48943277,74.26524907
57.0,0.20740392,0.00256026,2.487e-05,7917806.62883998,0.02542547456797785,,96.60605176,74.19945633
58.0,0.20743564,0.0025583,2.341e-05,7928813.273468518,0.025461252792790375,,95.28173519,74.14219958
59.0,0.20744692,0.00258221,2.511e-05,7897432.171102074,0.02536065962103105,,94.38778826,74.15598848
