Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20950834,0.00064031,3.02e-06,949.7533619508226,0.0269757714166217,,1.51642183,173.25974361
1.0,0.20948484,0.00063811,2.91e-06,946.4287091610604,0.026881021160605617,,2.81303939,173.26263986
2.0,0.20948657,0.00065217,5.45e-06,947.4591581415472,0.026910302214994724,,2.72018913,173.24802694
3.0,0.2094944,0.00064031,5.52e-06,945.4220640153071,0.026852513951600456,,2.28083668,173.26382469
4.0,0.20949511,0.00062727,3.82e-06,947.6169440197718,0.026914860201499913,,2.24663011,173.29081252
5.0,0.20947518,0.00062906,7.8e-07,946.7835427978247,0.026890985096017953,,3.34967833,173.25829548
6.0,0.20946358,0.000641,1.36e-06,947.3434744502207,0.026906754648857285,,3.99470913,173.22354042
7.0,0.2094648,0.0006672,2.67e-06,940.8137823566482,0.026721360763397716,,3.89996119,173.11229789
8.0,0.20943337,0.00069377,1.15e-06,945.7770650106698,0.026862011352792082,,5.6605051,173.17114453
9.0,0.2094527,0.00071761,-6.1e-07,943.4697751089194,0.026796840240974094,,4.57947935,173.07438328
10.0,0.20946541,0.00072589,-1.59e-06,942.6075703842442,0.026772564201125604,,3.87375801,173.04160293
11.0,0.20944436,0.00070926,-1.27e-06,944.4153025649845,0.02682357273812955,,5.04513795,173.12835894
12.0,0.20945778,0.00067079,-2.63e-06,944.9914979668836,0.026840036420906172,,4.30552919,173.04410424
13.0,0.20946134,0.0006498,-1.81e-06,935.5736834048805,0.026572520863629913,,4.06764291,173.11032317
14.0,0.20948983,0.00062772,-9.8e-07,933.4912345459759,0.026513675316356268,,2.50221115,173.09847485
15.0,0.20945941,0.00060151,-1.94e-06,937.1014243159659,0.02661575416996332,,4.18027591,173.14968591
16.0,0.20948352,0.00058077,-6.4e-07,944.1261151607266,0.026815511190166934,,2.87927149,173.10900669
17.0,0.20945514,0.00058175,2.4e-06,936.6737574433056,0.02660341193637558,,4.41257489,173.15863797
18.0,0.20951058,0.00059911,3.36e-06,941.9358987544027,0.026753640350073566,,1.38052182,173.13322991
19.0,0.20949166,0.00060212,5.19e-06,946.0968415227538,0.026871541246427908,,2.43457236,173.11400931
20.0,0.20949745,0.00059817,5.37e-06,944.7359926123465,0.026832952886414692,,2.11039432,173.05134488
21.0,0.2094999,0.00059719,3.43e-06,940.6898404082217,0.02671809915321174,,1.96691302,173.0601653
22.0,0.2095179,0.00062971,2.32e-06,948.4969542125651,0.02694019836304461,,0.98342717,172.8158267
23.0,0.20952421,0.00063057,3.19e-06,945.9821633830777,0.02686884106875749,,0.63150878,173.05766398
24.0,0.20948708,0.00063978,4.76e-06,950.6852197386048,0.02700191598773055,,2.70114348,172.77593738
25.0,0.20949267,0.00061639,4.73e-06,952.8803841219786,0.02706427422626581,,2.39528959,172.75303066
26.0,0.20951271,0.00060689,4.21e-06,948.5307201292624,0.026940986092794085,,1.27155973,172.71761736
