Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20757204,0.00058252,1.723e-05,8675377.957384693,0.02813962194495026,,98.50451107,-186.8534278
1.0,0.20751538,0.00055428,1.808e-05,8744939.194529986,0.028364338009861573,,102.1980582,-186.8698838
2.0,0.20753216,0.00057107,1.941e-05,8768331.73771052,0.028440475850753377,,101.6090254,-186.8292046
3.0,0.20753318,0.00061044,1.933e-05,8711308.295643328,0.028255650755428664,,100.8967158,-186.838025
4.0,0.20752942,0.00058647,1.501e-05,8778092.549917605,0.028472233574099177,,101.8639247,-186.80248
5.0,0.20750653,0.00054744,1.456e-05,8705850.370516334,0.028237478803748065,,102.1929341,-186.8652761
6.0,0.20753247,0.00053244,1.502e-05,8789337.390067475,0.028508588909172843,,101.8366367,-186.8157765
7.0,0.20756685,0.00053199,1.094e-05,8757294.827045832,0.02840523442343757,,99.70087661,-186.8295995
8.0,0.20753044,0.00059226,1.092e-05,8743595.456785707,0.028360456913489325,,101.4118471,-186.9217531
9.0,0.20754142,0.00062556,1.094e-05,8707114.939170945,0.02824238488519288,,100.4284441,-186.8489518
10.0,0.20754457,0.00061309,9.67e-06,8775200.664427025,0.028463262107901927,,101.0515229,-186.8869981
11.0,0.20753949,0.00057417,1.324e-05,8799255.104798565,0.028541020846444907,,101.590153,-186.8106422
12.0,0.20754478,0.00055017,1.336e-05,8763976.981397502,0.028426595614489302,,100.9108873,-186.8165664
13.0,0.20752677,0.0005562,1.28e-05,8759166.079564473,0.02841076203834208,,101.7799054,-186.8184094
14.0,0.20754366,0.00056243,1.098e-05,8725879.95160592,0.02830309473009276,,100.5297583,-186.8081409
15.0,0.20755241,0.00054279,8.87e-06,8739218.294656655,0.028346469342574374,,100.2352725,-186.7891836
16.0,0.2075461,0.00057315,1.063e-05,8713933.035935137,0.028264417833552154,,100.2675694,-186.8078776
17.0,0.2075522,0.00058521,1.46e-05,8718701.191540191,0.028279924759082288,,100.0103728,-186.9105631
18.0,0.20755678,0.00057983,1.401e-05,8700622.62870835,0.028221346798988595,,99.56954009,-186.8399997
19.0,0.20754468,0.00056911,1.444e-05,8705353.839993587,0.02823647963021297,,100.2411945,-186.8609318
20.0,0.20757133,0.0006042,1.412e-05,8690811.228557196,0.028189799646672755,,98.71647243,-186.8202525
21.0,0.20756685,0.00058073,1.174e-05,8595638.240583956,0.02788101009762362,,97.86087685,-186.8456606
22.0,0.20756746,0.00057498,8.34e-06,8668224.860666214,0.028116515246078572,,98.65644507,-186.7897102
23.0,0.2075521,0.00061256,1.032e-05,8698655.4079859,0.028215072145689014,,99.78621675,-186.8132752
24.0,0.207552,0.00060163,1.049e-05,8644879.838214314,0.02804060794047426,,99.17436124,-186.9243861
25.0,0.20754915,0.00057384,9.85e-06,8713332.599130549,0.028262531981313777,,100.1048727,-186.8493467
26.0,0.20754264,0.00060648,1.321e-05,8763543.582223566,0.028425330219841036,,101.0162273,-186.8414479
27.0,0.2075285,0.00057995,1.655e-05,8653501.213960264,0.02806805077762324,,100.4643734,-186.866461
28.0,0.20753532,0.00056569,1.525e-05,8637386.079489414,0.028015861820385533,,99.93221924,-186.8610634
29.0,0.20754213,0.00055453,1.259e-05,8695066.947140133,0.028203071904032897,,100.2523249,-186.8914741
30.0,0.20753542,0.00053399,1.063e-05,8719223.795192804,0.02828130995419533,,100.8738658,-186.8667243
31.0,0.20751426,0.00050913,1.224e-05,8682492.372875532,0.028161761546055413,,101.525157,-186.8032699
32.0,0.20749961,0.00051915,1.536e-05,8699188.024000121,0.02821567040868013,,102.4669777,-186.8444758
33.0,0.20752433,0.0005487,1.311e-05,8688461.446301835,0.02818136494281654,,101.0825401,-186.8443441
34.0,0.20750317,0.00057869,1.313e-05,8700383.66535179,0.02821982162397179,,102.3003522,-186.8568507
35.0,0.20750938,0.00058953,1.058e-05,8750807.80127913,0.028383547349240087,,102.5753561,-186.8659344
36.0,0.20751579,0.00060363,9.73e-06,8729895.440580772,0.028315868651152078,,102.0025832,-186.8575089
37.0,0.20752443,0.00063419,1.306e-05,8760936.86867251,0.028416699295775224,,101.9214228,-186.9122745
38.0,0.20751304,0.00062189,1.574e-05,8826584.277345395,0.02862937328716288,,103.2741352,-186.8667243
39.0,0.20751874,0.00058863,1.762e-05,8735292.629057653,0.02833320905648268,,101.9138825,-186.8639597
40.0,0.20753044,0.00061109,1.482e-05,8736991.11095018,0.02833901054284311,,101.3351587,-186.8461872
41.0,0.20748995,0.00063102,1.632e-05,8715916.43394302,0.028270102816228604,,103.1587072,-186.8614584
42.0,0.20751131,0.00064626,1.838e-05,8679813.963344466,0.028153311103493527,,101.6448964,-186.8547443
43.0,0.20751121,0.00065318,1.763e-05,8674489.839350382,0.028136076533977917,,101.5878489,-186.8623799
44.0,0.20752718,0.00065991,1.489e-05,8635163.950854855,0.02800882333067698,,100.3193707,-186.8769928
45.0,0.20750846,0.00064479,1.283e-05,8675448.288053866,0.028139220062664415,,101.7389723,-186.9018743
46.0,0.20752057,0.00062136,1.212e-05,8732358.3717754,0.028323929011862127,,101.786705,-186.8062978
47.0,0.20751853,0.0005881,1.372e-05,8739500.908620492,0.028346934920220532,,101.9736845,-186.8342072
48.0,0.2075167,0.00056235,1.663e-05,8678323.656424131,0.028148341987709626,,101.3524926,-186.8153815
49.0,0.20750775,0.00053945,1.77e-05,8740672.992477154,0.028350354869488194,,102.5388516,-186.8059029
50.0,0.20750704,0.00054556,1.625e-05,8766754.77654639,0.028434989232160476,,102.8815791,-186.8373668
51.0,0.20749961,0.00058941,1.431e-05,8714448.323912472,0.028265397108674654,,102.6475633,-186.8823904
52.0,0.20753013,0.00061814,1.23e-05,8645205.931711901,0.028041367195227058,,100.2863176,-186.8284147
53.0,0.2075345,0.00064695,1.009e-05,8701316.887713226,0.028223560502240033,,100.7146201,-186.8173563
54.0,0.20754284,0.0006247,9.11e-06,8750355.024438608,0.02838269410743521,,100.8542652,-186.802875
55.0,0.2075341,0.00058203,1.056e-05,8686785.127515372,0.028176217964731062,,100.5664166,-186.8210424
56.0,0.20752525,0.00057038,1.436e-05,8753102.921827186,0.028391083993721297,,101.7877617,-186.816698
57.0,0.20751294,0.00059238,1.547e-05,8743668.15468909,0.028360347885160144,,102.3089031,-186.8014268
58.0,0.20751467,0.00063069,1.34e-05,8701802.617626447,0.028224736647205588,,101.7314163,-186.8403947
59.0,0.2075164,0.00065881,1.098e-05,8799414.979555467,0.028541506948035828,,102.7838971,-186.870937
60.0,0.20753339,0.00066097,9.07e-06,8782076.218692502,0.028485558340699216,,101.7071996,-186.8676458
61.0,0.20753847,0.00063864,6.81e-06,8691240.08638911,0.0281909749462343,,100.3960533,-186.8585621
62.0,0.20752342,0.00058863,8.77e-06,8657504.12780037,0.02808114747386355,,100.7695718,-186.9035857
63.0,0.20754356,0.00056276,9.54e-06,8702684.807624435,0.028227888651988827,,100.2678276,-186.8346022
64.0,0.20755637,0.00054695,7.01e-06,8748099.533719184,0.028375384198184393,,100.133894,-186.7989255
65.0,0.20751548,0.00060033,6.35e-06,8686207.156515596,0.028174218824825546,,101.5078664,-186.8374984
66.0,0.20752626,0.00058362,8.36e-06,8757216.457807006,0.028404604904623487,,101.7839775,-186.8627748
67.0,0.20751284,0.00058509,1.315e-05,8740271.363335239,0.02834935520849266,,102.2744629,-186.882917
68.0,0.20755291,0.00059165,1.36e-05,8736625.236297928,0.02833811309915045,,100.1796531,-186.8119587
69.0,0.20755261,0.00056496,1.195e-05,8741843.17548898,0.02835498844652993,,100.2549621,-186.8759396
70.0,0.20751243,0.00054124,1.168e-05,8798169.124767568,0.028537041850689608,,102.9725702,-186.8721218
71.0,0.20754447,0.00055012,1.497e-05,8776549.547607102,0.028467337559608997,,101.0712296,-186.8419744
72.0,0.20749127,0.00056475,1.722e-05,8750928.198665459,0.028383466389870108,,103.5044978,-186.819331
73.0,0.20748904,0.00059837,1.705e-05,8720423.06979528,0.028284595043993596,,103.2584181,-186.8101156
74.0,0.20749921,0.00063603,1.521e-05,8746087.040124036,0.02836813204310842,,103.0415265,-186.8259134
75.0,0.20749931,0.00066219,1.443e-05,8705877.273152232,0.028237805820554462,,102.562948,-186.7836544
76.0,0.20749961,0.00067507,1.388e-05,8648031.560257595,0.02805023475972146,,101.8661878,-186.8927906
77.0,0.20752901,0.00064581,1.242e-05,8689341.895081725,0.028184588900915457,,100.8555724,-186.8580355
78.0,0.20754691,0.00061325,1.432e-05,8694401.020605018,0.02820111823517252,,100.0015038,-186.8692256
79.0,0.20754112,0.00062083,1.3e-05,8745118.084699392,0.028365590766753445,,100.882215,-186.89674
80.0,0.20752616,0.00059112,1.157e-05,8734874.00960405,0.02833209015097112,,101.5293435,-186.8527696
81.0,0.20754203,0.0005976,1.218e-05,8721337.628030121,0.028288417660691716,,100.560905,-186.8292046
82.0,0.20751457,0.00063635,9.17e-06,8685755.959229365,0.028172790868998102,,101.5493693,-186.8403947
83.0,0.20751986,0.00064825,1.098e-05,8691854.744510686,0.02819264600045341,,101.3512257,-186.8600102
84.0,0.20753166,0.00062698,1.362e-05,8691169.078147518,0.02819047285333713,,100.7417752,-186.8436859
85.0,0.20752789,0.00057144,1.302e-05,8695241.595795268,0.02820347656131655,,100.9802386,-186.8035332
86.0,0.20750806,0.00055534,1.095e-05,8695776.200809332,0.028204922768276814,,101.9972797,-186.8792308
87.0,0.20748588,0.00054735,7.89e-06,8705679.067306217,0.028236765620694274,,103.2448308,-186.8991097
88.0,0.20751975,0.00053407,7.08e-06,8756641.943082642,0.028402526772009433,,102.1109623,-186.9043756
89.0,0.20754966,0.00052457,6.28e-06,8770377.990909627,0.02844749859485007,,100.7338463,-186.8486885
90.0,0.20753756,0.00052543,5.8e-06,8679789.300888931,0.028153506362247446,,100.3092368,-186.9039807
91.0,0.20751558,0.00052396,6.58e-06,8715259.833609302,0.028268222927577073,,101.8413497,-186.8748865
92.0,0.20753166,0.0005824,9.92e-06,8705679.161925474,0.02823748160362422,,100.9097662,-186.8140651
93.0,0.20754112,0.00057441,1.422e-05,8727335.707767347,0.028307748851250553,,100.6765002,-186.8435542
94.0,0.2075226,0.00053818,1.499e-05,8683559.569620749,0.028165371095477138,,101.1132643,-186.8633014
95.0,0.20752108,0.00053342,1.641e-05,8718555.701442603,0.028278816842364555,,101.5985735,-186.8622482
96.0,0.20750714,0.0005262,1.619e-05,8656162.482593425,0.028076228460407845,,101.5783696,-186.8101156
97.0,0.20750907,0.00052188,1.379e-05,8660726.795452138,0.028091096718860908,,101.5339721,-186.8034016
98.0,0.20751111,0.00055893,1.507e-05,8705980.930033209,0.028237991214007357,,101.961016,-186.8339439
99.0,0.20751925,0.00059589,1.462e-05,8632489.05597159,0.02799985220385949,,100.6890491,-186.835787
100.0,0.20753257,0.00062727,1.451e-05,8735946.123436484,0.02833570610728314,,101.2138619,-186.840263
101.0,0.20753206,0.00064878,1.498e-05,8677545.093871433,0.028146324552815988,,100.5632923,-186.9486093
102.0,0.20754712,0.00062621,1.155e-05,8695371.020225829,0.0282043629421427,,100.0026307,-186.8630381
103.0,0.2075166,0.00060062,8.51e-06,8693155.958590247,0.02819673000288684,,101.5319087,-186.910958
104.0,0.2075107,0.000587,7.52e-06,8676708.298252618,0.028143277272101457,,101.6397356,-186.8515847
105.0,0.20751742,0.00056765,6.3e-06,8770445.5000058,0.028447382148606478,,102.3925979,-186.8681724
106.0,0.20752098,0.00059283,6.53e-06,8754292.445120927,0.028395110291755656,,102.0216103,-186.8009003
107.0,0.20751223,0.00062727,9.15e-06,8755109.94016652,0.02839768457924851,,102.4801646,-186.8442125
108.0,0.20752128,0.00062177,1.502e-05,8736291.292960012,0.028336637040982018,,101.7958801,-186.840263
109.0,0.20752769,0.00060795,1.711e-05,8731104.955742097,0.028319822330481068,,101.4072259,-186.8315742
110.0,0.20753135,0.00060652,1.605e-05,8775561.318743281,0.028464089438619024,,101.7352853,-186.8543494
111.0,0.20748893,0.00062996,1.703e-05,8719910.447529713,0.028283025003618602,,103.2578893,-186.8547443
112.0,0.20750307,0.00065461,1.448e-05,8718815.928163748,0.028279803013559385,,102.5229947,-186.8575089
113.0,0.20753013,0.0006542,1.372e-05,8783962.268135937,0.028491511963047448,,101.8962021,-186.8475037
114.0,0.20751945,0.00061798,1.556e-05,8735181.303536853,0.0283329880673353,,101.8765992,-186.8765979
115.0,0.20751447,0.00060017,1.614e-05,8731916.152051782,0.028322261124337104,,102.0933483,-186.8655394
116.0,0.20752291,0.00062405,1.175e-05,8751638.105131006,0.028386513254648676,,101.8914937,-186.8338123
117.0,0.20753359,0.00064353,1.014e-05,8776469.089630522,0.02846729956370557,,101.6315317,-186.8464505
118.0,0.20752504,0.0006181,1.049e-05,8762885.649181165,0.028423034417305162,,101.912769,-186.8363136
119.0,0.20752515,0.00057861,1.284e-05,8734583.413339278,0.028331069632022487,,101.5778105,-186.8796258
120.0,0.20751314,0.00058627,9.84e-06,8790841.884543523,0.028513459145489296,,102.8507548,-186.7764137
121.0,0.20754223,0.00060652,8.15e-06,8775059.478943476,0.028462782466599904,,101.1702707,-186.8134068
122.0,0.20753074,0.00061989,9.58e-06,8760760.30715897,0.028416246830158982,,101.5956572,-186.8497417
123.0,0.20750236,0.00063028,1.243e-05,8757368.655193683,0.028404810004208803,,103.0127621,-186.8996363
124.0,0.20752769,0.00060742,1.366e-05,8746550.431004,0.028369990500647754,,101.5868674,-186.8273615
125.0,0.20750124,0.00061341,1.238e-05,8728933.33466411,0.02831251397370784,,102.7353354,-186.823807
126.0,0.20748944,0.00062714,1.034e-05,8668988.707009753,0.028117996722842816,,102.6295286,-186.9404472
127.0,0.20752108,0.00059206,1.132e-05,8675382.911548764,0.028139062836150936,,101.096473,-186.9313635
128.0,0.20750958,0.00056439,1.254e-05,8715338.56868608,0.02826838944633903,,102.1487857,-186.8719902
129.0,0.20752179,0.0005553,1.576e-05,8689418.45375211,0.02818439780713493,,101.2230527,-186.8777827
130.0,0.20750389,0.00058758,1.771e-05,8628047.060394628,0.02798513946103099,,101.4135619,-186.8220956
131.0,0.20751253,0.00061749,1.648e-05,8680369.851585077,0.02815508556103522,,101.5891459,-186.8365769
132.0,0.20751497,0.00062181,1.323e-05,8720023.354034359,0.02828381796364415,,101.9287547,-186.8826537
133.0,0.2075341,0.00063289,1.12e-05,8657627.919479912,0.028081781231099008,,100.2293535,-186.812222
134.0,0.20749138,0.0006267,1.264e-05,8705410.900178509,0.028236111611594356,,102.9619525,-186.8700155
135.0,0.20753562,0.0005901,1.294e-05,8706148.74382868,0.02823902178641176,,100.712641,-186.8322325
136.0,0.2075284,0.00055571,1.523e-05,8756569.41876479,0.028402311179175323,,101.6660219,-186.7949761
137.0,0.20750165,0.00053533,1.569e-05,8718939.514662242,0.028279804433343336,,102.5958349,-186.8172246
138.0,0.20753176,0.00053814,1.614e-05,8718753.097191665,0.02827962939265332,,101.0551829,-186.7989255
139.0,0.20750277,0.00057254,1.54e-05,8690141.806305395,0.02818653136176614,,102.2004122,-186.901611
140.0,0.20750979,0.00063203,1.312e-05,8725154.402608765,0.028300419284049434,,102.2541137,-186.8403947
141.0,0.20750684,0.0006494,1.339e-05,8707839.813666314,0.028244262461837165,,102.2018964,-186.8243336
142.0,0.20752321,0.00061582,1.431e-05,8734783.638476707,0.0283317715246722,,101.6793645,-186.8228855
143.0,0.20753857,0.00057669,1.304e-05,8803205.732783327,0.028553833438838747,,101.6830416,-186.8426327
144.0,0.20754935,0.00056541,9.51e-06,8751182.961338649,0.028385288073574124,,100.5292247,-186.8457922
145.0,0.20755088,0.00061158,1.043e-05,8731025.367102949,0.02832004511711676,,100.2199977,-186.8909475
146.0,0.20754569,0.00062001,1.179e-05,8687156.442099182,0.028177674440674646,,99.98058692,-186.8494784
147.0,0.20754386,0.00057918,1.012e-05,8775302.911730759,0.028463472881107017,,101.0889311,-186.8190677
148.0,0.20755383,0.00057026,8.98e-06,8680635.572614321,0.028156549945526056,,99.49117146,-186.8869981
149.0,0.20756939,0.00055408,1.19e-05,8752852.973091971,0.028390909144605108,,99.51998946,-186.8808106
150.0,0.20752962,0.00053411,1.316e-05,8672182.175043313,0.028128593613543848,,100.6241478,-186.8796258
151.0,0.20751538,0.00055371,1.344e-05,8701811.109577432,0.028224545414758984,,101.6943788,-186.8529012
152.0,0.20752138,0.00058203,1.484e-05,8787534.567657806,0.028502733682834035,,102.3873179,-186.842501
153.0,0.20752199,0.00059837,1.434e-05,8731449.94355931,0.028320888528379117,,101.7028324,-186.8801524
154.0,0.20750887,0.00059723,1.41e-05,8753303.967111573,0.02839158637047009,,102.6305244,-186.8202525
155.0,0.20751864,0.00059988,1.572e-05,8778971.818741227,0.028474955654181282,,102.4289804,-186.8336806
156.0,0.20752311,0.00057922,1.366e-05,8702727.101094484,0.02822769783417864,,101.3110497,-186.889631
157.0,0.20752525,0.00056569,1.094e-05,8742821.094176883,0.028357791304490995,,101.6684007,-186.8631698
158.0,0.20751935,0.00054059,9.59e-06,8702363.54102021,0.028226434408401262,,101.4986585,-186.880284
159.0,0.20753949,0.00054083,1.006e-05,8763848.797632324,0.02842614447687714,,101.1812571,-186.7998471
160.0,0.20751843,0.00056325,1.218e-05,8677582.533055179,0.028146056910185447,,101.2562353,-186.8726484
161.0,0.20752209,0.00060567,1.054e-05,8712640.484986024,0.02825998065021128,,101.4789075,-186.8501366
162.0,0.20751406,0.00059711,1.125e-05,8722564.03742116,0.028292013339120146,,102.005134,-186.7797049
163.0,0.20752423,0.00057698,1.128e-05,8658490.851795856,0.028084273637860594,,100.7394544,-186.866066
164.0,0.20750765,0.00054189,1.096e-05,8756716.204305485,0.02840253667958285,,102.7328103,-186.8401314
165.0,0.20753928,0.00052099,1.373e-05,8739624.606127096,0.02834743361980661,,100.9115216,-186.842501
166.0,0.20751213,0.00055656,1.105e-05,8783176.586959159,0.028488467853354734,,102.8130199,-186.9412371
167.0,0.20755556,0.00059662,1.001e-05,8750648.179679364,0.028383725153863386,,100.2051098,-186.854481
168.0,0.20750165,0.00061989,8.55e-06,8694915.926713854,0.0282022816014662,,102.3145911,-186.8349971
169.0,0.20753684,0.00061467,9.39e-06,8698062.66705733,0.02821295732801645,,100.5573933,-186.894502
170.0,0.20748924,0.00057649,9.24e-06,8699494.51263931,0.028216812539591758,,103.0005836,-186.8361819
171.0,0.20751711,0.00059108,8.52e-06,8693586.205457065,0.028198104357987114,,101.5109187,-186.854481
172.0,0.20752108,0.00060591,8.99e-06,8721207.211710678,0.028287785647768245,,101.6307961,-186.8355237
173.0,0.20754376,0.00058892,8.57e-06,8674297.128531503,0.02813591086425445,,99.93076105,-186.7990572
174.0,0.20752626,0.00055469,7.27e-06,8712314.323886564,0.028258898577677723,,101.261859,-186.8601419
175.0,0.20753216,0.00053382,6.38e-06,8715510.824564919,0.028269307382361247,,100.9974934,-186.8540861
176.0,0.20748659,0.00052148,5.65e-06,8723883.795983184,0.02829579205250439,,103.4242189,-186.8447391
177.0,0.20749483,0.00053525,6.52e-06,8758504.313200884,0.028408224605994327,,103.4118739,-186.8273615
178.0,0.20752057,0.00056374,7.62e-06,8775419.391893202,0.02846352142022353,,102.2883533,-186.8103789
179.0,0.20751406,0.00060787,7.27e-06,8691834.888425667,0.02819245582825112,,101.6461854,-186.8655394
180.0,0.20751721,0.00060449,5.93e-06,8760573.288739184,0.028415475686721085,,102.2882103,-186.8372351
181.0,0.20750785,0.00057755,5.1e-06,8705350.54895278,0.028236160863278466,,102.1206349,-186.8677775
182.0,0.20749677,0.00056753,4.57e-06,8671670.598415053,0.02812674227997957,,102.2889092,-186.8763346
183.0,0.20749758,0.00056903,6.94e-06,8728519.78631468,0.028311100828234896,,102.9177031,-186.8598786
184.0,0.20751131,0.00058631,8.52e-06,8716052.981997838,0.028270879468689312,,102.069366,-186.8527696
185.0,0.20755932,0.00059952,6.73e-06,8689833.94570681,0.028186596913859278,,99.31727543,-186.8153815
186.0,0.20755505,0.00056484,7.38e-06,8678659.366526887,0.028150174154369493,,99.4064864,-186.8340756
187.0,0.20754651,0.00057914,1.303e-05,8711951.447075406,0.028257964460894406,,100.2238787,-186.772201
188.0,0.20756014,0.00057539,1.367e-05,8715180.263312256,0.0282686078060242,,99.56463342,-186.8776511
189.0,0.20751894,0.00059752,1.374e-05,8782527.340612447,0.0284865266009219,,102.4548804,-186.7952394
190.0,0.20754946,0.00062808,1.264e-05,8760693.292929353,0.028416259259770982,,100.6336836,-186.82644
