Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20933923,0.00069651,1.232e-05,8362516.693151625,0.026880777826265863,,5.16059804,44.63021721
1.0,0.20931494,0.0007044,1.302e-05,8380614.292844827,0.026938632041475133,,6.36375002,44.46434143
2.0,0.20890892,0.0008401,1.528e-05,7964445.285361326,0.025596000700344377,,24.95891399,44.25610024
3.0,0.2081712,0.00105212,2.102e-05,7962185.899096199,0.025579668822135325,,59.20999309,44.4676616
4.0,0.20754449,0.00140741,2.608e-05,8031926.371059717,0.025796370958539618,,88.99317566,44.27748216
5.0,0.20690569,0.00185108,3.727e-05,7987991.527188335,0.02564787750094885,,118.08498374,44.2260859
6.0,0.20645088,0.00225672,4.633e-05,7869860.834835758,0.025263595591770646,,137.03422607,44.04307804
7.0,0.20608258,0.00264237,5.274e-05,7833856.689497557,0.02514415046403922,,153.05874486,44.06432714
8.0,0.20575423,0.00296034,5.804e-05,7756581.687281814,0.024892637405314787,,166.22362497,43.97335443
9.0,0.20515252,0.00333509,6.658e-05,7719739.145072818,0.024767484237721422,,192.135971,43.84081318
10.0,0.20461375,0.00362259,7.524e-05,7736463.995873624,0.024814754335551557,,216.44774571,43.70946718
11.0,0.20414054,0.00391943,8.625e-05,7767788.338859819,0.024909621520581175,,238.34651395,43.55487999
12.0,0.20381585,0.00421099,9.764e-05,7624728.336132515,0.02444723129978418,,248.09046361,43.42858065
13.0,0.20359515,0.00444077,0.00010322,7528091.376931483,0.02413506368613216,,254.42025814,43.28767256
14.0,0.20334955,0.0046819,0.00010844,7487643.538805568,0.024002794181195285,,263.52831566,43.12312485
15.0,0.20291111,0.00491359,0.00011705,7514356.903229769,0.02408325785655817,,283.19913354,43.01276234
16.0,0.20255795,0.005155,0.00012688,7587414.429606494,0.02431327571063042,,301.15856496,42.80916941
17.0,0.20235932,0.00534983,0.00013301,7575241.795076629,0.024272089876172197,,309.20520304,42.68233885
18.0,0.2022417,0.00557145,0.00013737,7421346.032422001,0.023777983446477517,,307.87127623,42.52947815
19.0,0.20216027,0.00574897,0.00014526,7423532.772256426,0.02378426973102673,,311.38652999,42.40955354
20.0,0.20201897,0.00588942,0.00015387,7506089.111012849,0.02404715878784662,,320.85054341,42.23597496
21.0,0.20189648,0.00603565,0.00015818,7545864.411672913,0.02417330039596793,,327.77910896,42.08444233
22.0,0.2018919,0.00609783,0.00015723,7580697.229954223,0.024285010328188233,,329.49059459,41.92294917
23.0,0.20193521,0.00609763,0.00015763,7536537.368728261,0.02414409815304493,,325.72686254,41.76849478
24.0,0.20195147,0.00614408,0.00015503,7666101.08264294,0.024559556768747867,,330.62420384,41.63834405
25.0,0.20200332,0.00619301,0.00015412,7463137.884148992,0.023910143587458646,,319.68562615,41.45400811
26.0,0.20202995,0.00619573,0.00015162,7495990.798033889,0.02401579272998106,,319.96484939,41.34245034
27.0,0.20206868,0.00621228,0.00014857,7493505.104841926,0.02400842721809047,,318.21892532,41.16409072
28.0,0.20207387,0.00620809,0.00014683,7552441.342991405,0.02419734089311974,,320.50055103,41.06939942
29.0,0.20213008,0.00622435,0.00014605,7418461.381450477,0.023768855192498165,,312.45685929,40.90896872
30.0,0.20217166,0.00622431,0.00014281,7418709.514726488,0.023770238592392252,,310.72303846,40.76965431
31.0,0.20227149,0.00624393,0.00013596,7430109.519695435,0.023808213751048173,,307.00508302,40.64043323
32.0,0.20229192,0.00627157,0.00013018,7465407.923324427,0.02392175766316639,,307.60229975,40.52900826
33.0,0.20230025,0.00626649,0.00012438,7373150.841213656,0.023626328907235938,,303.4541538,40.37216335
34.0,0.20223977,0.00630486,0.00012105,7355614.657449701,0.023569529310204763,,305.25299411,40.24599682
35.0,0.20216993,0.0063498,0.00012287,7318840.189677121,0.023450897349757346,,306.62047898,40.11252592
36.0,0.20205404,0.00644003,0.00012325,7320269.550128301,0.023454241653046534,,311.48193,39.96550871
37.0,0.20191345,0.00650725,0.0001248,7378845.397920283,0.02364027811732208,,319.84076435,39.83735008
38.0,0.20169489,0.00659194,0.00012611,7338744.799357565,0.02350923033132662,,327.16463733,39.66244344
39.0,0.20164518,0.00664067,0.00012679,7363158.80650425,0.023586920310793725,,330.32061298,39.5244571
40.0,0.2016399,0.00667631,0.00012518,7316996.977742311,0.023439099871829704,,328.46970552,39.34144923
41.0,0.20164539,0.00672764,0.00012148,7266299.611289723,0.02327696145472555,,325.97145227,39.24981249
42.0,0.20164874,0.00676146,0.00012204,7272299.740712874,0.0232963008928469,,326.10400179,39.11647439
43.0,0.20165392,0.00679072,0.00012222,7321326.992538716,0.023453493723837322,,328.08925121,39.02497046
44.0,0.2016153,0.00681588,0.00012193,7255171.092009946,0.023241151454641864,,326.70728975,38.89960077
45.0,0.20159629,0.00687326,0.00012037,7281833.527523287,0.023326496175179838,,328.69148913,38.76320812
46.0,0.20139074,0.00690598,0.00012355,7191958.397002198,0.023036060706535324,,332.97236793,38.62880756
47.0,0.20099916,0.00696088,0.00013235,7273435.447636996,0.02329207606710252,,352.78387541,38.50051613
48.0,0.20094477,0.00701221,0.00013994,7338204.426812702,0.023498792706795012,,358.17043716,38.3511084
49.0,0.20094335,0.00700758,0.00014185,7323011.390934689,0.02345007699205577,,357.4868053,38.20435681
50.0,0.20088947,0.00703424,0.00014182,7243630.327368996,0.023195268438038225,,355.80756595,38.08961167
51.0,0.20082817,0.00711731,0.00014635,7122243.622390458,0.022805938678973736,,352.30168594,37.94936761
52.0,0.20077206,0.00718486,0.00014758,7249663.405913462,0.02321338805747603,,360.8934306,37.83209915
53.0,0.20070395,0.0072183,0.00014347,7123268.172719413,0.02280797972269819,,357.32998704,37.65613004
54.0,0.20058216,0.00723936,0.00014229,7127860.063883198,0.02282124064949275,,362.43697849,37.50233969
55.0,0.20039176,0.00728122,0.00013779,7065505.425190437,0.022619429787782874,,366.81940567,37.35306476
56.0,0.20024944,0.00737729,0.00013104,7206360.199222932,0.02306892718965929,,379.88940452,37.23486665
57.0,0.20014382,0.00749259,0.00012654,7197695.449426022,0.023040228799195383,,383.69944937,37.0618193
58.0,0.20012603,0.00757952,0.00012239,7125889.333856341,0.022810441517996653,,380.58666834,36.91134911
59.0,0.20013691,0.00759854,0.00011768,6963420.396825996,0.022290626761179284,,371.48709663,36.78890118
