Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20765957,0.00064421,1.714e-05,8465859.800572071,0.028666921360725694,,91.71458011,-300.52544903
1.0,0.2076739,0.00064038,1.707e-05,8429218.180921221,0.028543042874260485,,90.60943142,-300.53473844
2.0,0.20765957,0.0006535,1.774e-05,8404923.237191126,0.028460594505372,,91.05447502,-300.54572874
3.0,0.20764147,0.00060422,1.674e-05,8476514.704862202,0.028702626160873695,,92.72858393,-300.52610321
4.0,0.20767431,0.00062334,1.745e-05,8442200.862615438,0.028586951731175952,,90.72867944,-300.49862747
5.0,0.20766292,0.00064727,1.759e-05,8409014.335603455,0.02847448039540612,,90.93340778,-300.53356091
6.0,0.20764584,0.00066345,1.739e-05,8440099.962112833,0.028579548167287406,,92.11453693,-300.4973191
7.0,0.20766658,0.00065436,1.785e-05,8342526.606774691,0.0282494085245722,,90.03552679,-300.50255258
8.0,0.20766963,0.00062481,1.871e-05,8391820.334749563,0.028416264428697345,,90.41717998,-300.5172063
9.0,0.20764615,0.00061735,2.025e-05,8388713.598699598,0.028405353281091287,,91.53808325,-300.5207389
10.0,0.20770257,0.00061991,1.9e-05,8385676.370301655,0.02839591166389691,,88.73191443,-300.49967416
11.0,0.20771193,0.00061714,1.724e-05,8411241.96100669,0.028482645819742445,,88.54135652,-300.51615961
12.0,0.20765855,0.00060512,1.824e-05,8416587.675796658,0.028499922584456272,,91.23049168,-300.51982304
13.0,0.20770257,0.00061176,1.679e-05,8371208.912013726,0.02834694285203022,,88.57889605,-300.52387898
14.0,0.20766038,0.00060715,1.807e-05,8447943.688512499,0.028606135192850324,,91.47980115,-300.53447677
15.0,0.2076857,0.00059382,1.629e-05,8388162.557799105,0.02840406687260426,,89.58792056,-300.53382259
16.0,0.20770247,0.00062998,1.466e-05,8378309.777673762,0.028371085021002152,,88.65933331,-300.55357895
17.0,0.20769037,0.00064882,1.417e-05,8428595.028984448,0.028541255882200765,,89.78937084,-300.53382259
18.0,0.20770633,0.00064731,1.495e-05,8407630.478716336,0.028470473612350434,,88.77935005,-300.46526407
19.0,0.20768956,0.00061253,1.218e-05,8422817.757467443,0.02852161377013033,,89.76776794,-300.5715036
20.0,0.20771609,0.00061298,1.091e-05,8408923.15149951,0.02847497264454476,,88.31184704,-300.53761685
21.0,0.20764025,0.00059721,9.8e-06,8511570.391300593,0.028821436493912084,,93.17332809,-300.52741158
22.0,0.20765997,0.00060569,9.35e-06,8434311.268518927,0.028560145052023634,,91.35284887,-300.51210367
23.0,0.20767248,0.00062301,1.223e-05,8433224.790932339,0.028556638398789663,,90.72300493,-300.51445873
24.0,0.20765367,0.00060137,1.546e-05,8411097.91753811,0.028481309734620024,,91.41168008,-300.52675739
25.0,0.20767339,0.00058954,1.752e-05,8436496.844209155,0.02856752071657171,,90.71229368,-300.51249618
26.0,0.20765652,0.00056973,1.798e-05,8404287.615724053,0.0284581430881772,,91.19699184,-300.51354287
27.0,0.20767777,0.00060732,1.912e-05,8498635.664406769,0.028778017897919936,,91.16274654,-300.53251422
28.0,0.20764544,0.00059876,1.886e-05,8405644.201301802,0.028462645782393634,,91.75779987,-300.51236534
29.0,0.20765052,0.00058624,1.782e-05,8459477.657086061,0.028644990759466436,,92.09340788,-300.5381402
30.0,0.20768844,0.00060463,1.72e-05,8424208.577159254,0.028526179107285318,,89.83740685,-300.52400982
31.0,0.20765387,0.00059623,1.74e-05,8454341.282038629,0.02862768552302637,,91.87139433,-300.52178559
32.0,0.20765764,0.00057385,1.78e-05,8411164.64164638,0.028481461878629384,,91.2165424,-300.53356091
33.0,0.20769912,0.00057034,1.843e-05,8445456.165244352,0.0285981536799836,,89.53515666,-300.50909442
34.0,0.20769078,0.00057625,1.849e-05,8414398.189999789,0.028492881013145448,,89.61711102,-300.51786049
35.0,0.20769881,0.00060373,1.75e-05,8416075.38610806,0.02849877871003237,,89.23909307,-300.47193675
36.0,0.2076735,0.00062448,1.585e-05,8367848.391454603,0.028335204533146235,,89.96961447,-300.52270145
37.0,0.20768997,0.00061306,1.623e-05,8388095.157553739,0.02840395850292778,,89.37745234,-300.53343007
38.0,0.20768834,0.0005906,1.738e-05,8373978.213220358,0.028356041397422007,,89.30658728,-300.55527983
39.0,0.20770379,0.00059537,1.558e-05,8424674.818787392,0.02852798507198894,,89.08431737,-300.50307592
40.0,0.20771548,0.00063145,1.714e-05,8412808.283597136,0.0284880457207083,,88.38250178,-300.54572874
41.0,0.20768,0.00062933,1.938e-05,8426347.309199635,0.02853332824271572,,90.27705705,-300.53015915
42.0,0.20771711,0.00061995,1.982e-05,8343950.193129509,0.028254807491668258,,87.57925738,-300.51288869
43.0,0.20768071,0.00059908,2.043e-05,8465757.882651184,0.028666677767452027,,90.66361976,-300.50804772
44.0,0.20768742,0.00061763,2.147e-05,8402610.395767052,0.028452978520833287,,89.65699294,-300.54965385
45.0,0.20771477,0.00064535,2.092e-05,8399490.819306497,0.028442902017536395,,88.27751878,-300.49535655
46.0,0.20768102,0.00064197,2.016e-05,8410008.76941412,0.02847803886123554,,90.0519669,-300.49640324
47.0,0.20770044,0.00064808,1.948e-05,8375068.524809042,0.028360034355437956,,88.72471071,-300.53094417
48.0,0.20768163,0.00065142,2.003e-05,8434939.756896669,0.028562500210727055,,90.28886189,-300.52675739
49.0,0.207686,0.00062766,1.957e-05,8369338.075244677,0.02834036035975706,,89.37201157,-300.52479484
50.0,0.20767929,0.00061396,1.74e-05,8364014.029580201,0.028322240142739964,,89.64411124,-300.53486928
51.0,0.20769535,0.00063553,1.453e-05,8389831.31520622,0.028410016961204276,,89.13129529,-300.54128029
