Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20948676,0.00065796,1.02e-05,8406612.369826142,0.027013439532469475,,2.2373287,73.86476606
1.0,0.20950526,0.00062584,7.73e-06,8361145.493881395,0.026867544521129005,,1.31943218,73.81363063
2.0,0.20944935,0.00062109,7.96e-06,8385394.466058234,0.02694469331815426,,4.06823348,73.79050737
3.0,0.20947873,0.00073072,9.03e-06,8431741.103228576,0.027094307988441788,,2.6405076,73.74426086
4.0,0.20929127,0.00102329,9.39e-06,7889014.021336986,0.0253487156274617,,11.12551153,73.64635038
5.0,0.20860558,0.00139647,1.275e-05,7770016.229168645,0.02495866283408305,,42.07441307,73.6415936
6.0,0.20789437,0.00197482,1.769e-05,7773651.276074806,0.024962781022911065,,74.27955455,73.48884797
7.0,0.20708811,0.00256568,2.296e-05,7902548.979658925,0.025367754567780263,,112.47189309,73.35631868
8.0,0.20669581,0.00295015,2.781e-05,7976439.3564225705,0.02560075178759683,,131.62611546,73.23726694
9.0,0.20666765,0.00320341,3.13e-05,7932159.76259069,0.02545888773414291,,132.18923194,73.19313456
10.0,0.20668025,0.00336634,3.228e-05,7991780.566164021,0.02565083829440345,,132.60294797,73.08346425
11.0,0.2066646,0.00340883,3.286e-05,7953606.994935522,0.025528213818918906,,132.68954709,73.01990833
12.0,0.20668422,0.0033833,3.454e-05,7949520.937558429,0.0255152554875739,,131.71966653,72.94432832
13.0,0.20669215,0.00336377,3.766e-05,8036986.171933785,0.02579598160094874,,132.80010005,72.88764331
14.0,0.20677327,0.00333812,3.893e-05,8061307.8805242935,0.025875029203948016,,129.42190472,72.84470012
15.0,0.20692362,0.003266,3.704e-05,7995768.396237852,0.025666479871765173,,121.4169677,72.77823727
16.0,0.20695311,0.00322045,3.365e-05,7959558.106329577,0.025550570291180765,,119.50929162,72.68495145
17.0,0.20701166,0.00316144,3.162e-05,7984309.979413516,0.02563067103487395,,117.17507068,72.63408028
18.0,0.20707428,0.00311959,2.967e-05,8020373.214077726,0.025747186375344927,,114.79690745,72.5879659
19.0,0.20711098,0.0030406,2.79e-05,8053164.341073471,0.02585275517653505,,113.55442114,72.51450001
20.0,0.20716588,0.00296269,2.708e-05,8023534.561516433,0.025758161498185078,,110.58521956,72.47855987
21.0,0.20712786,0.00291855,2.943e-05,7974781.891716005,0.025600987516075282,,111.66838474,72.40694384
22.0,0.20719343,0.00288716,3.098e-05,7920870.103373753,0.025428656890079837,,107.90519865,72.34946603
23.0,0.20719383,0.00290259,2.878e-05,7888733.908345567,0.025325576297925298,,107.44917887,72.32211452
24.0,0.20717523,0.00290223,3.014e-05,8030040.576586269,0.02577894796655204,,110.23897933,72.26291898
25.0,0.2071917,0.00288756,2.888e-05,8025704.777416829,0.02576522928029796,,109.41385946,72.22420405
26.0,0.20727313,0.00287413,2.676e-05,8057075.587702725,0.025867020061409642,,106.04075442,72.14043179
27.0,0.20728929,0.00282903,2.469e-05,8052220.8294427125,0.025851562711674766,,105.22232746,72.10409525
28.0,0.20731908,0.00280571,2.275e-05,8025128.726571406,0.025764948604139064,,103.48292753,72.09339248
29.0,0.2073326,0.00279132,2.599e-05,7918166.455779126,0.025421619159785847,,101.48277948,72.00737397
30.0,0.2073451,0.00273789,2.862e-05,8013658.004513973,0.025728167852614676,,102.12507621,71.9460643
31.0,0.20737326,0.00270035,2.803e-05,8015818.556207349,0.025735382966760628,,100.84382222,71.90219618
32.0,0.20741881,0.00267671,2.82e-05,7986595.179559723,0.025642087805888683,,98.36710398,71.83705467
33.0,0.2074367,0.00263547,2.995e-05,8017524.793578048,0.02574148116419143,,97.91570074,71.80388931
34.0,0.2074491,0.00259981,3.07e-05,8041305.774039192,0.025817885149728523,,97.62737373,71.75222535
35.0,0.20743528,0.00260222,2.982e-05,8062524.28760315,0.025885851248711345,,98.53146748,71.67387054
36.0,0.20745866,0.00260105,2.716e-05,8078447.928451596,0.025937332830662997,,97.63089033,71.66951016
37.0,0.20745805,0.00259193,2.468e-05,8050759.354792957,0.025848447326724224,,97.32482428,71.616657
38.0,0.20747502,0.00257243,2.209e-05,8041695.935748875,0.025819566436032,,96.42345768,71.58970189
39.0,0.20752474,0.00260475,2.076e-05,8021690.421566238,0.025756100782295458,,93.87094075,71.55336534
40.0,0.20751274,0.00261066,2.316e-05,7998477.691189607,0.025681383204681076,,94.15579453,71.4872989
41.0,0.20755971,0.0025416,2.643e-05,8004747.608334405,0.02570188040394602,,92.04759508,71.45162302
42.0,0.20756621,0.00257521,2.721e-05,8017570.959137072,0.02574321637373709,,91.89266168,71.4567762
43.0,0.20758014,0.00253557,2.656e-05,7960580.282903298,0.025560313998000572,,90.59580869,71.37630727
44.0,0.20757577,0.00254192,2.801e-05,8013409.625885903,0.02572987447721164,,91.40026325,71.32292558
45.0,0.20758482,0.00249609,2.886e-05,8035067.024140905,0.025799390808511243,,91.22493837,71.32001865
46.0,0.2075777,0.00247394,2.536e-05,8060356.883968919,0.025880504117761247,,91.84491583,71.26954389
47.0,0.2075714,0.00248403,2.676e-05,8038556.499588829,0.025810424999247156,,91.89050207,71.22039045
48.0,0.20758909,0.00247583,2.613e-05,8072338.233841043,0.025919115371861336,,91.44807428,71.18537523
49.0,0.20759966,0.0024444,2.585e-05,8086109.375266379,0.02596339114214769,,91.10768885,71.12789743
50.0,0.20762446,0.00245541,2.743e-05,8095675.956631986,0.02599443693339558,,90.0500608,71.07795119
51.0,0.20760545,0.00242908,2.842e-05,8120666.442901003,0.026074334870275367,,91.2236533,71.02509803
52.0,0.20763951,0.00243053,2.659e-05,8128979.901897113,0.026101519932490127,,89.71045803,71.00395677
53.0,0.20766553,0.00244749,2.791e-05,7998189.076717807,0.025681922543711235,,87.05889639,70.96220278
54.0,0.20769725,0.0024329,2.959e-05,8023104.947781152,0.025762271227841686,,85.85252473,70.92784822
