Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20943255,0.00068345,4.13e-06,961.4422784746587,0.027306540778167847,,5.51192247,70.82168349
1.0,0.20943306,0.0007189,5.37e-06,957.76052217342,0.027202056678141948,,5.46233418,70.8450028
2.0,0.20940774,0.00072808,6.99e-06,956.2944524057252,0.027160067526754407,,6.87083593,70.88194689
3.0,0.20946864,0.00074995,6.95e-06,955.4652448452572,0.02713740799395561,,3.45911062,70.8537803
4.0,0.20944495,0.00076147,3.46e-06,955.8048196384508,0.027146831871454356,,4.78573421,70.85875858
5.0,0.2094721,0.00076143,3e-06,958.5079299007931,0.0272239849396102,,3.27617735,70.85233922
6.0,0.20945766,0.00072506,8e-07,956.6418043699119,0.02717072532162239,,4.07827188,70.88089883
7.0,0.2094782,0.00071817,-9.9e-07,949.4498131450894,0.026966749790870912,,2.90615132,70.88430503
8.0,0.20951755,0.00072973,-2.77e-06,955.7505771147755,0.027146309935508626,,0.72374883,70.85443534
9.0,0.20948064,0.00071918,-1.77e-06,960.1103759186757,0.027269588025110557,,2.80163427,70.89609569
10.0,0.20950779,0.00072123,1.41e-06,954.6986984679465,0.02711619470741742,,1.268542,70.89596469
11.0,0.20946976,0.00072325,4.37e-06,964.5660618824575,0.027395881759804463,,3.42890676,70.65766221
12.0,0.20950372,0.00068132,6.76e-06,958.0089077959368,0.02720993957124,,1.50103919,69.88275337
13.0,0.20950138,0.00067693,5.44e-06,953.6208225102021,0.027085288177072623,,1.62472452,68.91866984
14.0,0.20949681,0.00068394,5.33e-06,952.5646037589634,0.027055248990749486,,1.87808281,68.70355568
15.0,0.20952263,0.00070573,5.26e-06,948.0942294042796,0.026928690090906402,,0.43573923,69.08832444
16.0,0.20948542,0.00068954,6.06e-06,955.1869140438015,0.027129576145887003,,2.52003314,69.21972488
17.0,0.20954886,0.00066477,6.34e-06,954.3753483822481,0.027107310731815517,,-1.02730788,69.35544855
18.0,0.20956777,0.00066078,5.79e-06,954.7825841691545,0.027119133586069082,,-2.08514607,70.31219567
19.0,0.20951836,0.00067689,2.58e-06,961.9560283738257,0.027322318120617563,,0.68262851,70.87565854
20.0,0.20946335,0.00064229,1.01e-06,963.9863713357664,0.027379163081619303,,3.78827072,70.8943926
21.0,0.20930922,0.00061571,2.25e-06,961.0845382666503,0.027294535391629963,,12.44494193,70.86150974
22.0,0.20936067,0.00064886,3.53e-06,961.9503949175615,0.027319900361683785,,9.56111016,70.89164144
23.0,0.20971621,0.00064793,1.28e-06,957.2747416991726,0.027191989560014587,,-10.41563265,70.89727476
24.0,0.20965399,0.00063343,5.7e-07,954.663763109721,0.027116952469797458,,-6.90634149,70.89373756
25.0,0.20963538,0.00064108,-1.25e-06,956.2901533311148,0.02716295436474229,,-5.87569957,70.84893303
26.0,0.20956838,0.00064084,7.4e-07,965.7400659920944,0.027430415077691655,,-2.14358212,70.89661972
27.0,0.20942025,0.0006319,3.64e-06,966.4836598761368,0.02744941623583482,,6.23666366,70.90421815
28.0,0.20948643,0.00064821,5.76e-06,959.2448482340333,0.027244732590933518,,2.47363334,70.92465531
29.0,0.20952161,0.000623,6.56e-06,963.6017685799959,0.027368872900595063,,0.50022651,70.89360655
30.0,0.20952426,0.00060749,3.84e-06,963.6493739285321,0.027370270564892794,,0.35109609,70.88391201
31.0,0.20953178,0.00060085,2.2e-07,960.4655208879569,0.027279995489610357,,-0.0731907,70.8556144
32.0,0.20949813,0.00061732,1.31e-06,960.242237940304,0.027273219784529793,,1.8189072,70.89478562
33.0,0.20954276,0.00060584,2.89e-06,956.7981507316498,0.027175942757642988,,-0.688117,70.88312596
34.0,0.20946813,0.00060854,3.83e-06,959.553655023543,0.027253178114708905,,3.50242266,70.85404232
35.0,0.20949986,0.00063089,3.77e-06,962.7962456034604,0.02734577386014618,,1.72631709,70.87526552
36.0,0.20949416,0.00061047,4.91e-06,952.4339807547634,0.027051302649238766,,2.02521124,70.85928261
37.0,0.20950636,0.00060745,4.56e-06,964.3470917660424,0.027389827815377642,,1.36171034,70.83530826
38.0,0.20954195,0.00058615,2.19e-06,966.0275109586354,0.02743803037636361,,-0.64874212,70.86150974
39.0,0.20953981,0.00059501,3.4e-06,961.8683388642406,0.02731986987862657,,-0.52568988,70.86688104
40.0,0.20957814,0.00059565,4.86e-06,964.6648331237575,0.027399797029518377,,-2.69261855,70.85076713
41.0,0.20961525,0.00059187,5.21e-06,957.2377326477568,0.027189328968811138,,-4.75259541,70.830723
42.0,0.20957774,0.0006048,5.44e-06,954.6837635663691,0.027116309593186727,,-2.64202093,70.83989352
43.0,0.20951683,0.00060125,7.05e-06,954.8450696095076,0.027120022763100445,,0.76283731,70.82613774
44.0,0.20954713,0.00061273,7.44e-06,954.8046804936749,0.027119311998308873,,-0.93112267,70.81434707
45.0,0.20953859,0.00058627,7.48e-06,966.7879979263223,0.02745947966738387,,-0.45930638,70.82102845
46.0,0.20953666,0.00059972,6.54e-06,960.6040547384611,0.027283869088914933,,-0.34770847,70.81631218
47.0,0.20957184,0.00055586,3.62e-06,963.9668502375639,0.027379795810909716,,-2.33477934,70.82286255
48.0,0.20951999,0.00057821,7.7e-07,961.0055252804307,0.027295096361896688,,0.59041353,70.79233783
49.0,0.20955801,0.0005582,-2.5e-07,958.7575006658969,0.027231727665292995,,-1.54577811,70.830854
50.0,0.2095758,0.00060137,-1.82e-06,963.2005536385607,0.027358322852617835,,-2.55662772,70.80832073
51.0,0.20956523,0.00063065,-1.15e-06,966.2735048688445,0.02744553148140151,,-1.96640492,70.79692308
52.0,0.20954164,0.00063553,1.01e-06,960.6824691297002,0.027286375856420436,,-0.62799763,70.79705409
53.0,0.20955811,0.0005884,3.02e-06,963.4813282375718,0.027365922673572036,,-1.55913216,70.81552614
54.0,0.20955394,0.00056657,5.07e-06,964.7779384462474,0.027402589965938827,,-1.32570643,70.80543857
55.0,0.20954713,0.00057084,7.48e-06,957.2640586687327,0.02718904539118505,,-0.93351693,70.79508898
56.0,0.2095453,0.00061035,6.17e-06,955.4861676284794,0.02713866153592356,,-0.82938998,70.7741278
57.0,0.20954683,0.0005532,2.15e-06,952.9023285955811,0.02706520979112517,,-0.91224507,70.82797184
58.0,0.20958557,0.00055904,3.36e-06,956.118764815138,0.027157085381752134,,-3.08438201,70.7813332
59.0,0.20955618,0.00055034,2.85e-06,965.0966452392005,0.027411670201565094,,-1.45256095,70.79286185
60.0,0.20957621,0.00052884,1.89e-06,961.2461106473165,0.027302534367718147,,-2.57430919,70.79561301
61.0,0.20952446,0.00057922,4.26e-06,951.8805027059957,0.027035916806627494,,0.3354737,70.77098362
62.0,0.20950972,0.0005969,3.25e-06,959.306010581605,0.027246690176641036,,1.1661462,70.77190067
63.0,0.20952405,0.00062771,2.68e-06,964.3387206092812,0.02738992809407955,,0.36283009,70.76954254
64.0,0.20953941,0.00061623,2.89e-06,953.165793196488,0.027072757011749618,,-0.49823584,70.80648663
65.0,0.20953666,0.0006021,5.15e-06,966.0707121038446,0.027439172011180474,,-0.34968764,70.78958667
66.0,0.20956116,0.00054543,3.32e-06,958.7759507797815,0.027232187917031952,,-1.72277146,70.78997969
67.0,0.20956086,0.0005903,2.26e-06,962.8480205180203,0.027347992832847706,,-1.71289876,70.77858205
68.0,0.20953097,0.00056315,2.75e-06,951.5471864947697,0.027026521731753364,,-0.02719146,70.76797045
69.0,0.20956686,0.00054104,3.62e-06,941.6809414778573,0.026746695220127067,,-2.00604677,70.77347276
70.0,0.20954195,0.0005911,3.57e-06,952.4847456785056,0.027053362983893853,,-0.63964708,70.76076504
71.0,0.20955791,0.00062095,4.65e-06,955.172923712155,0.027129995666175088,,-1.53431626,70.74347206
72.0,0.20956645,0.00059787,5.91e-06,962.7171385540611,0.027344301482202304,,-2.02793914,70.74124493
73.0,0.20951714,0.0006079,5.18e-06,968.7397402822304,0.027514727317091935,,0.75663892,70.75879993
74.0,0.20955639,0.00056404,2.4e-06,967.154797231557,0.02747017926702062,,-1.46717824,70.73364651
75.0,0.20951999,0.0005913,3.39e-06,956.807427741859,0.02717584519220777,,0.58783404,69.47492732
76.0,0.20955944,0.00051409,5.91e-06,949.7998292824096,0.026977076022683327,,-1.61049484,69.13443905
77.0,0.20951531,0.00049069,7.66e-06,956.8964422625924,0.027177938896692802,,0.84991102,69.18946216
78.0,0.20955364,0.00052698,6.2e-06,957.4223039693707,0.027193528602985878,,-1.29849113,69.30658279
79.0,0.20950951,0.0005791,4.39e-06,958.3295389087364,0.027218879800994734,,1.17636542,69.12893674
80.0,0.20946295,0.00061249,2.94e-06,961.4790530702048,0.027307821170168684,,3.80128912,69.43916229
81.0,0.20959095,0.00061233,4.64e-06,961.5353167278121,0.027311135188813264,,-3.40534526,69.74833978
82.0,0.20967331,0.00064189,6.36e-06,959.8062537198964,0.02726319698302274,,-8.02988979,69.93397728
83.0,0.20952954,0.00065357,5.11e-06,954.7598990951508,0.027117963180882994,,0.05229313,69.68362211
84.0,0.20958384,0.00066324,4.78e-06,950.6937602971113,0.02700324061263474,,-2.97066917,69.8248481
85.0,0.20954022,0.00060403,3.64e-06,941.5335255517734,0.026742327961065786,,-0.53699885,69.86952162
86.0,0.20958109,0.00060218,8.9e-07,955.2886608286045,0.02713361795718351,,-2.83142404,69.84174807
87.0,0.209539,0.00058784,-1.16e-06,947.3727417723923,0.026908210075568848,,-0.47264651,69.73039176
88.0,0.20956635,0.00059356,-2.64e-06,963.40425531794,0.027363973093946784,,-2.02366162,69.85275268
89.0,0.20957164,0.00061958,-3.56e-06,961.3719600071174,0.027306413944896375,,-2.3170729,69.67825081
90.0,0.20957997,0.00062695,-2.96e-06,971.8757485288808,0.02760488367224218,,-2.81694187,70.16952861
91.0,0.20959848,0.00065691,6.4e-07,961.0270499433913,0.027297007904887694,,-3.82708363,69.95939271
92.0,0.20953097,0.00062546,1.52e-06,958.1205268491333,0.027213424579699958,,-0.02737949,69.69305466
93.0,0.2095027,0.00060951,2.31e-06,959.1913113009243,0.027243391230851156,,1.55998202,69.87030767
94.0,0.20948328,0.00062638,6.29e-06,955.7894730924769,0.027146476653431447,,2.6410726,69.93410828
95.0,0.20954673,0.00061027,9e-06,951.3640946819373,0.027021546220177436,,-0.90510919,70.04729869
96.0,0.20947179,0.00059187,1.155e-05,957.3905899649992,0.027191593445983313,,3.28937395,69.83585272
97.0,0.20951114,0.00061201,1.188e-05,957.4110023030489,0.027192760102386644,,1.08404792,69.85118059
98.0,0.20949142,0.00063533,8.34e-06,964.1425491433617,0.02738381877627585,,2.20505692,69.55222169
99.0,0.20950067,0.00065639,4.69e-06,956.6666784515504,0.027171744814169434,,1.66977343,70.14437519
100.0,0.20949945,0.00067951,3.46e-06,961.5080882435172,0.027309326920036493,,1.74691018,69.86270924
101.0,0.20948816,0.00065083,4.81e-06,956.1374441778693,0.02715652489744092,,2.36887434,69.85484879
102.0,0.20950158,0.00063283,3.66e-06,961.5584822036427,0.027310649599298076,,1.6267953,69.81056829
103.0,0.20950951,0.00064648,1.66e-06,957.9897334093196,0.027209474612900825,,1.17595894,69.8337566
104.0,0.2095147,0.00064644,2.6e-06,954.7183041660091,0.02711660918996502,,0.88209369,69.9380385
105.0,0.2094721,0.00064064,5.27e-06,954.1124190790431,0.027098753511167892,,3.2611068,69.86388831
106.0,0.20950331,0.00065623,4.53e-06,960.2840796141853,0.02727452687409713,,1.52746728,69.84227208
107.0,0.20947251,0.00066795,3.75e-06,968.4040240551833,0.027504779184852172,,3.28691316,69.77506529
108.0,0.20945847,0.00066183,6.8e-06,959.4393209845842,0.027249892915143088,,4.04447373,69.81174736
109.0,0.20947535,0.0006837,8.83e-06,960.617448287738,0.02728360726874544,,3.10039126,69.8036249
110.0,0.20946763,0.00069703,6.46e-06,951.871808576076,0.02703519184061189,,3.50273505,69.84266511
111.0,0.20946163,0.00070323,3.58e-06,958.1757812358453,0.027214230694213203,,3.86239692,69.80690009
112.0,0.20944739,0.00068486,3.35e-06,951.7227907775336,0.027030711572242665,,4.62932853,69.85406275
113.0,0.20944607,0.00068893,4.37e-06,951.91263734832,0.02703607731401666,,4.70389356,69.45475217
114.0,0.20940255,0.00067616,5.72e-06,952.8218912660329,0.02706124894443412,,7.13497987,69.78371178
115.0,0.20935955,0.00065071,4.05e-06,957.1545321675125,0.027183675116299422,,9.57607116,69.7505669
116.0,0.20940662,0.00064829,4.52e-06,967.4452681224262,0.02747656930315445,,7.01422489,69.96397798
117.0,0.20945451,0.0006404,5.1e-06,964.1059684230739,0.027382352246631485,,4.28790985,69.55968911
118.0,0.20944688,0.00063984,3.97e-06,955.9355241844939,0.027150213654295492,,4.67823972,69.77375521
119.0,0.20943773,0.00061917,2.53e-06,958.5825077706977,0.027225236974207805,,5.20458312,69.86546039
120.0,0.20944932,0.00065756,4.93e-06,956.9513084413518,0.027179128610670546,,4.54653994,69.80912721
121.0,0.20945065,0.00066843,5.07e-06,951.297587521068,0.02701859893110377,,4.44608707,69.88249136
122.0,0.2094719,0.00065373,4.45e-06,954.631911861711,0.02711355878606974,,3.27425222,69.77048002
123.0,0.20946091,0.00066022,3.43e-06,949.7680940469478,0.026975305874433968,,3.868056,69.80414893
124.0,0.20947393,0.00064753,3.33e-06,955.4390368323662,0.027136514729265985,,3.16329053,69.70707244
125.0,0.20950423,0.00064209,7.4e-06,954.3106948571777,0.027104783497921756,,1.46683466,69.75292503
126.0,0.20946366,0.00067476,7.11e-06,956.342768929636,0.027162046380224462,,3.74115421,69.7948474
127.0,0.20945695,0.00066243,4.2e-06,956.3408260073502,0.02716192186080508,,4.11679226,69.68480118
128.0,0.2095211,0.00064624,2.42e-06,958.378700874234,0.027220664647448607,,0.52604456,69.64196175
129.0,0.20947047,0.00060818,1.95e-06,957.9549595513322,0.02720783990270322,,3.36546012,69.79393036
130.0,0.2094481,0.00059622,1.2e-06,960.5542157899764,0.027281338785875714,,4.63223594,69.88091928
131.0,0.20942106,0.00063375,2e-06,962.8905839616091,0.02734741695400101,,6.16765079,69.8919239
132.0,0.20942716,0.00067653,4.46e-06,964.015987348315,0.027379537966358676,,5.83070147,69.93594239
133.0,0.20943265,0.00071241,8.27e-06,973.4715703422239,0.02764819516465726,,5.57509359,69.31260915
134.0,0.20947942,0.00072107,8.04e-06,963.9380344993823,0.0273780979246879,,2.88163209,69.33985869
135.0,0.20944821,0.00070943,6.01e-06,968.693423333836,0.027512738739392247,,4.6657615,69.86336428
136.0,0.20945248,0.00067391,4.89e-06,954.9146891652057,0.027121375259947667,,4.36070449,69.7736242
137.0,0.20944993,0.0006785,5.4e-06,955.1635506904219,0.027128411814325085,,4.50394905,69.72384138
138.0,0.20948247,0.00064825,8.48e-06,953.8713052010092,0.027092004894539678,,2.6811937,69.82537213
139.0,0.2094663,0.00060705,8.96e-06,945.9122108261373,0.026865606304931507,,3.55395057,69.68126398
140.0,0.20949396,0.00057487,7.2e-06,956.8363170253583,0.027176189813023745,,2.04595192,69.65034623
141.0,0.2094297,0.00056609,6.86e-06,958.7866525003436,0.02723068842255618,,5.65636609,69.44898784
142.0,0.2095816,0.00056867,9.5e-06,959.8007247927015,0.02726151829059252,,-2.87334678,69.71978015
143.0,0.20948196,0.00059976,8.04e-06,952.0439894650185,0.02703996922551148,,2.70437724,69.53165352
144.0,0.20949233,0.00062562,1.057e-05,965.7813303726762,0.02743030419187122,,2.15706207,69.25771704
145.0,0.20962003,0.00062417,1.079e-05,962.1556301454561,0.027329064476502324,,-5.04633959,68.96491549
146.0,0.20946976,0.00063484,7.72e-06,966.312085966191,0.02744515164834172,,3.43507346,69.47741645
147.0,0.20951317,0.00062336,5.81e-06,961.2352471980876,0.027301557809214793,,0.97394256,69.52117292
148.0,0.20954906,0.00063504,9.19e-06,958.7569556218351,0.027231624082430895,,-1.04343564,69.7648467
149.0,0.20952975,0.00061273,1.167e-05,957.6749334741573,0.027200516005024933,,0.04104968,69.76772887
150.0,0.20952446,0.00063303,1.433e-05,955.3098708900983,0.02713327573999487,,0.33668177,69.67772678
151.0,0.20952578,0.0006603,1.243e-05,954.9741690266493,0.027123873727648903,,0.26265788,69.62388273
152.0,0.20950087,0.00066654,9.12e-06,953.8352590811298,0.027091270225319257,,1.65347246,69.75882036
153.0,0.20951419,0.00064125,7.13e-06,957.1423026309104,0.027185346640916593,,0.91281881,69.67798879
154.0,0.20952202,0.00060729,5.72e-06,947.3767130991813,0.02690801532372268,,0.4692439,69.64038966
155.0,0.20950829,0.00060882,5.69e-06,960.5158862434176,0.02728102017420268,,1.24766413,69.66501906
156.0,0.20946752,0.0006172,6.72e-06,964.1552449705446,0.02738383149820613,,3.55364394,69.29662623
157.0,0.20946386,0.00063673,9.97e-06,956.1357425790271,0.02715600458094659,,3.72894089,69.46248161
158.0,0.20949487,0.00062518,1.141e-05,959.9596794936566,0.02726497343512514,,2.00120926,69.681657
159.0,0.20946661,0.00062977,1.299e-05,953.4825900470187,0.027080608607804316,,3.56536789,69.67563066
160.0,0.20950036,0.00066303,1.227e-05,948.4734582196108,0.026938903755971858,,1.67240238,69.58929677
161.0,0.20949304,0.00068664,1.172e-05,956.465516067495,0.027165875765246924,,2.09641504,69.67301051
162.0,0.2095085,0.00070814,9.34e-06,953.6835781282675,0.02708717956936108,,1.22744483,69.71414684
163.0,0.20950657,0.00069812,8.57e-06,956.6676598866917,0.027171895802881586,,1.33948597,69.52208998
164.0,0.20948135,0.00071676,9.44e-06,956.4790383193169,0.027166231444807044,,2.7511639,69.47663042
165.0,0.20946783,0.00072369,1.093e-05,957.7374123809225,0.027201778501482678,,3.51291786,69.4923513
166.0,0.20943031,0.00071225,9.73e-06,950.7442791198634,0.02700264206904223,,5.57504992,69.60187349
167.0,0.20943448,0.00073058,9.22e-06,948.9507107536393,0.026951820013957066,,5.33302508,69.65977876
168.0,0.20944566,0.00073827,1.068e-05,962.2633156560137,0.02733006702962762,,4.77795028,69.63488735
169.0,0.2094175,0.00073747,1.194e-05,964.6378096103455,0.027397093247002992,,6.37975889,69.46326765
170.0,0.20942197,0.00071829,9.75e-06,957.2434945033899,0.027187133302840793,,6.08023638,69.54436123
171.0,0.20944607,0.00069775,8.71e-06,952.3158293760911,0.02704746891837256,,4.70587557,69.65126328
172.0,0.20945024,0.0006926,8.62e-06,955.587860079026,0.0271404442185134,,4.48888563,69.62126258
173.0,0.20944739,0.00066312,7.78e-06,949.0515788265176,0.026954696311058318,,4.61631003,69.36697723
174.0,0.20945725,0.000682,8.09e-06,957.6040978552421,0.027197784722240916,,4.10513025,69.60541069
175.0,0.20945136,0.00067093,7.43e-06,959.6271901669986,0.027255145307087437,,4.44503476,69.48697999
176.0,0.20945797,0.00064616,6.93e-06,957.8721930325423,0.02720532938493576,,4.06636353,69.58143633
177.0,0.20944261,0.00065538,1.013e-05,953.0772831025788,0.027068900429303183,,4.90244927,69.60999594
178.0,0.20948318,0.0006723,1.073e-05,953.7014551250518,0.027087214764100833,,2.64098359,69.53191553
179.0,0.20947891,0.0006692,1.195e-05,952.1653365821951,0.02704349514668752,,2.87475076,69.54475425
180.0,0.20947434,0.00065997,1.266e-05,955.6185805503105,0.027141472174548893,,3.14111739,69.6249308
181.0,0.20945136,0.00064737,1.114e-05,955.898561734788,0.02714910556859587,,4.42774078,69.48750402
182.0,0.20948105,0.00067862,1.053e-05,949.7248746361754,0.026974264168873177,,2.74868171,69.6337083
183.0,0.20946376,0.00067645,1.251e-05,951.2596795060136,0.027017577187849095,,3.71559423,69.69528177
184.0,0.20946081,0.00067077,1.289e-05,954.2077557557677,0.027101244484425562,,3.89179372,69.40012207
185.0,0.20948308,0.00068148,1.075e-05,955.3055762941175,0.027132799723437583,,2.65111425,69.46156455
186.0,0.20947444,0.0006843,9.17e-06,961.5862251901806,0.027311105183948466,,3.15502591,69.47427227
187.0,0.20943956,0.00067045,9.83e-06,956.7221481266573,0.027172427718216152,,5.09200506,69.41911815
188.0,0.2094237,0.00070102,8.98e-06,949.8217240171845,0.026976333504354136,,5.9370074,69.48527689
189.0,0.20942147,0.00072446,1.016e-05,954.3862999373845,0.0271059874823643,,6.09048458,69.61471221
190.0,0.20945207,0.00072981,8.59e-06,952.3517228215575,0.027048663057740077,,4.37168483,69.59912233
191.0,0.20944709,0.00074753,7.13e-06,954.5729465889854,0.027111761597986766,,4.66025217,69.51291945
192.0,0.20942746,0.00072103,5.15e-06,963.8497265982691,0.027374934288266168,,5.81251408,69.57239682
193.0,0.20947708,0.00067939,4.1e-06,961.3002851280846,0.027303105937935584,,3.00533849,69.52182796
194.0,0.20947637,0.00063649,7.8e-06,951.7878799381486,0.02703272843608604,,3.01523239,69.52143494
195.0,0.20945217,0.00062916,1.05e-05,951.6901231755825,0.02702955072054565,,4.36293202,69.54226511
196.0,0.20945024,0.00063992,1.135e-05,948.9826229851722,0.02695264113224221,,4.45782399,69.416498
197.0,0.20945105,0.00067073,9.5e-06,955.4272757287524,0.027135814770208894,,4.44263142,69.52130393
198.0,0.20947057,0.00068921,8.26e-06,957.5580873468357,0.027196676642145985,,3.35838002,69.48711099
199.0,0.20946203,0.00070573,1.006e-05,956.9478105029216,0.027179239007405973,,3.8346491,69.57855417
200.0,0.20946691,0.00068712,9.83e-06,953.5094600220804,0.027081600738628267,,3.54847336,69.53807288
201.0,0.20942594,0.00065123,7.65e-06,955.0518455364783,0.02712479134722103,,5.84464991,69.57606503
202.0,0.20946844,0.00065462,8.06e-06,954.5264064130065,0.027110447028906744,,3.46703628,69.54174108
203.0,0.20945146,0.00065941,8.67e-06,957.5307035705594,0.027195545396340923,,4.42961603,69.47911954
204.0,0.2094599,0.00063931,1.031e-05,962.2967393947736,0.02733093463216094,,3.97632215,69.55706896
205.0,0.20945075,0.00063045,1.038e-05,958.3434839244222,0.027218503693412006,,4.4732793,69.74454056
206.0,0.2094537,0.00066207,1.176e-05,948.9138537817752,0.026950789386829918,,4.26550869,69.59230994
207.0,0.20945126,0.00068942,1.406e-05,949.9073521709765,0.026979006100967838,,4.40565251,69.53374963
208.0,0.20947098,0.00066803,1.447e-05,953.6957602708336,0.027086802148594397,,3.32210725,69.46156455
209.0,0.20944261,0.000699,1.62e-05,957.0121001631825,0.027180660694063587,,4.92269017,69.4377212
210.0,0.20945156,0.00070879,1.689e-05,948.8996552979811,0.026950389511497422,,4.38403776,69.64562996
211.0,0.20938456,0.00070472,1.741e-05,944.6918831402267,0.026829959044573245,,8.0688724,69.46732888
212.0,0.20939493,0.00075494,1.567e-05,945.0884040322504,0.026841535412253273,,7.49879728,69.41230576
213.0,0.20929011,0.00083997,1.415e-05,948.9756182828348,0.02695079015505158,,13.34929522,70.05135992
214.0,0.20920551,0.00093341,1.152e-05,944.5912027087994,0.02682544871841795,,17.96031333,70.37337613
215.0,0.20906449,0.00100917,1.239e-05,934.8650041127312,0.026547548118458004,,25.48062617,70.34665061
216.0,0.20906114,0.00108412,1.543e-05,944.840097961126,0.026830920175811346,,25.93786902,70.36145445
217.0,0.20877737,0.00117233,1.704e-05,951.4648429742633,0.02701540459964647,,41.88380583,70.35503509
218.0,0.20882475,0.00122166,1.9e-05,943.9120648536551,0.026801696161885328,,38.94183467,70.33040569
219.0,0.20875134,0.00131776,2.035e-05,936.7125667529604,0.026596530732221818,,42.65739477,70.31717395
220.0,0.20868129,0.00140931,2.22e-05,930.8054738876384,0.026428093574921725,,46.19216022,70.28075389
221.0,0.20855329,0.00148487,2.347e-05,928.7626994663771,0.026368575440231204,,53.02254331,70.28704224
222.0,0.20839651,0.00156151,2.315e-05,933.8677605840628,0.026511632837536034,,61.84482024,70.2544214
223.0,0.20828477,0.00167767,2.082e-05,932.5777230545525,0.026473882059939228,,67.82772037,70.2314951
224.0,0.208141,0.00178754,2.336e-05,923.883027926583,0.02622540356017905,,74.9250975,70.20738974
225.0,0.20815392,0.0018809,2.5e-05,916.8147753577101,0.02602516001520755,,73.66384558,70.16821852
226.0,0.20795128,0.00193403,2.377e-05,919.8411939968389,0.026108554297064913,,84.74562668,70.12524809
227.0,0.20783558,0.00202175,2.525e-05,920.0937082615533,0.026114400119513687,,90.95515774,70.12380701
228.0,0.20779552,0.0021464,2.604e-05,923.0528763341766,0.02619818513989489,,93.39652332,70.08345673
229.0,0.20763976,0.0022284,2.883e-05,916.0662465401967,0.025998001212750987,,100.97406713,70.03852118
230.0,0.20748481,0.00228241,2.963e-05,914.7920681934379,0.02595992242402241,,109.05715936,69.99882594
231.0,0.2074176,0.00236816,3.073e-05,914.6592579692307,0.025955478443399498,,112.6063825,69.94170671
