Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.2094803,0.00064648,1.77e-06,931.1969651173433,0.026455169149760472,,1.29813615,101.92657467
1.0,0.20947593,0.00064166,1.33e-06,968.1638252382878,0.02750532686958138,,1.59759841,101.91253312
2.0,0.20941888,0.00066589,-1.45e-06,968.5017295938435,0.02751426573749443,,4.83343658,101.94179728
3.0,0.20937535,0.0006719,-2.33e-06,965.8832203524819,0.027439312482819417,,7.28137634,101.95478899
4.0,0.20942223,0.00064898,1.1e-06,978.953627594162,0.027811140824315794,,4.69324195,101.94744015
5.0,0.20944959,0.00060628,-2.9e-07,976.2271580739261,0.027733968069080885,,3.11656109,101.93707302
6.0,0.20944807,0.00057302,-9.6e-07,970.6556570263637,0.027575581492287084,,3.18546174,101.93051156
7.0,0.20941766,0.00057338,1.61e-06,974.3650399351,0.027680490130493302,,4.93225234,101.83432058
8.0,0.2094503,0.00059602,3.39e-06,965.3963626774655,0.02742617959952077,,3.04173329,101.04130107
9.0,0.2094202,0.00064808,1.47e-06,975.7183108965036,0.02771919033230971,,4.79391358,100.59827058
10.0,0.20939793,0.00068501,-1.33e-06,976.0324884906518,0.027727970050875596,,6.06804203,100.50785352
11.0,0.20942752,0.00070806,-3.47e-06,972.6605237990025,0.02763269563436974,,4.36197657,100.50785352
12.0,0.20944725,0.00068808,-3.31e-06,974.0557967728207,0.027672546713998193,,3.24306483,100.34381676
13.0,0.20942732,0.0006493,-4.7e-07,972.0024022955915,0.027613765809473893,,4.37056334,100.91532088
14.0,0.20942488,0.00060746,9.1e-07,970.015835246704,0.02755714690028099,,4.50021586,100.28122033
15.0,0.20945864,0.00060836,-5e-08,974.5585831437395,0.02768669169419602,,2.59475069,100.71453984
16.0,0.20943281,0.00062205,-4.6e-07,963.9823635639714,0.027385920070497945,,4.02455309,100.78527249
17.0,0.20944186,0.00064227,2.46e-06,959.1324918409393,0.027248263185799336,,3.49603696,100.59577723
18.0,0.20943759,0.00061049,3.36e-06,970.7432447323546,0.02757794738057987,,3.78110639,100.72989369
19.0,0.20947512,0.00060464,6.6e-07,978.6602115369674,0.02780342111257435,,1.66153896,101.0079688
20.0,0.20946078,0.00059296,3.59e-06,969.725816203254,0.02754930786973134,,2.46060722,100.94957172
21.0,0.20945529,0.00059353,4.11e-06,964.8852387787263,0.027411706038342573,,2.75858988,100.97739235
22.0,0.209456,0.00063423,1.95e-06,966.6498934444646,0.027462008586426154,,2.72335811,101.23092758
23.0,0.20946769,0.00065355,-7.1e-07,971.4798676533487,0.027599496180769192,,2.07169009,100.92896871
24.0,0.20945264,0.00064554,5.6e-07,969.0905647336097,0.027531360772234923,,2.92067177,101.27397084
25.0,0.20945681,0.00066912,3.94e-06,973.8583988205997,0.027666871137988026,,2.69728003,101.36451914
26.0,0.20944441,0.00068273,5.02e-06,986.3831195228786,0.02802253684522577,,3.44854127,101.06570977
27.0,0.20946729,0.00069196,2.59e-06,976.6591789773679,0.02774667922668142,,2.1060029,101.49614224
28.0,0.20947827,0.00067267,1.58e-06,972.2287317077171,0.02762092725870167,,1.47114132,100.47386515
29.0,0.20942071,0.0006645,-4.1e-07,968.273962711031,0.02750779560901746,,4.72852822,101.06951539
30.0,0.20942376,0.00068657,-2.69e-06,970.4945304536303,0.02757103139907718,,4.56604621,101.14680952
31.0,0.2094563,0.0006661,-3.4e-06,969.964618396026,0.027556381033840966,,2.71538863,100.7882908
32.0,0.20943057,0.00068526,-4.87e-06,970.4669315967114,0.027570381041194726,,4.17878738,101.11557692
