Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20934646,0.00064851,2.77e-06,965.9282108220815,0.02745090107535538,,5.14074638,93.94924452
1.0,0.20938144,0.00065695,2.28e-06,961.0186187066843,0.027311887016161742,,3.14600006,93.94095849
2.0,0.20936018,0.00067685,-6.2e-07,953.8573667198298,0.027108190903191255,,4.30975454,93.55204134
3.0,0.20937503,0.0006522,-3.03e-06,955.5952935144248,0.027157761110141176,,3.48678058,92.43987249
4.0,0.20937157,0.00063391,-2.97e-06,960.8523703602549,0.027307064869689403,,3.70050432,92.80537828
5.0,0.20937391,0.00065904,-2.37e-06,954.3399628674634,0.027122076261704302,,3.54471704,92.76855151
6.0,0.20938215,0.00067271,-3.41e-06,966.3958282174943,0.027464874042004477,,3.12333415,92.63913168
7.0,0.20935449,0.00069478,-2.17e-06,964.3335265409366,0.027405922747447145,,4.67867255,92.96110296
8.0,0.20935805,0.00068006,9.8e-07,955.1901762386376,0.027146017507218803,,4.43521933,92.8522009
9.0,0.20935479,0.00066398,6.2e-07,965.1569554651622,0.027429184317910162,,4.66540154,93.08460422
10.0,0.20935988,0.00065767,-3.1e-07,964.6387613368819,0.027414527751190233,,4.37569031,92.83247227
11.0,0.20935063,0.00067259,-1.71e-06,966.2064748514838,0.027459024876481764,,4.90637428,92.75342621
12.0,0.20934859,0.0006399,-1.53e-06,968.0078402106842,0.02751009251223113,,5.03078347,92.66504193
13.0,0.20934778,0.00063154,1.85e-06,968.1520717827161,0.027514088899699255,,5.07763456,92.90310078
14.0,0.20932805,0.00063387,1.62e-06,965.30921292749,0.02743303716252915,,6.17775413,92.6817455
15.0,0.20933008,0.00062965,7e-08,957.4572956781255,0.027209940355185327,,6.01349635,92.96873137
16.0,0.20934463,0.0006153,-7.9e-07,959.1793071880559,0.02725905281133601,,5.20762645,92.92085655
17.0,0.20935866,0.00064167,2.33e-06,962.2937792912624,0.02734776972834663,,4.43379996,92.96083992
18.0,0.20933598,0.00064903,3.42e-06,963.5321908673154,0.02738265291187459,,5.71891122,92.77118197
19.0,0.20934869,0.000628,2.85e-06,960.5154395899012,0.02729704463180843,,4.98610376,92.83878543
20.0,0.20937056,0.00064521,3e-06,964.5165438042706,0.02741109962073612,,3.77204204,92.60269945
21.0,0.20932398,0.00066322,3.38e-06,967.7964465456865,0.027503715268875788,,6.42416521,92.87245563
22.0,0.20934371,0.00065442,4.93e-06,958.9467142635038,0.027252429349394387,,5.25775212,92.86022388
23.0,0.20936313,0.00064396,6.21e-06,955.9072618700811,0.027166260175690578,,4.15390587,92.92125112
24.0,0.20937147,0.0006561,5.65e-06,963.6789293006576,0.027387286332288163,,3.71711448,92.95820943
25.0,0.20937442,0.00067729,4.72e-06,963.7817905690592,0.02739032942790493,,3.55107803,92.91638473
26.0,0.20938184,0.00068903,1.73e-06,966.846991888072,0.02747763675073405,,3.14205994,92.46525664
27.0,0.20936639,0.00069884,1.67e-06,966.1341240088203,0.027457194090796846,,4.01428063,92.42553632
28.0,0.20936374,0.00069007,2.12e-06,960.7264989931788,0.02730344100400888,,4.14055441,92.89639304
29.0,0.20937106,0.00069896,3.28e-06,954.191232853186,0.02711781352100868,,3.70327049,92.86022388
