Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20951046,0.00059839,7.55e-06,908.0725651193137,0.025803263096502264,,1.08652405,38.26613166
1.0,0.20952795,0.00062197,1.023e-05,919.541482446723,0.026129399940808658,,-0.15188843,37.97910562
2.0,0.20952012,0.00060384,1.226e-05,905.9722227091235,0.025743632550952796,,0.42712118,36.87535998
3.0,0.2095427,0.00058436,1.268e-05,912.05804338831,0.025916796056797854,,-0.56057174,36.00293125
4.0,0.20952551,0.00059099,1.13e-05,904.0352094510329,0.02568864387677391,,0.30192296,36.19563011
5.0,0.20953954,0.00058533,1e-05,898.8401822203483,0.025541212537975817,,-0.34921733,35.86359315
6.0,0.209543,0.00058009,8.43e-06,893.8487607352023,0.02539943640372829,,-0.44156935,36.28604331
7.0,0.20949195,0.00062828,1.13e-05,900.346140944112,0.025583487384980827,,1.65103642,36.58976906
8.0,0.20942891,0.00079811,1.91e-05,875.9985722308824,0.024891164725753145,,2.86873782,36.67496361
9.0,0.20903863,0.00169819,2.549e-05,825.3135820319717,0.023448488735457115,,12.29595456,37.18339112
10.0,0.2078492,0.00348903,3.286e-05,778.5778358563474,0.02211142928128976,,48.42448626,37.73552487
11.0,0.20437415,0.00556765,4.166e-05,757.6616780224268,0.02148349329973884,,180.27384278,37.44823788
12.0,0.20249142,0.00763089,5.176e-05,768.124411680402,0.021763169282595494,,246.83956838,37.15364478
13.0,0.20088985,0.00957363,5.896e-05,768.4364327655186,0.021757765737615852,,299.67938407,36.82226016
14.0,0.19940552,0.01109545,6.829e-05,755.7848602245526,0.021385655174928173,,345.09060175,36.51201109
15.0,0.19803641,0.01242824,8.129e-05,729.337385272021,0.020624523461710915,,378.23278648,36.1645791
16.0,0.19601579,0.01376839,9.234e-05,723.067178683954,0.020426876600821597,,446.08360717,35.80684027
17.0,0.19392307,0.01503884,0.00010527,732.709175451945,0.020677166329197586,,527.11694642,35.45614663
18.0,0.19325265,0.01604758,0.00011916,731.3644170375873,0.02063331506025766,,545.12208764,35.11719496
19.0,0.19301317,0.01627537,0.00013636,766.8707707897089,0.021632265407778045,,579.61443606,34.77706909
20.0,0.19300473,0.01531693,0.00015212,804.4624243216745,0.02268977818794211,,616.53528466,34.44946799
21.0,0.19375935,0.01375286,0.00016544,813.3695916769025,0.022946776955808344,,602.99454863,34.30752056
22.0,0.19645111,0.01200598,0.000177,819.8241412665388,0.023159901164449145,,500.52058256,34.15513583
23.0,0.19916279,0.01046142,0.00018002,833.3417286265675,0.023573391363099425,,396.13338153,34.05232831
24.0,0.20049876,0.00880239,0.00018306,830.9426358127196,0.023518389923944828,,347.84425594,33.96178464
25.0,0.201345,0.00747386,0.00017958,839.1056654042121,0.02375694201137031,,323.83952507,33.89198513
26.0,0.20258232,0.00655707,0.00017341,841.9712280520404,0.023851662171816283,,274.69201114,33.73803479
27.0,0.20333765,0.00585127,0.00016578,847.6573338340801,0.02402069810764493,,247.09372609,33.66145102
28.0,0.20407438,0.00528333,0.00015437,843.2408278795999,0.02390359034001624,,216.05817384,33.57338621
29.0,0.2047329,0.00486546,0.00014527,840.115256188827,0.02382231580541423,,187.80865326,33.51493727
30.0,0.20514016,0.00453482,0.00013566,839.5155417848556,0.023809700052894286,,171.47044436,33.49341032
31.0,0.20549525,0.00428878,0.00012356,844.666681074276,0.02395980345305173,,157.93364518,33.42217567
32.0,0.20581221,0.00405172,0.00011725,843.5187138966136,0.023930680011239346,,144.80140165,33.35824714
33.0,0.20608127,0.00391479,0.00011452,844.2489154543433,0.02395442836374656,,133.25064694,33.30149426
34.0,0.20618947,0.00378335,0.00011176,850.5320688715243,0.02413376333174455,,130.31423193,33.22791122
35.0,0.20625373,0.00371665,0.00011097,849.8839947007708,0.024116016405712686,,127.75301511,33.15328445
36.0,0.20624997,0.00374964,0.00011151,840.7588379269954,0.023857112360368284,,126.22367417,33.0855724
37.0,0.20621204,0.00381206,0.0001102,833.1817725313298,0.023641825385328833,,126.31088866,33.03234211
38.0,0.20615286,0.0038986,0.00010759,839.8165515665928,0.02382962734848213,,129.36155666,32.91805356
39.0,0.20609988,0.00394167,0.00010575,840.0717746599074,0.023836358804479072,,131.56968752,32.85934368
40.0,0.20603561,0.00398442,0.00010609,841.1931841112048,0.023867488158396007,,134.42986576,32.76671255
41.0,0.20603307,0.00401349,0.00010824,849.0902980833788,0.02409156107442918,,135.48514397,32.70969874
42.0,0.20601955,0.00402716,0.00010798,850.4710105981586,0.02413060774170716,,136.23494706,32.71348227
43.0,0.20603185,0.00402268,0.00010732,841.8309015168808,0.023885611998808867,,134.30936376,32.58849547
44.0,0.20603256,0.00399759,0.00010763,848.1729269736095,0.02406549570430205,,135.53536731,32.50956331
45.0,0.20604477,0.00399373,0.00010494,843.3088898839355,0.02392767519076925,,134.2489299,32.41706264
46.0,0.20603866,0.00394912,0.00010376,839.3827068932071,0.023816107290532896,,134.38644567,32.34361006
47.0,0.206047,0.00392089,0.0001037,845.7376826699715,0.02399645143070593,,135.28305563,32.31373326
48.0,0.20612062,0.00385464,0.00010369,849.1846369869612,0.024094999542079363,,132.89879448,32.20740316
49.0,0.20613618,0.00380588,0.00010156,849.8554684158643,0.0241141398471633,,132.77200338,32.15469474
50.0,0.20625861,0.00375761,9.804e-05,853.5662841321102,0.024220900487868093,,127.87238809,32.07197905
51.0,0.20634403,0.00365557,9.655e-05,849.9057718498989,0.024117855487733115,,124.19458462,31.97230273
52.0,0.20639131,0.00359684,9.61e-05,853.2316521861534,0.024212680599988448,,122.9577665,31.95247184
53.0,0.20653256,0.00355796,9.594e-05,858.3718561047001,0.024360220905432994,,117.09649406,31.87719274
54.0,0.20650154,0.00351575,9.376e-05,860.6925791553102,0.02442562121426842,,119.42855886,31.90172042
55.0,0.206541,0.00348415,8.938e-05,854.0819295086555,0.024238505767807537,,116.96285336,31.75990346
56.0,0.2065233,0.00347899,8.763e-05,850.8201292851603,0.024145734945626482,,117.46923932,31.69858425
57.0,0.20649443,0.00351429,8.852e-05,851.4198133476258,0.024162469725284873,,118.59751334,31.60830152
58.0,0.20655961,0.00350892,8.998e-05,852.7780507688781,0.02420178716525125,,115.60438004,31.57385839
59.0,0.20654588,0.00350152,9.19e-05,845.9685053961508,0.024008310401683296,,115.39469068,31.53158728
60.0,0.20659967,0.00347057,9.021e-05,852.6358379492802,0.024198146780830924,,113.99850279,31.49727462
61.0,0.20670573,0.00344283,8.93e-05,854.3313286790392,0.024247531696506792,,109.28657687,31.41729873
62.0,0.20672922,0.00342294,9.133e-05,855.2906111851348,0.024274963324853863,,108.41641168,31.43243283
63.0,0.20670756,0.00340407,9.483e-05,848.6291866811006,0.024085519871385835,,108.76713521,31.31357795
64.0,0.20671732,0.00336137,9.535e-05,860.1830862649581,0.024413441029658863,,110.19405705,31.25721647
65.0,0.20684626,0.00328801,9.519e-05,858.2350499509744,0.02435957752856952,,104.30295652,31.23386299
66.0,0.20678088,0.00323558,9.491e-05,857.462163395099,0.024336692984310886,,107.99511003,31.13940533
67.0,0.20683091,0.00321659,9.45e-05,862.8939483590724,0.024491445969222533,,106.38648841,31.11435578
68.0,0.20682521,0.00320191,9.425e-05,851.8390056929752,0.024177570397821712,,105.45845298,31.07795566
69.0,0.20682938,0.00324083,9.785e-05,851.4495414103745,0.024166604447616404,,104.74531497,31.01794112
70.0,0.20684036,0.0032732,9.974e-05,851.1208281929808,0.024157460518155777,,103.80106359,30.95427353
71.0,0.20680223,0.00333327,0.00010161,853.7089242127886,0.02423056633318609,,105.35193035,30.91108915
72.0,0.20675759,0.00337931,0.0001037,853.6016279959882,0.024227047410340444,,107.0351119,30.86894851
73.0,0.20668855,0.00342177,0.00010345,856.2215329656783,0.02430065845895607,,110.35030541,30.76796753
74.0,0.20660709,0.00344751,0.00010426,854.195407068809,0.024242191378294715,,113.83369518,30.72243476
75.0,0.2066253,0.00345735,0.00010503,850.8428108843151,0.024147282000180376,,112.37889263,30.66763888
76.0,0.20660882,0.0034338,0.00010257,847.5145505052253,0.024052603732011322,,113.02765698,30.66476862
77.0,0.20663374,0.00341058,0.00010281,852.3566540632819,0.024190269303243406,,112.67916625,30.5491754
78.0,0.20667045,0.00336149,0.00010496,856.7411397799742,0.024314996409606934,,111.90774672,30.51421041
79.0,0.20668895,0.00333628,0.00010532,858.3046502465388,0.024359529860134833,,111.44697723,30.50272937
80.0,0.2067221,0.00335267,0.0001051,853.0894450363473,0.02421197574299307,,108.97105924,30.40670611
81.0,0.20674091,0.00337382,0.00010316,855.0359686719806,0.0242675446192288,,108.10602735,30.29124336
82.0,0.20673695,0.00337455,9.94e-05,859.2540025437522,0.024387279863995723,,108.89395949,30.31890223
83.0,0.20675098,0.00335523,9.756e-05,863.5306959183522,0.0245088198365369,,108.96741028,30.24714572
84.0,0.20683436,0.00332282,9.2e-05,851.8368838179344,0.024177974581517624,,103.81043429,30.16912682
85.0,0.20686314,0.00325445,8.861e-05,863.2254239776078,0.024501463667035827,,104.52903125,30.13129157
86.0,0.20695171,0.0031852,8.886e-05,854.1864987452375,0.024245824273881618,,99.76365125,30.11341768
87.0,0.20703286,0.00311512,9.139e-05,853.4761442451091,0.024226442979132273,,96.347931,30.10219757
88.0,0.20713536,0.00301768,9.359e-05,854.0381579430526,0.024243378117562747,,92.30671767,30.04440096
89.0,0.20718254,0.00294639,9.823e-05,859.5233228690663,0.024399405604953295,,91.20850538,29.9631204
90.0,0.20724121,0.00284354,0.00010261,862.1709822954831,0.02447495373633718,,89.55124636,29.95698848
91.0,0.20729836,0.00278266,0.00010487,858.2602989490068,0.02436445288375995,,86.89451161,29.90975965
92.0,0.20738612,0.00275521,0.00010556,866.9027400867383,0.0246108151900758,,83.63736526,29.87779539
93.0,0.20740046,0.00271092,0.00010475,865.4474886814552,0.02456958048076172,,83.25396622,29.90167074
94.0,0.20744805,0.00273743,0.0001037,874.5639317469991,0.02482908320271785,,81.45822175,29.81725898
95.0,0.20743076,0.00271612,0.00010153,863.0475517763756,0.024501897609426018,,81.50964685,29.7620717
96.0,0.20743991,0.00268753,0.00010027,869.452633836427,0.024683800820988037,,81.97518779,29.76350683
97.0,0.20744398,0.0026369,9.919e-05,865.2529253717995,0.024564509363805158,,81.92234388,29.68953239
98.0,0.20746086,0.00259302,9.631e-05,862.7525524894802,0.0244936722860662,,81.34818308,29.66122119
99.0,0.20747347,0.00257069,9.422e-05,863.865768346339,0.024525413751444687,,81.09086354,29.67178897
100.0,0.20751912,0.00257724,9.226e-05,852.3191017772224,0.024198215161755115,,77.71857648,29.65026201
101.0,0.20753753,0.00262157,9.125e-05,853.6674857803322,0.024236856424215893,,76.49189162,29.57237358
102.0,0.20754445,0.00268733,9.128e-05,862.442349493643,0.024486244050180652,,76.247548,29.52931967
103.0,0.2074093,0.00278595,9.534e-05,853.7311624005039,0.024237429127225617,,81.07915325,29.46030296
104.0,0.20727284,0.0028775,9.726e-05,851.8522627731659,0.024182602837405354,,86.66270812,29.42585983
105.0,0.2072343,0.00291015,9.901e-05,856.4129835823809,0.024311648036692488,,88.67111996,29.44712585
106.0,0.20721457,0.00289982,0.00010052,859.0483594739761,0.02438616080820533,,90.00608853,29.41594439
107.0,0.20723918,0.00287925,9.997e-05,862.0670495716604,0.024472117917769612,,89.31693757,29.34236134
108.0,0.20722088,0.00293687,0.00010255,849.21708767768,0.024107213313348853,,88.25236931,29.3336201
109.0,0.20718783,0.00318446,0.0001034,835.8167691435993,0.023727018938401522,,85.95364511,29.2703439
110.0,0.20669577,0.00345788,0.00010046,844.1908139548385,0.0239594447919186,,108.13301425,29.23616171
111.0,0.20640311,0.00369872,0.00010224,845.6610704042037,0.023998144142587212,,120.15464618,29.20015299
112.0,0.20617299,0.00387083,0.0001007,844.894685923241,0.023974017764383154,,129.56061828,29.07947158
113.0,0.2060108,0.00400349,9.848e-05,835.3205006022423,0.023700737110783958,,134.62513701,29.00823693
114.0,0.20580855,0.00420455,9.553e-05,828.2258756416256,0.023497536213070658,,141.20656405,28.94483027
115.0,0.20542895,0.00442449,9.518e-05,833.4147423355776,0.023640654483260855,,158.14530494,28.87594402
116.0,0.20512348,0.00463471,9.568e-05,827.6440778680626,0.023473750690519872,,169.52685601,28.72329835
117.0,0.20483449,0.00479543,9.508e-05,827.7973218975093,0.023474970121859708,,181.74605754,28.73112633
118.0,0.20452088,0.00495607,9.124e-05,836.6349207680989,0.02372217095553346,,197.2294893,28.63418981
119.0,0.20437883,0.0050963,8.925e-05,827.2875073798904,0.023455772120220642,,200.43407441,28.51102954
120.0,0.20427877,0.00525132,8.855e-05,836.1062153010688,0.023704967950799193,,205.8538258,28.42400846
121.0,0.204154,0.00543543,8.749e-05,821.6899820171891,0.023295196776809593,,206.42009583,28.32746334
122.0,0.20396608,0.00562206,8.647e-05,816.6070305808541,0.02314928618793026,,212.16376782,28.26496994
123.0,0.20363916,0.00574573,8.516e-05,820.274278482654,0.023249565847803123,,227.30555895,28.21330525
124.0,0.20345551,0.00578563,8.283e-05,817.6498287484968,0.02317306671624777,,234.82482381,28.0850568
125.0,0.20335138,0.00582138,8.298e-05,817.054197793154,0.023154994784502298,,239.17400522,27.99660059
126.0,0.2032381,0.00593236,8.57e-05,804.6602452961187,0.02280261247089996,,239.66784127,27.88987909
127.0,0.20299751,0.00608548,8.867e-05,815.4954387750385,0.02310703961518821,,252.59576755,27.78485365
128.0,0.20285586,0.00619183,8.886e-05,814.3165547769979,0.02307215866255097,,257.80197362,27.71831579
129.0,0.20278061,0.00621086,8.627e-05,815.7348251459498,0.023111507952663188,,261.61450541,27.61068103
130.0,0.20275814,0.00616954,8.324e-05,816.593981737732,0.023135520713076015,,263.37874203,27.48008418
131.0,0.20276221,0.00614563,8.068e-05,815.0534880388168,0.023091910066662877,,262.96104354,27.42698436
132.0,0.20281773,0.00612106,7.984e-05,808.2602404127209,0.022900076577104942,,258.4541704,27.35522785
133.0,0.20286512,0.00603306,8.127e-05,817.6899322243966,0.023167582713295165,,260.0735048,27.22176073
134.0,0.20298419,0.0059686,7.917e-05,818.1161711888498,0.023181003465862954,,255.29872163,27.14517697
135.0,0.203021,0.00598922,7.784e-05,816.5769923536548,0.023137919520664435,,252.92779421,27.05854729
136.0,0.20300788,0.00604217,7.584e-05,811.1239691344101,0.022983412706124327,,251.37764298,26.93890961
137.0,0.20294992,0.00609292,7.438e-05,799.6333370511264,0.022657273150406946,,250.01244531,26.82083754
138.0,0.20288586,0.00616161,7.641e-05,806.56328796255,0.022852986653417635,,254.45007296,26.76865098
139.0,0.20286562,0.00613583,7.74e-05,804.1144825880247,0.022783276344812666,,254.83188342,26.59408696
140.0,0.20282342,0.00616572,7.892e-05,806.7183353826708,0.02285658650747025,,257.29424234,26.54333554
141.0,0.20279068,0.00624832,7.809e-05,811.3166140017319,0.022986688048870885,,259.50825138,26.47914608
142.0,0.20261558,0.00633128,7.733e-05,804.334748368569,0.02278696279294347,,264.54343449,26.34528757
143.0,0.20254124,0.00644531,7.607e-05,805.326889323473,0.02281446878970402,,267.23688552,26.28109811
144.0,0.2024302,0.00649355,7.525e-05,800.6290145930669,0.02268016670842001,,270.30789784,26.14254281
145.0,0.20247891,0.00655235,7.306e-05,800.1602970603938,0.022667661924910563,,267.41686698,26.05813106
146.0,0.20247942,0.00656838,7.507e-05,811.874435911122,0.02299952249041302,,271.1262252,25.94671277
147.0,0.20247555,0.00647203,7.694e-05,812.8536290700788,0.023026940398887308,,272.51187487,25.90992125
148.0,0.20251247,0.00636849,7.623e-05,803.9127443666628,0.022773863253281706,,268.80158346,25.81676825
149.0,0.20252029,0.00631257,7.411e-05,815.7283449326758,0.023108577228185014,,272.95256217,25.67743015
150.0,0.20248969,0.00633307,7.641e-05,792.7339236117064,0.022456817682698773,,266.41592593,25.63411531
151.0,0.20247321,0.00646658,7.78e-05,792.7648633614218,0.022457799512735122,,265.9192522,25.52087049
152.0,0.20241068,0.00660949,7.652e-05,786.4326375427901,0.02227804028064554,,265.31270076,25.41675832
153.0,0.20240417,0.00668432,7.591e-05,803.0179256611635,0.022747984476077912,,270.5174584,25.35348212
154.0,0.20240661,0.00657326,7.564e-05,810.1595269710872,0.022950049383409252,,273.85984483,25.25798073
155.0,0.20240468,0.00645459,7.645e-05,795.1299356535504,0.022523965655407336,,269.94958315,25.20005365
