Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20754026,0.00082884,3.701e-05,7244313.125014431,0.02453997675447017,,-2146826259.0,-65.64049223
1.0,0.20757848,0.0008338,3.922e-05,7279463.216239955,0.024659496489379207,,-2146826259.0,-65.61124351
2.0,0.20751932,0.00083563,3.819e-05,7280670.526899434,0.024662871973879143,,-2146826259.0,-65.67374763
3.0,0.20757624,0.00087046,3.701e-05,7308600.822950117,0.024758308592583943,,-2146826259.0,-65.65545048
4.0,0.20757055,0.00088218,3.737e-05,7313667.014735501,0.0247754233318577,,-2146826259.0,-65.6535807
5.0,0.20757828,0.00087432,4.118e-05,7283387.90831899,0.02467285868646806,,-2146826259.0,-65.64530024
6.0,0.20755784,0.00084918,3.956e-05,7320739.265351715,0.024799096058958556,,-2146826259.0,-65.67147718
7.0,0.20754636,0.0008718,3.947e-05,7297277.441762558,0.024719535708558227,,-2146826259.0,-65.6626625
8.0,0.20757319,0.00084804,3.824e-05,7328296.108825868,0.024824908526958,,-2146826259.0,-65.60509994
9.0,0.20756283,0.0008041,4.025e-05,7321227.80063296,0.02480068367190875,,-2146826259.0,-65.64289624
10.0,0.20753162,0.00077343,4.401e-05,7356846.654519158,0.024920800740142024,,-2146826259.0,-65.60002482
11.0,0.20753568,0.00083205,4.597e-05,7333093.033915964,0.024840505342177722,,-2146826259.0,-65.64703647
12.0,0.20758631,0.00082367,4.58e-05,7328306.940198617,0.024824909277369862,,-2146826259.0,-65.61030862
13.0,0.20760644,0.00083356,4.458e-05,7331547.585448263,0.024836187622180424,,-2146826259.0,-65.70540036
14.0,0.20760257,0.00079352,4.264e-05,7387984.093009245,0.025027252019245393,,-2146826259.0,-65.67561741
15.0,0.20761863,0.00079279,4.092e-05,7308700.768434628,0.024758904963367794,,-2146826259.0,-65.64222846
16.0,0.20755449,0.00085252,3.983e-05,7292338.331986273,0.02470284949935563,,-2146826259.0,-65.65999138
17.0,0.20759281,0.00083807,4.051e-05,7276945.050498519,0.02465113243822567,,-2146826259.0,-65.64850558
18.0,0.20759475,0.00086395,4.403e-05,7289512.411358083,0.0246937330189319,,-2146826259.0,-65.63020844
19.0,0.20760298,0.00086647,4.465e-05,7280039.3964173505,0.024661740432387776,,-2146826259.0,-65.67748719
