Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957584,0.0005553,7.48e-06,85808.02771665934,0.027576631945725103,,-0.03796244,262.27909283
1.0,0.20952604,0.00053419,4.93e-06,85215.93911153209,0.027385656235499455,,-0.0104326,262.26055144
2.0,0.2094987,0.00050428,4.86e-06,86015.38275219005,0.027642107938657387,,0.00626165,262.26120894
3.0,0.20953132,0.00050933,7.09e-06,86188.89376001254,0.02769829022528138,,-0.01096447,262.27422736
4.0,0.20954494,0.00054206,4.9e-06,86185.04847669441,0.027697382226954965,,-0.02082807,262.36154281
5.0,0.20952888,0.00053933,8.95e-06,85788.63790717356,0.027569677156313345,,-0.01315134,262.35891283
6.0,0.20953762,0.00058423,1.139e-05,85342.0230881138,0.02742635052567667,,-0.02249765,262.3472094
7.0,0.20952604,0.00055616,1.299e-05,85215.1379474732,0.02738530242338495,,-0.01409648,262.30131619
8.0,0.20954026,0.00055701,9.97e-06,86052.33031703062,0.02765460775932868,,-0.02090789,262.2356981
9.0,0.20952705,0.00058713,6.07e-06,86288.81203885008,0.027730588238604643,,-0.01682934,262.30302568
10.0,0.20952482,0.00060885,6.17e-06,85698.1273408951,0.027540790259363363,,-0.01788478,262.33708396
11.0,0.20948457,0.00056109,1.078e-05,85984.23562875365,0.02763194945630079,,0.006339,262.29158525
12.0,0.20952929,0.00058024,1.221e-05,85209.3220732227,0.02738356256621152,,-0.01806686,262.29645072
13.0,0.20951811,0.00060489,9.71e-06,85004.23680315056,0.027317621819000718,,-0.01462844,262.30013269
14.0,0.20952095,0.00057189,8.81e-06,85598.40020795635,0.027508528522888397,,-0.01255145,262.29211125
15.0,0.209499,0.00053464,7.42e-06,85380.21024833851,0.027438028180708597,,0.00246903,262.27343836
16.0,0.2095299,0.00053819,6.8e-06,86282.46399570713,0.02772843070767025,,-0.01324213,262.25371349
17.0,0.20950357,0.00052144,5.64e-06,85922.10671154635,0.027612234021365586,,0.00189237,262.24319355
18.0,0.20950053,0.00048794,3.77e-06,85918.87281106558,0.027611092973348083,,0.00723944,262.23070113
19.0,0.20951221,0.00049442,5.29e-06,85377.48686559375,0.027437260875232405,,0.00046702,262.25239849
20.0,0.20946353,0.00049458,4.2e-06,85513.1984453308,0.027480225903267496,,0.02479646,262.24884802
21.0,0.20949351,0.00051622,5.32e-06,85711.2894243331,0.02754433756252262,,0.0074923,262.21005576
