Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20946529,0.00051448,-6e-07,8150150.4214276625,0.026387407042567722,,2.07247723,326.40282972
1.0,0.20945502,0.00055636,-1.33e-06,8111572.914340361,0.026262500612570003,,2.14491353,326.39993844
2.0,0.20946397,0.00057428,-3.19e-06,8169241.426877405,0.026449414181639867,,1.58733037,326.3856135
3.0,0.20946691,0.00058225,-1.79e-06,8103151.510618394,0.026235469528842495,,1.33373399,326.35144391
4.0,0.2095146,0.00061551,2.15e-06,8116175.845288208,0.02627827710268207,,-1.30956006,326.36169479
5.0,0.20950595,0.00061535,1.35e-06,8158580.25178262,0.026415473972218596,,-0.89133368,326.38587634
6.0,0.20950595,0.00062336,3.25e-06,8176985.751414887,0.02647505214902846,,-1.00461685,326.29966383
7.0,0.2095087,0.00063464,6.61e-06,8075979.427561224,0.02614802161346766,,-1.28746569,325.65569849
8.0,0.20951744,0.00064067,5.18e-06,8091116.868444072,0.02619719019233302,,-1.73748048,324.53099327
9.0,0.20954733,0.00064379,2.94e-06,8092316.905574856,0.026201515577532992,,-3.13941478,323.49670609
10.0,0.20954235,0.00061454,2.45e-06,8143001.293031664,0.026365486648583094,,-2.62422145,323.42613278
11.0,0.20951531,0.00059847,3.51e-06,8147145.904999626,0.026378487448687187,,-1.20126228,323.60499735
12.0,0.20953666,0.00057367,4.5e-06,8109944.796025522,0.026258231120646198,,-1.97422382,323.48422097
13.0,0.20953737,0.00055352,4.85e-06,8124361.532762047,0.026304856790675804,,-1.81746413,323.89359903
14.0,0.20956705,0.00052731,1.59e-06,8061631.6042619655,0.026102126426723493,,-2.88496595,323.42692132
15.0,0.20953635,0.00054543,6.3e-07,8085424.323695533,0.026178831439262577,,-1.61203118,323.46582203
16.0,0.20949945,0.00057574,2.36e-06,8157265.86919849,0.026411004776977144,,-0.20494437,323.89189047
17.0,0.2094963,0.00055012,2.87e-06,8171827.9242586475,0.026458030969118904,,0.19134846,323.76309753
18.0,0.20952029,0.00054317,3.8e-06,8138339.4000025345,0.02634988202644479,,-0.89178342,324.33110113
19.0,0.20948704,0.00057853,4.78e-06,8115418.051011549,0.026275312548108595,,0.31433583,323.75284656
20.0,0.20945888,0.00054834,5.54e-06,8084208.834534327,0.026173803333700806,,1.92261499,324.29062335
21.0,0.20949375,0.00057723,5.71e-06,8137947.316598634,0.026348322179169627,,-0.00492728,324.38222409
22.0,0.20950595,0.00061526,5.02e-06,8163667.8709448315,0.026431876015672703,,-0.95186784,324.5240279
23.0,0.20952181,0.00061818,4.88e-06,8051338.426626769,0.026068397864504315,,-1.70827106,324.490384
24.0,0.2095026,0.00060855,4.71e-06,8068342.5267539555,0.026123180966861462,,-0.71199156,324.30586823
25.0,0.2094782,0.00063363,5.59e-06,8038466.696910291,0.02602618671424573,,0.17167409,324.56779128
26.0,0.20943093,0.00073656,7.95e-06,8050695.570167475,0.026065402762589108,,1.33730398,324.67332275
27.0,0.20931442,0.00101225,1.412e-05,7929599.721062937,0.025672471025138453,,3.92807417,324.55938028
28.0,0.20906931,0.00132164,1.787e-05,7811667.80494323,0.025288320275621938,,12.00360435,324.58067057
29.0,0.20846603,0.00190778,1.79e-05,7664848.178028838,0.024807063807250708,,33.18509344,324.97716925
30.0,0.20740191,0.00253676,2.025e-05,7512507.152582816,0.024302543839637075,,73.10188592,325.94482577
31.0,0.20621406,0.00343225,2.737e-05,7426883.104002076,0.024013167598131453,,115.11334712,325.90369084
32.0,0.20497732,0.00443103,3.673e-05,7378446.062951698,0.023843726308944203,,157.93478871,325.75176758
33.0,0.20404089,0.00537911,4.309e-05,7257993.3591680555,0.02344531459175221,,186.10009664,325.54806425
34.0,0.20271681,0.00625518,5.266e-05,7196234.869877545,0.023231650224492445,,231.40544219,325.43070484
35.0,0.20144499,0.00722479,6.345e-05,7071018.431710522,0.022814158575876226,,270.40448394,325.28548408
36.0,0.2005472,0.00803984,7.294e-05,7048902.704221542,0.022733667075894665,,298.67172293,325.10464809
37.0,0.19927446,0.00876811,7.948e-05,6959329.979623559,0.022430917987312237,,338.99042654,324.89503079
38.0,0.19834291,0.00950087,8.39e-05,6877500.354604186,0.022157524141432607,,365.26269082,324.75874669
39.0,0.19739062,0.0101585,9.054e-05,6945927.893406822,0.022367662102349844,,400.74299473,324.57120821
40.0,0.19648337,0.01084007,9.557e-05,6877634.894882161,0.02213807354925306,,426.36175066,324.37473306
41.0,0.19598013,0.01149956,9.866e-05,6842872.143142721,0.02202149321075429,,438.3632248,324.17549806
42.0,0.19529603,0.01207437,0.00010179,6716659.81347709,0.021608267957730586,,451.54016296,323.98296556
43.0,0.19458428,0.01253302,0.00010803,6824388.565231373,0.021946937191809852,,482.21942005,323.78123356
44.0,0.19418901,0.01284569,0.0001143,6714827.7144692615,0.021590343556054787,,486.80698892,323.60026615
45.0,0.1938888,0.0130831,0.00011677,6657766.868041762,0.021403700089623175,,491.97596499,323.33821168
46.0,0.19355076,0.01337663,0.0001228,6611080.4066264555,0.02125005844114887,,498.69329632,323.05933525
47.0,0.1931191,0.01365168,0.00012863,6639446.794481546,0.021336452202386762,,514.60582045,322.87179677
48.0,0.19289025,0.01389965,0.00013277,6691274.542016143,0.0215006730104215,,525.22298645,322.64312336
49.0,0.19271498,0.01419541,0.000136,6716937.866615729,0.021581598569023776,,531.54733495,322.38777139
50.0,0.19263426,0.01443651,0.00013815,6600102.591514391,0.02120575225662612,,523.49683623,322.20667257
51.0,0.19231148,0.01466623,0.00013742,6605405.224225733,0.021219343110624875,,534.03227886,321.95539466
52.0,0.19215227,0.01483507,0.0001352,6572945.2131195115,0.021113537466965534,,536.00274577,321.69675715
