Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20946046,0.00060051,1.911e-05,8333977.463420493,0.026780179359438386,0.008368056169648561,-0.4421637,34.76364928
1.0,0.20947531,0.00062923,1.398e-05,8353504.035699484,0.02684330562718075,0.006902378766157908,-1.3689718,34.90226761
2.0,0.20946219,0.00066315,1.41e-05,8435023.365038779,0.027105177407834823,0.13599757628309692,-1.0901176,34.936492
3.0,0.20930203,0.00086382,2.027e-05,7972002.066728085,0.02561566988168876,0.24051221304082346,4.33820345,34.970334
4.0,0.20849515,0.00136728,2.818e-05,7835111.398791065,0.02516677544874826,0.15889976804350817,36.01016512,34.78372504
5.0,0.20685392,0.00232041,4.82e-05,7876760.915054722,0.025281593045002337,0.13380511613715457,101.49059169,34.77607713
6.0,0.20560348,0.00323016,7.547e-05,7796972.591697124,0.02501126798379936,0.14486479598291793,147.60526904,34.40285921
7.0,0.2047608,0.00399535,9.545e-05,7758926.099976641,0.02487995670837555,0.15685565140030697,177.00079949,34.50840034
8.0,0.2039114,0.00461862,0.00011782,7842221.718989199,0.02513709256269143,0.18120568548270705,210.84913829,34.35486858
9.0,0.20352398,0.00514792,0.00014029,7766543.109362092,0.024890422421547435,0.21508230170605244,220.81628667,34.1619501
10.0,0.2031275,0.0055451,0.00015726,7772395.9663601685,0.02490469232989074,0.23604394443081989,234.66950167,34.06004172
11.0,0.20280861,0.00587362,0.00017118,7738594.272495293,0.024792796445409042,0.256937577892181,244.51677539,34.04168674
12.0,0.20258714,0.00612024,0.00018088,7745400.408056704,0.02481215122173659,0.2793711814987854,252.11677683,33.76445007
13.0,0.20237268,0.00629522,0.00018615,7677636.465732963,0.024592618794261403,0.3027105331550862,257.62671274,33.59428411
14.0,0.20211012,0.00642474,0.00019013,7605955.476015256,0.02435985175287789,0.29489279415333924,265.35476102,33.46140171
15.0,0.2019765,0.00656601,0.00019343,7719358.532563834,0.024721595103532928,0.2802818364973628,273.85128579,33.51455467
16.0,0.20184665,0.00670666,0.00019441,7670103.406686589,0.024562495196190724,0.2904231880691298,276.49126909,33.34668308
17.0,0.20167663,0.00677869,0.0001969,7578058.515337909,0.024265654165572886,0.29615534647716674,279.80678716,33.16255969
18.0,0.20141723,0.00686186,0.00019705,7644567.014738078,0.024475408750438594,0.2926129975268581,292.75406709,32.94402071
19.0,0.20120175,0.00697038,0.00019822,7438272.152636127,0.02381240202092531,0.31647924380661435,292.97407314,32.71859862
20.0,0.20077792,0.00717583,0.00019795,7447096.881834244,0.023835703859248793,0.33865588454393014,309.40125723,32.60980712
21.0,0.20032948,0.00752357,0.00019772,7425932.504138358,0.02376305978649159,0.3532505056998619,324.35944551,32.55722775
22.0,0.19949788,0.00819986,0.00019793,6990749.596467675,0.022361920756572066,0.35281989068582825,332.69544921,32.33123207
23.0,0.19717718,0.00918627,0.00019897,6774991.923884106,0.021646066697116457,0.33136337193137294,402.85799778,32.05628976
24.0,0.19410909,0.01052326,0.00019955,6538029.889479717,0.020855369604833973,0.3378553353546575,490.1401031,31.77522913
25.0,0.19196125,0.0121884,0.00019885,6582449.356688838,0.02097451397328977,0.3304040308858425,559.15923857,31.60028323
26.0,0.19109234,0.01391063,0.0001986,6467734.5738502415,0.020602388878020073,0.32138166194296414,568.2650906,31.38499461
27.0,0.18904802,0.01527565,0.00019951,6499227.986289978,0.020680313414036613,0.3131345474388602,633.84377192,31.02649891
28.0,0.1879553,0.01619872,0.00019911,6449335.993082387,0.020509964683644435,0.31489180735327676,660.85858621,30.93051766
29.0,0.18796272,0.01682191,0.00019908,6443682.228510668,0.020493591842979518,0.30903264166805267,655.88162826,30.78788418
30.0,0.18798723,0.01713487,0.00019978,6561962.224696619,0.02087085015572597,0.3032851069653784,664.92408092,30.4441107
31.0,0.18826097,0.0170129,0.00019993,6697246.305983607,0.0213044311288175,0.28184448970865034,669.57346431,30.1517694
32.0,0.18917595,0.0165313,0.00019936,6682893.929370244,0.02126954222150112,0.2727319013029734,638.38605731,29.99192812
33.0,0.19036202,0.01583603,0.00019937,6939133.129744338,0.022099205262234033,0.2730869650398506,623.17789939,29.90894831
34.0,0.19148129,0.01515385,0.00019983,6975569.676808888,0.02222841595643918,0.2741211773412533,588.84578922,29.59232491
35.0,0.19293358,0.01436383,0.00019903,7003653.238734517,0.022335103117799803,0.2758298235731313,541.32302141,29.29539487
36.0,0.19443509,0.01354916,0.00019949,7167132.992989931,0.022874347888972822,0.2765965613927314,500.86483907,29.43860195
37.0,0.1957372,0.01253017,0.00019828,7245030.962274744,0.023137637100544374,0.276412641107108,462.06917773,29.0929165
38.0,0.19685341,0.01125489,0.0001989,7486307.684924131,0.02391990031974552,0.259837216466635,441.46453387,29.17436672
39.0,0.19843393,0.01013474,0.00019658,7639240.9126945315,0.024427180664363144,0.25034454604319406,392.53045533,28.87284793
40.0,0.20031769,0.00883187,0.00018395,7644910.638299345,0.024467418751311983,0.22214359241118634,323.2287462,28.87437752
41.0,0.20283566,0.00757326,0.00016257,7742942.588841097,0.02481183122737343,0.17981100052725513,228.27815526,29.0258061
42.0,0.20445665,0.00623586,0.0001435,7805529.241743687,0.025030556048841943,0.13114932399682308,170.30378529,28.87036236
43.0,0.20536095,0.00510092,0.00011908,7801413.398766144,0.025026573137963134,0.0909567801904425,140.57630765,28.96882918
44.0,0.20579027,0.00427215,9.694e-05,7872155.095288376,0.02525730744110638,0.06613657230594959,130.52269781,28.79044172
45.0,0.20666021,0.00345443,8.162e-05,7806577.031572327,0.025056246853095262,0.045991367733874085,98.1957414,29.07188475
46.0,0.20724816,0.00283542,6.312e-05,7874219.838223285,0.025279651473934642,0.034111083666681925,78.4747448,28.83001965
47.0,0.20774622,0.00241431,4.983e-05,7872273.980309799,0.02527894126267946,0.029163476274714467,60.00119948,28.93039845
48.0,0.20822619,0.00207916,3.886e-05,7860665.934962711,0.025247123776997143,0.02706393765100183,41.4354669,28.90439556
49.0,0.20830133,0.00176804,2.947e-05,7870104.87425771,0.025277743578238376,0.025316752988005915,41.16856853,29.07762068
50.0,0.20850755,0.00149912,2.408e-05,7823584.617183824,0.025130332693390538,0.02018607920917546,34.21157661,28.86520003
51.0,0.20870595,0.00129647,1.716e-05,7854537.094835957,0.025231870646923865,0.019205457344922787,27.3559401,28.82237174
52.0,0.20886051,0.00114785,1.36e-05,7864039.339183289,0.025264033326372178,0.01941813637106092,21.81685095,28.90477795
53.0,0.20897186,0.00102466,1.281e-05,7879052.97933765,0.02531337130910064,0.01882051412938851,17.96141666,28.92676569
54.0,0.20915489,0.00092582,1.198e-05,7968249.96523311,0.025602043118652003,0.017083280171554294,10.67413932,28.72658169
55.0,0.20924529,0.00088588,9.5e-06,7895019.461051171,0.025367843334621182,0.018805495118751896,6.85681241,28.9003804
56.0,0.20934912,0.00086321,7.27e-06,7927791.708502058,0.025474452365422225,0.016776411918112775,2.36087057,28.77457231
57.0,0.20937555,0.00080775,5.01e-06,7915374.212091113,0.025434781474218942,0.017287398100366665,1.71214501,28.98775776
58.0,0.20937871,0.00070313,2.97e-06,7966165.562486792,0.025597788357166477,0.017624016467517423,2.6240643,28.72830247
59.0,0.20942182,0.0006519,-6.6e-07,7967406.098347505,0.025602257149962167,0.01763956834720437,1.18506344,28.94760624
60.0,0.20950073,0.0006569,-2.38e-06,8027085.232499669,0.02579509355167921,0.017291077359544643,-2.50572376,28.88699657
61.0,0.20948995,0.00067612,-2.52e-06,8048202.297253932,0.025862868591411018,0.017290736279625987,-2.19442688,28.91166107
62.0,0.20949982,0.00067908,-2.88e-06,7971365.230936807,0.025616094158904344,0.018144768393538773,-2.65312429,28.79713364
63.0,0.20953337,0.0006517,-1.67e-06,7924022.220636354,0.02546428892053055,0.01908238013641251,-3.93732094,28.95372457
64.0,0.20950449,0.00064443,5.9e-07,7966797.735196054,0.025601319006823716,0.019856069476100177,-2.58780243,28.84053552
65.0,0.20952209,0.00066088,5.7e-06,8014984.927565843,0.025756344920463674,0.020696837576003373,-3.66596513,28.92753048
66.0,0.20953907,0.00068148,4.56e-06,7894420.167399227,0.025369198520402345,0.01851065239868793,-4.56968214,28.86443524
67.0,0.20953327,0.00068887,4.66e-06,8008253.092921097,0.025734950935952412,0.0204215672419087,-4.43963767,29.07398792
68.0,0.20952829,0.00067802,3.25e-06,7975757.7586856345,0.0256304584843145,0.020018282997076055,-4.0624472,28.91051388
69.0,0.20954669,0.00066255,2.24e-06,8017129.138362821,0.02576362149899016,0.02223824905785359,-4.77334648,28.97685949
70.0,0.20951548,0.00065767,2.3e-07,8031146.39606357,0.02580828810191298,0.019664062761939678,-3.24480671,28.95238618
71.0,0.20953439,0.00068985,4.77e-06,8106674.076735203,0.026051247258165575,0.020657102924583063,-4.55833096,29.08603338
72.0,0.20954181,0.00067217,4.71e-06,7991587.952122172,0.025681460439347468,0.01917340981460211,-4.66526913,28.77438111
73.0,0.20955574,0.00067705,4.2e-06,8034968.698794936,0.02582106986109909,0.020928207067147323,-5.38040079,28.85487535
74.0,0.2095108,0.00065125,8.01e-06,7976539.698439442,0.025632586711315693,0.018849873048059487,-3.069114,28.88833495
75.0,0.20951283,0.00065011,9.1e-06,7934406.634998468,0.025497195016104163,0.0194117041705267,-3.15323189,28.88871734
76.0,0.20954639,0.00066356,1.01e-05,8010860.49315272,0.025743329439556636,0.020784783874260002,-4.89287363,29.00821591
77.0,0.20951171,0.00061525,7.96e-06,7945058.684377314,0.02553133866058433,0.02066242699300201,-2.7502179,28.88126063
78.0,0.20955951,0.00060546,1.275e-05,8044684.991030302,0.02585198892235728,0.020643511517588902,-5.00036903,28.78585298
79.0,0.20956052,0.00059303,1.083e-05,8043026.64031688,0.025846674935502138,0.02159189068920908,-4.89382724,29.0426315
80.0,0.20952992,0.00052811,6.77e-06,8043401.207384584,0.025847382512686794,0.020899990957179464,-2.76165449,28.93097204
81.0,0.2095469,0.00060745,3.06e-06,8095758.622458559,0.026016139916902145,0.021155674419821524,-4.30003399,28.73633277
82.0,0.20956154,0.00062082,2.91e-06,7999399.373116466,0.0257067116423416,0.023205389091290243,-5.05717644,28.99062572
83.0,0.20956601,0.00062773,2.16e-06,8091058.146857434,0.02600135555465266,0.020543361527374543,-5.38140781,29.02676209
84.0,0.20954741,0.00051003,1.41e-06,8134178.106481253,0.026139373554204818,0.024597288944524634,-3.35200329,28.9175882
85.0,0.20955788,0.00057979,2.84e-06,8055606.777779597,0.025887181106489094,0.020169355168112812,-4.51753802,28.98010985
86.0,0.20951375,0.00060583,1.89e-06,8110420.510789555,0.026062841814183543,0.021107191899814727,-2.71057205,28.9671084
87.0,0.20954578,0.00055252,-3e-08,8041135.549739157,0.025840500107831652,0.023094352086733376,-3.63053981,28.95754852
88.0,0.20957456,0.0005288,3.49e-06,8054078.610010083,0.025882335649084154,0.023820894089224047,-4.80732803,28.81912138
89.0,0.2095712,0.00055508,7.2e-06,8058926.022243109,0.02589787160197504,0.024476402426916167,-4.97168363,28.86959757
90.0,0.20954944,0.00054651,8.66e-06,7995078.145493106,0.025692362421175462,0.02189288781128399,-3.86171922,29.04817623
91.0,0.20952615,0.00055638,1.476e-05,8086889.2687948495,0.02598700895827529,0.02298932595961479,-3.00904677,28.91185227
92.0,0.20953571,0.00056548,1.971e-05,8109522.706558787,0.026059797323874142,0.02336897257041801,-3.6387548,28.97647709
93.0,0.20954242,0.00063638,2.295e-05,8111666.989821094,0.026066908396037276,0.022348400490037144,-4.70975988,28.80267838
94.0,0.20950337,0.00058592,2.363e-05,8106811.451848414,0.026050645060150573,0.023908780834107888,-2.38087355,29.00725992
95.0,0.20953022,0.00062488,1.879e-05,8077305.174634714,0.02595637460575355,0.023813800413422327,-3.93602854,28.89770364
96.0,0.20951741,0.00058633,1.174e-05,8086774.050780293,0.025986663384529266,0.02230988378775823,-2.84374207,29.04722025
97.0,0.2095352,0.0005858,4.93e-06,8116535.971643552,0.02608266178597925,0.024184956334461567,-3.5763659,28.80478155
98.0,0.20955707,0.00059368,2e-07,8145311.611139015,0.026175530488630843,0.024722337366437055,-4.62392981,28.82237174
99.0,0.20955127,0.00059929,-1.53e-06,8072115.189932582,0.025940281055023853,0.02520837155031593,-4.33732648,28.95544534
100.0,0.20955778,0.00062253,2.62e-06,8068952.298225174,0.025930186847547606,0.02274790217027261,-4.93689119,29.09654925
101.0,0.20952951,0.00061314,8.72e-06,8128100.227431227,0.026119752793573685,0.023233116522094446,-3.64545974,28.98641937
102.0,0.20955432,0.00062399,1.308e-05,8052970.80500859,0.025878592723820214,0.022912257382510893,-4.95004855,28.86577362
103.0,0.20955269,0.00058373,1.548e-05,8113331.47054031,0.026072387897283316,0.023612558887947176,-4.55194411,28.83135803
104.0,0.20955218,0.00053847,1.269e-05,8084889.923600413,0.025980912649540007,0.024475398751621615,-4.02062407,28.92122095
105.0,0.20954883,0.00054216,1.302e-05,8114438.736140345,0.026075828352905225,0.026023670346101434,-3.91910597,28.84588906
106.0,0.20955035,0.00055021,1.089e-05,8075358.773534253,0.025950326101828427,0.024852769935223108,-4.01615365,28.99502327
107.0,0.20955229,0.00055907,5.88e-06,8137620.2702941075,0.026150549007023623,0.023619929039443772,-4.14385403,28.91146987
108.0,0.20955554,0.00054005,2.43e-06,8126765.315588397,0.026115721647980743,0.023096190048598475,-4.04713423,28.8254309
109.0,0.2095413,0.00055013,2.68e-06,8136255.443258305,0.02614605519470101,0.02288957784268752,-3.48293379,28.85850811
110.0,0.20954029,0.00054728,7.39e-06,8070815.294476495,0.025935652561182836,0.02091766409402467,-3.45614913,29.08526859
111.0,0.20954547,0.00057353,1.001e-05,8131409.732161764,0.02613046370318702,0.022453688464858627,-4.03001526,28.96672601
112.0,0.20953215,0.000578,1.319e-05,8194016.718288916,0.026331428932204796,0.022353786351374277,-3.5242624,29.08278302
113.0,0.20957923,0.00056329,1.704e-05,8147507.931556668,0.026182476852658433,0.020612832427604755,-5.6502708,28.96137247
114.0,0.20953053,0.00054558,1.849e-05,8156979.921634746,0.02621220058197139,0.02012672708804518,-3.19652492,28.92160335
115.0,0.20955951,0.00052368,1.185e-05,8201094.968171116,0.02635441104297242,0.01998498324143759,-4.265619,28.99196411
116.0,0.20953754,0.00051832,6.14e-06,8077448.603851686,0.025956877607116718,0.020496318430223422,-3.02466803,29.1426279
117.0,0.20956001,0.00052559,3.24e-06,8120151.481233622,0.026094471309015158,0.021371517701367745,-4.12503781,28.82160695
118.0,0.20956774,0.0005691,7.85e-06,8035188.813822743,0.025821571725331244,0.021858260083548766,-4.94345637,28.94072312
119.0,0.20958218,0.0005756,7.41e-06,8147883.878643685,0.02618393957149023,0.022837621912885322,-5.75381007,28.9592693
120.0,0.20954659,0.00054013,3.1e-06,8163555.702962751,0.026233819213488566,0.021768881680700215,-3.65281407,28.93536959
121.0,0.2095471,0.00052514,5.76e-06,8124874.166356959,0.026109430415513904,0.020736190291610106,-3.55489357,28.9422527
122.0,0.20958442,0.00057166,8.92e-06,8130841.1623216,0.02612916129031403,0.020743508992496534,-5.83310694,29.02064376
123.0,0.20949839,0.00060327,7e-06,8113978.409584455,0.02607397133491271,0.02138251109173557,-2.04664992,28.96519643
124.0,0.20954761,0.00059551,7.59e-06,8106116.162391354,0.026049315778949707,0.01981850182966407,-4.295451,28.92007377
125.0,0.20955595,0.00063329,1.297e-05,8079132.95208531,0.02596271456264025,0.020720038072349897,-5.13237096,28.87017117
126.0,0.20952148,0.00062318,1.651e-05,8130144.600927912,0.02612609787678946,0.020541036845686103,-3.49443881,29.12216975
127.0,0.20955727,0.00058702,1.806e-05,8094575.524944383,0.026012135329837115,0.020272625827443373,-4.83127048,29.02351173
128.0,0.20957964,0.00059734,1.323e-05,8122939.875753267,0.026103696455795827,0.020399209365141273,-5.92685466,28.87475991
129.0,0.20955717,0.00059035,9.14e-06,8142483.383752419,0.02616626495915999,0.021674472671099787,-4.74133297,28.9678732
130.0,0.20957872,0.00056488,4.95e-06,8214462.831196886,0.02639786839977423,0.0209285489640668,-5.48749836,28.93919354
131.0,0.20957222,0.00059506,3.89e-06,8157666.030494873,0.026215364918182205,0.021049886498227192,-5.42362361,28.84837463
132.0,0.2095413,0.00059466,4.08e-06,8109792.415504419,0.026061111021505653,0.020719778203909543,-3.93440641,28.9422527
133.0,0.20953744,0.00056349,2.14e-06,8192757.114976749,0.02632762101032896,0.020631331762845637,-3.44756725,28.717213
134.0,0.20955157,0.00054984,4.21e-06,8200329.09716645,0.026352062958707883,0.022408979609026693,-4.02212807,28.97877146
135.0,0.20954435,0.00055752,4.5e-06,8132178.100237878,0.02613297834804293,0.02289992341038256,-3.72834194,28.92657449
136.0,0.20957364,0.00059823,2.23e-06,8132112.603479698,0.026133305365293548,0.023136535788748983,-5.47808225,29.03441
137.0,0.20957639,0.00061976,4.9e-07,8174711.188472271,0.026270328404991782,0.02106190998417547,-5.82291272,28.90802831
138.0,0.20955707,0.00057702,6.04e-06,8108048.714968592,0.02605562808722518,0.021469176492656377,-4.53389445,28.98622818
139.0,0.20958584,0.00057995,1.198e-05,8155677.166515648,0.026208957421413534,0.023708108109797028,-6.05132017,28.93517839
140.0,0.20951527,0.00060197,1.603e-05,8204676.052665915,0.02636547207260808,0.023544542290077106,-3.01095342,28.89961561
141.0,0.20953876,0.00056902,1.911e-05,8228524.36525465,0.02644226854984265,0.02223820708821196,-3.86362475,28.97819787
142.0,0.20956418,0.00052262,1.994e-05,8149397.81229178,0.026188186267026327,0.023416116590792017,-4.58317644,28.88087824
143.0,0.20953642,0.00052218,1.749e-05,8166237.384509813,0.026241981047642794,0.02224307080703309,-3.23073036,28.96290205
144.0,0.20955412,0.00052242,1.39e-05,8101013.497081029,0.026032684670799066,0.021175685277006112,-3.98110403,28.73518558
145.0,0.20956723,0.00052417,1.578e-05,8148504.352484871,0.02618543803713306,0.024613423873307394,-4.67382733,28.96366685
146.0,0.20956947,0.00053063,1.817e-05,8154975.67159262,0.02620623568889338,0.025312979589439073,-4.88704275,28.96213726
147.0,0.2095653,0.00054107,1.909e-05,8225251.670315135,0.0264320257464137,0.02350523568759163,-4.84983366,28.93364881
148.0,0.20957944,0.00052941,1.494e-05,8203831.976111712,0.026363426406984792,0.025046912119316082,-5.3256546,29.01567262
149.0,0.20956632,0.00050454,1.434e-05,8136620.275494401,0.026147209676858994,0.024516441257816015,-4.40555905,28.92848647
150.0,0.20954313,0.00049467,8.75e-06,8159369.840434659,0.02622009032056802,0.024535568315014415,-3.12853798,29.07188475
151.0,0.20955259,0.00052998,4.73e-06,8158398.172137839,0.02621726527230399,0.024420667986914155,-3.86082726,29.03957234
152.0,0.20956337,0.00054655,2e-06,8228615.96621884,0.02644315309792029,0.025388687893831193,-4.53016974,28.88145183
153.0,0.20956469,0.0005769,9.7e-07,8191185.991647852,0.02632299040967547,0.02499317918033995,-4.85819708,28.83977073
154.0,0.20953236,0.00054806,5.79e-06,8160317.249249151,0.026223196437465904,0.027801795140839754,-3.09976271,28.96634361
155.0,0.20956652,0.00056203,1.101e-05,8110855.07769243,0.0260646351597753,0.026155813506847037,-4.91455935,28.83977073
156.0,0.20958971,0.00057097,8.77e-06,8212244.352025799,0.026390828271272662,0.026103168548418463,-6.13457468,28.88890854
157.0,0.20955503,0.00056325,9.89e-06,8099278.074661035,0.026027306624523253,0.02785535340904873,-4.36049779,28.93823755
158.0,0.20951853,0.00056,1.176e-05,8249882.665130895,0.02651075041338199,0.02663047309111511,-2.69057001,28.79426568
159.0,0.20956784,0.00052307,1.446e-05,8128201.4294186495,0.026120223912301434,0.027788351925883904,-4.65830554,28.98488979
160.0,0.20955107,0.00051186,1.087e-05,8185320.199893394,0.026303593349611822,0.02893599675809829,-3.72211575,28.87093596
161.0,0.20957781,0.00049613,7.98e-06,8192844.253261674,0.02632813577432595,0.027280453053358373,-4.79345967,28.88011345
162.0,0.20956429,0.00054322,1.238e-05,8264374.036855742,0.026557867620747414,0.02779331249946841,-4.73362836,29.05620654
163.0,0.20955564,0.00056427,1.514e-05,8224766.551960825,0.02643047878721341,0.02598355939530757,-4.55463018,28.88183423
164.0,0.20956012,0.00053973,1.603e-05,8209711.026677926,0.026382071766571466,0.027785859183569336,-4.52906689,29.00133279
165.0,0.20953744,0.00052628,1.157e-05,8221260.663373029,0.026418934701361637,0.024324366781936717,-3.24364525,28.9175882
