Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.2095109,0.00066515,8.88e-06,8377938.55052842,0.026911344147628084,0.007103590183657899,2.67555176,56.39728665
1.0,0.20947846,0.00063829,9.52e-06,8301236.976596802,0.02666444500569286,0.008901509641359497,4.47432551,56.47070656
2.0,0.20950276,0.00065385,1.233e-05,8332403.945093552,0.026764871766248397,0.131024254838414,3.11077288,56.55273037
3.0,0.2094685,0.00072877,1.748e-05,8161867.467298456,0.02621674297117358,0.31331923330598416,3.84147077,56.43915894
4.0,0.20894654,0.00117389,2.433e-05,7698282.789861378,0.02472221528812587,0.30062879650294805,22.65682485,56.43380541
5.0,0.20730683,0.00174512,3.976e-05,7579919.783356739,0.02432305145978216,0.20253377410104054,88.63471696,56.27893527
6.0,0.20530482,0.00293073,5.442e-05,7687673.080528586,0.024646170638519333,0.1681843592450066,167.11786461,55.99538909
7.0,0.2039955,0.00406921,6.983e-05,7645476.793252967,0.02449677658625393,0.1663629980074926,212.85100998,55.83210626
8.0,0.2036822,0.00486698,8.797e-05,7688594.665958646,0.02463264339182838,0.1647562750218127,220.33442868,55.78526282
9.0,0.20360634,0.0052677,0.00010262,7718536.044605434,0.024728380040123798,0.1566202430536687,220.69682315,55.97129818
10.0,0.20366695,0.00545674,0.00011175,7768782.626050728,0.024890498116211288,0.14396226562207703,217.5983678,55.61242011
11.0,0.20361194,0.00556859,0.00011926,7705220.605907967,0.02468629327558653,0.1386184129701718,217.11094579,55.56787104
12.0,0.20361621,0.00559991,0.00012404,7738436.374688924,0.02479276340654168,0.1399846713970679,217.50246634,55.43135589
13.0,0.20376823,0.00556692,0.00012689,7757395.787014182,0.024855364561515603,0.1349257838728789,211.56892358,55.27419138
14.0,0.20401441,0.00543196,0.00012679,7780545.043816843,0.02493241620755422,0.12829577465815198,202.50443533,55.189682
15.0,0.20434876,0.00527586,0.00012821,7828362.155771417,0.025089612244493884,0.12028369421825584,190.21275827,55.28069211
16.0,0.20461254,0.00506443,0.00012259,7829690.32421438,0.0250968772707141,0.11533176681363237,180.47171876,55.25143886
17.0,0.20479608,0.00487941,0.00012037,7861172.995895002,0.025199752851531365,0.10517509039810201,174.68999324,55.1648263
18.0,0.20495848,0.00470601,0.00011622,7825660.460091029,0.02508765415269325,0.0988058162225367,168.29126081,55.00823539
19.0,0.20516032,0.00454712,0.00011197,7880920.307810649,0.025267118232094335,0.09559829775355827,161.91411382,54.91225415
20.0,0.20533167,0.00438119,0.00010949,7919764.322807337,0.025393518746475895,0.0938300111044746,156.5283189,54.78625486
21.0,0.20551694,0.00425094,0.000105,7925768.177096362,0.025414948544986302,0.09203008142080611,149.52013479,54.70346626
22.0,0.20566235,0.00411601,0.00010565,7930464.191287335,0.02543154837858007,0.0839689134002361,144.25041771,54.48607448
23.0,0.20577238,0.00397199,0.00010277,7849887.011391298,0.025174254640161393,0.08100700567306894,139.21390936,54.51972528
24.0,0.20590081,0.00388382,0.00010304,7880074.408862145,0.02527250344331725,0.07626997643604544,134.75925773,54.52909396
25.0,0.20599772,0.00378847,0.00010329,7938194.191532636,0.025459915095222135,0.07414222042254584,132.22935869,54.28168414
26.0,0.20610174,0.00371851,0.00010021,7911190.0071816165,0.025374538626700617,0.0731831754379905,127.75854873,54.36714951
27.0,0.20621675,0.00365541,9.786e-05,7957660.248535285,0.0255249774956168,0.06903896259565548,123.88425466,54.16199439
28.0,0.20630379,0.00356132,9.527e-05,7906266.641262304,0.02536106052422988,0.06685595942317232,120.05466933,54.12777
29.0,0.20642094,0.00348299,9.004e-05,7939518.187968384,0.025469145820316823,0.06673921325035923,116.0354478,54.18245254
30.0,0.206497,0.00341965,8.284e-05,7900309.134504348,0.025344323145188214,0.06344351082721594,112.71660842,53.95033854
31.0,0.20657784,0.00338881,7.713e-05,7927147.425710035,0.025431502197343792,0.06307618992247399,109.79490974,54.21686813
32.0,0.20663529,0.00336041,7.122e-05,7864651.1709552035,0.025231783359794098,0.06015747597383754,106.68876932,54.07920578
33.0,0.20670078,0.00332925,7.114e-05,7990078.170676242,0.025634964464884585,0.059311936740949575,105.67700226,54.08245614
34.0,0.20677806,0.00326843,7.116e-05,8002932.23851622,0.025677057754584138,0.05593143222290441,102.86726607,54.10769424
35.0,0.20677532,0.0032124,7.14e-05,7946812.104831347,0.025496806221330454,0.05223756716268423,102.79959271,53.9446026
36.0,0.20688209,0.00317401,6.883e-05,7864884.384906979,0.025235274448787842,0.0503801322892027,97.30457204,53.54824978
37.0,0.20695154,0.00310198,6.395e-05,7910344.485895897,0.02538193810996294,0.046817031033180634,95.46119883,53.81860332
38.0,0.2069733,0.00307057,6.028e-05,7946189.855307308,0.025497222939608998,0.04583468113150478,95.25473866,53.65837965
39.0,0.20703848,0.00303076,5.813e-05,7935367.764920232,0.02546328061517738,0.04548780213129666,92.55721487,53.72587244
40.0,0.20710336,0.00298078,5.388e-05,7984730.416615238,0.02562247214273767,0.04130999643541988,90.69346168,53.69700159
41.0,0.20710936,0.00294466,5.636e-05,8026180.392808978,0.02575541591165328,0.04297703761325575,91.19400156,53.49184646
42.0,0.20719833,0.00292622,5.653e-05,7997773.939713994,0.025665377002971553,0.040734971070526545,86.9431913,53.66545397
43.0,0.20722142,0.00288336,5.142e-05,7953030.654932434,0.025522073379560903,0.04028875170876114,85.88869029,53.6958544
44.0,0.20725101,0.00282993,5.045e-05,7915423.260311122,0.025401645684085008,0.03722318768352601,84.65383316,53.54385223
45.0,0.20728548,0.00281238,5.285e-05,7933557.432048709,0.025460197289037166,0.03563466251153072,83.39940062,53.40618989
46.0,0.20731172,0.00279653,5.238e-05,7955809.284485092,0.025531915674134955,0.03741625841049607,82.5884495,53.46182842
47.0,0.20733012,0.00277959,5.016e-05,7992594.639058281,0.025650204466772058,0.03479851634952102,82.3203803,53.37942222
48.0,0.20737751,0.00275936,4.956e-05,7949880.775033377,0.025513699224655354,0.033338588174550925,79.91005789,53.49165526
49.0,0.20733205,0.00274242,4.547e-05,7925678.832554957,0.025435466928927095,0.032532012372177024,81.97126785,53.32799003
50.0,0.20744228,0.00272279,4.558e-05,7910534.600066996,0.025388239609918012,0.03267173916323185,76.96931917,53.25686449
51.0,0.20740415,0.00269931,4.531e-05,7998127.161675327,0.02566880243904,0.030248637309063492,79.81129416,53.26604198
52.0,0.20741259,0.00268712,4.09e-05,7991452.889524415,0.02564754223509195,0.029736774173529452,79.54362471,53.27043953
53.0,0.20748591,0.00266774,3.965e-05,7931199.080816179,0.02545508881342928,0.02864540673567142,75.79325953,53.15189696
54.0,0.20751489,0.00265393,3.625e-05,7948664.176069799,0.02551154587259253,0.027663140441416427,74.81701125,53.09128729
55.0,0.20755404,0.00263065,3.705e-05,7979307.947146147,0.0256103313619202,0.02517816917137708,73.51286292,52.99970359
56.0,0.20755607,0.00257596,4.028e-05,7925124.764491387,0.025436244241042367,0.02271850297344692,73.3899089,53.13029162
57.0,0.20759146,0.00255126,4.264e-05,7985856.447603827,0.025631518038857208,0.020974087435652083,72.52045144,52.91347343
58.0,0.20758485,0.00251636,4.531e-05,8001228.882993292,0.02568062603829711,0.02012566499020658,73.25805744,53.06585799
59.0,0.2076061,0.00249942,4.716e-05,8046251.076012807,0.025825327120604032,0.019177303222357788,72.81694228,52.8159626
60.0,0.20759217,0.00249268,4.868e-05,7923467.215880338,0.025431011882446126,0.020846935172107554,72.38305127,52.92513649
61.0,0.20760173,0.00246387,4.508e-05,7988278.7528898055,0.02563914368541863,0.019555872491452846,72.86856329,52.82743446
62.0,0.20761728,0.00246265,4.212e-05,7858776.482556822,0.025223744868830476,0.020262998667979083,71.03984655,52.73585077
63.0,0.20768053,0.00247842,3.972e-05,8027834.382814698,0.025767276241344016,0.018500185003565327,69.52311493,52.91270864
64.0,0.20763233,0.00250007,3.665e-05,8010336.485594315,0.025710597747871454,0.019206265696180485,71.44229036,52.67409391
65.0,0.20765003,0.00250848,4.02e-05,8003526.851627376,0.025688929110577127,0.019384421867573536,70.42513356,52.63833994
66.0,0.20765786,0.00248687,4.022e-05,7991979.149171812,0.02565190761387331,0.0180503062032567,70.17018089,52.76376563
67.0,0.20767138,0.00245311,3.895e-05,7992153.973704649,0.025652577352008977,0.018367696554038394,69.89224248,52.61004268
68.0,0.20765277,0.00243738,3.926e-05,8021796.0347047215,0.02574742721866483,0.018015431610400822,71.15932112,52.62055856
69.0,0.20764474,0.00241516,3.976e-05,7994582.523481771,0.025659905669605455,0.01862498602742131,71.49412762,52.60105639
70.0,0.20769721,0.00243019,4.084e-05,7996423.131481054,0.025666520093735032,0.018844005440688,68.92636067,52.46071728
71.0,0.20771958,0.00241138,4.057e-05,8027089.203287577,0.02576519770820576,0.01807846355794018,68.33971291,52.42094816
72.0,0.20771155,0.00242718,4.189e-05,7953717.696865555,0.02552960506221668,0.018393686449779383,67.91183064,52.41387385
73.0,0.20770596,0.00244608,3.956e-05,7907964.423103426,0.025382769270665285,0.018000401163901985,67.63421451,52.62973605
74.0,0.20770555,0.00245233,3.785e-05,8017646.528640859,0.02573486765697963,0.017497660537784836,68.55841917,52.32076057
75.0,0.20768918,0.00246603,3.931e-05,8039337.830310944,0.025804286834821843,0.019531958132559746,69.34803204,52.43624398
76.0,0.20767657,0.00243933,3.939e-05,8027189.959109365,0.025765055269664962,0.018251820748658186,70.08410224,52.25212059
77.0,0.20767179,0.00241678,4.031e-05,7959738.32205057,0.025548413794772434,0.017729113186379385,69.91574798,52.22057297
78.0,0.20767413,0.00243373,4.237e-05,7971173.241368518,0.02558515457150071,0.020651526370156555,69.71323853,52.33758596
79.0,0.20765806,0.00242714,4.238e-05,8042027.003890239,0.025812345069151275,0.019898433479485052,71.14221178,52.27449072
80.0,0.2076481,0.00242804,3.926e-05,7975863.149929309,0.025599910929765466,0.01678612905521921,71.05709457,52.25670934
81.0,0.20763325,0.00241496,3.964e-05,7955928.676488686,0.025535692079203653,0.018636682178286658,71.68072273,52.23242723
