Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20940482,0.00077475,0.00011878,948.7575070215287,0.02694613004638077,-0.004403490904449734,3.58493847,111.12917081
1.0,0.20942119,0.0007471,0.00013405,948.435597696287,0.026936832959180024,-0.004097045375024534,2.70012035,111.05382795
2.0,0.20943065,0.00072885,0.00012012,939.0993411979376,0.026672014796756113,-0.004971033412894728,2.63065187,111.11329909
3.0,0.20946532,0.00072388,8.087e-05,941.3501741168425,0.026737151364462593,-0.0042923324549583265,1.53470082,111.1762123
4.0,0.20942221,0.00070485,5.915e-05,939.6137794158776,0.026687621595743744,0.1277656114372592,4.54357444,111.32307352
5.0,0.20943583,0.00071915,8.143e-05,940.3163178453734,0.026707367967450962,0.258806525063775,3.20275701,111.5512056
6.0,0.20941621,0.00070819,8.702e-05,949.3283437997395,0.026962927185568735,0.26691857215145226,4.34539761,111.48293808
7.0,0.20943746,0.00067206,8.384e-05,951.3725103374403,0.027021233282706558,0.21572833872322172,3.6535163,111.42461428
8.0,0.20946562,0.00065846,0.00010715,951.6563231016962,0.027029181830794013,0.12702128932058537,1.78923732,111.68123897
9.0,0.20946186,0.00067121,0.00012006,947.7462949193821,0.026917862401295848,0.1455962175217517,1.59260001,111.50626759
10.0,0.20951595,0.00065858,0.00011827,946.4586080057055,0.026882017353921345,0.15300868672929444,-1.23057172,111.41792139
11.0,0.20952531,0.00063161,0.00012544,937.9096044472775,0.026639113763074852,0.11342992735845658,-1.56035524,111.3685852
12.0,0.20951189,0.00061536,0.00012529,935.4208002113355,0.026568204066600824,0.08275984687973947,-0.62990844,111.2458184
13.0,0.20954727,0.00059963,9.496e-05,947.1465323614217,0.026902264917061273,0.06232125770918034,-1.83371986,111.12668488
14.0,0.20953009,0.00061336,4.982e-05,945.8450058077233,0.02686598068424914,0.05676390332413819,-0.16587315,111.19686466
15.0,0.20956374,0.00063438,5.72e-05,939.8783347482376,0.02669686840915515,0.046313515690417674,-2.40477754,111.15020562
16.0,0.20951595,0.00065613,6.355e-05,947.8821854090944,0.02692350829877307,0.04253315851739688,-0.14484286,110.97657282
17.0,0.20955835,0.00065536,8.312e-05,943.3933250491995,0.026796195278748783,0.03496189185280199,-2.858489,111.22554849
18.0,0.20952612,0.00062644,6.688e-05,945.107005898856,0.026844670995971005,0.022198005057218025,-0.42714624,111.1702843
19.0,0.20953934,0.00061149,3.568e-05,944.3594115519069,0.02682417653272518,0.017325361001477666,-0.38365784,111.45884366
20.0,0.20956669,0.00059906,3.727e-05,951.3560606402668,0.02702321740944004,0.014089856579748265,-1.79816911,111.22688707
21.0,0.20954249,0.00060851,7.851e-05,946.7030915704398,0.026889949877557058,0.011988091377076321,-1.35296518,111.46744881
22.0,0.20951504,0.00060688,0.00010756,947.4834287751087,0.026911175008804484,0.010573989589637263,-0.37151231,111.41658281
23.0,0.20955134,0.00058387,0.00012432,940.4549471793631,0.026711644324345894,0.012024701802527215,-2.42652391,111.30815792
24.0,0.20953578,0.00060269,0.00012591,944.10379384586,0.026815095290426492,0.011629760220172848,-1.82362432,111.05841736
25.0,0.2095429,0.00061581,0.00010367,945.1778139375452,0.026846164361398212,0.014121878070121616,-1.94362937,111.19667343
26.0,0.20951788,0.00061137,8.645e-05,952.4995162726093,0.02705410974601811,0.00973475113125239,-0.17448844,111.23396241
27.0,0.20950812,0.00060721,6.827e-05,941.8446182515631,0.026751684619418056,0.011473043535447631,0.76448409,111.12305159
28.0,0.20954158,0.00060424,5.12e-05,941.5082829050176,0.026742901089150155,0.01281670275801774,-0.72049912,111.21331005
29.0,0.20952582,0.00063784,4.055e-05,938.1701886588331,0.026648173517476656,0.015498357097009396,-0.0343624,111.08996957
30.0,0.20954015,0.0006455,3.886e-05,950.2634914502291,0.02699192498719673,0.020282397299437253,-0.89054086,111.09073448
31.0,0.20951605,0.00063564,7.421e-05,946.7073370350374,0.02688987449653556,0.016659164692528025,-0.11776074,111.17544739
32.0,0.20953263,0.00063308,9.142e-05,942.760402183631,0.0267776496620295,0.023030798825259595,-1.335335,111.18214029
