Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20952239,0.00069156,5.8e-07,895.1465868866856,0.02659304354712245,,-0.9169307,111.48931503
1.0,0.20950693,0.00072281,-4.7e-07,888.2432487561068,0.02638786144943852,,-0.40619964,111.41165182
2.0,0.20951507,0.00072127,1.13e-06,887.3838903996017,0.026362404255048853,,-0.85992858,111.5727169
3.0,0.20954375,0.00072496,2.95e-06,894.7454612680675,0.02658145826457072,,-2.51309361,111.5675521
4.0,0.20956653,0.00071319,5.09e-06,898.271715623948,0.02668644729701666,,-3.67962457,111.6842382
5.0,0.20955717,0.0006869,2.95e-06,898.7065663288079,0.02669920895047058,,-2.8233037,111.72804331
6.0,0.20956266,0.00069457,3.4e-07,897.5624382508724,0.026665363522267272,,-3.1594138,111.67543892
7.0,0.20958066,0.00067144,-1.78e-06,892.5949821841472,0.02651800199549771,,-3.81945057,111.80073301
8.0,0.20954426,0.00066348,-1.88e-06,889.4525917623384,0.026424144247750504,,-1.73332073,111.58725484
9.0,0.20954985,0.00066596,-8e-08,893.4107061551895,0.026541779726268915,,-2.1090699,111.61633072
10.0,0.20953409,0.00067168,1.79e-06,897.1845875924686,0.02665366559492429,,-1.35487218,111.76687492
11.0,0.20955076,0.00069887,3.59e-06,888.1894161834105,0.02638669673629138,,-2.59057172,111.75386729
12.0,0.20958666,0.00069591,3.93e-06,886.5455108160431,0.026338316796018016,,-4.5048536,111.86194539
13.0,0.20954883,0.00070569,4.74e-06,897.3514927749021,0.02665885866613027,,-2.61181274,111.67620408
14.0,0.20954181,0.00068783,4.19e-06,902.3193745874316,0.026806312793973438,,-2.02190924,111.49983591
15.0,0.20957649,0.00065391,1.75e-06,897.0974718007909,0.026651593481507425,,-3.47575373,111.5845768
16.0,0.20956226,0.00062899,1.7e-07,891.9383229945332,0.026498094516696363,,-2.36427874,111.56678695
17.0,0.20952249,0.00063264,2.18e-06,898.345251927726,0.026687875235051416,,-0.2779453,111.36574254
18.0,0.20951141,0.00062023,2.89e-06,900.4020077088562,0.02674878023597595,,0.46126268,111.52183411
19.0,0.20956205,0.0006186,1.44e-06,892.6215224521529,0.02651833531373187,,-2.26022606,111.57176045
20.0,0.2095469,0.00064729,5.6e-07,892.6940787802338,0.02652038662671853,,-1.74499448,111.58706355
21.0,0.20953866,0.00067476,-3.5e-07,892.1479544881137,0.02650414679472482,,-1.59156425,111.35273491
22.0,0.20953836,0.00067468,-2.32e-06,902.7281462840768,0.02681849961544605,,-1.55483522,111.52661632
23.0,0.20953663,0.00064344,-3.4e-06,891.329451019818,0.02647977505327529,,-1.06348317,111.30089567
24.0,0.20951639,0.00061978,-3.31e-06,892.7698886398582,0.02652223194310014,,0.30829586,111.47190776
25.0,0.20952737,0.00065407,-2.78e-06,892.9414910778197,0.026527560697496115,,-0.69365279,111.31447717
26.0,0.20950907,0.0006447,-1.36e-06,896.6354842624484,0.02663700484774275,,0.38756451,111.39156651
27.0,0.20950825,0.0006298,-7.9e-07,895.095700605917,0.0265911979773825,,0.59136569,111.38142821
28.0,0.20946818,0.0006589,2.47e-06,889.6279004611363,0.026428251131338343,,2.37304039,111.51819962
29.0,0.20950652,0.00068828,6.39e-06,895.8994254449241,0.0266150768030669,,-0.12181539,111.31811165
30.0,0.20948364,0.00071295,6.53e-06,892.1678839389032,0.026503984023858836,,0.84196562,111.45277889
31.0,0.20951263,0.00072744,6.01e-06,891.9953818207567,0.026499293819923397,,-0.89450284,111.1245275
32.0,0.20949534,0.0007078,5.33e-06,892.1200992805982,0.026502728224136015,,0.28584167,111.24446551
33.0,0.209505,0.00072833,7.81e-06,891.3033700570533,0.026478602620202702,,-0.52252226,111.14690828
34.0,0.20918546,0.0008665,9.17e-06,874.2930264263256,0.025969458523601385,,14.9849212,111.13983059
35.0,0.20879361,0.00119942,1.04e-05,859.8022615743038,0.025534876310550403,,31.61905633,111.05145522
36.0,0.20839067,0.00172516,1.107e-05,858.6723801877168,0.025497538644926356,,46.90736386,111.16450684
37.0,0.20793821,0.00235877,1.071e-05,851.8072359994884,0.02528959009684214,,63.15536615,110.93113464
38.0,0.20743866,0.00294409,1.195e-05,842.1615620252421,0.02499839438599751,,81.7678955,110.75973997
39.0,0.2068427,0.00350157,1.47e-05,848.9157196593395,0.025192651830550424,,107.13347406,110.50781277
40.0,0.20624491,0.00397221,1.824e-05,838.7635801971238,0.024884914166348894,,131.2299468,110.6070916
41.0,0.20567203,0.00443696,2.256e-05,832.2032083824837,0.02468411906667849,,154.13923972,110.59025819
42.0,0.20510719,0.00489555,2.501e-05,834.6799151441778,0.02475149116915861,,178.26425658,110.24498211
43.0,0.20484785,0.00521613,2.596e-05,830.4601801230915,0.024623860745157145,,187.03121592,110.15966735
44.0,0.20459737,0.0055137,2.776e-05,826.4273585368991,0.02450182844107075,,195.52170127,110.01314022
45.0,0.2044321,0.00577353,2.878e-05,824.8265391947724,0.02445291731184212,,200.684263,109.84499746
46.0,0.20418477,0.0059927,2.929e-05,824.6068121044916,0.02444380029912411,,210.66891684,109.63056284
47.0,0.20402419,0.00617315,2.96e-05,814.3254082279991,0.02413745639474682,,214.09283052,109.77747255
48.0,0.20391425,0.0063125,3.009e-05,826.0171610152488,0.024482955403112634,,221.20095035,109.45821173
49.0,0.20378682,0.00638485,3.041e-05,829.6056167114217,0.024587852317848432,,227.77538169,109.17261772
50.0,0.20365583,0.00642523,3.1e-05,818.0791558604079,0.02424465125799008,,230.63688874,109.09074616
51.0,0.20355718,0.006513,3.09e-05,814.6229200598731,0.02414119554194676,,233.61373107,108.90940448
52.0,0.20353196,0.00661218,3.113e-05,814.5182193036442,0.024138026097117356,,233.81985611,108.7485307
53.0,0.20351701,0.00667082,3.088e-05,823.9747315896801,0.02441823390333357,,236.6849875,108.77263307
54.0,0.20348131,0.00670661,3.091e-05,813.8942089331176,0.024119138619292577,,235.17673445,108.60946382
55.0,0.20345416,0.00669407,3.079e-05,811.3645467461903,0.024043798409244053,,235.89724557,108.3898644
56.0,0.20347236,0.00668985,3.127e-05,818.8842692609929,0.0242668499460877,,237.22265473,108.09068889
57.0,0.20345955,0.00671521,3.088e-05,814.0425397887511,0.024123279806818703,,236.20023879,108.05989142
58.0,0.20346178,0.00673583,3.088e-05,810.5651731433045,0.02402031370846324,,234.87806311,107.8115987
59.0,0.20339904,0.00676687,3.094e-05,808.8883847049624,0.023969907927072025,,237.13280914,107.67693146
60.0,0.2034207,0.00675559,3.067e-05,812.4558999045357,0.024075875875703142,,237.24021985,107.61820583
61.0,0.20337432,0.00671671,3.092e-05,807.9793245338805,0.023942526760322935,,238.56716168,107.43112549
62.0,0.20335571,0.00671752,3.13e-05,812.8054005111302,0.024085294030561203,,240.88667718,107.13864509
63.0,0.203373,0.00673976,3.101e-05,802.6230512944902,0.023783847643879006,,236.82078201,107.06805956
64.0,0.20338419,0.00676245,3.11e-05,810.0990938688066,0.024005582111148636,,238.25480539,106.89264784
65.0,0.2033967,0.00679633,3.05e-05,815.6811792099915,0.02417125491874802,,238.95408248,106.67400486
66.0,0.20341388,0.00678111,3.082e-05,813.1873805849633,0.024097529164516046,,237.53086025,106.75377225
67.0,0.20341226,0.00672864,3.064e-05,806.2928902385843,0.023893068747589674,,236.11940357,106.34211899
68.0,0.20346463,0.00668786,3.051e-05,811.1267639997269,0.024036873906488905,,235.39151589,106.35436146
69.0,0.20352057,0.00666571,3.078e-05,808.1072423355967,0.02394803939636147,,232.01453588,106.10951194
70.0,0.20353379,0.0065787,3.108e-05,816.6267233836057,0.02420044765352179,,234.68107376,105.89316444
71.0,0.20353043,0.00653829,3.076e-05,809.8356201414392,0.02399905382920017,,233.30078676,105.84017747
