Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20949242,0.000687,1.935e-05,90661.17930310578,0.029141078245854296,0.27463474958500517,-0.02418497,363.81836552
1.0,0.20948724,0.00070435,1.882e-05,90057.4646167041,0.028947015920345574,0.275594574113618,-0.02311415,363.82571408
2.0,0.20949151,0.00073486,1.838e-05,90310.43821734434,0.029028492999357575,0.2743534004972972,-0.02871089,363.83004449
3.0,0.20947168,0.00074864,1.894e-05,90647.43609191536,0.029136555354450713,0.275373203555437,-0.0199769,363.83083184
4.0,0.20943894,0.00074729,2.021e-05,90017.19959824499,0.028933475166856848,0.2739632103064041,-0.00275302,363.76718801
5.0,0.20947615,0.00073141,2.284e-05,90326.33270668256,0.029033274628102308,0.2758526594542339,-0.02107359,363.7859531
6.0,0.20946924,0.00074068,2.31e-05,90206.58691226337,0.02899470760466161,0.27418164098834746,-0.01848155,363.80550553
7.0,0.20944555,0.00074335,2.591e-05,89964.43894729628,0.028916481385094665,0.2750118726207315,-0.00682233,363.79487636
8.0,0.20941383,0.00075254,2.807e-05,90359.84265700934,0.029043093745733856,0.2753899942317354,0.00843415,363.83542469
9.0,0.20943081,0.00075877,2.851e-05,90239.4456983685,0.02900465269704211,0.2737509725293892,-0.00126783,363.83634326
10.0,0.20942176,0.00073806,2.706e-05,89779.19555722449,0.028856556357523197,0.27479603540014524,0.00600326,363.83634326
11.0,0.20942226,0.00070935,2.472e-05,89571.82418132469,0.02878987282835045,0.2729791203534069,0.00928892,363.83673693
12.0,0.20944657,0.00071591,2.315e-05,89778.72146105676,0.028856777043126024,0.27512589997920944,-0.00382953,363.82978204
13.0,0.20943701,0.00073301,2.242e-05,89617.83702247548,0.028804994364796315,0.27453019977104004,-0.00057206,363.79894431
14.0,0.20945989,0.00072362,2.357e-05,90179.00202114541,0.028985643670321217,0.277226544203982,-0.0117701,363.81075451
15.0,0.20945134,0.00068458,2.52e-05,90340.33640412355,0.02903722280973184,0.27545482207149546,-0.00328809,363.780048
16.0,0.20945084,0.00069582,2.482e-05,90062.59203826042,0.028947984968080168,0.2734941042645,-0.00417788,363.84500407
17.0,0.20944962,0.00070714,2.368e-05,90369.86998523111,0.02904679116856482,0.27623647902620924,-0.00458975,363.80813002
18.0,0.20943986,0.00068544,2.266e-05,90228.91075839002,0.029001297451443336,0.2748919938157664,0.00312349,363.88030343
19.0,0.20947687,0.00067597,2.328e-05,89679.35061835639,0.028825150985294035,0.27444384759570944,-0.01530367,363.86376916
20.0,0.20944687,0.00065538,2.494e-05,89906.55918064054,0.028897650156543865,0.27576695772352056,0.00232209,363.8591763
21.0,0.20945297,0.00068573,2.452e-05,90059.30163533786,0.028946933866097837,0.27466482186133184,-0.00413459,363.87387343
22.0,0.20945023,0.00071374,2.349e-05,90468.10931393885,0.029078400389124653,0.2759502568106725,-0.00561009,363.85209019
23.0,0.20945358,0.00072428,2.322e-05,89863.10736408242,0.02888402576641863,0.2753773947995783,-0.00843592,363.78214759
24.0,0.20945399,0.00072079,2.442e-05,89988.2345339188,0.028924214713660773,0.2742643066410459,-0.00849791,363.86665609
25.0,0.20946934,0.00071341,2.416e-05,89751.31672467252,0.028848268893183242,0.27578701633325214,-0.01564628,363.81744695
26.0,0.20943467,0.0007228,2.239e-05,89390.14292008405,0.028731745010882773,0.27450808899925516,0.00176577,363.85222141
27.0,0.20943203,0.0007413,2.459e-05,89862.43960867904,0.028883522389045863,0.2746190938776423,0.00072918,363.84041122
28.0,0.20943345,0.00074368,2.368e-05,90007.6615614791,0.028930246360836277,0.2745790957444432,-0.00011109,363.81941531
29.0,0.2094487,0.00073773,2.325e-05,90153.38236239483,0.02897729614520677,0.27322011187613227,-0.00738775,363.80353716
30.0,0.20947829,0.00070057,2.472e-05,90161.9673789993,0.02898034114902831,0.27384613134850266,-0.01910627,363.81036083
31.0,0.20947748,0.00069319,2.526e-05,90265.56305564148,0.02901359386674032,0.27308390017782347,-0.01798596,363.80353716
32.0,0.20946039,0.0007,2.556e-05,90439.80659075407,0.029069365779106748,0.27221028218536275,-0.00982843,363.79185819
33.0,0.20945724,0.00071222,2.541e-05,90337.33941015096,0.029036425130450287,0.2729480818532441,-0.00947898,363.78359106
34.0,0.20944423,0.0007128,2.477e-05,90615.40344916181,0.029125626558666406,0.27380489174276496,-0.00258541,363.82348327
35.0,0.20945582,0.00070295,2.549e-05,90027.57863250442,0.02893681074189482,0.2741547789382927,-0.00769551,363.78241004
36.0,0.20947026,0.00067474,2.571e-05,90473.62513105344,0.029080299296115174,0.2733560493984701,-0.01226723,363.80655532
37.0,0.20946894,0.00065813,2.597e-05,90225.83580471351,0.029000578952026956,0.2712157707611845,-0.00975575,363.84854713
38.0,0.20949466,0.00064792,2.527e-05,90217.61824976138,0.028998294676510918,0.2715337380306951,-0.0220222,363.87885996
39.0,0.20944657,0.00065792,2.518e-05,90214.18047703692,0.02899652373941643,0.27406844555575705,0.00216543,363.85983242
40.0,0.20946304,0.00068753,2.29e-05,90390.36722976927,0.02905353125682054,0.2738235032906633,-0.0093507,363.84618509
41.0,0.20946456,0.0007032,2.133e-05,90133.18495237554,0.02897096955676278,0.2737152676891222,-0.01156267,363.84972815
42.0,0.20949944,0.00071132,2.027e-05,91028.98413851116,0.02925945919642678,0.27517237334939226,-0.03088017,363.86704976
43.0,0.20947341,0.00067351,1.98e-05,90503.72951054954,0.029090141911609885,0.2731852131691242,-0.01271182,363.79408901
44.0,0.20946243,0.00069094,2.155e-05,90408.87442965235,0.029059509770269637,0.27332870943974685,-0.00916127,363.85025305
45.0,0.20947249,0.00067687,2.324e-05,90678.98423579425,0.029146397513762606,0.27445120599068673,-0.013259,363.82440184
46.0,0.20947981,0.00067027,2.27e-05,90411.17842492754,0.02906041603415001,0.2742638618954074,-0.01624654,363.75340945
47.0,0.20944819,0.00066793,2.418e-05,89997.85445340359,0.02892706728158392,0.2736390553884409,0.00039074,363.74330517
48.0,0.20948714,0.00065378,2.302e-05,90599.3504275627,0.0291209489721715,0.27334189879746107,-0.01837964,363.78267249
49.0,0.20946212,0.00068491,2.302e-05,90534.1937041953,0.029099736443977613,0.2741751887272239,-0.00861553,363.8236145
50.0,0.20945653,0.00069594,2.496e-05,90281.50248325699,0.02901842744413187,0.27345469373416287,-0.00722181,363.81836552
51.0,0.20946487,0.00070455,2.553e-05,90472.98544924353,0.029080109956247945,0.2757190907792451,-0.01268802,363.83634326
