Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20947312,0.00070227,7.01e-06,930.090110651637,0.026418372404495363,,1.19329353,43.44958079
1.0,0.20949061,0.00066633,7.4e-06,928.2860028146562,0.026367252382368558,,0.6417757,41.97794838
2.0,0.2094357,0.00064522,4.67e-06,929.5839858742657,0.02640338796406041,,3.92757494,40.37562643
3.0,0.20949611,0.00063649,3.75e-06,941.5890610605186,0.026745175983317517,,0.76333764,40.2691629
4.0,0.20948055,0.00063827,5.11e-06,938.3671191187265,0.02665343008669921,,1.56986396,40.49714938
5.0,0.20948167,0.00065013,6.92e-06,932.2332976940853,0.02647921787701547,,1.32825063,40.57532739
6.0,0.20945462,0.00065545,7.49e-06,935.7659384967975,0.02657920302700142,,2.74493107,41.40136915
7.0,0.20952712,0.00065212,8.48e-06,934.074240893003,0.02653208755784733,,-1.21082892,41.39338111
8.0,0.20948909,0.00065557,8.74e-06,928.6307697270663,0.02637696981229777,,0.82241249,41.55707042
9.0,0.20943946,0.00067124,1.065e-05,920.663796402764,0.026150031526331927,,3.28018932,41.64821263
10.0,0.20938841,0.00083143,1.013e-05,907.2587021239104,0.025769064502658395,,4.17158637,40.90807503
11.0,0.20886979,0.00137006,1.151e-05,872.4262934725683,0.024774635549208838,,24.72640262,41.45780922
12.0,0.20798008,0.00217043,1.491e-05,851.3162346393261,0.024166274239370608,,60.02684819,42.99386974
13.0,0.20675887,0.00324469,2.009e-05,841.1045155973654,0.023864143044444477,,108.12075538,43.13922585
14.0,0.20566832,0.00434022,2.398e-05,839.6513578739709,0.02381222823561459,,149.98247455,42.94672722
15.0,0.20495984,0.00535861,2.837e-05,840.8599774782338,0.023840244404894937,,174.40334625,42.75226431
16.0,0.20392024,0.00611252,3.239e-05,836.5058268435176,0.02370572248064992,,216.19828268,42.54601578
17.0,0.20367801,0.00656755,3.513e-05,863.4902483331633,0.024468460823359035,,230.54148566,42.39123116
18.0,0.20379841,0.00669261,3.777e-05,876.0746549588266,0.02482692638833166,,226.47078675,42.21287529
19.0,0.20356676,0.00648163,3.846e-05,887.2223149551639,0.025139174793807045,,243.40908534,42.10195941
20.0,0.20364669,0.0061414,3.527e-05,894.8329029026243,0.02535501582669635,,245.02764769,41.98488881
21.0,0.20416379,0.00564158,3.316e-05,889.2939169190307,0.025203618525563316,,222.2888654,41.96288897
22.0,0.20457127,0.00515497,3.031e-05,895.6728017975134,0.02538855637759905,,208.03402868,41.88392524
23.0,0.20558036,0.00469507,3.074e-05,893.55384933412,0.025340565592814293,,160.24692106,41.84673503
24.0,0.20619682,0.00427237,3.273e-05,895.4360451651787,0.025400858558186207,,133.04560716,41.78086645
25.0,0.20664568,0.00382786,3.348e-05,897.7150605668867,0.025470171091996306,,114.74593965,41.76410466
