Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20954715,0.00057563,5.93e-06,939.2401466213693,0.0266777919079387,,0.25768528,45.99667902
1.0,0.20951634,0.00055689,7.42e-06,943.1946793607285,0.026789620095955362,,2.14062608,45.0455495
2.0,0.20952742,0.00053647,7.97e-06,936.8123073600026,0.0266084211785003,,1.74411364,44.91839104
3.0,0.20951512,0.00056006,8.5e-06,930.4311841480943,0.026427069735225604,,2.12145898,45.17100201
4.0,0.20952051,0.00056474,4.5e-06,932.3369981230479,0.02648136164347678,,1.85507274,45.34264625
5.0,0.20955386,0.00057177,3.55e-06,932.22163534697,0.02647856471880521,,-0.01981549,44.89949443
6.0,0.20956413,0.00058672,3.98e-06,937.839426960477,0.026638301342538785,,-0.76131711,44.92206538
7.0,0.20954593,0.00061026,1.48e-06,936.6153228279019,0.026603403448587498,,0.0117217,45.53095625
8.0,0.20948879,0.00062513,7.6e-07,927.5140903465648,0.02634419534819966,,2.94677185,48.13357103
9.0,0.2095017,0.00060722,3.08e-06,937.29048513261,0.026621951848882698,,2.43327155,46.91368967
10.0,0.20953932,0.00058442,6.34e-06,940.7837546798979,0.026721547922206153,,0.57862123,45.2101075
11.0,0.20953729,0.00056996,7.65e-06,938.1730317605399,0.02664730152744531,,0.82920084,45.24422639
12.0,0.20951614,0.00058347,9.16e-06,935.841320359736,0.026580800236236275,,1.79783966,45.20079042
13.0,0.20953454,0.00060217,1.027e-05,930.3581970109869,0.02642533660014874,,0.55540737,45.46849244
14.0,0.20953952,0.00059165,1.874e-05,925.262206726739,0.02628046883458245,,0.24347711,45.12822218
15.0,0.20952549,0.00066802,2.477e-05,917.3695044025358,0.02605620262058954,,0.02312304,45.14239464
16.0,0.20941608,0.00091584,3.13e-05,895.5925607227207,0.025436816141501933,,2.90427343,44.97573701
17.0,0.20868003,0.00168748,3.944e-05,879.8093569692487,0.024981173348842853,,32.15433266,45.94681296
18.0,0.20750239,0.00281215,4.77e-05,873.3336289487736,0.024785294628667135,,79.62234394,46.47644303
19.0,0.20630186,0.00400646,5.315e-05,865.5793864101105,0.024553133791709657,,126.56057202,46.23013093
20.0,0.20538991,0.00496088,5.178e-05,866.980700183526,0.02458381032271152,,162.55585126,46.20191724
21.0,0.20495838,0.00552562,4.736e-05,865.3894667728957,0.024534742698616285,,178.04613786,46.03617819
22.0,0.20458939,0.00587368,4.273e-05,873.4453450928725,0.024759371636459745,,194.7338565,45.91768068
23.0,0.20427296,0.00606094,4.072e-05,867.7532671523068,0.02459447081487524,,207.36810611,45.76716391
24.0,0.20401206,0.00623354,4.011e-05,874.424911744989,0.024780635880560925,,220.29845418,45.59105797
25.0,0.20385273,0.00637187,4.587e-05,876.0290169360876,0.024824275838437715,,227.18636253,45.43240516
26.0,0.20366655,0.00645736,5.027e-05,872.9312026247256,0.02473420908895607,,234.75160804,45.32073143
27.0,0.20355816,0.00652149,5.341e-05,865.0684786185242,0.02451012993309985,,237.30804025,45.19567259
28.0,0.20361307,0.00665202,5.533e-05,863.9250615672664,0.024478755234205937,,232.91580716,45.05880337
29.0,0.20337128,0.00676348,6.068e-05,866.2634925384467,0.02454207122867313,,244.32850909,44.92652708
30.0,0.20322943,0.00689951,7.298e-05,864.9933631555883,0.024504381277189922,,249.40644606,44.75212709
31.0,0.20304621,0.007044,8.131e-05,870.0523684539784,0.024645533071155662,,258.37634278,44.60659692
32.0,0.2027672,0.00722752,9.25e-05,865.580760145385,0.024515511108549666,,268.81526263,44.44112033
33.0,0.20274707,0.0073626,0.00010671,859.9065162853038,0.02435463997531361,,266.44185957,44.32865924
34.0,0.20247488,0.00744177,0.00011707,847.8906316971828,0.02401085238163248,,274.9534479,44.18916549
35.0,0.20249877,0.00745599,0.00012346,849.5652189463409,0.024058503575102152,,274.08720878,43.99429417
36.0,0.20218265,0.00753228,0.00012937,860.4570431296702,0.024362915719985015,,292.26726896,43.89849884
37.0,0.2023675,0.00759933,0.00013638,863.5812215842898,0.02445384597037962,,283.41928374,43.73604045
38.0,0.20231341,0.00759226,0.00013843,862.2905286741936,0.02441653427931052,,285.69505562,43.59077274
39.0,0.20232592,0.00745919,0.00013925,871.435147681416,0.024675264449217884,,289.43837393,43.42897049
40.0,0.20239668,0.00726474,0.00013822,877.291098967132,0.02484151316590604,,289.84235442,43.32044619
41.0,0.20278367,0.00698389,0.00012945,881.3964499594664,0.024962321882168778,,274.75238173,43.18397065
42.0,0.20301154,0.00652314,0.00012016,881.9510696009514,0.02497998355720064,,268.34464664,43.10313514
43.0,0.20362496,0.00606181,0.0001161,891.3311965461728,0.02525269397908941,,244.79186005,42.99657924
44.0,0.20416163,0.00554526,0.00011424,890.1209051968982,0.025224174282148727,,222.50958348,42.93385298
45.0,0.20475777,0.00506228,0.00011014,890.3641810251431,0.025237727828480588,,197.232427,42.86338437
46.0,0.20529646,0.00457703,0.00010256,897.1487513127784,0.025436008493687663,,176.22405838,42.76220875
47.0,0.20579672,0.0041696,9.457e-05,896.9737801219707,0.025436697367682743,,154.81959339,42.75210431
48.0,0.20621401,0.00378789,8.907e-05,892.5974010640371,0.025317124322142965,,136.73259502,42.7401627
49.0,0.20652007,0.0034416,8.313e-05,905.1740867554316,0.0256770568438482,,126.51238035,42.70827467
50.0,0.20687584,0.0031642,7.754e-05,907.6855053126396,0.02575235142514389,,111.31012709,42.68202937
51.0,0.20725022,0.00283462,7.623e-05,912.2404868721384,0.02588566427746515,,95.73417328,42.64830416
52.0,0.20761861,0.00253278,7.95e-05,907.0304402100433,0.025741778954351445,,79.05931055,42.61090462
53.0,0.20781027,0.00228053,9.317e-05,910.2544861904362,0.02583485165547134,,71.74131178,42.66378889
54.0,0.20794357,0.00212346,0.00010766,907.810821571947,0.025766541795037817,,65.98382962,42.57704819
55.0,0.20808623,0.00200773,0.00012356,912.1476342005424,0.02589089378046816,,59.72809954,42.60368716
56.0,0.20820204,0.00190711,0.00013481,903.4248921414544,0.025644326954734505,,53.97493755,42.54476647
