Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20950865,0.000683,2.89e-06,932.8360293204606,0.026499284968370538,,-0.24752209,12.2245175
1.0,0.20951251,0.00078838,1.29e-06,928.6708314248775,0.026381336470507118,,-1.62474334,11.34040586
2.0,0.20946941,0.00070673,-1.7e-07,927.5510889186221,0.026348760689491095,,1.66861845,10.93564133
3.0,0.20944135,0.00057607,4.1e-07,926.6447312455557,0.026322271925582084,,4.65713741,10.74413843
4.0,0.20912042,0.00075161,4.1e-06,896.0896814077806,0.02545062807142236,,19.29873877,11.00550516
5.0,0.20857279,0.00121302,1.196e-05,895.8638013378136,0.0254382846381822,,42.70741093,11.60636027
6.0,0.20819472,0.00175297,2.029e-05,891.0407609206833,0.02529778293697757,,56.09195945,11.61592887
7.0,0.20749023,0.00228188,2.834e-05,903.3691108367304,0.02563990027581125,,87.92677924,11.56035239
8.0,0.20692796,0.00281255,3.449e-05,902.9134158800894,0.02562092649522283,,111.44511388,11.60557381
9.0,0.2065131,0.00320654,3.945e-05,901.4393948145405,0.025574628252431564,,128.56959443,11.83456463
10.0,0.20615303,0.00352845,4.544e-05,892.4084564012463,0.025314470314671624,,142.32337961,11.7540836
11.0,0.20592755,0.00377599,5.378e-05,894.3027272942745,0.025365762195681096,,151.48623993,11.66888381
12.0,0.20575097,0.00399395,5.611e-05,884.9948125630159,0.02510000124608969,,156.5937042,11.59076216
13.0,0.20569831,0.00417427,5.75e-05,883.4283288622896,0.025055346972054165,,157.07829436,11.53531676
14.0,0.20552183,0.00434335,5.895e-05,878.8500399256191,0.02492364148795679,,163.42600406,11.45981664
15.0,0.20538409,0.00451872,6.356e-05,877.3902390651784,0.02488084426154156,,168.217699,11.34289632
16.0,0.20516369,0.00469696,7.152e-05,874.3310086101307,0.02479157466454764,,176.75699464,11.25441961
17.0,0.20486085,0.00485729,7.753e-05,876.5890807546212,0.02485199071545651,,190.74389306,11.17459397
18.0,0.20456035,0.00502342,8.627e-05,871.1216588838699,0.02469338131953735,,202.76222961,11.0707813
19.0,0.20423068,0.00518746,9.306e-05,871.0331111395652,0.024686908600326806,,217.45255355,10.96985232
20.0,0.2040357,0.00537368,9.666e-05,869.8039440405423,0.02464997018996974,,224.9191196,10.82003178
21.0,0.2038152,0.00561091,0.00010358,863.254963166944,0.024462029685430667,,231.62664028,10.72395263
22.0,0.20351196,0.00577389,0.00010758,864.2469813507304,0.024486571489679785,,245.20747283,10.61909135
23.0,0.2031343,0.0059457,0.00011012,866.8198691580692,0.024554957119023606,,262.90870502,10.5040061
24.0,0.20300418,0.00609289,0.00011171,866.6654514939778,0.02454924641736845,,267.79910361,10.38813439
25.0,0.20291167,0.00624327,0.00011622,861.0733234725718,0.024389958027228775,,269.03958133,10.27409775
26.0,0.20286511,0.00637136,0.00011757,860.4979441901514,0.024373370448497755,,269.84137331,10.12650551
27.0,0.20290293,0.00643117,0.00011786,861.0883665805111,0.024390738977967247,,267.55520263,9.99490461
28.0,0.20284315,0.0064758,0.00011684,858.3958763927546,0.024313834711575406,,269.22587142,9.89528639
29.0,0.20288422,0.0064067,0.00011379,860.2469028639758,0.024366670313501464,,268.53114332,9.78583744
30.0,0.20290923,0.00632947,0.00011143,849.979516894607,0.02407600558050124,,264.91679136,9.6493867
31.0,0.2029323,0.00630885,0.00011106,857.4083136519383,0.02428667995347203,,266.31233127,9.54976849
32.0,0.20280401,0.00633933,0.00011348,860.5330491043538,0.02437356009959433,,273.25307442,9.46443762
33.0,0.20273153,0.00641787,0.00011574,856.1242295268202,0.024247914090134357,,274.57919378,9.36141142
34.0,0.20271832,0.00650214,0.00011744,866.5427861659043,0.024543018620949618,,277.69365754,9.21866901
35.0,0.20271262,0.00653736,0.00011916,863.6738070897064,0.024461748691148037,,276.6704088,9.07710628
36.0,0.2026928,0.00654051,0.00012074,850.804172213122,0.02409696812522849,,273.45412532,9.0210055
37.0,0.20270591,0.00653078,0.000119,849.6478187177057,0.024064391431536433,,272.57109313,8.90827963
38.0,0.20269697,0.00651859,0.00011623,859.0786190530571,0.0243313998492465,,276.20544817,8.7667169
39.0,0.20269646,0.00656784,0.00011154,855.1426437424602,0.02422013057651329,,274.55306015,8.68007527
40.0,0.20270459,0.00648529,0.00010625,853.392773375213,0.02417055234661953,,274.50656657,8.53641532
