Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20941666,0.00060986,4.99e-06,8490568.054140192,0.02729117919823984,,1.5990609,63.14726248
1.0,0.20943923,0.0006072,2.43e-06,8408682.034722721,0.027028321509924156,,0.54432134,62.32871212
2.0,0.209474,0.00063917,3.77e-06,8414599.777596489,0.02704787858138108,,-1.52048224,61.57925162
3.0,0.20945418,0.00080295,7.05e-06,8066625.939552435,0.025929478815236665,,-2.19659887,61.71085136
4.0,0.20923235,0.00110727,1.493e-05,7811609.284229573,0.025107617533337713,,4.97468553,61.76283325
5.0,0.20840693,0.00193906,2.523e-05,7763970.716333416,0.024946129294672076,,34.34635592,62.10038658
6.0,0.2071772,0.00299014,3.385e-05,7772092.211962042,0.024959238928351706,,80.02656773,62.39938118
7.0,0.20581826,0.00391497,4.198e-05,7864382.407356347,0.025240301747506088,,134.11744625,62.6895586
8.0,0.20461059,0.00462075,5.474e-05,7894926.286551125,0.02532407250555586,,182.87520625,62.56546005
9.0,0.20399277,0.00515284,6.778e-05,7882036.8870302085,0.025275725032310924,,205.44998707,62.43451831
10.0,0.2040186,0.00549057,8.065e-05,7865291.237359357,0.0252230488221347,,200.50551728,62.27238743
11.0,0.20337221,0.00573872,9.341e-05,7771796.629132292,0.024915140545721363,,224.53389297,62.12144253
12.0,0.20315801,0.00598819,0.00010743,7766975.032446491,0.024897265585720956,,231.45152101,62.03011232
13.0,0.20280859,0.00621637,0.00012233,7686755.0271784235,0.02463587157703375,,242.18106488,61.86732344
14.0,0.20244575,0.00643337,0.00013636,7695104.412814403,0.024658174293733966,,256.26958262,61.73098612
15.0,0.20209582,0.00662557,0.00014961,7719657.419329176,0.024732483722613746,,270.60688292,61.57056604
16.0,0.20176521,0.00685031,0.00016005,7730415.110391161,0.024762958314934067,,283.40604691,61.42725392
17.0,0.20129501,0.00707873,0.00017389,7733123.790635261,0.024765705051687344,,301.98862633,61.25196307
18.0,0.20103597,0.00732676,0.00018532,7639951.0078446455,0.024464333561321175,,307.26288429,61.09838618
