Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20952251,0.00066263,-1.09e-06,8120403.892484836,0.02609379160448428,,0.49861788,243.04197188
1.0,0.20952363,0.00060894,1.09e-06,8190268.7050987985,0.026318117500787247,,0.95078622,243.04945716
2.0,0.20951824,0.00056999,1.45e-06,8171503.971566958,0.026257635020805022,,1.58816601,243.05510395
3.0,0.20956512,0.00055813,1.81e-06,8122939.38207605,0.02610215476289366,,-0.5292276,243.06245791
4.0,0.2095161,0.00053265,4.17e-06,8056807.814624071,0.025888899805741356,,1.98931797,243.07874167
5.0,0.209528,0.00054273,4.27e-06,8130924.526515813,0.026127240065661424,,1.34195723,243.09266166
6.0,0.20953065,0.0005348,5.79e-06,8194435.711990503,0.026331305754893623,,1.2803881,243.05759904
7.0,0.20956115,0.00054037,4.09e-06,8176570.954017988,0.02627434937167304,,-0.20403503,242.86665879
8.0,0.20952068,0.00058172,1e-08,8123384.795488394,0.026103104017460372,,1.37052066,242.0787348
9.0,0.20959298,0.0005711,-2e-07,8156627.440248777,0.02621084662518818,,-1.95236426,241.23289842
10.0,0.20956034,0.00059535,1.78e-06,8085645.57029083,0.025982355164740213,,-0.66873616,241.30315496
11.0,0.20953197,0.00062546,2.9e-07,8149350.666526465,0.02618680378593593,,0.39851971,240.98732877
12.0,0.20951417,0.00063178,-1.34e-06,8177832.117885094,0.02627813920357777,,1.21221776,241.41674732
13.0,0.20951519,0.00062327,6.2e-07,8182793.089147689,0.026294033186309674,,1.2169854,241.28595205
14.0,0.20950766,0.00065284,1.8e-06,8124045.004892273,0.026105216420450075,,1.25147226,241.6816211
15.0,0.209492,0.00067424,2.83e-06,8045633.627394837,0.025853091118809006,,1.74663178,241.27360782
16.0,0.20949353,0.00066532,2.48e-06,8144932.127479671,0.02617216985274323,,1.79040726,241.48871105
17.0,0.20950349,0.00062666,1.82e-06,8209185.733606111,0.026378673523209023,,1.726514,241.64419471
18.0,0.20951183,0.00059783,2.94e-06,8147750.570116238,0.02618127209798153,,1.58608489,241.69147015
19.0,0.20951173,0.0005825,2.23e-06,8134900.375059279,0.026139950444778275,,1.75238787,241.52928914
20.0,0.20954885,0.00060088,3.89e-06,8071186.884624405,0.02593572011551399,,-0.21606331,241.45693145
21.0,0.20952271,0.00061208,4.66e-06,8094668.594910184,0.026010851349589935,,0.89304663,241.68345959
22.0,0.20952973,0.00059766,2.88e-06,8161244.24579315,0.0262248671626501,,0.73996144,241.50880316
23.0,0.20949841,0.00059502,1.62e-06,8175161.009809452,0.026269191219854476,,2.28085954,241.65627622
24.0,0.20951275,0.00059646,5.9e-07,8164844.240064902,0.02623625226912628,,1.59831887,241.65076075
25.0,0.20951743,0.00058758,-1.22e-06,8144177.639134897,0.026169915029266133,,1.49059604,241.5055201
26.0,0.20953237,0.00059072,-9.3e-07,8081850.767867229,0.025969835672849835,,0.73925324,241.72627013
27.0,0.209504,0.0006673,6e-08,7940332.388883132,0.025514911687872007,,1.28044389,241.87623833
