Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.16871502,0.00080073,1.339e-05,1852.2769314061286,0.025698084156173074,-0.009737667759713206,3971.6527719,78.83344629
1.0,0.17381669,0.00070298,3.58e-06,1925.4890343266738,0.02681870701097507,-0.009725317024628803,3660.74565514,78.96377982
2.0,0.18048753,0.00068857,5.13e-06,1836.5916072453845,0.025702767691238734,0.013104782890981227,2886.76807691,79.14183843
3.0,0.18196335,0.00072335,4.96e-06,1957.2649726285742,0.027419226076167594,0.04283616914572905,2929.99935032,78.99080486
4.0,0.19807568,0.00073688,7.6e-07,1932.5793024299714,0.02734371444750065,0.020971991454518318,1247.30567994,79.02223824
5.0,0.20141145,0.00071953,3.9e-06,1905.149358015116,0.02700525784694361,0.010603488180243788,877.27631217,79.14854677
6.0,0.19682263,0.00074731,6.02e-06,1852.6065803235024,0.02619351505041268,-0.008395422926697193,1322.63756523,79.47725561
7.0,0.18655095,0.00066989,6.07e-06,1855.1145016404894,0.02606647261274902,0.002628856888857132,2341.42967863,79.28539698
8.0,0.1698606,0.00069618,4.26e-06,1934.4796126157516,0.02686263835687093,-0.0030384192666418784,4045.08267029,79.2579886
9.0,0.18448704,0.00064766,6.9e-06,1802.5182095505993,0.025293525717845707,-0.008870086019382117,2467.50697445,79.05328829
10.0,0.19392548,0.00064786,5.8e-06,1827.505768369084,0.025794981243120622,0.00027046815250424995,1594.10630201,78.99789654
11.0,0.20934825,0.00069634,4.6e-06,1856.6601128143975,0.026426959871246183,0.0038300211731162495,15.09787727,79.24265525
12.0,0.20804019,0.00070213,1.72e-06,1891.7726676443028,0.026909077827027644,0.008811360903504583,158.74424064,79.12593007
13.0,0.2095391,0.00072673,4.7e-07,1890.1444847561997,0.02690629538285042,0.012557961748156762,-6.14981375,79.51405566
14.0,0.20948755,0.00073495,2.3e-06,1913.0592302699813,0.027231774183479072,0.006611978137459454,-0.74965739,79.09449669
15.0,0.20944301,0.00065861,1.56e-06,1854.7922561585501,0.026401578229476884,0.006358551886054178,5.83077237,79.29038032
16.0,0.20948114,0.00065821,3.26e-06,1875.5401414831897,0.02669738360580835,-0.005227664768476836,1.68230175,79.37643878
17.0,0.20946284,0.00065406,-1.41e-06,1869.5354907649162,0.02661174531805409,0.0007796529035540619,3.93788813,79.73293931
18.0,0.20947921,0.00062946,8e-07,1902.9049504365462,0.02708684857741392,-0.006117536516641069,2.68223082,78.99962154
19.0,0.20947748,0.00064923,3.29e-06,1806.4900644292568,0.025714418243584048,-0.002697747562129328,2.20128596,79.1245884
20.0,0.20948541,0.00068812,1.45e-06,1901.2124139358823,0.027062993586430585,-0.0017571950631566872,0.60942082,79.09603002
21.0,0.20949924,0.00070898,5.8e-06,1910.384472065474,0.027193715917249332,-0.005374327091247072,-1.57837942,79.07590499
22.0,0.20948134,0.00072077,4.78e-06,1883.6689574349334,0.02681324216306116,-0.0035194171376764162,0.17216834,79.17902182
23.0,0.20952689,0.00069686,3.74e-06,1863.0508466217188,0.026520308866760735,-0.0051699849189708455,-4.18372197,79.05597163
24.0,0.20948216,0.00070395,6.64e-06,1868.2684802233648,0.026593951083045065,-0.006763094429995252,0.39555107,79.13072174
25.0,0.20947595,0.0007306,9.24e-06,1863.7830734205916,0.026530045229270487,0.0007528292766749067,0.36298128,79.03431326
26.0,0.20951846,0.00075109,1.108e-05,1879.6713563409528,0.02675679720440997,-0.005571523390425182,-4.82080084,79.1257384
27.0,0.20949385,0.00073869,8.09e-06,1891.1119049829615,0.02691934376325264,-0.006858576674014033,-1.74273077,79.05539663
28.0,0.20953533,0.0007087,6.03e-06,1883.1779857979504,0.02680691816293252,-0.005686413867873085,-5.51267536,79.07322166
29.0,0.20949324,0.00067818,5.82e-06,1884.624055142726,0.026826857244756086,-0.007144863556927248,-0.19245036,79.1013967
30.0,0.20944423,0.00070032,4.54e-06,1894.1335731103252,0.02696164855244446,-0.009646597142587799,4.7429801,79.12535507
31.0,0.20948673,0.00073692,-2.5e-07,1893.808381011745,0.02695778883334928,-0.006521735076126201,-0.60039164,79.25300527
32.0,0.20949243,0.00070507,2.25e-06,1872.512329118178,0.026654584805662157,-0.006434052059123062,-0.58148629,79.03335493
33.0,0.20947443,0.00067617,5.53e-06,1834.374869567173,0.026111335104100627,-0.0074445529705975694,1.87526803,79.1878385
34.0,0.20952018,0.00063422,8.4e-06,1900.125299289555,0.027047700185665595,-0.006926748542256369,-2.25264641,79.11366338
35.0,0.20946264,0.00061956,7.86e-06,1831.1434290123084,0.026064985278291077,-0.007066040007116133,4.30505382,79.08088833
36.0,0.20954428,0.00065108,6.08e-06,1897.9924034310684,0.027017757228868396,-0.0063101570886078245,-5.21193876,79.0404466
37.0,0.2094845,0.00065962,1.025e-05,1908.8236891366357,0.02717107073103229,-0.006317613217282179,1.03669598,78.93675478
38.0,0.20949283,0.00067121,1.101e-05,1905.126670117943,0.027118576548200754,-0.007789789595455163,-0.18783725,79.24054691
39.0,0.20951866,0.0006591,1.126e-05,1836.6571829750978,0.026144245258009284,-0.009386211456888671,-2.6778706,79.17633848
40.0,0.20947321,0.0006382,8.28e-06,1904.2795124418792,0.027106211717424295,-0.009372596026602667,2.85714635,79.05290496
41.0,0.20952354,0.00058486,3.05e-06,1890.1859453938566,0.02690622666455187,-0.006748117473271468,-1.26716893,79.14452176
42.0,0.20954428,0.0005357,3.16e-06,1906.4705461995964,0.02713817229835091,-0.0050698511441729785,-2.43939579,79.06095497
43.0,0.2095213,0.00055506,1.52e-06,1874.1714846516222,0.026678182056138585,-0.006890011953094974,-0.27401311,78.99789654
44.0,0.20951154,0.00058377,3.32e-06,1836.8557592510176,0.026146922746090696,-0.008429896732181502,0.06447705,79.06632164
45.0,0.2095332,0.00060132,4.56e-06,1885.42692629778,0.026838629911664892,-0.006294290456317474,-2.75937587,79.1019717
46.0,0.20954459,0.00061107,6.39e-06,1865.9278872385153,0.0265612085224068,-0.005675165805337897,-4.2577149,78.87963802
47.0,0.20953696,0.0006783,4.27e-06,1882.1652120364658,0.02679247200251159,-0.0066808017761387645,-4.92289554,78.89420471
48.0,0.20950575,0.00062274,4.3e-06,1881.3071261645061,0.026779683413676134,-0.005229634497989003,-0.23082142,78.9528548
49.0,0.20951042,0.00056843,6.16e-06,1861.1188694745638,0.026492186865815726,-0.006654400973606872,0.42739279,78.84245463
50.0,0.20953981,0.00061425,8e-08,1873.3132012556962,0.026666404208247646,-0.009040011484084192,-3.58712376,78.86967134
51.0,0.20952283,0.00062165,-2.31e-06,1882.0957412002626,0.026791262538729675,-0.006418706023525868,-1.82417035,78.97566317
52.0,0.2094846,0.00063099,-5.12e-06,1909.5347689090027,0.027181414423390525,-0.0021647103746335883,2.28631412,79.05079662
53.0,0.20951978,0.00059782,-4.94e-06,1873.3658841863005,0.026666938271059544,-0.005097563893129249,-0.83899395,79.03124659
54.0,0.20949934,0.00060104,1.77e-06,1878.162386336024,0.026734821781768312,-0.007897873946519056,1.06206368,79.13896342
55.0,0.20954713,0.0006041,3.85e-06,1900.8572471803925,0.027058487055196687,-0.008752766580885958,-4.35935527,79.08989668
56.0,0.20953177,0.0005789,2.86e-06,1810.7457806861241,0.025775513288348918,-0.005546541736470285,-1.94292476,79.14950511
57.0,0.20953828,0.00057548,7.3e-06,1893.1539884340943,0.026948565006653158,0.0005104641933026411,-2.838904,79.09430502
58.0,0.20954916,0.00059488,7.22e-06,1870.5263266257941,0.026626666288605428,-0.008641521595648996,-4.42845705,79.3415554
59.0,0.20953025,0.00063321,4.3e-06,1861.395756286278,0.026496606004001732,-0.008398946629286653,-3.11904401,79.06478831
60.0,0.20958739,0.00063252,7.09e-06,1858.4672907402462,0.026455619330414182,-0.008812952627347862,-9.38203096,78.84820464
61.0,0.20953594,0.00067967,5.29e-06,1841.0764879045685,0.026207548376490974,-0.014299992215489141,-4.77538094,78.95400481
62.0,0.20953523,0.00067045,8.05e-06,1864.8864133728696,0.026546392408443146,-0.006539916703041444,-4.65435432,78.90397973
63.0,0.20971571,0.00069565,6.05e-06,1849.16368074774,0.02632505923951335,-0.005537685985829869,-24.53316302,79.19684685
64.0,0.20952415,0.00064066,1.283e-05,1898.106804413409,0.027018952817744874,-0.006884021575094325,-3.00747252,78.85587132
65.0,0.20954174,0.00063744,7.34e-06,1866.6971623034099,0.026572176341912734,-0.008197863301359467,-4.5870738,78.93656311
66.0,0.20950951,0.00064062,1.146e-05,1829.2450962662363,0.026038563345254364,-0.008104283276709456,-1.28892916,78.92142142
67.0,0.20957072,0.00061743,1.078e-05,1832.5683971024666,0.02608661604508402,-0.006672328877683467,-7.27292624,79.13014674
68.0,0.20955902,0.00064267,9.92e-06,1895.594934295218,0.02698372941849671,-0.0062641149522383805,-6.7843952,79.05232995
69.0,0.20954906,0.00066868,6.85e-06,1897.9809347424532,0.027017693205052554,-0.009399701763005051,-6.17685972,79.15851345
70.0,0.20954672,0.00068309,1.86e-06,1856.90393741623,0.02643306787676474,-0.006234548994589926,-5.92938521,78.92582976
71.0,0.20956858,0.00068301,1.57e-06,1890.3611633358616,0.026909631293082163,-0.00477038025995306,-8.42743426,79.20719686
72.0,0.20952822,0.00066292,-1.06e-06,1879.8441029719474,0.026759374398425757,-0.004587510751388185,-3.40504959,78.91279641
73.0,0.20954581,0.00065479,-3.42e-06,1870.41387870198,0.026625392794284213,-0.005877834420175669,-5.02719846,79.10293004
74.0,0.20954032,0.00066356,-4.36e-06,1892.9306570799456,0.026945888935140206,-0.008329953582157655,-4.64938247,78.80872125
75.0,0.20950869,0.00066687,-5e-06,1885.4671507261125,0.026839243615292947,-0.00782488793523567,-1.214288,79.04926328
76.0,0.20954001,0.00066989,-3.59e-06,1887.2671206712396,0.026865267127906906,-0.006245540235020697,-4.77726637,78.68011271
77.0,0.2095514,0.00064951,2.51e-06,1855.6839523527065,0.02641565781284113,-0.005133221448544366,-5.69453159,79.01303823
78.0,0.20952842,0.00065471,8.35e-06,1887.8537794230122,0.026873188086672693,-0.00738342633730457,-3.61249682,79.02779658
79.0,0.20960417,0.00062508,8.85e-06,1884.5097630321568,0.026826508311582994,-0.003631567542400067,-11.24934396,78.84513797
80.0,0.20955455,0.00061952,9.23e-06,1876.5221781128043,0.02671211834776348,-0.0008975189645283806,-5.67138495,78.92985477
81.0,0.20954906,0.00065129,1.002e-05,1888.7052078018146,0.026885543014756545,-0.0024194169381834447,-5.86720366,78.91528808
82.0,0.20953727,0.00063168,9.68e-06,1887.1731858662718,0.026863528117218653,-0.0033907309307897532,-4.10319214,79.01227156
83.0,0.20949212,0.00064094,5.35e-06,1845.305800261968,0.026267069658397986,-0.002212145017892058,0.78715327,78.86775467
84.0,0.20951093,0.00065583,2.09e-06,1875.7927651435718,0.026701392865350965,-0.0014830741522127923,-1.46922632,78.72342945
85.0,0.20948948,0.00066638,7e-07,1867.891341759537,0.02658868947569959,-0.004758684378471081,0.6802318,78.95189647
86.0,0.20955475,0.00062777,-2.4e-07,1871.4081957480298,0.026639529255239568,-0.0030604649284557686,-5.50778989,78.80277957
87.0,0.20953035,0.00059347,-2.38e-06,1864.112684035425,0.026535299961276796,-0.0037060704649223147,-1.97946865,79.21371352
88.0,0.20950341,0.00061328,6.3e-07,1835.1436485688303,0.026122576946383,-0.0027232124534379886,0.37231292,79.15238011
89.0,0.20950442,0.00064859,2.56e-06,1902.6767922273943,0.02708396177494325,-0.0006565998554598624,-0.61982124,78.94633812
90.0,0.20949171,0.00068953,2.82e-06,1902.1524499660632,0.027076437022915595,-0.008421589432618878,-0.17320208,78.79664623
91.0,0.20950778,0.00063236,-6.8e-07,1870.8157481394985,0.02663049236941519,-0.00031658475636169855,-0.48175735,78.95419647
92.0,0.20952649,0.00060193,-3.74e-06,1894.1664435463822,0.026963108089508882,-0.0037036330490410555,-1.72857285,78.74489615
93.0,0.20948826,0.00055728,-9.6e-07,1882.3536911344602,0.026794264936930295,0.0013430021945096656,3.38597619,78.93886311
94.0,0.2095149,0.00053429,1.26e-06,1873.4797482187548,0.026668197186184812,-0.0018567988819276431,0.90839529,78.88366303
95.0,0.2095209,0.00055772,5.22e-06,1882.3910042007903,0.02679511452565509,0.00041147135980570975,-0.43261946,78.86008799
96.0,0.20950442,0.00061167,8.51e-06,1865.567507274502,0.026555506756859453,-0.0018598025437373002,0.00728382,78.93982145
97.0,0.20945481,0.0006632,1.13e-05,1857.1941635052067,0.02643575004255369,-0.004187746899424845,4.0947667,78.84187963
98.0,0.20943752,0.00072875,1.493e-05,1866.3841375296174,0.02656644545633017,-0.006766317101213766,4.36285415,78.78361288
99.0,0.2093212,0.00081422,1.773e-05,1872.0417701101592,0.026645611746149184,-0.005766762327744259,14.98188604,78.76348784
100.0,0.20913554,0.00096644,1.6e-05,1866.3502678503598,0.026562589337121655,-0.0016381960253104805,31.68187454,78.74278781
101.0,0.20885726,0.00120788,1.551e-05,1842.5159876340322,0.026220382704760143,0.016405037042883226,55.66797153,78.79472956
102.0,0.20852122,0.00143784,2.156e-05,1829.2087701685364,0.026027123599352987,0.041237723414086824,85.6046173,78.71787111
103.0,0.20831268,0.00177454,3.231e-05,1817.1931656334957,0.025854152210390464,0.07068389946600415,99.21270012,78.70292108
