Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20933111,0.00058228,2.33e-06,7971.865032489603,0.002679260641364056,0.004124555260617704,0.00601086,-231.4652642
1.0,0.20912037,0.00056976,8.77e-06,12156.220907617715,0.004085122846744491,0.006430289110920721,0.02404935,-231.54231637
2.0,0.20918296,0.00052536,1.308e-05,13038.487580509594,0.004381713897667722,0.0034362554326311887,0.02164226,-231.564742
3.0,0.20930987,0.00050599,1.003e-05,11514.203810662288,0.00386971002911005,0.004613976729719411,0.01097844,-231.54461643
4.0,0.20921141,0.00051133,2.33e-06,10285.400320026998,0.0034565825759074885,0.005436346582059096,0.01578867,-231.60767654
5.0,0.20918001,0.00052678,-6.56e-06,8753.16346001848,0.002941625854352246,0.002777031608239437,0.01503493,-231.58965937
6.0,0.20913094,0.00053286,-5.56e-06,9522.66004243816,0.0032001471211527454,0.005195075944636418,0.01897707,-231.51912405
7.0,0.20914445,0.0005537,4.2e-06,7597.321367650777,0.0025531303514134815,0.007408725523808891,0.01419251,-231.5894677
8.0,0.20923631,0.00056242,1.166e-05,5787.028732769942,0.001944850377260238,0.005074390622290663,0.0075718,-231.39204547
9.0,0.2092295,0.00059578,1.395e-05,10434.081698219221,0.0035065828772455083,0.004786512783744789,0.0135899,-231.43728007
10.0,0.20918835,0.00059325,8.94e-06,13374.090985320563,0.004494554431338463,0.006506758995518357,0.020799,-231.35026096
11.0,0.20918794,0.0005749,5.9e-07,12499.933639710987,0.004200797791777363,0.005934679393855389,0.01997314,-231.49209829
12.0,0.2090785,0.00054415,-6.14e-06,11767.532859748553,0.003954452356469462,0.006760099717797844,0.02688328,-231.52334083
13.0,0.20918073,0.00050338,-1.311e-05,10468.963587483704,0.00351825435015319,0.0067331737312578376,0.018385,-231.4062292
14.0,0.20918855,0.00048115,-1.686e-05,9931.69250572914,0.0033377105984815753,0.0068781710801071655,0.01733904,-231.51567395
15.0,0.20925429,0.00047373,-1.01e-05,9613.605150554862,0.003230900235157499,0.006752464661700959,0.01306288,-231.48826484
16.0,0.20925185,0.00049991,-1.079e-05,9234.288807229996,0.0031034274650613403,0.008969438929405714,0.01239817,-231.5469165
17.0,0.20918327,0.0005411,-1.48e-05,9005.673636219564,0.0030265130640647494,0.008233366686317923,0.01530298,-231.48922321
18.0,0.20918753,0.00051749,-6.26e-06,8837.81267124568,0.0029700810957554932,0.007059812004774653,0.0148895,-231.56991715
19.0,0.20920938,0.00051239,4.42e-06,6924.557073041548,0.0023271087822901056,0.009421586417482143,0.01067153,-231.49056491
20.0,0.20939401,0.00056899,4.64e-06,6659.341246841711,0.00223819873187342,0.007921375365266608,0.00266354,-231.44207188
21.0,0.20950599,0.00059806,-2.51e-06,7173.966271738114,0.0024113186473491326,0.007803567757298319,-0.00194125,-231.30100123
22.0,0.20943384,0.0005541,-5.85e-06,7060.1441086150635,0.0023729698161865827,0.007795045361003453,0.00147819,-231.4027791
23.0,0.20941901,0.00054729,-1.044e-05,10329.377311878043,0.0034717680183053803,0.007951910435922145,0.00324092,-231.63259391
