Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20944684,0.00066952,1.248e-05,930.045045701114,0.0264246251639458,-0.016984629693143235,1.31781937,56.10917492
1.0,0.20946412,0.000675,1.049e-05,956.0652581115891,0.027164206384446513,-0.017885014513120693,0.3739575,56.0021834
2.0,0.20946799,0.0007046,1.655e-05,953.1808997094151,0.027082272542582324,-0.016140398612879303,-0.29859903,55.89652451
3.0,0.20946606,0.00070702,1.5e-05,957.546196545489,0.02720631272628603,0.010442075348187052,-0.1909715,56.08671051
4.0,0.20943922,0.00067544,1.479e-05,954.1547797079656,0.027109503846899717,0.09232765123574906,1.65998317,56.03759341
5.0,0.20945335,0.00064093,1.627e-05,962.447481218618,0.027345181811411472,0.2907391833420341,1.26181844,56.12516654
6.0,0.20945193,0.0005959,1.027e-05,960.1161225252952,0.027278912920360898,0.6016390345647841,1.97767751,55.99590098
7.0,0.20945569,0.00063545,4.44e-06,960.1168498229363,0.027279213136701935,0.5739232958185405,1.42131754,56.04692185
8.0,0.20945315,0.00067121,7.25e-06,956.1967580256586,0.027167846196590698,0.4067784944216321,1.08731465,56.09185067
9.0,0.2094685,0.00067697,7.69e-06,950.5579463337666,0.027007849346157492,0.3480136540494055,0.16238111,55.98904743
10.0,0.20942306,0.00065684,1.74e-06,958.6397683375434,0.027236914899930686,0.43116437200122104,3.03145762,55.96905791
11.0,0.20947185,0.00063086,-4e-07,954.1136628033709,0.027108949384371115,0.28627760910192,0.66662191,56.07262266
12.0,0.20948751,0.00063996,4.93e-06,959.4585301308024,0.027260946277001357,0.17190835799631407,-0.40711002,56.06995739
13.0,0.20943617,0.00065615,6.55e-06,948.773951638979,0.026956688225743416,0.11320751182016131,2.19686409,55.99475872
14.0,0.20970149,0.00069051,3.8e-06,951.8966392290532,0.027049151092657476,0.08861437983453338,-12.75404271,56.04616034
15.0,0.20963135,0.00067198,6.9e-07,954.6303376734049,0.027125889534294487,0.05219246461266733,-8.63988415,55.96011022
16.0,0.20947002,0.00064617,1.25e-06,941.1101124271023,0.026739469928753788,0.03132144558512572,0.55117895,56.11507659
17.0,0.2094444,0.00061536,7.85e-06,943.2633036651467,0.026800089529876663,0.017249841576623227,2.17690143,56.11241132
18.0,0.20940588,0.00062172,1.204e-05,938.0380671317407,0.026651052370855726,0.012331970004803471,4.10321852,56.05567916
19.0,0.20924953,0.00073134,1.091e-05,918.8915196550981,0.02610534575621581,0.013886138625799732,11.12500234,56.02502857
20.0,0.20881719,0.00113407,8.27e-06,908.3304440497284,0.025800843275543068,0.008655531659926823,29.3048568,55.88719607
21.0,0.20808882,0.00183671,1.116e-05,894.6181200536106,0.02540382535863271,-0.003407677732750939,58.81369449,55.77753928
22.0,0.20722769,0.00262461,2.081e-05,884.8578417329536,0.025117575314562074,-0.008752914457904519,93.48534078,55.54299558
23.0,0.20617494,0.00348097,2.826e-05,875.9848621859476,0.02485439307325182,-0.010891190955710056,136.38998931,55.66978625
24.0,0.20553481,0.00442605,3.486e-05,874.7205229863177,0.0248126839210534,-0.010157148179683953,158.34374939,55.36213802
25.0,0.20449517,0.00526026,4.365e-05,866.568483293987,0.024570152175316422,-0.002116163273704894,199.65406337,55.2277323
26.0,0.20418797,0.00585767,5.93e-05,868.6808413593939,0.02462737353226537,0.005619834941832243,209.00380998,55.11160271
27.0,0.20364096,0.00634292,8.645e-05,872.6412045853643,0.02473331721644189,0.019565699624425222,231.71973503,54.87096697
28.0,0.20299869,0.00676095,0.00010885,865.0603929849383,0.02451080760663191,0.04372526185484331,256.69418873,54.72076
29.0,0.20240522,0.00729501,0.00013338,844.3166653248329,0.023916428996725782,0.08399361425308507,273.32690804,54.66402784
30.0,0.20165368,0.00775142,0.00016823,846.1723657837642,0.02395989006122455,0.13179867852471341,304.88159161,54.41444441
31.0,0.20103947,0.00824508,0.00019935,849.1822590347024,0.024037869971145705,0.1723146327026597,330.08627745,54.21607223
32.0,0.20055406,0.00860037,0.00022522,849.7489732483195,0.024048033978541078,0.20206531339356223,349.67264658,53.95582772
33.0,0.20024523,0.00887966,0.00024881,845.1073072883227,0.023912951606019,0.23516169742565748,359.36564264,53.78391785
34.0,0.20022633,0.00905348,0.00027244,847.8338712341723,0.023989885401346847,0.2673630514822527,359.34821565,53.5288135
35.0,0.20021768,0.00909613,0.0002914,841.7153734812895,0.02381641754535116,0.29852401140800433,356.4396292,53.38260445
36.0,0.20052255,0.00902243,0.00030333,856.8526218126968,0.024248349599669088,0.31982607258455736,348.64486454,53.33196433
37.0,0.20099861,0.00868837,0.00030535,868.3566476067538,0.02457933127956931,0.29782504229961604,333.28743579,53.09209009
38.0,0.20150729,0.00826574,0.00030493,866.2965905647123,0.024526646250171286,0.2684481047219221,311.7961976,52.93141243
39.0,0.2018822,0.00785158,0.00030044,866.8521493604474,0.024546307618838633,0.2457556302704666,297.81548937,52.82156526
40.0,0.20225182,0.00730443,0.00028912,873.9572881127414,0.02475114798770027,0.2208739845154484,287.67300853,52.66222023
