Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20942754,0.00054023,4.98e-06,8419086.664517952,0.027065248760597443,,2.02400618,-202.16338373
1.0,0.20941595,0.00056198,4.27e-06,8455788.507693488,0.027183154164604487,,2.39078775,-202.19481795
2.0,0.20946108,0.00056234,3.54e-06,8492552.041364552,0.02730197180672418,,0.18078799,-201.96653652
3.0,0.20947186,0.00052362,2.2e-06,8437822.712923089,0.027126089684420828,,0.07186536,-202.14172479
4.0,0.20948569,0.00048777,1.54e-06,8415839.999501185,0.02705551765268265,,-0.22600635,-202.20516824
5.0,0.20948467,0.00050402,2.59e-06,8394028.459295869,0.026985408950701204,,-0.35994686,-202.0133045
6.0,0.20947837,0.00053902,4.72e-06,8399264.464067811,0.02700221426805598,,-0.44682312,-202.24503603
7.0,0.20946464,0.00057184,2.81e-06,8327219.733713353,0.026770547779553885,,-0.07929341,-202.18101756
8.0,0.20947918,0.00056291,2.44e-06,8349196.561143416,0.026841376820648955,,-0.68823523,-202.09821523
9.0,0.20949128,0.00054601,5.4e-07,8412032.749374611,0.027043538432891725,,-1.07976104,-202.48366776
10.0,0.20946027,0.00055596,4e-08,8401312.203914808,0.027008692026968515,,0.34343743,-202.11565739
11.0,0.20944899,0.00055386,2.77e-06,8378384.0803295765,0.026934771065695178,,0.86754121,-202.05278895
12.0,0.20944665,0.00055204,5.35e-06,8400898.72786998,0.027007063830128426,,0.95886468,-202.04320534
13.0,0.2094252,0.00055062,7.44e-06,8425841.71717927,0.027086914177915214,,1.99150841,-202.17335068
14.0,0.20941666,0.00051772,8.05e-06,8383985.571513158,0.02695213719085682,,2.72373452,-202.23966921
15.0,0.20939836,0.00050814,9.84e-06,8457238.996170921,0.02718731440872451,,3.71541098,-202.24273597
16.0,0.20939796,0.0005157,9.54e-06,8441865.645180522,0.02713791599148314,,3.65606729,-202.1656838
17.0,0.20940131,0.00053138,8.55e-06,8433888.228838162,0.027112380666534323,,3.34386605,-202.2898873
18.0,0.20939999,0.00054088,6.95e-06,8468285.291173624,0.02722299737283934,,3.35200982,-202.26401157
19.0,0.20942896,0.00055256,6.44e-06,8439620.119130783,0.027131284428281253,,1.8073495,-202.2582614
20.0,0.20939216,0.00053223,6.18e-06,8463139.10711915,0.027206337646539545,,3.83766683,-201.89005937
21.0,0.20940548,0.00054221,3.81e-06,8506489.080505276,0.027345952206463187,,3.13587079,-202.04876383
22.0,0.20943791,0.00056311,3.06e-06,8368723.3596728295,0.026903585049471466,,1.30650888,-202.19826805
23.0,0.20942571,0.00056546,5.95e-06,8387666.701599833,0.026964269246877722,,1.83153246,-202.13980807
24.0,0.20942398,0.00056247,4.38e-06,8401945.367800424,0.027010170394715736,,1.9763718,-202.19845972
25.0,0.20941625,0.00058166,2.02e-06,8412952.681894956,0.02704555207741038,,2.20035842,-202.36770616
26.0,0.20942134,0.00059415,-1.4e-07,8459769.114274524,0.0271962027234678,,1.87078989,-202.07885635
27.0,0.20940751,0.00060737,-4.2e-07,8398685.539951311,0.0269996890449571,,2.40207432,-202.11757411
28.0,0.20939216,0.00061069,1.96e-06,8359832.590610836,0.026874542925305892,,3.06314759,-202.25270292
29.0,0.20941056,0.0006022,4.78e-06,8358113.159124776,0.02686918437141249,,2.20689925,-202.24101092
30.0,0.20940711,0.00056723,6.33e-06,8412575.704657082,0.027044091144342763,,2.72237796,-202.28931228
31.0,0.20940568,0.00055705,8.51e-06,8338388.406966715,0.02680550952443497,,2.83404919,-202.0606475
32.0,0.20941473,0.00052714,8.97e-06,8365721.601637052,0.026893406405473597,,2.70040377,-202.34643056
33.0,0.20940538,0.00054666,9.67e-06,8367892.343686772,0.026900300218319215,,2.94516419,-202.09399844
34.0,0.20941412,0.00055968,1.098e-05,8399330.227725053,0.02700149327186583,,2.37381601,-202.16510878
35.0,0.2094066,0.00056768,1.111e-05,8323581.408801888,0.026757901193515107,,2.63312885,-202.02595486
36.0,0.20938454,0.00057386,8.17e-06,8375897.291722952,0.026925858690516936,,3.71084925,-202.16204203
37.0,0.2094065,0.00056295,5.78e-06,8398895.990643805,0.02700010502463628,,2.80095602,-202.1409581
38.0,0.20936817,0.00056926,6.44e-06,8383444.290912495,0.026949919525950702,,4.58852665,-202.18906779
39.0,0.20938037,0.00058765,5.57e-06,8414438.443241356,0.027049789781401705,,3.83485849,-202.19673467
40.0,0.20939755,0.0005889,2.54e-06,8384222.60252771,0.02695294988061207,,3.02210444,-202.10070697
41.0,0.20938179,0.00054565,2.3e-06,8314553.56164015,0.026728655476406363,,4.20098746,-202.35543914
42.0,0.20937478,0.00053773,3.56e-06,8358129.049636005,0.026868595664696574,,4.62317157,-202.08958998
43.0,0.20941371,0.0005697,3e-06,8406597.535082385,0.027025034406656035,,2.42891852,-202.090165
44.0,0.20939176,0.00057738,3.62e-06,8353294.681192086,0.026853393857583598,,3.39143639,-202.07981471
45.0,0.20935333,0.00058502,7.73e-06,8446585.8981732,0.027152715943771857,,5.16755647,-202.08843995
46.0,0.20935455,0.00056598,8.8e-06,8420844.771766223,0.0270699090362299,,5.2691811,-202.36578944
47.0,0.20932954,0.00055474,7.2e-06,8423967.09789753,0.02707960602906794,,6.63841731,-202.17200897
48.0,0.20934672,0.00057023,5.25e-06,8345958.89891332,0.02682915413411997,,5.61892466,-202.17296734
49.0,0.20932171,0.00054901,6.67e-06,8372882.099992888,0.02691527713005961,,7.04659811,-202.13827469
50.0,0.20933239,0.00052354,8.5e-06,8391810.166333912,0.026976159464747428,,6.7708441,-202.14670826
51.0,0.20932842,0.00050353,9.82e-06,8378884.101297272,0.026934471654328798,,7.13517522,-202.0949568
52.0,0.20928624,0.00048939,9.36e-06,8433736.99297042,0.027110195139697774,,9.40282156,-202.29851254
53.0,0.20933107,0.00051149,6.85e-06,8389668.55459602,0.026969255289627195,,6.98462162,-202.08441484
54.0,0.2093267,0.00053579,7e-06,8412623.702526478,0.027043053250730278,,6.96616313,-202.03017164
55.0,0.20927485,0.00052079,4.28e-06,8524560.306545481,0.027402180620721334,,9.82984041,-202.21896863
56.0,0.20928654,0.00054719,5.35e-06,8441371.991233468,0.02713498531205508,,8.87106439,-202.19136785
57.0,0.20933188,0.00056461,3.97e-06,8445653.816035861,0.027149443358819254,,6.49444336,-202.22414378
58.0,0.20931521,0.00056085,3.94e-06,8436987.382734226,0.027121347398511145,,7.34443804,-201.98742877
59.0,0.20929854,0.0005756,5.56e-06,8409731.70901786,0.0270335161460317,,7.95721323,-202.05738908
60.0,0.2093206,0.00054929,5.65e-06,8475613.061129164,0.027245519487579375,,7.20264691,-202.10013195
61.0,0.20930159,0.00053122,6.36e-06,8387906.996606343,0.02696325945409296,,8.22737692,-202.19903474
62.0,0.20924588,0.00054674,8.79e-06,8385908.939493911,0.026956079821461237,,10.74052034,-202.18025088
63.0,0.20931074,0.00056877,9.03e-06,8354485.70996544,0.026856002670665992,,7.32337159,-201.97305337
64.0,0.20922067,0.00056097,6.12e-06,8385452.263694282,0.02695436321046516,,11.86850048,-202.15667521
65.0,0.20942591,0.00052855,6.27e-06,8352357.918066874,0.02685065272915536,,2.18424612,-202.02882994
66.0,0.20915662,0.00053886,4.45e-06,8401223.883828191,0.02700416130594585,,15.27049374,-202.11163227
67.0,0.20927993,0.0005231,2.69e-06,8396394.458692381,0.02699029815250953,,9.43759632,-202.29678749
68.0,0.20925432,0.00049553,1.27e-06,8402948.073014399,0.027010967298151223,,11.00163579,-202.24580272
69.0,0.20940853,0.0004874,1.25e-06,8336985.943189959,0.02680098401893251,,3.52543922,-202.08843995
70.0,0.2092777,0.000525,2.04e-06,8386564.038366691,0.026958686063102914,,9.52697369,-202.18140091
71.0,0.20929915,0.00056679,5.53e-06,8407272.704820193,0.027025595399616218,,8.01544191,-202.1800592
72.0,0.20929335,0.00055931,5.48e-06,8432468.972035514,0.027106490890266104,,8.40095817,-202.29180402
73.0,0.20931734,0.00056489,5.73e-06,8397315.904753696,0.02699382570311541,,7.13372779,-202.21283512
74.0,0.20932568,0.00058939,4.44e-06,8396439.444793064,0.026991215739383585,,6.49768785,-202.24848613
75.0,0.20925696,0.00058179,7.31e-06,8478940.779759444,0.02725540702134259,,9.97697465,-202.042822
76.0,0.20928705,0.00055474,6.59e-06,8394357.160292087,0.02698385914702257,,8.69792611,-202.2308523
77.0,0.20927221,0.00053462,7.12e-06,8433785.726260157,0.02711033370788679,,9.66372363,-202.39109015
78.0,0.20930372,0.00051752,6.87e-06,8460208.99094391,0.027195656971262284,,8.32490543,-202.32841338
79.0,0.20929234,0.00050519,5.88e-06,8415709.281264558,0.027052440935443536,,8.98095875,-202.38016484
80.0,0.20929732,0.00052548,6.47e-06,8382950.33521516,0.02694724997355354,,8.48630088,-202.4188826
81.0,0.20928603,0.00055939,5.42e-06,8400310.66894093,0.02700301906765128,,8.72590779,-202.16031698
82.0,0.20924669,0.0005775,7.92e-06,8410503.819330757,0.027035254182607476,,10.43133275,-201.98493704
83.0,0.20924568,0.00058017,7.95e-06,8433378.507978128,0.027108777301828566,,10.48166923,-202.19309291
84.0,0.20924578,0.00054864,7.48e-06,8413277.925553974,0.027044085714992522,,10.7824686,-202.09687353
85.0,0.20926834,0.00055842,5.24e-06,8403536.762728257,0.027013150491313576,,9.60612485,-202.35467246
86.0,0.20925523,0.00055006,2.73e-06,8387934.192539108,0.026962844007649346,,10.35537167,-202.20095146
