Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20955174,0.00046754,2.9e-07,931.6015168849838,0.02645989889835758,-0.0010053473723079444,-0.51190426,14.79540196
1.0,0.20953751,0.0004714,8.3e-07,924.9425425954116,0.02627058001310598,-0.0005859759855421666,0.20565949,14.73387529
2.0,0.20954452,0.00046999,7.7e-07,921.577692788702,0.026175099351043514,-0.0008498161054524318,-0.15492039,14.61350537
3.0,0.20954259,0.00046633,8.2e-07,929.3408142680842,0.02639555472058827,-0.0022536603835895184,-0.01107289,14.65586485
4.0,0.20954727,0.00047469,5.4e-07,928.3424726037737,0.026367289613381084,-0.00593569101513799,-0.35374154,14.76914292
5.0,0.20952846,0.00046492,8.2e-07,928.1970669096416,0.026362879096496827,-0.004081432809599037,0.77006338,14.93378904
6.0,0.20954198,0.00047028,2.02e-06,939.6727880213075,0.026688987850480333,-0.004520475628585778,-0.04591395,14.63209754
7.0,0.20951117,0.0004675,2.33e-06,937.1248509831404,0.026616195927095763,0.003396356875685683,1.66347377,14.62768909
8.0,0.20946369,0.00046745,4.11e-06,917.4569338798656,0.02605693488064697,0.009616132074802594,4.13541371,14.83296964
9.0,0.20908981,0.00046866,4.5e-06,905.9388913366371,0.02572497543004692,0.025041355895962427,23.78742726,14.71624148
10.0,0.20867822,0.00047614,5.32e-06,896.8458205651357,0.02546149199650383,0.033240419409399,44.90810214,14.58283788
11.0,0.20800724,0.00049976,6.08e-06,845.9202859252475,0.024007595758820312,0.023375496683591245,75.00982806,14.57670438
12.0,0.2068841,0.00057543,5.89e-06,830.4373204425273,0.023554841269063865,0.017875071208281218,126.73205977,14.72525006
13.0,0.2056308,0.00087306,6.33e-06,829.4057526946413,0.023511065320413638,0.008394171568796014,183.32890886,14.90810501
14.0,0.20450949,0.00156563,6.39e-06,841.2922719639424,0.023835784778100017,0.0047775539600438885,233.02987525,14.20581934
15.0,0.2043711,0.00235901,6.75e-06,854.6055599623603,0.024213282627451316,0.004775375927432149,235.53263531,14.18607714
16.0,0.20435483,0.00317426,7.26e-06,865.9570303007544,0.024536839611071677,0.005295677308447126,231.19114835,13.89531094
17.0,0.20469159,0.00364639,6.65e-06,873.5683654954506,0.02475815748325347,0.0038939151431476343,211.54666769,13.8826606
18.0,0.20499104,0.00383664,7.76e-06,880.8060641901513,0.024967687998009237,0.00425845690457275,196.16951809,13.67757172
19.0,0.2054126,0.00398544,9.15e-06,895.0657867900522,0.02537785684815383,0.0023266644216225017,176.04896079,13.78088285
20.0,0.20577,0.00406173,1.316e-05,890.3487731473467,0.025248932129898177,0.0069827899184843455,155.907259,13.69903897
21.0,0.20609263,0.00406942,1.632e-05,894.902829836114,0.025382276904559107,0.016532186760034,139.90201668,13.69213878
22.0,0.20624128,0.00401379,1.989e-05,896.7095673330258,0.025435255441525598,0.03300212669649306,133.01454155,13.62026183
23.0,0.20639644,0.00391771,2.22e-05,889.0367263784383,0.025219329958592957,0.05152598142050832,124.88245792,13.62428694
24.0,0.20639421,0.00380126,2.543e-05,892.122214847416,0.025306452622593095,0.06679116836356733,126.61771178,13.39332236
25.0,0.2064727,0.00367786,2.779e-05,889.6430418459972,0.02523677111472635,0.07863530762683449,123.50104593,13.33850421
26.0,0.20651958,0.00356507,2.951e-05,884.5226095626209,0.025091790260834492,0.08091331873363608,121.55752615,13.32777059
27.0,0.20660173,0.00345968,3.033e-05,881.7058280647018,0.02501264587971476,0.08396270945161989,118.08080514,13.23404305
28.0,0.20662705,0.00337162,3.098e-05,883.8588092021557,0.02507380183866227,0.08986970805673118,117.99600634,13.27410247
29.0,0.20671551,0.00329121,3.18e-05,884.781313948786,0.025100883027994524,0.09395107496111994,114.43160918,13.26835231
30.0,0.20679482,0.00322922,3.137e-05,888.2635120702488,0.025200539527155293,0.09636283780941243,111.47488999,13.10428121
31.0,0.20682888,0.00316532,3.083e-05,892.6498845049862,0.025325263861663658,0.09540137037309421,110.96070823,12.91816784
32.0,0.20689081,0.00310566,3.026e-05,896.6404525378662,0.025439137165298668,0.09750137251872026,108.89643662,13.04697132
33.0,0.20691053,0.00305236,2.938e-05,898.6010376538202,0.025494891787834054,0.0962082183092084,108.7000804,13.02607909
34.0,0.20691846,0.00300264,2.786e-05,894.3106138537847,0.025373162072092052,0.08839879056948745,108.33221224,13.0682469
35.0,0.20694947,0.0029466,2.597e-05,882.9962719268641,0.02505243793117039,0.08115343896896267,106.00461346,12.72956274
36.0,0.20710311,0.00289874,2.511e-05,889.1226160720329,0.0252281281374442,0.07667608492343901,99.35980327,12.70483707
37.0,0.20718191,0.00284661,2.25e-05,884.6636825697167,0.025102530531033083,0.06539584079653446,95.42522225,12.81849848
