Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20942286,0.00048148,2.7e-07,930.8807087450366,0.026448147784282994,-0.002014406881036243,0.02172394,81.38047555
1.0,0.20947074,0.00047837,1.04e-06,936.0420926233983,0.026595407171286643,0.0005072703356860584,-0.00123453,81.32857585
2.0,0.20945905,0.00047853,1.18e-06,928.0528466754786,0.02636825517544797,-0.00023815876102479175,0.00436908,81.43600059
3.0,0.20946972,0.00047451,1.23e-06,931.0312502382391,0.02645300815611801,0.0009647615700356355,-0.00037719,81.46023317
4.0,0.2094681,0.00047361,1.94e-06,924.5031386009177,0.02626749033384436,0.0015572097983937157,0.00037852,81.64207292
5.0,0.20930524,0.00046947,2.52e-06,903.7439474222531,0.025675550972170027,0.003547017775302337,0.0770619,81.59685149
6.0,0.20872751,0.00047845,2.83e-06,867.7110853478453,0.024644703550801558,0.005663256605552619,0.33278629,81.5401816
7.0,0.20757195,0.00053983,3.61e-06,859.5784633654386,0.024399551019924977,0.0077092470353531785,0.83633164,81.30415247
8.0,0.20687995,0.00089002,3.83e-06,870.9050931145043,0.02471321669303817,0.0020765554046703583,1.12448568,81.23145473
9.0,0.20629876,0.00156679,5.41e-06,867.2871839693399,0.024604929805123656,0.001863825941570814,1.31578335,81.16619849
10.0,0.2060744,0.00229341,6.53e-06,861.7872763501186,0.024447938672063862,0.002168215188813251,1.34006182,81.02003979
11.0,0.20561063,0.00296078,8.18e-06,863.4227933910569,0.024490166310982484,0.00463262673701054,1.48658247,80.99160944
12.0,0.2048922,0.00348912,9.81e-06,853.4415282119296,0.024199335745896194,0.00983751844707209,1.73528257,80.75939646
13.0,0.20419757,0.00396589,1.182e-05,840.5058497820272,0.02382504545302679,0.017395561800327627,1.96461927,80.50619463
14.0,0.20358924,0.00445851,1.406e-05,833.7738892866695,0.02362784762228934,0.023496977509174396,2.1639786,80.29726019
15.0,0.20310015,0.0049584,1.587e-05,835.4608956631805,0.02367075923428888,0.027896740766583113,2.33241357,80.20433683
