Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.19306289,0.00372896,4.747e-05,58173.95376103527,0.020177040320676652,-0.04259157999529772,5.36812121,-165.36135176
1.0,0.19414816,0.00321555,4.276e-05,66485.6190803577,0.02307281565319992,-0.04000039201322685,5.76684269,-165.23436256
2.0,0.19717083,0.00279769,3.599e-05,69560.07413920111,0.02417924611061069,-0.04166913049960956,4.8718953,-165.45884422
3.0,0.20046761,0.00241057,3.817e-05,70398.83152976005,0.024513001292936848,-0.04387534126542301,3.62297848,-165.23953407
4.0,0.20305623,0.00208522,3.937e-05,70030.21937864879,0.024416602669902115,-0.04283259799781343,2.57080628,-165.33951651
5.0,0.20438643,0.00180369,4.189e-05,69756.0150394149,0.024336715098432354,-0.04256873359833456,2.03662007,-165.347178
6.0,0.20532081,0.00156944,4.628e-05,69519.05086768631,0.0242647833722423,-0.044974201711168685,1.66374228,-165.25275014
7.0,0.20630868,0.00137968,4.359e-05,70239.93637226328,0.024528043648556083,-0.04313321589718115,1.28468022,-165.34392187
8.0,0.20710316,0.00122287,4.97e-05,70724.59554424821,0.024706474794019797,-0.042216739159996186,0.97046779,-165.383187
9.0,0.20762657,0.00108657,6.492e-05,71275.11601523194,0.024904562170616255,-0.04097838985242798,0.76407103,-165.13418858
10.0,0.20798101,0.00098334,7.152e-05,71411.59815578184,0.02495619046494915,-0.04187390471796881,0.62169011,-165.33396193
11.0,0.20843803,0.00089037,6.401e-05,71487.8931373657,0.02498831209751418,-0.0444849593631109,0.43534291,-165.34487956
12.0,0.20865612,0.00080759,5.969e-05,71488.67229789906,0.02499109729230571,-0.04440335251347094,0.34955724,-165.19050054
13.0,0.20885449,0.00073744,5.286e-05,71418.82057834332,0.02496902302293753,-0.04382131209149625,0.27120173,-165.25428244
14.0,0.20908448,0.00069016,4.421e-05,72279.16768377305,0.02527265814389271,-0.043664773812766365,0.17986803,-165.26730697
15.0,0.20918259,0.00064614,4.092e-05,72362.30830233287,0.02530287372757018,-0.04469087210944662,0.1417597,-165.34794415
16.0,0.20933327,0.00061197,3.586e-05,72414.92538185955,0.025323115739088308,-0.041849330696219725,0.07988992,-165.56782891
17.0,0.20935717,0.00058793,3.266e-05,72321.31855528198,0.025290670339510494,-0.044238036037979746,0.07206475,-165.26903081
18.0,0.20939631,0.00056398,2.968e-05,72271.93513302605,0.025273870602262778,-0.048114141958925535,0.05759184,-165.27784152
19.0,0.2093893,0.00054615,2.353e-05,72323.59246550938,0.025291917826536704,-0.03284581514829078,0.06333252,-165.31691512
20.0,0.20936916,0.0005297,1.692e-05,72831.4978607973,0.025469368330049168,-0.00840142832135634,0.07523904,-165.45558808
21.0,0.20942224,0.00051073,1.9e-05,72977.70720355603,0.025521062196778094,-0.006551013067774057,0.05339115,-165.36690634
22.0,0.20943952,0.00049527,2.683e-05,73669.32925468216,0.02576295689189798,-0.004529136811869783,0.04634403,-165.2278503
23.0,0.20955197,0.00048762,2.707e-05,73699.44356088254,0.025774856323760777,-0.005207418447737762,-0.00307744,-165.23627794
24.0,0.2095415,0.00047508,3.145e-05,72808.12125004223,0.025462893595256324,-0.006400720344743904,0.00201076,-165.31461667
25.0,0.2094806,0.0004672,4.143e-05,73362.22727802455,0.025655721862775996,-0.005368088321625941,0.02813167,-165.32630044
26.0,0.2095351,0.00046423,5.047e-05,72802.45940937937,0.025460455629791136,-0.008506990606329845,0.00271858,-165.25830472
27.0,0.20956824,0.00046268,5.264e-05,73636.19855193206,0.02575239591694117,-0.007230559086388728,-0.01222892,-165.36614019
28.0,0.20958776,0.0004569,5.41e-05,74034.07770394896,0.02589174423135081,-0.008277238437914971,-0.0207373,-165.40234073
29.0,0.20962498,0.00045256,4.809e-05,74153.9067854969,0.02593421694610536,-0.00824838576212332,-0.03605457,-165.11043797
30.0,0.20952808,0.00045207,4.275e-05,75022.06796939805,0.026236723071146318,-0.00760908404989686,0.00844407,-165.4643988
31.0,0.20954618,0.00045628,4.289e-05,74014.64850149423,0.02588464163295476,-0.006014044448398442,-0.00018865,-165.30714672
32.0,0.20955543,0.00045329,3.643e-05,74127.49220631711,0.025924334712309666,-0.008636733333692442,-0.00297925,-165.32936504
33.0,0.20956662,0.00045267,3.029e-05,74202.5176104046,0.02595082662948952,-0.007879993825086884,-0.00691905,-165.42819826
34.0,0.20958553,0.00045215,3.16e-05,74491.00811310054,0.026051930695897077,-0.007789976081467421,-0.01563775,-165.2052489
35.0,0.20954831,0.00045101,2.97e-05,74375.49188131308,0.026011098984697213,-0.009514408737973597,0.00155367,-165.22650954
36.0,0.20955889,0.00045056,3.272e-05,75008.91931837599,0.026232700041740213,-0.01010973740083648,-0.00369756,-165.30906209
37.0,0.20957739,0.00044857,3.648e-05,74711.57329086115,0.026128865385042475,-0.007074463405774984,-0.0124898,-165.27630922
38.0,0.20958665,0.00044844,3.538e-05,75591.80618935567,0.026436847383856307,-0.009816790068291252,-0.01666847,-165.27496846
39.0,0.20959752,0.00044675,3.429e-05,75802.57314098404,0.026510714067472282,-0.006793350520469965,-0.02135438,-165.09645575
40.0,0.20959783,0.00044316,4.04e-05,75241.01616229098,0.026314196310130072,-0.009229660995889401,-0.02202651,-165.26041163
41.0,0.2095778,0.0004398,4.293e-05,74753.405412793,0.02614335491970033,-0.0101072780615867,-0.0129332,-165.43643436
42.0,0.20958665,0.00043855,4.201e-05,74535.67692291604,0.02606733408021908,-0.009762882307285227,-0.01661032,-165.2247857
43.0,0.20956967,0.00043681,4.156e-05,75289.97674544541,0.02633092440224845,-0.008839406286196057,-0.00880358,-165.41440757
44.0,0.20955655,0.00043845,4.309e-05,75588.67545150864,0.02643519578729937,-0.00865159564187725,-0.00325998,-165.35120028
45.0,0.20956194,0.00043775,3.485e-05,75571.56728798622,0.026429437385857093,-0.0092536191415293,-0.00425408,-165.20314199
46.0,0.20956336,0.00043625,3.883e-05,76224.06688074653,0.026657571367087983,-0.009250959183667633,-0.00548451,-165.32706659
47.0,0.2095351,0.00043845,4.956e-05,76091.0254239005,0.02661048054839629,-0.009027767654119133,0.005484,-165.33491962
48.0,0.20955238,0.00044064,5.268e-05,76212.23571962802,0.0266530367830119,-0.007914708500109481,-0.00322087,-165.32189509
49.0,0.2095781,0.00043913,5.151e-05,75995.66023259229,0.026577642552715094,-0.009922455910067154,-0.01469009,-165.34698647
50.0,0.20955604,0.00044097,4.817e-05,75864.32535684545,0.026531499580709106,-0.01110655921819149,-0.00414836,-165.46344111
51.0,0.20958329,0.00044025,4.027e-05,75767.87062616732,0.026498263994423888,-0.010641411330707813,-0.015215,-165.41938755
52.0,0.20951161,0.0004391,3.54e-05,75414.22949330027,0.026373767556151888,-0.01103821301873099,0.01848724,-165.43566821
53.0,0.20955167,0.00043621,3.524e-05,75844.02641488885,0.026524581332486526,-0.010105129037727674,0.00052359,-165.39199772
