Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20948961,0.00047338,0.00011465,964.5551141676841,0.027394782014422633,-0.00133951210880838,0.51397827,48.6884557
1.0,0.20951604,0.00046694,0.00010476,966.6396900432135,0.02745452829288179,0.0015670144931904158,-0.5678098,48.73106257
2.0,0.20950089,0.00046199,0.00010512,977.7707831689598,0.027770441440349576,0.0016346094708184623,0.23858279,48.59430212
3.0,0.20951421,0.00045805,0.00011186,971.0924518914098,0.027580803260946873,-0.0003793122625562944,-0.50899694,48.4564004
4.0,0.20952742,0.00045857,0.00011736,964.0997618928265,0.02738227200916972,0.00018514058809972452,-1.26600834,48.62949083
5.0,0.20953271,0.00045779,0.00012068,964.3312455892831,0.027388851252370863,0.013007877433037022,-1.57971428,48.73619822
6.0,0.20954359,0.00046024,0.00012089,968.378231960818,0.02750394622764315,0.025566695634245032,-2.16130656,48.71965002
7.0,0.20953312,0.00046324,0.00012221,976.5689374211458,0.027736416005585327,0.052722889868440224,-1.70514139,48.67913545
8.0,0.20952885,0.00046164,0.00012985,970.0871073152912,0.0275521040572138,0.40810384990511706,-1.59609312,48.68293963
9.0,0.20950536,0.0004595,0.0001275,968.7195479502508,0.02751297971976148,0.3300884205195459,-0.35242998,48.66962498
10.0,0.20951573,0.00045784,0.00012913,963.9054033429878,0.02737635660399403,0.15057858456744605,-0.87914418,48.81266235
11.0,0.20950862,0.00046151,0.00012265,959.1870824410911,0.027242390184170785,0.07412542364087131,-0.44751318,48.7358178
12.0,0.20951543,0.00046597,0.00012593,975.3312783899626,0.02770095207418429,0.0362255989699058,-0.9038667,48.73543739
13.0,0.20950994,0.00046577,0.00012313,974.7769500227065,0.02768518752290289,0.018493235254016634,-0.57500445,48.68940675
14.0,0.20950567,0.00046697,0.00012135,970.8958538785337,0.027574938256489576,0.013987838214312431,-0.33963279,48.8364385
15.0,0.20951004,0.00047313,0.00011044,969.313912009348,0.027530303761800518,0.013566353844824642,-0.4327493,48.72706818
16.0,0.20952549,0.00051911,9.825e-05,974.1874358410321,0.027669312219274576,0.008031836550525744,-1.48649987,48.53305473
17.0,0.20951035,0.00072318,9.454e-05,967.0681921372058,0.02746756182515754,0.010907699169047113,-2.79559715,48.83472662
18.0,0.20952569,0.00151547,0.00010367,973.2186069646986,0.027644580021275775,0.012742779122396262,-12.13504601,48.61674681
19.0,0.2093292,0.00267857,0.00011703,949.8234344800014,0.026980412785982948,0.01597369365891309,-14.42277445,48.72155211
20.0,0.20889027,0.00387509,0.00011021,926.7480507188914,0.026322586408341554,0.0219913585008533,-4.91013507,48.67704314
21.0,0.20809983,0.0048798,0.00010572,894.3605368956316,0.02539533258531837,0.017216258154264398,22.27299556,48.39781595
22.0,0.20741328,0.00524791,0.00011005,889.3719245118772,0.025245788033092974,0.009205823342885243,50.17657855,48.07388958
23.0,0.2066143,0.00559699,0.0001115,883.3269782338718,0.025064860405581986,0.004256519996134232,82.96264201,47.9901975
24.0,0.20571997,0.00587958,0.00011754,878.4914454062397,0.024916801748159134,0.004057801803388505,120.2173605,47.95253607
25.0,0.20493736,0.00608116,0.00012781,872.7973232763673,0.024745576617461258,0.005676870139439897,152.4594383,47.62632719
26.0,0.2046072,0.00623472,0.00013959,869.1431764993418,0.024637913722946533,0.006628294687720519,164.9195194,47.46084513
27.0,0.20389747,0.00632989,0.00014983,870.692251746804,0.024672686554050624,0.00793054016780664,195.7452034,47.34044267
28.0,0.20358296,0.00639174,0.00015249,878.4721357457657,0.024889124930869623,0.00868026766054719,210.9626335,47.11637616
29.0,0.20357208,0.00643016,0.0001561,876.7740502310564,0.024840907960629578,0.012460317599914164,210.6327209,46.95831226
30.0,0.20344593,0.00642821,0.00016717,887.0421680168946,0.02512993458942891,0.016763590905530062,218.6396539,46.59063776
31.0,0.20334896,0.00641398,0.00017803,883.3618112946396,0.02502414219153226,0.018943875048597607,222.0514083,46.63952154
32.0,0.20335597,0.00639776,0.00018995,877.7002211964884,0.024863587132336974,0.019247888547366747,220.2770277,46.30113926
33.0,0.20316283,0.00636868,0.00018807,874.216365092824,0.024762312014022556,0.021399800402222516,228.2802472,46.25225548
34.0,0.20322464,0.00632579,0.00018465,870.5157554288525,0.02465824983131704,0.025728605044191836,225.0206429,46.01316244
