Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20955812,0.00044257,0.00011433,8661429.99645063,0.027825829278585682,0.001163474962950037,-2.16917849,60.18127946
1.0,0.20954897,0.00044322,0.00011669,8655442.989981323,0.02780642237108248,0.0019342571393847828,-1.75195976,60.13467819
2.0,0.20953291,0.0004367,0.00011796,8641288.005633213,0.027760680304167045,0.0008458881742713428,-0.88861444,60.22236466
3.0,0.20952773,0.00043516,0.00011177,8644976.687909441,0.027772578038367943,0.0007078046266890208,-0.50085221,60.2149465
4.0,0.20953342,0.00043324,0.00011135,8518728.440532135,0.02736707773819485,0.0018228970864442044,-0.7503255,60.17975779
5.0,0.20959675,0.00043055,0.00010934,8549898.417855907,0.02746811718381083,0.003992155026078835,-3.8641918,60.32945247
6.0,0.20955375,0.00042841,0.00010851,8551333.689346422,0.0274721468899224,0.006651720257149787,-1.67211357,60.37434186
7.0,0.20956026,0.00043212,0.00010334,8608118.746270273,0.027654779666125964,0.01262948152855102,-1.95992373,60.31784971
8.0,0.20952498,0.00043522,0.000103,8676775.315243037,0.027874871667554587,0.030311932412544738,-0.2084767,60.16454105
9.0,0.20958404,0.00043846,0.00010343,8657704.258620204,0.027814427995129693,0.025367132915325497,-3.24757865,60.19402348
10.0,0.2095263,0.00048311,9.507e-05,8657987.592559638,0.027814832079817487,0.02867340353290424,-0.64450914,60.28703581
11.0,0.20952661,0.00069793,8.991e-05,8498260.983563207,0.027302412632782103,0.045010535437311885,-2.80266811,60.08313149
12.0,0.20950465,0.00216355,8.815e-05,8482709.125383904,0.02725637650522603,0.056465064585356495,-16.99492501,60.39203132
13.0,0.20935451,0.00390966,8.783e-05,8424191.16464359,0.027071284458138972,0.07483688573963763,-27.62403664,60.08027835
14.0,0.20856377,0.00555716,9.513e-05,8144526.867564229,0.026166598989849948,0.07802025341040073,-5.4692976,60.11071183
15.0,0.20745252,0.00686069,0.00010189,7930637.534841356,0.02546849349675042,0.06503506809202261,33.70429547,60.19535495
16.0,0.20669735,0.00726178,0.00012138,7722548.993582509,0.024791391171323635,0.04498505028200041,62.95486499,59.94180601
17.0,0.20527586,0.00765665,0.00013689,7541560.084679322,0.024193379014104854,0.03545031593405021,120.28168589,59.58002801
18.0,0.20405431,0.00805919,0.000161,7599038.198173344,0.02436283662135653,0.03639440940229226,171.10702566,59.41511658
19.0,0.20287963,0.00848137,0.00017858,7671365.899768194,0.024580250247510333,0.036360374359340954,220.73136614,59.22319544
20.0,0.20192645,0.00889548,0.00019492,7622838.932721624,0.024413122549351872,0.0418623570314911,257.20828948,59.09575524
21.0,0.20122871,0.00930115,0.00021123,7556380.474677476,0.02419195796842705,0.06123835113617725,281.39823773,58.85552095
22.0,0.20044844,0.00964768,0.00022301,7408129.877229107,0.023707973086371736,0.10135452436283515,305.8035848,58.63773136
23.0,0.19999822,0.00996025,0.00023461,7458907.298423798,0.023865215020851267,0.1691811525499647,324.20737342,58.26853519
24.0,0.19948732,0.01021433,0.00024414,7480986.284507221,0.023929642527914234,0.23624464866754946,344.62105619,58.27100791
25.0,0.1988884,0.01039476,0.00025354,7563496.283440774,0.024185878404305194,0.2970357135349047,372.47633913,57.96077662
26.0,0.19844672,0.0105009,0.00024852,7382818.80807709,0.02360270254714353,0.32145863064684743,381.25839835,57.74736183
27.0,0.19809043,0.01049817,0.00025445,7402593.061462556,0.02366110368629619,0.3287715660921752,397.15033203,57.54440855
28.0,0.19806959,0.0103956,0.00025728,7376587.158028913,0.023577384638230264,0.34063451861459954,397.44031851,57.40308308
29.0,0.19805668,0.01023984,0.00025914,7428055.880327246,0.02374127315988881,0.3410736002782035,402.03818616,57.08866718
30.0,0.19807102,0.01006592,0.00026131,7597197.211336423,0.024281559091174354,0.331330190431837,412.03990763,56.98272062
31.0,0.19819696,0.00988647,0.00026163,7588709.873645882,0.024255647958120796,0.3248449216736278,407.71235257,56.7542793
32.0,0.19844225,0.00969618,0.00026298,7582477.924384497,0.024238506481949026,0.31501535775679895,398.4730137,56.48722551
33.0,0.19874192,0.0095125,0.00026853,7558568.551735006,0.024165509413398734,0.3136032016850084,385.88672157,56.39725653
34.0,0.19909332,0.00937078,0.00026529,7437106.994540352,0.023781502777880145,0.29405078067069057,366.11867157,56.27628344
35.0,0.19932326,0.00926395,0.00025858,7620315.1996946335,0.024370277930194754,0.30625597371226937,366.22458007,56.02653869
36.0,0.19948336,0.00919182,0.00024854,7590659.310074706,0.02427757193251736,0.3018519211706509,358.67476374,55.90898937
37.0,0.19952534,0.00912475,0.00024634,7536794.111090489,0.02410571117222025,0.28422603816722836,354.94366432,55.62919155
38.0,0.19955269,0.00903656,0.0002505,7492654.179271607,0.023964585323598263,0.27048702208241093,352.39545112,55.35966503
39.0,0.19957708,0.00894867,0.00025114,7422146.881573504,0.023739150430465896,0.27325928727885085,348.7887071,55.40284254
40.0,0.19958837,0.00891782,0.00024457,7583425.755825949,0.0242551769632369,0.28256320163464715,356.24862461,55.22366541
41.0,0.19964997,0.00889493,0.00024589,7605043.596013029,0.024325059651221705,0.29714285058928575,354.78248639,54.92903128
42.0,0.19969378,0.00887869,0.00024521,7546349.498564079,0.02413787514257149,0.28462366543120154,350.31607513,54.89707612
43.0,0.19967873,0.00885737,0.00024007,7419582.34806692,0.023732235549481895,0.2679895402405489,345.32314844,54.62831044
44.0,0.19969896,0.00878548,0.00024237,7455187.102085088,0.0238461548962411,0.2662270853720831,346.70337845,54.45655148
45.0,0.19973363,0.00872204,0.00023696,7440623.643456781,0.02379995667733432,0.27119180641241697,345.18125992,54.21707802
46.0,0.19972814,0.00867625,0.00023336,7537217.086634376,0.02410879613313999,0.26829568620933597,350.34689591,54.03010232
47.0,0.19979848,0.00866069,0.0002309,7502287.382459606,0.023998000539325878,0.26031472612432827,345.89497333,53.9247264
48.0,0.19989322,0.00862278,0.00023596,7580555.74599457,0.024249429913298357,0.25797393925834367,345.67356098,53.76190727
49.0,0.19997017,0.00856435,0.00024137,7441948.028761336,0.023806792442510258,0.25054642987539194,336.51461562,53.57360011
50.0,0.19998013,0.00854966,0.0002501,7493547.836653966,0.02397179401795523,0.23939033043902083,338.41937563,53.37958666
51.0,0.19998623,0.00861031,0.00025288,7395690.882939316,0.02365893849206825,0.24138814019449947,333.18748951,53.24853248
52.0,0.19999639,0.00859567,0.00024707,7589391.219676494,0.02427879189889505,0.23951228512912964,341.6904011,53.02408556
53.0,0.19999944,0.00853896,0.0002496,7372840.844667838,0.023585884378432228,0.24378069788875525,332.25569776,52.92993198
