Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20949144,0.0004823,9.669e-05,8614990.450819368,0.027643750918920473,-0.0006345578224981795,-0.51994276,78.2806407
1.0,0.2094891,0.00046905,9.452e-05,8616482.635764265,0.027648511409848003,-0.0001815375702674467,-0.22390075,78.13018519
2.0,0.20950963,0.00046665,9.943e-05,8589958.628398761,0.027563580577609798,-0.0014214497297118933,-1.31633649,78.27417359
3.0,0.20950557,0.00046066,9.755e-05,8646081.902700838,0.02774363342930733,0.00021128373767461474,-1.02248565,78.40256483
4.0,0.20951106,0.0004563,9.017e-05,8592193.321908202,0.027570925508143152,0.003134581056611775,-1.11705616,78.5357113
5.0,0.20945769,0.00045295,8.647e-05,8589347.956705643,0.027561121004127685,0.05210263482870036,1.66655819,78.52068477
6.0,0.20955426,0.00046585,8.181e-05,8560661.141360225,0.027470532623899396,0.08616391848724123,-3.23282834,78.52829314
7.0,0.20946857,0.0005092,8.749e-05,8557007.376975786,0.027457640041372012,0.06812453976147136,0.50718852,78.53780361
8.0,0.20948046,0.00062505,9.771e-05,8583609.18188722,0.02754329602128989,0.0741901207039242,-1.48812551,78.37840826
9.0,0.20946684,0.0008192,0.00010953,8543611.855456688,0.027415089608047005,0.05567399661753331,-3.04222066,78.49881071
10.0,0.20936234,0.00107508,0.00010812,8531300.152676838,0.027374911696588143,0.03127728998384429,-0.47204939,78.57622587
11.0,0.2091075,0.00136118,0.00011888,8415763.885784293,0.027001326538633557,0.021222173659352785,8.95403691,78.48739815
12.0,0.20873993,0.00168037,0.00014064,8267353.605355372,0.026520722216121402,0.01317616784749954,22.97759742,78.17716687
13.0,0.2081719,0.00202463,0.00014917,8318658.285656385,0.026678430555145002,0.027050835196628233,47.08358842,78.14045649
14.0,0.20774914,0.00236951,0.00015665,8168909.810014063,0.026193357094336806,0.0550698502329612,62.82678048,78.02100508
15.0,0.20718812,0.00273515,0.00017786,8165197.745626198,0.026174556912950633,0.08293270181483314,85.50042193,77.95785561
16.0,0.20653684,0.00312283,0.00019147,8153525.892809672,0.026129206665788655,0.11518613926385243,112.19249483,77.82680144
17.0,0.20591484,0.00353183,0.0002168,8090803.828981776,0.025920510645235994,0.1391720037276861,136.11583793,77.63088592
18.0,0.20528968,0.00393723,0.00023109,8111727.476642415,0.025979941804320845,0.15913953910856718,161.63834498,77.68490534
19.0,0.20470407,0.00434426,0.000237,7949087.031318677,0.02545223877559344,0.18937762689939078,181.32442021,77.35146853
20.0,0.20427175,0.00473438,0.00025049,7955082.83823315,0.025466459203576937,0.21362550673231753,197.38731396,77.44923609
21.0,0.20380415,0.00508612,0.0002598,7888155.9300963,0.025246752095277467,0.2435444479834735,213.52759786,77.27614567
22.0,0.20339541,0.00541491,0.00026832,7855775.102110291,0.02513839588027453,0.26469059121652133,227.92613369,77.2272619
23.0,0.20293361,0.00570197,0.00026788,7856559.714749045,0.025135509772164128,0.29337687876752,246.12617445,76.96058853
24.0,0.20244751,0.00595837,0.00028187,7850457.808073413,0.02510988803309697,0.33280439474220475,265.21728411,76.73861434
25.0,0.20211318,0.00616693,0.00028501,7833430.777771241,0.025051433092454934,0.3402372503763582,277.66601265,76.73595141
26.0,0.20192726,0.00633945,0.00028263,7838001.8338686675,0.025064056148499176,0.3488069946111455,284.61936297,76.56419246
27.0,0.20173382,0.00648959,0.00028967,7845171.197073556,0.02508464053980346,0.3538549980678656,292.0674487,76.3532504
28.0,0.2016403,0.00664594,0.00029678,7895280.9423991935,0.025243885336925495,0.3495911777783899,296.60422096,76.34012597
29.0,0.20161367,0.00681222,0.00031164,7855120.84370495,0.025115295778575807,0.34347342827775157,294.54276719,76.08505536
