Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20952246,0.00047389,0.00021716,8381817.442144394,0.026922026109542342,-0.012734949888899979,-1.22424984,109.76188712
1.0,0.20953131,0.00047031,0.00021342,8387255.455869344,0.026939674987354,-0.011635807860248377,-1.55936748,109.70285221
2.0,0.20952693,0.00046545,0.00022235,8454954.957874635,0.027156875580402723,-0.01105064053200089,-1.45859224,109.88225701
3.0,0.20956426,0.00046404,0.00022437,8441140.00582604,0.027112966616337855,-0.04974898941797914,-3.32462675,109.99131826
4.0,0.20958734,0.00045972,0.00022069,8386182.338446672,0.02693681344465718,-0.07240289955963083,-4.33141604,109.89701574
5.0,0.20959151,0.00045867,0.00021451,8397019.233539825,0.02697179582736673,-0.15207445144093903,-4.42551567,110.00569364
6.0,0.20957666,0.00046637,0.00021969,8416633.128025765,0.027034516483852588,-0.09947273975670791,-3.87134692,109.82437213
7.0,0.20957087,0.00050164,0.00021902,8365015.097330427,0.026868752055777097,-0.10133738020190744,-3.91486032,109.77319576
8.0,0.20953456,0.00103073,0.00022,8374881.0615100525,0.026901427099353774,-0.08252915410235719,-7.60843592,109.90410759
9.0,0.20953253,0.00259798,0.00021615,8337322.331043784,0.026785235198527393,-0.049277970652085626,-23.5487707,109.70783568
10.0,0.20949388,0.00335854,0.00022044,8260714.490462169,0.026540640985121496,-0.030024991874906048,-29.30936714,109.99323497
11.0,0.20931968,0.00382015,0.00022257,7794852.38496546,0.025042876739850353,-0.005232590770805196,-24.14257432,109.63289201
12.0,0.20850664,0.00423066,0.00022481,7713774.552565523,0.02477329877721481,0.0455351480253891,9.10386453,109.38103528
13.0,0.20737266,0.00456786,0.00023382,7729549.309566744,0.024810401882015012,0.03823614706011857,57.21636029,109.13818712
14.0,0.20621976,0.00483847,0.0002464,7856992.489249134,0.02520504418856247,0.026140809055628815,108.26973216,109.05500157
15.0,0.20549987,0.00504909,0.00025755,7877351.779718846,0.0252612934841104,0.029875077520707182,139.35385155,108.96338245
16.0,0.20510205,0.00519371,0.00025626,7771818.548872047,0.024918111160342937,0.04936065050639077,154.09908974,108.79911973
17.0,0.20498968,0.00528245,0.00026404,7823449.663815931,0.02508227428404702,0.07316241365057632,159.26538726,108.52694578
18.0,0.20466802,0.00530413,0.00026845,7817742.523329879,0.02505973285110395,0.09747892446272538,173.43848495,108.39258386
19.0,0.20461575,0.0052684,0.00025989,7794606.11092346,0.024984946037039255,0.11083749775978073,175.74867366,108.42420971
20.0,0.20450409,0.00519055,0.00025463,7818996.458372849,0.025061545051964035,0.11548759684412185,182.1539734,108.15893595
21.0,0.20453867,0.00508149,0.00024025,7847405.462326309,0.02515303072932391,0.1175849341580929,182.49238176,108.00713189
22.0,0.20454416,0.00493581,0.00024421,7920863.971299723,0.025388085013533155,0.11712597306129069,185.25737343,107.81181834
23.0,0.20474938,0.00477525,0.00023655,7939427.859650402,0.02545003083537122,0.1215209981937066,177.91251428,107.73227454
24.0,0.20482534,0.00461974,0.00023444,7912805.368399479,0.02536531642716622,0.11725527753531294,175.33846977,107.68895672
25.0,0.20497249,0.0044835,0.00022841,7938326.23783797,0.025448826986704618,0.1046469862853914,170.53263541,107.47735106
26.0,0.20521066,0.00434376,0.00022722,7997895.181465351,0.025642622807790304,0.09199778661379071,162.14038237,107.60366277
27.0,0.20544628,0.00422824,0.00023045,7917438.103823575,0.02538740686583125,0.074085596011812,150.74419262,107.19521019
28.0,0.20557736,0.00412979,0.00022228,7859372.772473448,0.02520282409078321,0.06309774670176703,144.72274366,107.29104608
29.0,0.20565923,0.0040658,0.0002159,7870739.481081589,0.025240293632555536,0.05374338579505264,141.90081518,107.09477417
30.0,0.20564652,0.00402752,0.00021889,7820576.659739809,0.02507910519770693,0.04574551971358335,141.88430381,107.17489298
31.0,0.20564357,0.00400268,0.00021612,7890041.470576361,0.025301811094643193,0.04020295227188689,143.55848887,107.09113241
32.0,0.20565729,0.00399246,0.00020892,7802132.409056505,0.02502018759840666,0.037807387978700716,141.54709652,106.91096092
33.0,0.20560126,0.00398713,0.00020167,7785210.720560901,0.02496531426256366,0.041245307478946266,143.9330216,106.88067678
34.0,0.20560502,0.00396981,0.00020314,7830011.233620424,0.0251089541337874,0.0402235069725898,144.72973401,106.69073004
35.0,0.20560055,0.0039342,0.00021217,7807777.539561863,0.025037335878605835,0.04015102434449774,144.7115647,106.73730628
36.0,0.20553913,0.00388,0.00022176,7828849.607816674,0.02510378279803119,0.03769274180248338,148.24481593,106.67750468
37.0,0.20551726,0.00381494,0.00021774,7809759.463341066,0.025042183197171445,0.0329712953328321,149.54330596,106.55540975
38.0,0.20549814,0.00373419,0.00021821,7805715.15879215,0.02502874047009689,0.02832255237879635,151.07622329,106.42986473
39.0,0.2056333,0.0036455,0.00022223,7903067.045975284,0.02534236222972617,0.0257232212723528,147.54770302,106.40667244
40.0,0.20568475,0.003542,0.00022129,7891401.599415395,0.02530536904636955,0.02511802875973418,145.96930205,106.2581268
41.0,0.20582133,0.00344266,0.00021189,7937158.371568745,0.025453808460690126,0.021166453671003217,141.62795905,106.26081021
42.0,0.20600153,0.00334413,0.0002092,7925999.812298532,0.0254201819424464,0.017668190640448455,134.12644352,106.19315007
43.0,0.2061379,0.00324766,0.00020949,7953469.298887921,0.025509814786145026,0.013427953515442534,129.21442851,106.00703676
44.0,0.2062341,0.00315462,0.00020623,7816294.16918696,0.025070900122831984,0.010789533724563432,123.54651858,105.92615126
45.0,0.20635634,0.00307069,0.00021195,7878801.661496286,0.02527265792582178,0.00975628133393997,119.6464875,105.91254257
46.0,0.20649942,0.00298532,0.00021226,7898298.966641609,0.025336833475347337,0.004854659727787201,114.184187,105.78872259
47.0,0.20662908,0.00289283,0.00020981,7894642.77207949,0.02532659315486481,0.002847530215153697,109.10108248,105.77070544
48.0,0.20677308,0.00282588,0.00020629,7938871.390837563,0.02547025372879776,-0.0008059548285844148,103.76271118,105.64707714
49.0,0.20686877,0.00276337,0.00020733,7894973.709444658,0.025330475326343603,-0.002365687224468266,99.37311476,105.74463808
50.0,0.20693701,0.00271346,0.00020759,8003956.537844964,0.02568089821679271,-0.0039129052141015815,98.0451223,105.69940353
51.0,0.20694036,0.00266965,0.00021503,7876742.800868647,0.025272517853508595,-0.0038524746628975297,96.63094167,105.58670052
52.0,0.20703311,0.00263495,0.00022048,7869381.617678537,0.025249908044138028,-0.005030380886907014,92.53572557,105.71531229
53.0,0.20707277,0.00259495,0.00023276,7916731.705602736,0.025402017680615594,-0.004669664783063866,91.45025371,105.50044821
