Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20945693,0.0005266,-1.1e-06,8512715.338517945,0.027346444981182043,-0.0011979921294969303,4.88694204,133.05935366
1.0,0.20947657,0.00051729,3.77e-06,8537165.218765741,0.027425134885985542,-0.003899522050431651,3.92976647,133.26182694
2.0,0.20945998,0.00050745,6.6e-07,8445759.872517537,0.027131308077991006,-0.0029328847156375043,4.86561807,133.13264975
3.0,0.20946894,0.00050308,6.94e-06,8485717.811054494,0.02725965582206801,-0.004734668364931052,4.37944558,133.1982909
4.0,0.20946354,0.00049963,-4e-08,8522056.319915213,0.027376444335507646,-0.004248802169147173,4.82549874,133.28574864
5.0,0.20953123,0.00049322,-1.214e-05,8516038.602676837,0.027358261201753192,-0.0007603424452036501,1.71761638,133.12384657
6.0,0.2095405,0.0004873,-7.77e-06,8447564.945682747,0.02713830907182517,0.00025517597896472256,1.23073049,133.42487726
7.0,0.20950365,0.00047853,-7.16e-06,8519481.287190622,0.027368802345154722,0.01726844318106652,3.16454507,133.17532607
8.0,0.20952889,0.00047988,-1.129e-05,8490492.702946555,0.027276106635437766,0.02580785154483573,1.95362099,133.28842787
9.0,0.20951749,0.00048002,-1.701e-05,8489563.85686708,0.027273080105660746,0.028869414257965527,2.61900502,133.42104979
10.0,0.20953815,0.0004778,-1.443e-05,8454124.553627726,0.027159453846742305,0.029837790123419028,1.56154265,133.32708534
11.0,0.20953999,0.00047047,-1.4e-05,8479891.320471132,0.02724222702143751,0.028513608824248436,1.54424817,133.3955971
12.0,0.20951647,0.00046699,-1.381e-05,8473782.35962264,0.027222267303402273,0.023127904960227735,2.74515028,133.28670551
13.0,0.20955505,0.00046067,-1.31e-06,8365082.919060186,0.02687332584017803,0.030454685362173935,0.66780236,133.2773282
14.0,0.20954609,0.0004589,9.8e-07,8427721.573183555,0.027074384970110037,0.03376165336083763,1.09465453,133.029308
15.0,0.20953317,0.00045346,-4.53e-06,8522112.486885598,0.02737753571281525,0.01992391693274089,1.90641361,133.31273232
16.0,0.20957195,0.00044803,-5.42e-06,8441927.406586982,0.027120467288006746,0.015226293278486038,0.038857,133.33014732
17.0,0.20955078,0.00044546,-2.96e-06,8460312.795431234,0.027179188382787527,0.006732907909409637,1.07443864,133.37378051
18.0,0.2095689,0.00044904,-3.38e-06,8479301.12770201,0.02724045496138059,0.004720411264359249,0.14517181,133.41894468
19.0,0.20957175,0.00045066,-4.57e-06,8462187.723216172,0.027185543507034213,0.006167355521043094,0.00704343,133.28364353
20.0,0.20955261,0.0004513,3.51e-06,8463568.695464116,0.0271895626238275,0.007303862381189154,0.81118376,133.3129237
21.0,0.20956981,0.0004545,-1.42e-06,8474625.662159653,0.027225424098721134,0.007193951864873836,0.00865606,133.304886
22.0,0.20959943,0.00045758,2.83e-06,8509333.2060326,0.02733725507009757,0.006068145176191756,-1.57680977,133.33952463
23.0,0.20956727,0.00045461,1.371e-05,8497068.217441846,0.027297189911008757,0.005348058998322269,-0.12830504,133.21532315
24.0,0.20957409,0.0004562,2.067e-05,8418311.075821806,0.027044140157224398,0.008243732982151093,-0.60016633,133.47731363
25.0,0.20952146,0.00045971,2.751e-05,8561481.598527616,0.027503230237708984,0.005105939651104946,1.87702926,133.24001035
26.0,0.20956157,0.00045892,2.88e-05,8495223.635182383,0.027290901103747458,0.00371109247062997,-0.15096646,133.21800238
27.0,0.20956981,0.00045412,2.22e-05,8447288.86172651,0.027137138323458047,0.004498683946783666,-0.39508772,133.33378342
28.0,0.20956431,0.00045193,2.22e-05,8534498.42349632,0.027417219546358337,0.004734432903405929,-0.10075087,133.26527167
29.0,0.20958294,0.00045169,2.009e-05,8479067.610376075,0.027239441995254323,0.00471301433676691,-0.98815468,133.21092156
30.0,0.20958457,0.00045533,1.94e-05,8482154.769368462,0.027249405873972826,0.007578238880068466,-1.09563816,133.42296352
31.0,0.20957683,0.00044936,1.696e-05,8460918.500862708,0.027181108717001634,0.0066317728975215035,-0.60442636,133.14508904
32.0,0.2095864,0.00045386,1.18e-05,8483707.105815934,0.02725456320887921,0.006994928377864981,-1.0399917,133.3607671
33.0,0.20956828,0.00045453,1.358e-05,8511953.293867122,0.027345025010706358,0.009815705724194367,-0.17619256,133.34296935
34.0,0.20957968,0.00046186,3.95e-06,8467726.501602614,0.027203309867955126,0.009243366404895705,-0.65167784,133.4855427
35.0,0.20959129,0.00046173,5.51e-06,8505707.649686554,0.027325455232745665,0.011138407732354555,-1.25960036,133.10260409
36.0,0.20957745,0.00046683,1.304e-05,8531190.407764697,0.027406996958947136,0.011285077789352636,-0.75502614,133.27656271
37.0,0.20958589,0.00046457,1.615e-05,8437809.954232287,0.02710705344986656,0.013732482078987914,-1.1953474,133.48822193
38.0,0.20960361,0.00046106,1.842e-05,8515386.50249715,0.027356461207678654,0.013159583287923902,-2.09425272,133.35196391
39.0,0.20959475,0.00045872,1.935e-05,8466983.274763415,0.027200815833999865,0.013504461922677381,-1.63404379,133.08231849
40.0,0.20957979,0.00046222,1.612e-05,8438978.895021126,0.027110719879925155,0.015572490373311824,-0.86799671,133.08327536
41.0,0.20956269,0.00046475,1.264e-05,8372243.969531685,0.026896174494622664,0.017553848903239813,0.01264627,133.20728546
42.0,0.20960727,0.00046475,1.648e-05,8502266.785830457,0.02731441178496363,0.017230414704880664,-2.27896026,133.14087882
43.0,0.20956309,0.00046624,1.847e-05,8512395.949839562,0.027346313025063608,0.01989346837192,-0.12467077,133.12709992
44.0,0.20955454,0.00047333,1.866e-05,8502777.79251772,0.027315314072547114,0.01810095092373602,0.22485721,133.08920794
45.0,0.2095806,0.00047754,2.018e-05,8424722.226875566,0.027064894606894537,0.020295093442040044,-1.13555562,133.18125865
46.0,0.20957286,0.0004809,1.026e-05,8416665.120860608,0.027039109218054247,0.020027431313721502,-0.61660408,133.1010731
47.0,0.2095577,0.00048187,8.48e-06,8435032.777698494,0.027097948521488457,0.020262414361967518,0.15361523,132.95467229
48.0,0.20961032,0.00050556,5.28e-06,8540013.667190306,0.02743605881315168,0.02194911390172389,-2.67568182,133.12863091
49.0,0.20956533,0.00062696,6.04e-06,8427580.725245474,0.027074571834774165,0.02524751695693858,-1.68714335,133.15312673
50.0,0.20958284,0.00093509,1.603e-05,8420042.685440056,0.02705127152417363,0.02564515134285763,-5.91945776,133.35598276
51.0,0.20948777,0.00135535,2.341e-05,8426057.521457188,0.027070357440171403,0.02945831263337245,-5.70879812,133.05935366
52.0,0.20924928,0.00181326,2.488e-05,8173515.140293117,0.026257113304664705,0.0319155728835623,1.28092717,133.07696003
53.0,0.20858836,0.0022361,2.381e-05,8080442.689018936,0.02595066779583829,0.025473821452432835,28.43091739,132.90395828
54.0,0.20790474,0.00263026,2.016e-05,8031499.385760189,0.025785701177631824,0.017455693512136872,56.59641647,132.60235347
55.0,0.20725401,0.00296427,1.227e-05,8004246.882916384,0.025690743889029994,0.01853320221813678,83.70407398,132.53422446
56.0,0.20682252,0.00324396,1.192e-05,7990768.282093351,0.02564258456275644,0.021517690876622985,100.96063051,132.46226798
57.0,0.20649496,0.00347481,1.319e-05,7973922.8815065175,0.025584824906154047,0.020999083572197073,113.70965907,132.304002
58.0,0.20640152,0.00366322,1.926e-05,8005459.317531265,0.025685177460454716,0.02191935139442183,116.59471491,132.13903795
59.0,0.20610145,0.00381953,1.316e-05,7916958.44874266,0.025397831431920037,0.027601131529453142,127.72662569,132.27548733
60.0,0.20590438,0.00394448,9.54e-06,7854975.565185139,0.02519682407167659,0.03045589282541959,134.59668556,131.98325982
61.0,0.20580667,0.0040371,1.461e-05,7914578.973261518,0.025386889394976967,0.028944644548966843,139.1471883,131.8173389
62.0,0.20567638,0.00411892,1.783e-05,7942568.756806482,0.025475111623419425,0.02935865471918618,144.81422935,131.80777022
63.0,0.20558904,0.00418643,6.84e-06,7915824.627970365,0.025388570271586645,0.028022783567554454,147.87312569,131.43765365
64.0,0.20554639,0.00422986,3.54e-06,7928447.729546442,0.02542867354582076,0.02829284714375749,149.71085973,131.60127809
65.0,0.20550547,0.00427004,9.23e-06,7954741.604789307,0.025512465752190745,0.030700678328301253,151.6208216,131.38483453
66.0,0.20552817,0.0043076,1.52e-05,8017082.64375683,0.025712699833319794,0.029087754862688213,151.29631124,131.21872223
67.0,0.20548471,0.00433825,1.669e-05,7941862.432766656,0.025470931213061536,0.03197870890370971,151.56369466,131.19326954
