Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20957209,0.00048287,0.00012175,8254564.598747717,0.026512273826010978,0.0032689353720188,-2.74050813,232.00073794
1.0,0.20952377,0.00047956,0.00012496,8213546.940584684,0.02637982287385884,0.00296666733468683,-0.43757358,231.912026
2.0,0.20952764,0.00047881,0.00013227,8251404.9823867595,0.02650132265236884,0.004038070044752168,-0.7398431,231.9101141
3.0,0.20953974,0.00047927,0.00013078,8207941.272120756,0.02636191828283681,0.0032116672043344782,-1.29382205,232.06421286
4.0,0.20955887,0.00048083,0.000131,8242957.162216531,0.026474634780562396,0.0034140015244378927,-2.23604263,232.69857972
5.0,0.20953791,0.00047894,0.00012548,8104722.2959886035,0.026030478822448574,0.0015664205059378543,-1.10091648,232.22806229
6.0,0.20954575,0.00048113,0.00012374,8273707.482942357,0.026573363772993318,0.00289618650585689,-1.4940944,232.25769667
7.0,0.20956426,0.00048003,0.00012902,8113319.693159615,0.026058372109744113,0.0056975854825698944,-2.4150327,232.19001557
8.0,0.20953924,0.00047647,0.00012823,8176362.289898109,0.026260528315062575,0.0033518952129593846,-1.19449596,232.24412221
9.0,0.20956701,0.00047527,0.00012975,8226281.081325679,0.02642119093824604,0.002546431358079911,-2.54453277,232.25196098
10.0,0.20953161,0.00047608,0.00013334,8260889.131689959,0.026531807910307896,0.004107573812971973,-0.92167029,232.45041571
11.0,0.20956741,0.00047351,0.00013277,8184082.351073784,0.026285600026474017,0.004202616708258606,-2.58343754,232.33321653
12.0,0.20954361,0.00047018,0.00013359,8116799.355460868,0.026069165309317122,0.003614773901328615,-1.41838202,232.68729954
13.0,0.20956192,0.00046892,0.00014155,8134800.599456858,0.026127066966172844,0.006134099558524579,-2.40684073,232.41523684
14.0,0.20957728,0.00046628,0.00014459,8185904.5527359545,0.026291338203370918,0.00447995155154465,-3.17798561,232.65250305
15.0,0.20954829,0.00046232,0.00013464,8169548.226166944,0.026238601717653773,0.005831013787494476,-1.58891845,232.3045381
16.0,0.20954422,0.00047005,0.00013464,8200940.260025292,0.0263393929390118,0.005840553122713473,-1.47831149,232.25119622
17.0,0.20955165,0.00047039,0.00014353,8199233.914520506,0.026333842488795417,0.005696211168177291,-1.98336175,232.23991604
18.0,0.20955907,0.00047056,0.0001392,8152230.889795679,0.026183060512336286,0.005131920830565717,-2.25449261,232.78499739
