Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20952155,0.00044136,0.00016668,1909.622490187251,0.027101147705999144,0.014015195048638586,0.54582655,135.03170343
1.0,0.20953935,0.0004303,0.00017264,1911.4965575450442,0.0271278381490592,0.011425515511015834,-1.40438758,134.90213331
2.0,0.20955572,0.00042122,0.00017281,1895.5145577829253,0.026901214501672842,0.015253975503849212,-2.99413719,135.07597961
3.0,0.20956752,0.00042197,0.00017734,1897.5193185263595,0.026929739493161367,0.05373284565462369,-4.49027669,135.01176957
4.0,0.20956508,0.00042313,0.00018792,1895.8591759329881,0.02690594340184738,0.18333077717653645,-4.65020255,135.23257546
5.0,0.20957037,0.00042859,0.0001891,1887.100559694791,0.026781705105044695,0.2073420970026929,-5.37949849,135.14229805
6.0,0.20956783,0.000429,0.00018675,1875.5313660551121,0.026617527686988225,0.2098171540759556,-4.98936566,135.27416823
7.0,0.20958197,0.00042944,0.00017993,1892.255393080875,0.026855198844431036,0.13755721946019375,-6.33836471,135.13673957
8.0,0.20954728,0.00042802,0.00017711,1889.1916442663505,0.026811301877111598,0.07373446895050281,-2.37778559,135.22126682
9.0,0.20955918,0.00042903,0.00017264,1900.560997724456,0.02697290599408282,0.04221022383982949,-3.55853638,135.22874202
10.0,0.20957434,0.00042817,0.00016231,1893.0733982164068,0.026867043620183217,0.026835816363358207,-4.79694782,135.24637582
11.0,0.20954036,0.00042523,0.0001624,1893.8413785961304,0.026877475060083516,0.023399432001070232,-0.99386432,135.29831888
12.0,0.20954606,0.00042484,0.00015954,1892.1755797118199,0.026853965101516157,0.02456701975914204,-1.50107921,135.11220558
13.0,0.20951483,0.00041982,0.00016636,1884.5384119606372,0.026745012820177844,0.037234846645611906,1.78103076,135.38092941
14.0,0.20955318,0.00042585,0.0001667,1887.4632271950345,0.026787046824194836,0.029222967454573135,-2.57531541,135.13022273
15.0,0.20959407,0.00042709,0.00015976,1879.53242576331,0.02667517613226133,0.020955770524576655,-6.79751644,135.23966731
16.0,0.2095724,0.00042486,0.0001529,1874.9073948728644,0.026609372164263463,0.020085172179933337,-4.10741874,135.23602555
17.0,0.20957576,0.00042191,0.00014939,1900.4273514713038,0.02697166617288673,0.017024640991782185,-4.33091257,135.2431174
18.0,0.20958899,0.00041659,0.00015002,1894.7192985347465,0.026890806141572136,0.014926307566533882,-5.67574114,135.14287306
19.0,0.20959916,0.0004132,0.00015621,1889.7566851565346,0.026820381519123006,0.013713722952819278,-6.93749096,135.22471691
20.0,0.20961208,0.00041027,0.00016089,1902.0088327191554,0.026994345442538037,0.017688528608786353,-8.52309457,135.39894656
21.0,0.20962103,0.00040759,0.0001672,1902.0100656136872,0.026994353427359688,0.016036170977408844,-9.69404095,135.15533173
22.0,0.20960343,0.00040479,0.00016083,1892.2889875995727,0.026856265404279718,0.021101198928536784,-7.39949896,135.31710271
23.0,0.20962896,0.00040148,0.00015549,1892.5523841229833,0.026860441496662106,0.014183896242847287,-9.9291694,135.43268079
24.0,0.20963283,0.00040143,0.00015668,1897.9948412986787,0.026937713640810313,0.016524121819562018,-10.42913271,135.36022886
25.0,0.20960974,0.00040174,0.00016433,1907.9877262164314,0.027079077897091467,0.014126945961162285,-8.22480617,135.29141869
26.0,0.20961513,0.00040057,0.00016373,1880.4668078568243,0.026688568181565935,0.01892967186548963,-8.64599468,135.17814067
27.0,0.20961441,0.0004021,0.00015862,1877.1633784325854,0.02664177714638903,0.02140198376842209,-8.39406747,135.13846461
28.0,0.2096078,0.00040362,0.00017046,1890.14666320044,0.026825729443247792,0.016987424908863617,-8.21339978,135.1990329
29.0,0.20959082,0.00040834,0.00017178,1875.94867483726,0.026623987052348568,0.015540236954571468,-6.45695261,135.15226498
30.0,0.2096251,0.00040714,0.00016458,1880.1112180450737,0.02668365679578822,0.013186576398740189,-9.91726846,135.16587368
31.0,0.20961218,0.00041279,0.00016585,1879.426655116646,0.026673759742388687,0.01667817841899373,-8.67981351,135.27953504
32.0,0.20962408,0.00041394,0.00017188,1893.3628589663804,0.0268715957839734,0.012508308208641333,-10.31197318,135.16204024
33.0,0.20959224,0.00041961,0.00017233,1884.5865038135387,0.026746617590084988,0.013288257895962838,-6.92272234,135.32476958
34.0,0.20956823,0.00042427,0.00017301,1872.1213198922933,0.02656938810839067,0.012551723440414905,-4.39604939,135.0930384
35.0,0.20959265,0.00043029,0.00016549,1875.6548972089056,0.026620024342168615,0.015441314036444652,-6.9189394,135.25020926
36.0,0.20958014,0.00043472,0.00016237,1878.0139367144684,0.026653410065265736,0.01477640860018381,-5.54442501,135.31959444
37.0,0.20955094,0.00043922,0.00017125,1893.7835236729563,0.026876664257759805,0.018484802943839158,-2.82078594,135.16184857
38.0,0.20955857,0.00044062,0.00017824,1897.5660961325539,0.026930317741424542,0.0177818475304436,-3.96900626,135.28911863
39.0,0.20949276,0.00043808,0.00018387,1893.795257783932,0.02687579822341737,0.02435845045478276,3.12694877,135.25749279
40.0,0.20952714,0.0004366,0.00018433,1900.4937366270024,0.026971311743747096,0.02762446811979591,-0.64338181,135.37134582
41.0,0.20950853,0.00044307,0.00017421,1885.9188668167935,0.026764432970519666,0.03037493309410986,1.63964241,135.33531153
42.0,0.20951605,0.00047081,0.00017423,1885.8279924934484,0.026763321848651236,0.034042502268242854,0.17613891,135.24886756
43.0,0.20952195,0.0005268,0.00017217,1906.8063608197147,0.02706132243568406,0.04202736895970723,-1.69782604,135.20267466
44.0,0.20950883,0.00061097,0.00016933,1896.5221963861109,0.02691548599124516,0.04737757822636214,-2.07899773,135.07444624
