Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20959949,0.00109216,0.00020781,908.6461884913035,0.025799196450582908,,-10.45647621,114.84789802
1.0,0.20938863,0.00156665,0.00021462,900.1632964652093,0.025556787942175578,,-4.65037156,114.93530035
2.0,0.20894294,0.00204777,0.00022125,873.4428540979892,0.02479374103728233,,12.89776175,114.80400518
3.0,0.20827785,0.00248198,0.00022417,861.3923266008268,0.024444524312271634,,41.40416339,114.80783861
4.0,0.20735067,0.00286562,0.00023768,856.4877613247542,0.02429461919006351,,82.96013381,114.77851283
5.0,0.20658677,0.00319622,0.00024117,857.7284080098801,0.024321063455055938,,117.44085419,114.64721766
6.0,0.20586942,0.00349122,0.00024349,857.8054110827574,0.024314949294886912,,149.81050042,114.50557221
7.0,0.20543674,0.0037583,0.00023781,858.972940406654,0.024343363398192257,,168.7336574,114.54428991
8.0,0.20505408,0.00399239,0.00024217,859.6749362505037,0.024358924681098137,,185.28160583,114.39919436
9.0,0.20491358,0.00418331,0.00025631,858.7179380207677,0.024330264246984437,,189.81062157,114.2447069
10.0,0.20471523,0.00435488,0.00025329,856.8912459975303,0.024276485922170066,,197.45874263,114.15462116
11.0,0.20443362,0.00454919,0.00025497,857.5412571938788,0.024291784807233614,,209.43759439,113.90008103
12.0,0.20431233,0.00473668,0.00025913,860.7697932459404,0.024382101492460635,,214.22877568,114.1258704
13.0,0.20419085,0.00492494,0.00026232,854.6492318293236,0.02420761580494507,,216.69810167,113.92231496
14.0,0.20395254,0.00510869,0.00026008,857.5023442138774,0.024285896082060117,,227.28921871,113.7929365
15.0,0.20361614,0.00526758,0.00026141,853.4609300683153,0.024167523685135663,,240.99755886,113.59072277
16.0,0.20347493,0.00541508,0.00025945,842.7347311487479,0.023862417135609743,,243.33726185,113.55986361
17.0,0.20328868,0.00555762,0.00026439,842.4235300974011,0.02385152535047677,,250.70801081,113.42339329
18.0,0.20306288,0.00570954,0.00027684,838.9487834469235,0.023750460253319904,,258.77241194,113.40115937
19.0,0.20295136,0.00588686,0.00027929,845.9914392150765,0.023948829513000085,,264.53021487,113.10560147
20.0,0.20270655,0.00607462,0.00028941,836.6352467199026,0.023681175824863742,,271.26664496,113.04081641
21.0,0.20259014,0.00621273,0.00029381,833.0771585760014,0.02357927111338524,,274.22084426,112.7772677
22.0,0.20232032,0.00632581,0.00029519,822.7587874398073,0.0232841150963156,,282.341217,112.72168288
23.0,0.20209199,0.00641333,0.00029297,828.5386239728524,0.023445069314165484,,294.26506454,112.68564859
24.0,0.20197162,0.0064414,0.0002802,833.3703229978236,0.023580560444799004,,301.61476671,112.72781638
25.0,0.20193481,0.00641896,0.00027385,843.5656749476375,0.02386862357452315,,307.39000253,112.21720273
26.0,0.20191143,0.00640637,0.00026633,842.8375424238105,0.023847822041711986,,308.48921021,112.38951567
27.0,0.2019097,0.00638455,0.00027071,837.9889982726933,0.02371047748626733,,306.93482846,111.79705818
28.0,0.20202723,0.00638623,0.00026904,839.3172948446586,0.023749599300381997,,301.83781436,112.02399757
29.0,0.20218409,0.00637384,0.00026513,826.9843280300292,0.023402633823707213,,290.22243145,112.03147277
30.0,0.20218938,0.00632375,0.00026098,836.9666020336725,0.02368513119520245,,294.02759869,111.77271586
31.0,0.20220544,0.00634265,0.00026009,819.0682857513582,0.02317889414360566,,286.82773486,111.66192957
32.0,0.20221439,0.00643742,0.00026558,833.4730987648896,0.023586798031418832,,290.44482868,111.47581626
33.0,0.20219558,0.00648566,0.000263,836.4624839185301,0.02367132692796363,,291.95320455,111.49900855
34.0,0.20221775,0.00643224,0.00025887,808.3471743485356,0.022875892386659394,,281.68812174,111.18428347
35.0,0.20217993,0.00636679,0.00024979,812.5417875074785,0.022994122621085838,,285.65546766,111.16894973
36.0,0.20216458,0.00637305,0.000254,830.2755699944637,0.023495719088462323,,292.484088,111.12639859
37.0,0.20213103,0.0063933,0.00025229,837.9654458883853,0.023712987480454136,,296.62081908,110.8076484
38.0,0.20210429,0.00641838,0.00025411,830.3618558560275,0.023497513224496565,,294.91894842,110.81569862
39.0,0.20207104,0.00643769,0.00024675,812.9673597441936,0.02300504883478599,,290.2128007,110.692837
40.0,0.20207796,0.00644483,0.00023553,820.8848530841584,0.023229394915623744,,292.83216855,110.65258593
41.0,0.20202621,0.00646217,0.00023814,814.2799031669712,0.0230418448365129,,292.66221529,110.37715357
42.0,0.20198158,0.00650599,0.00023341,815.5029638081758,0.02307609169569596,,294.83078353,110.17091472
43.0,0.201989,0.00670686,0.00023648,822.1139790872846,0.023263712360828824,,294.91919153,110.27000904
44.0,0.20189191,0.00696372,0.00022958,806.8490598778362,0.022831319637554002,,291.60722384,110.13315538
45.0,0.20171786,0.00711812,0.00022463,811.5321396353966,0.02296215403047306,,299.94849743,109.96352585
46.0,0.20148058,0.00718911,0.00021869,779.2505346067414,0.022046194695521742,,297.95515201,109.78277935
47.0,0.20089825,0.00726058,0.00022059,796.6079370338737,0.022530285839715523,,330.16002666,109.66873464
48.0,0.20062518,0.00739274,0.00022683,792.3839844727346,0.022407705729171848,,339.33652285,109.46862929
49.0,0.20058603,0.00754786,0.00022327,816.3367335214958,0.023085024963465563,,350.01013516,109.62120003
50.0,0.20041463,0.00780588,0.00022221,787.6608103057634,0.022272669581439027,,343.0338442,109.33292566
51.0,0.20022035,0.00798974,0.00021559,800.7067355126854,0.022639734112153413,,355.92209543,109.18917182
52.0,0.2000281,0.00808444,0.00021622,793.8544892962733,0.022443847017009418,,360.61584025,109.00957535
53.0,0.19971152,0.00809979,0.00021081,778.2106108588374,0.021997861891808242,,367.33196172,108.92504809
54.0,0.19943265,0.00816583,0.00021249,794.381468104923,0.022451649829827565,,386.80327931,109.05595992
55.0,0.19928107,0.00830823,0.00021286,795.0810248227115,0.022469887567367734,,392.6309652,108.61147304
56.0,0.19924417,0.00841246,0.00020517,799.0172996697228,0.02258106331044947,,395.41149826,108.51161204
57.0,0.19924417,0.00840107,0.00020905,784.3129476629521,0.02216540963471643,,388.17572226,108.35252446
58.0,0.19923034,0.00835297,0.0002145,783.753628107731,0.02214922331476971,,388.8484512,108.26588881
59.0,0.19923603,0.00828388,0.0002243,787.944216772717,0.022267384809301807,,391.13834733,108.02265731
60.0,0.19927924,0.00825397,0.00022879,793.5900442608836,0.02242732176392566,,392.21195715,107.98930642
61.0,0.19925189,0.0082672,0.00022343,795.7553677125875,0.02248829932890089,,394.46962984,107.80549317
62.0,0.19926359,0.00831038,0.00021039,787.7208258549873,0.02226171184534717,,389.78664707,107.67304796
63.0,0.19927284,0.00832968,0.00020952,785.3375141224386,0.02219453304023863,,388.04148309,107.51300202
64.0,0.19927609,0.00835629,0.00021399,783.4046319616012,0.022139937634268813,,386.63861762,107.49977666
65.0,0.19925993,0.00851079,0.00020785,775.6385990354104,0.02192074255533835,,382.25013565,107.49364317
66.0,0.19917829,0.00872559,0.00020795,786.5886407670224,0.022229731961551934,,389.34483543,107.11547472
67.0,0.19919669,0.00887985,0.00020566,776.9134611189085,0.021956940132001508,,382.43304718,106.98092113
68.0,0.19902203,0.00893899,0.0002024,762.1563477363022,0.02153798999025646,,382.18975148,106.94277844
69.0,0.19860338,0.00889856,0.00020166,763.1465210777403,0.021560872339256656,,400.97381994,106.80458308
70.0,0.19859463,0.00879313,0.00019987,768.3926389066415,0.021708757660576602,,405.0439787,106.81186661
71.0,0.19859748,0.00875013,0.00020963,771.5876331583115,0.021798791253458433,,406.82995234,106.46436565
72.0,0.19863571,0.00882128,0.0001966,775.8109043909224,0.02191896432412216,,406.97329058,106.46321562
73.0,0.19862025,0.00890686,0.00019869,780.6065633393097,0.022054441300440396,,409.38257967,106.25716844
74.0,0.19860846,0.00898586,0.00020239,761.3706833655716,0.02151095837555063,,399.06681901,106.10498104
75.0,0.19854207,0.00901171,0.00020439,751.8106208234532,0.02124010212662954,,396.60608395,106.28323581
76.0,0.19836762,0.0090287,0.00021045,760.0659673171695,0.021471184607065243,,408.15521321,105.92940968
77.0,0.19826199,0.00902405,0.00019835,757.1649957046887,0.021388159576482522,,411.29477951,105.5821004
78.0,0.19827043,0.00900488,0.00019702,766.2202555619893,0.02164402742629311,,416.03619278,105.66720267
79.0,0.19828456,0.00895588,0.00018954,755.8621296705832,0.021351606902886122,,410.33994938,105.40940411
80.0,0.1983357,0.00891133,0.00018232,767.6163871484654,0.021684272229901786,,415.01543781,105.40825408
81.0,0.19830499,0.00888471,0.0001914,756.163184539037,0.021360154864524365,,410.21338761,105.21236551
82.0,0.19849694,0.00885003,0.0001952,766.6075415475049,0.021657360528981526,,407.88076451,105.12745491
83.0,0.19848748,0.0087948,0.00020145,757.2027660528634,0.021391320654096945,,403.65406272,104.9426833
84.0,0.19855966,0.00870767,0.00020479,764.8121890878616,0.021606894602216903,,405.3154621,104.7531199
85.0,0.19863337,0.00860695,0.00020776,763.0316799762435,0.021557187266464703,,402.03897963,104.74238628
86.0,0.1987878,0.00846224,0.00020275,769.4781182330851,0.02174091256904611,,400.10239102,104.46522887
87.0,0.19897039,0.00832834,0.00021537,764.6485063906379,0.021606118069645467,,390.72429602,104.33700044
88.0,0.19919384,0.00824031,0.00021153,770.0004286899381,0.021759889103738845,,384.62442767,104.37648483
