Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20980861,0.00175399,-6.48e-06,911.7658171896531,0.025893085405992455,0.005697909148957106,-24.98270746,122.71525811
1.0,0.20957885,0.00311361,3.37e-06,914.4126653679608,0.025968794276734222,0.006146386104382302,-28.23162288,122.51476943
2.0,0.20904955,0.00358921,6.03e-06,867.2980139438084,0.02462542612393286,0.0045626693532977896,-5.06722406,122.09404986
3.0,0.2080473,0.00395059,8.86e-06,851.800849111698,0.02417406798707905,0.005905501594010351,40.95203299,121.33138783
4.0,0.20698362,0.0042106,8.71e-06,840.8788598340736,0.023851840457010286,0.010299972565286458,89.66345073,120.75924756
5.0,0.20599399,0.00436341,1.752e-05,838.6772237904371,0.02377751423769111,0.02132495049928355,135.6657976,119.61515868
6.0,0.2055543,0.00443215,2.382e-05,853.8353647128718,0.02420181605465149,0.04466802454317431,158.9174346,118.43292711
7.0,0.20544638,0.00442987,2.197e-05,852.4053091375325,0.02415995319794986,0.05976071017187832,163.99273407,117.13320073
8.0,0.2054294,0.00438664,3.122e-05,861.7823069525933,0.02442523250289808,0.05918682106119064,166.91951187,115.81296546
9.0,0.20543642,0.00431891,2.752e-05,858.9853583266395,0.02434593776817338,0.05388923190712918,166.78450916,114.6625514
10.0,0.20545778,0.00424402,1.686e-05,853.3539562721729,0.024186593095609075,0.0454424278659727,165.58331222,113.79427821
11.0,0.20561451,0.00415239,1.622e-05,854.775243165769,0.02422862321349018,0.038148346221101664,159.10053294,113.41342636
12.0,0.20582942,0.00403713,1.756e-05,861.7437771818273,0.024428543897969734,0.03516474492042817,150.9046278,114.54256486
13.0,0.2059116,0.00391276,1.933e-05,870.1770011473394,0.024668296856534544,0.031009136832430048,149.52317083,113.2052708
14.0,0.20606458,0.00377866,2.086e-05,871.1094250711398,0.02469630262881509,0.03430400248982812,143.37828058,113.0415831
15.0,0.20621724,0.00363331,2.405e-05,870.8572718436006,0.02469066018988845,0.03480868469479467,137.13521459,112.96529772
16.0,0.20631905,0.00349194,2.49e-05,868.3260658475598,0.024619801669088448,0.031159624325502705,133.09282989,112.94229711
17.0,0.20650701,0.003347,2.239e-05,865.1122828448381,0.02453072293089415,0.031049951110935385,124.77210653,112.80122667
18.0,0.20662215,0.00320731,2.513e-05,873.7402012592983,0.02477642169956039,0.025709051992215397,121.62787354,112.77573433
19.0,0.20679261,0.0030797,2.763e-05,878.1211230022908,0.024902448178901297,0.02698177899105994,114.90153986,112.5353779
20.0,0.20684662,0.00296179,3.376e-05,875.8379430892597,0.02483796554498349,0.025101754310628867,113.00189292,112.66398967
21.0,0.20697478,0.00284213,3.806e-05,877.7166666887716,0.024892486116363726,0.026244447482020306,107.93615787,112.66801478
22.0,0.20703895,0.00273447,3.886e-05,869.730591364797,0.02466651157890107,0.028135532641705777,104.84046069,112.43532523
23.0,0.20719976,0.00263745,3.948e-05,871.3464069201993,0.02471410728265151,0.026496439921379417,97.94938852,112.53192781
24.0,0.20732639,0.00254408,3.671e-05,870.6265809413685,0.024695095209227424,0.026769619017975164,92.52530282,112.38759896
25.0,0.20738456,0.00246412,4.151e-05,875.6288690625069,0.024837424235001227,0.025567246268820717,90.86999717,112.31687207
26.0,0.20748587,0.00240812,3.318e-05,878.4947475577374,0.024920008156315874,0.02530029690940276,86.76332249,112.19669385
27.0,0.20755462,0.002372,2.658e-05,877.3683635921342,0.02488895383138884,0.02522124986001682,83.66281014,112.2432701
28.0,0.20759897,0.00233977,2.424e-05,871.0713346565698,0.024710837918320985,0.025709409373937845,81.20776706,112.23119478
29.0,0.20759744,0.00231428,1.779e-05,866.7021837110648,0.02458692237698169,0.02083455182496588,81.25539031,112.06539868
30.0,0.20757456,0.00230497,1.707e-05,870.7102471824803,0.024700324979829883,0.02315331595229979,82.89337966,112.077474
31.0,0.20752055,0.00231341,2.117e-05,871.0680921035644,0.024709743783632918,0.02472006525596631,85.4864567,112.14685919
32.0,0.20755666,0.00232856,2.268e-05,880.437996446689,0.02497601427559817,0.02594396620988195,84.38134591,111.89941091
33.0,0.20747346,0.00234913,2.708e-05,871.094571776464,0.024709888206138845,0.02790145572376876,87.3822287,112.03722293
34.0,0.20734032,0.00237604,3.063e-05,863.4928685781573,0.02449259525393787,0.027665385467812147,92.92056802,111.94886223
35.0,0.20734703,0.00240378,3.086e-05,865.1018703636403,0.024538386230158585,0.027133838167309736,92.46574424,111.85705145
36.0,0.20722305,0.00242524,1.819e-05,864.0106884457721,0.024506163805996736,0.027382900754420205,98.53308602,111.95710412
37.0,0.20726139,0.0024371,1.475e-05,871.6054612852237,0.02472215457290116,0.026980404136629648,97.40578913,111.79111635
38.0,0.20713873,0.00244265,1.893e-05,867.9391327498049,0.02461655688886262,0.02833762088848919,103.01052272,111.66825473
39.0,0.20720403,0.00243972,1.843e-05,866.4669158389621,0.024575624726018416,0.02741548621143428,99.60976834,111.78843295
40.0,0.20711025,0.00242537,1.997e-05,863.3967359283007,0.02448730421736116,0.02584647815130738,104.05134206,111.49479177
41.0,0.20717616,0.00239426,2.223e-05,873.1771885162406,0.0247654065938768,0.02350910263858238,102.1951751,111.54309306
42.0,0.20713049,0.00234997,2.296e-05,876.8986337653938,0.024870243623467476,0.02235895859120417,105.39423334,111.47888301
43.0,0.20719681,0.00230059,2.306e-05,866.884214046625,0.024586922892471188,0.01846396625663716,101.38497479,111.53044272
44.0,0.20723851,0.00224734,3.525e-05,867.1183405460413,0.024593730073686874,0.018318100936711816,99.66664752,111.4884666
45.0,0.20722966,0.00218739,3.804e-05,876.1097966126322,0.0248484296095032,0.01668095095623346,101.72819694,111.43729023
46.0,0.20737256,0.00212662,3.799e-05,880.7763848273768,0.02498245027052719,0.01710063686722271,95.6481362,111.34892954
47.0,0.20758158,0.00206832,3.978e-05,875.535923786984,0.02483627396882388,0.014040926177719697,85.09054083,111.27666927
48.0,0.20757547,0.00201135,3.962e-05,872.0796632809005,0.02473800669709699,0.012108594701795561,85.662423,111.31634533
49.0,0.20773597,0.00195616,4.239e-05,872.8470676536004,0.024761606534885856,0.01010025393915376,78.17155984,111.09592277
50.0,0.20768359,0.00190909,4.12e-05,879.3555033633824,0.0249454742421633,0.010133002350014114,81.93630662,111.07100544
51.0,0.20831948,0.00186423,3.139e-05,878.8021966179693,0.024937892910158566,0.0060076611584354315,50.18827113,110.97804462
