Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20953778,0.00043403,0.0,79320.97458425492,0.026583961645054482,0.01437340023173143,0.00194717,-317.04073257
1.0,0.2094967,0.00043556,0.0,78809.65296129846,0.026412055283771108,0.014632660722938059,0.02055204,-317.03424144
2.0,0.2096168,0.00043377,0.0,78583.16887482963,0.02633773274821474,0.015102294061675911,-0.03404024,-316.93038328
3.0,0.20950798,0.00043075,0.0,79235.36681062347,0.026554864696526723,0.014843738432398907,0.01594301,-317.05734224
4.0,0.20954236,0.00043358,0.0,79495.50819507302,0.02664251548776572,0.012924653045538125,-0.00011302,-317.13924508
5.0,0.20946903,0.0004333,0.0,79283.32899465945,0.026570426636526617,0.013076971367852604,0.03359943,-317.10965314
6.0,0.20954907,0.00043125,0.0,79507.877111492,0.026646743986305527,0.012202820656144331,-0.00298139,-316.87444498
7.0,0.20947717,0.0004327,0.0,79039.12254960969,0.026488691613173215,0.013754671773731438,0.0298281,-316.91071896
8.0,0.20951317,0.00043382,0.0,79464.18684695591,0.026631629141699392,0.014518889847535998,0.01330434,-316.96035705
9.0,0.20955812,0.00043442,0.0,79930.9607092863,0.026788669211930346,0.015018500123940274,-0.00749815,-316.99949477
10.0,0.20960907,0.00043511,0.0,79211.95328410994,0.02654837543065421,0.014298991240992497,-0.03089127,-317.08674326
11.0,0.2095808,0.00043735,0.0,79000.00009920975,0.02647696915199105,0.01555284889938223,-0.01807646,-316.96952101
12.0,0.20951846,0.00043642,0.0,79086.41916247859,0.026505101635979834,0.014011481453616624,0.01056776,-317.01114063
13.0,0.20957572,0.00043299,0.0,79273.83717023321,0.02656866623904703,0.012443745724228426,-0.01538288,-317.00025844
14.0,0.20958314,0.00043515,0.0,79081.34077096375,0.026504255556742542,0.013299795102545262,-0.01895648,-316.82595239
15.0,0.20959382,0.00043454,0.0,79060.96171659423,0.02649756560360667,0.01375648484236267,-0.02378617,-316.88609084
16.0,0.20951632,0.00043447,0.0,78575.36132435728,0.026333791540333197,0.013240802990608994,0.01165812,-316.99586738
17.0,0.20958121,0.00043319,0.0,78919.62173736277,0.026450024095191635,0.013073312538472838,-0.01784518,-317.09017974
18.0,0.20959341,0.0004347,0.0,78886.96211125042,0.02643924402247642,0.011803068398511937,-0.02356346,-317.01896818
19.0,0.20957694,0.00043655,0.0,79298.89507397552,0.026577090602261003,0.014719047137725344,-0.01629187,-317.16005489
20.0,0.2096048,0.00043327,0.0,78570.66439090781,0.026333382064996892,0.01333050416548177,-0.02852024,-316.99968569
21.0,0.20958121,0.00043046,0.0,79210.85230068791,0.026547622818932495,0.01319645517860594,-0.01764806,-316.90709157
22.0,0.20954948,0.00042966,0.0,79053.18964382113,0.026494358335852376,0.013246881333730058,-0.00299775,-316.87177216
23.0,0.20959372,0.00042833,0.0,79573.7227127127,0.026669400555973406,0.012155756966018403,-0.02329292,-316.93038329
24.0,0.20961528,0.00042823,0.0,80029.73455372821,0.02682252394136707,0.01271765035258903,-0.03341967,-316.98135778
25.0,0.20958202,0.00042971,0.0,79174.98539315407,0.02653561065813313,0.01290375878469231,-0.01794154,-317.10449842
26.0,0.2095868,0.00043324,0.0,79420.57610779883,0.02661799438084842,0.01337857820875353,-0.02053817,-316.96723002
27.0,0.20957267,0.00043595,0.0,79241.38387421882,0.026557757162016006,0.013706261165242683,-0.01426015,-317.08197037
28.0,0.20954907,0.00043827,0.0,78506.07927793224,0.026311014900302757,0.01215068739624225,-0.00361362,-316.97830313
29.0,0.20957297,0.0004392,0.0,79145.03202694534,0.026525477879652017,0.0108577743777276,-0.01469547,-317.08101579
30.0,0.2096226,0.00044112,0.0,78905.71750250323,0.026445934583781257,0.011275210283444824,-0.03753666,-316.90842798
31.0,0.20955385,0.00044548,0.0,79141.96515415616,0.026524213303266403,0.011780422444688406,-0.0065278,-317.01686811
32.0,0.20955985,0.00044728,0.0,79270.36574736913,0.026567331347135053,0.01181178849242247,-0.00946903,-317.17418266
33.0,0.20958202,0.00044286,0.0,79233.88143376437,0.026555386447164157,0.010105745701424692,-0.01922125,-317.00865873
34.0,0.20954765,0.00043923,0.0,79343.19513340971,0.026591554858223017,0.011490700766079089,-0.00308988,-317.03634151
35.0,0.20956636,0.00043315,0.0,78700.41582517026,0.026376360483364888,0.01276662384272903,-0.01101918,-317.15814574
36.0,0.20960501,0.00043309,0.0,79185.7117613199,0.026539520800082945,0.010014377640559315,-0.02881988,-317.07528832
37.0,0.20958823,0.00043124,0.0,79984.57379437497,0.026807033120240666,0.011965899978085623,-0.02114991,-316.92942871
38.0,0.20961009,0.0004335,0.0,79690.98895199469,0.026708936325610572,0.010468745887203373,-0.03139236,-316.92866504
39.0,0.20955883,0.00043434,0.0,78898.28364758207,0.026442579168032,0.010102142333575427,-0.00771905,-316.98593976
40.0,0.20959809,0.00043211,0.0,78930.79778196178,0.02645399054331529,0.010098618402600864,-0.02546892,-317.1224445
41.0,0.20955405,0.00042945,0.0,78701.20785078607,0.026376452904226647,0.010932332681057111,-0.00505164,-317.02221375
42.0,0.20960318,0.00042672,0.0,79357.5581981315,0.02659707387503322,0.010437575346763468,-0.02742533,-316.96131163
43.0,0.20959473,0.00042474,0.0,79178.27935550085,0.0265368698068187,0.009704734940759572,-0.02329817,-316.99319456
44.0,0.20956636,0.00042337,0.0,79564.2960671321,0.026665861618041364,0.010979641693123968,-0.01019399,-317.00904056
45.0,0.2096046,0.00042813,0.0,79172.09610563202,0.026534938159008346,0.010592950821135788,-0.02815082,-317.04569638
46.0,0.20958721,0.00043288,0.0,79385.11516073924,0.026606114020778695,0.009013353539902822,-0.02068161,-316.93286519
47.0,0.20957399,0.0004322,0.0,78654.2388718092,0.026360982512446257,0.008401103246615232,-0.0143983,-316.95348409
48.0,0.20957653,0.00043433,0.0,78486.69229348523,0.026304868622861854,0.009970176745851659,-0.01572741,-316.9634117
49.0,0.20960338,0.00043223,0.0,79077.85255716588,0.026503347161277394,0.010117673565452213,-0.02795194,-316.99701287
50.0,0.20957378,0.00043411,0.0,78937.47509700233,0.026455911710583938,0.01150912975357262,-0.01454125,-317.11442604
51.0,0.20956667,0.00043369,0.0,79710.2041127988,0.026714795619055435,0.00987401489558936,-0.01135356,-317.1346631
52.0,0.20956453,0.00042922,0.0,79400.4249124763,0.026610932381101918,0.010740075984518859,-0.00989521,-316.99434005
53.0,0.20958467,0.00042787,0.0,79410.42130662686,0.026614547545942786,0.009893542259684187,-0.01903491,-316.87730871
54.0,0.20958365,0.00042608,0.0,79339.85275249957,0.02659087777125216,0.011141134590358707,-0.01837798,-317.10507117
55.0,0.20962646,0.00042826,0.0,79614.85221053635,0.02668362276997451,0.010445443923757998,-0.03841377,-316.96474811
56.0,0.20960887,0.00042945,0.0,78691.26641188675,0.026373845681854628,0.010840292107270659,-0.03005506,-317.00044935
57.0,0.20961579,0.00043007,0.0,78580.77293100217,0.026336906164484777,0.009094464521274466,-0.03322245,-316.99243089
58.0,0.20958578,0.00042844,0.0,78754.91728205356,0.026394870440938693,0.009154869030285258,-0.01944324,-316.98441243
59.0,0.20961162,0.00042807,0.0,78846.94484628087,0.026426054814564344,0.011762681112826042,-0.03123748,-317.01094972
60.0,0.20959138,0.00042543,0.0,79079.0767264969,0.026503579135484005,0.010256610170754231,-0.02179844,-317.08254311
61.0,0.20960867,0.00042392,0.0,79338.92130658671,0.026590892954506864,0.008310558456319686,-0.02967612,-317.09399805
62.0,0.20960368,0.00041988,0.0,79204.24675196163,0.02654567836620777,0.010282241488031384,-0.02694797,-316.96780276
63.0,0.20958599,0.00041888,0.0,79292.36168993374,0.02657497212540191,0.008080173760077126,-0.01874853,-317.13179937
64.0,0.20961528,0.00042028,0.0,79314.73175789595,0.026582863561349618,0.009910406080442425,-0.03235585,-317.10698032
65.0,0.20958904,0.00042113,0.0,79189.56441705684,0.026540566285392485,0.010097012306259446,-0.02034072,-316.93572893
66.0,0.20962921,0.0004261,0.0,79288.88423286997,0.026574402294746908,0.006011746862259289,-0.03931124,-316.9366835
67.0,0.20957989,0.00042399,0.0,79462.42839853054,0.02663190315741226,0.009073707337096514,-0.01647109,-316.87845421
68.0,0.20958731,0.00042384,0.0,79046.50042524912,0.02649260263158535,0.00871529120132166,-0.01977261,-316.83778916
69.0,0.20957673,0.00042688,0.0,80258.49894684614,0.026898672472265624,0.007628850215119251,-0.01545162,-317.08349769
70.0,0.20959087,0.00042561,0.0,79571.65432819343,0.02666866161834164,0.00980026952686175,-0.02171723,-316.8055244
71.0,0.20957938,0.00042488,0.0,79412.38967102101,0.026615128319681113,0.009207399668834373,-0.01631296,-316.92541947
72.0,0.20960612,0.0004222,0.0,79142.23724774961,0.026524934483189457,0.008191029312848147,-0.02827065,-316.97143016
73.0,0.20956412,0.00042096,0.0,79492.05131561613,0.026641612228879494,0.00951050984572187,-0.00892196,-316.97257566
74.0,0.20960663,0.00042178,0.0,79244.18377558266,0.026559108009844814,0.008505360352624758,-0.02849999,-316.87501773
75.0,0.20959372,0.00042218,0.0,79101.33379594654,0.0265110606908444,0.009254860163558021,-0.02256494,-316.98078504
76.0,0.20959799,0.00042217,0.0,79762.98475853815,0.026732872265519583,0.00970904079597631,-0.02472717,-316.9767758
77.0,0.20957073,0.00042357,0.0,79415.01476323015,0.026615889061145984,0.006861037900030103,-0.01220718,-316.91663735
78.0,0.20958395,0.00042758,0.0,79008.56168890995,0.026479853199926785,0.007194304419550589,-0.01858517,-317.02068642
79.0,0.20958131,0.00042774,0.0,79181.6026829508,0.02653781351521016,0.00764923051077322,-0.01742784,-316.89926402
80.0,0.20958884,0.00042574,0.0,79126.24257371151,0.02651935401120317,0.00779414539391694,-0.02067536,-317.02660481
81.0,0.20956951,0.00042794,0.0,78464.30019780522,0.026297253706279215,0.007881052944655005,-0.01192296,-317.00331309
82.0,0.20957714,0.00042877,0.0,79252.99057341894,0.026561686616947144,0.009111966076071119,-0.01562667,-317.00942239
83.0,0.20958243,0.00042776,0.0,79675.76446607409,0.026703447502637416,0.009159726992082859,-0.01805494,-317.05619674
84.0,0.20958192,0.00042639,0.0,79997.90623456347,0.02681140306837935,0.009445661293077078,-0.01775939,-317.01935001
85.0,0.20960379,0.00042906,0.0,80056.51878661735,0.026831348734092382,0.006809721700738498,-0.02817946,-317.03195045
86.0,0.20956819,0.00042882,0.0,79150.10350559714,0.02652708509244307,0.0073135860520259265,-0.01150509,-317.11175322
87.0,0.20959331,0.00042847,0.0,79152.54178665654,0.026528235293005485,0.007524458855189958,-0.02299816,-316.99472188
88.0,0.20960755,0.00042961,0.0,78986.62887264289,0.026472821102346566,0.00816268862378989,-0.02957889,-316.95405683
89.0,0.20957775,0.00042956,0.0,79324.56678448258,0.026585685761771304,0.00861294143491203,-0.01599812,-317.1382905
90.0,0.20959758,0.00043392,0.0,78981.51147766564,0.026470985722247247,0.008018479533163248,-0.02542705,-317.13199028
91.0,0.20953931,0.00043424,0.0,79194.86920255597,0.026541719109799775,0.008642310509017008,0.00122366,-317.02565023
92.0,0.2095984,0.00043793,0.0,78896.60637368339,0.026442551426626208,0.008647905521082177,-0.02615696,-317.04206898
93.0,0.20961894,0.00043676,0.0,78726.60420374657,0.02638584274247169,0.009565283386571529,-0.03536521,-317.26906777
94.0,0.20955955,0.00043813,0.0,78350.60904851479,0.026259047217120985,0.007840162131548237,-0.00834979,-317.01133155
